날짜,시가,고가,저가,현재가,거래량
20171030,225500,225500,185500,190000,173576
20171031,192500,199500,186000,186000,81114
20171101,181000,187000,180000,180000,58893
20171102,178500,180000,170500,172000,39370
20171103,171000,173000,169000,170000,33896
20171106,168000,169500,165500,166000,38638
20171107,167000,173500,167000,169000,37818
20171108,167000,178000,167000,177500,41470
20171109,177500,180000,173500,173500,32950
20171110,176500,177000,169500,170000,34304
20171113,171000,174000,169000,171500,16804
20171114,172000,172500,167500,170000,13378
20171115,170000,172000,167000,167000,15432
20171116,167500,168000,163000,163500,23883
20171117,164500,165000,160000,161000,22838
20171120,161000,162500,159000,160500,16033
20171121,160500,161000,158500,159000,14661
20171122,159000,159500,156000,157500,21901
20171123,157500,158500,153000,153500,22954
20171124,156500,158500,152500,153000,27545
20171127,153000,154000,149000,149000,42837
20171128,149000,151500,149000,149000,31768
20171129,149000,149500,145500,146500,27780
20171130,146000,153000,144500,149500,43474
20171201,151000,159500,148000,159000,52454
20171204,159000,159000,153500,157000,20540
20171205,159500,163000,155000,161500,30481
20171206,163000,163500,160000,160000,11411
20171207,162000,162500,155500,158000,11729
20171208,156500,156500,151000,154500,15051
20171211,153500,153500,145000,147500,29026
20171212,147500,150000,146500,149500,5816
20171213,147500,151500,147500,151500,5143
20171214,151500,152000,147000,147000,6413
20171215,148000,151500,147000,147000,10928
20171218,146500,149000,146000,149000,7350
20171219,148500,149000,146000,146000,5554
20171220,146000,147500,145000,145000,6254
20171221,145000,146500,145000,145000,6056
20171222,143500,148000,143500,145500,3737
20171226,151000,152000,148000,149000,7303
20171227,148000,149500,147000,147500,3869
20171228,147000,147000,145500,146000,5145
20180102,146000,148000,146000,147000,2105
20180103,148500,151500,146000,151500,10133
20180104,151000,153500,148500,153000,10999
20180105,153500,154500,150000,152500,6793
20180108,152000,152000,149000,151500,8970
20180109,149500,153000,139000,148000,12765
20180110,147000,148500,145000,147000,9214
20180111,148000,148000,145000,147500,3944
20180112,148000,149000,147000,148000,8232
20180115,147500,148000,145500,146500,6298
20180116,145500,147500,145500,146500,2589
20180117,147000,150500,146500,150000,7182
20180118,149500,156500,149000,156500,15305
20180119,156500,159000,154500,158500,15098
20180122,158500,160500,155000,158000,14305
20180123,159500,164000,158500,164000,20358
20180124,163500,168500,163000,168500,23280
20180125,168500,174500,167500,173000,21892
20180126,172000,177000,170500,173000,12263
20180129,173000,175500,169500,173500,13570
20180130,175000,179000,174500,175000,19012
20180131,175000,178000,173500,175000,10279
20180201,176500,177000,171500,176000,8926
20180202,176000,177000,174000,174500,10892
20180205,174000,175000,167000,172500,17261
20180206,168000,173500,165000,172000,18323
20180207,172500,172500,164000,164000,13028
20180208,169000,169000,164500,167000,9511
20180209,162000,168500,162000,165000,7601
20180212,167000,168500,165000,168000,13369
20180213,167500,172000,167000,167000,10615
20180214,163000,168000,161500,167000,10013
20180219,167000,170000,167000,169000,6769
20180220,168500,170500,168500,169000,6827
20180221,168000,172000,166500,171000,5712
20180222,169000,172500,169000,171500,5551
20180223,170500,172500,170000,172000,6549
20180226,170500,174000,170500,170500,8369
20180227,171000,173000,170000,171500,9255
20180228,170500,175000,170500,174000,7681
20180302,172500,176500,172000,174500,7774
20180305,173500,180000,173500,179500,15405
20180306,179500,182000,178500,179000,11208
20180307,178500,180000,174500,174500,5729
20180308,174000,175000,169000,174000,9722
20180309,173000,176000,173000,175000,6534
20180312,175000,179500,175000,177000,3564
20180313,179500,180000,177500,180000,4839
20180314,180000,180000,177500,177500,4832
20180315,177000,179000,175000,176000,5882
20180316,176500,179500,173000,173000,4728
20180319,173000,176500,167500,171500,10067
20180320,170000,173500,169000,170000,7024
20180321,172000,172500,165000,165500,10969
20180322,165500,169500,165000,168000,6447
20180323,166500,169500,164000,164000,5762
20180326,162500,170000,158000,166000,4944
20180327,167000,170000,166500,169500,3914
20180328,169500,172500,167000,170500,13208
20180329,171000,171000,167500,170000,6431
20180330,170500,175000,169000,174000,7616
20180402,175000,177000,173000,175000,3720
20180403,178000,180000,175000,178500,17975
20180404,180000,181500,173500,176000,9797
20180405,176000,180000,175000,177500,5601
20180406,177500,180000,173000,175500,6426
20180409,173000,179000,173000,175500,6182
20180410,175500,182500,175500,180500,17293
20180411,180500,181000,179000,181000,9070
20180412,181500,182500,181000,181000,5562
20180413,181000,182500,178500,180500,4301
20180416,178500,181500,177500,181000,9357
20180417,182000,187000,181000,186500,22939
20180418,187000,191000,187000,190000,18354
20180419,191500,192500,187000,189000,13162
20180420,187500,192000,187000,187000,10253
20180423,189000,192500,185500,186000,9073
20180424,189500,191000,186500,189500,5859
20180425,189500,191500,182000,188000,11424
20180426,188000,189000,184000,185500,7302
20180427,185500,188000,185500,186500,2758
20180430,186500,190000,183500,190000,4155
20180502,189000,191500,186000,186000,9091
20180503,186000,188000,184500,186500,7555
20180504,187000,187000,180000,180000,3625
20180508,180000,180500,175000,175000,7973
20180509,177000,179500,176000,177000,3858
20180510,178000,182500,177000,182500,4626
20180511,181000,184500,180000,181500,4610
20180514,180000,183000,179500,180500,3708
20180515,182000,182500,180000,180000,2200
20180516,177500,181000,176000,178000,10471
20180517,178000,179500,176000,178000,11472
20180518,178000,180000,176500,179500,4137
20180521,180000,180500,177500,178000,4611
20180523,177500,179500,177500,178000,9224
20180524,179000,182500,178000,180000,5057
20180525,180000,182000,177000,182000,5951
20180528,182000,184500,180000,182500,9161
20180529,184500,184500,180000,183000,7959
20180530,183000,185000,180500,184500,7334
20180531,184000,186500,180500,183000,12163
20180601,183000,185500,179500,182000,22734
20180604,181500,184000,180500,183000,5374
20180605,183000,184000,180500,182500,2884
20180607,181000,186000,181000,184000,5907
20180608,184500,186000,182000,184500,5867
20180611,185000,186000,183000,184000,4387
20180612,184000,191500,183000,191500,30676
20180614,191500,193000,186500,190500,8830
20180615,189000,190000,183500,185000,29669
20180618,186000,187000,181500,183000,5988
20180619,183000,185000,181000,181500,5371
20180620,180500,184000,179500,180500,7102
20180621,182000,185500,179500,181000,3512
20180622,183000,185000,180500,180500,3556
20180625,180500,183500,177500,180500,1666
20180626,182000,182000,179000,179500,841
20180627,180000,183500,179500,181000,2501
20180628,181500,183000,179500,179500,1337
20180629,180000,183000,174500,181000,3284
20180702,179500,180000,174500,174500,2608
20180703,174500,177000,174500,174500,1432
20180704,175500,176000,173000,173000,961
20180705,174000,174000,164000,166500,2620
20180706,167500,170500,158500,161500,6500
20180709,163500,164000,160500,162000,4015
20180710,163000,166500,163000,164500,902
20180711,164000,164500,161000,164500,3736
20180712,164500,167000,163000,167000,2350
20180713,167000,167500,164000,166000,4394
20180716,165500,166500,161000,163000,4704
20180717,163000,163000,159500,160500,4910
20180718,161000,163500,159500,161500,2985
20180719,160000,162000,156500,159000,4318
20180720,159000,159000,151000,154000,5410
20180723,153500,158000,153500,157000,5245
20180724,157000,157000,154000,157000,2147
20180725,157000,157500,152500,154000,6584
20180726,156500,156500,153000,154500,2206
20180727,154500,155500,152000,154500,4730
20180730,154500,157000,153500,156500,1584
20180731,157000,158000,156000,158000,1897
20180801,157500,157500,153500,155500,6860
20180802,155500,158500,153500,157000,4151
20180803,158500,158500,155500,156000,372
20180806,157000,157500,155500,157500,4149
20180807,157500,158000,156000,156500,2807
20180808,156500,158000,156000,158000,895
20180809,156000,157500,155500,157000,1104
20180810,156500,157000,155500,157000,822
20180813,157000,158500,155500,155500,2050
20180814,155000,156500,155000,155500,1149
20180816,155500,158000,152500,157000,6608
20180817,159000,159000,157000,158500,1476
20180820,159000,162500,158000,160000,3107
20180821,160500,163500,160500,163500,882
20180822,164000,164000,160500,161000,1487
20180823,161000,162000,156500,158000,3370
20180824,158500,158500,155500,157000,2191
20180827,157000,159000,157000,157000,2425
20180828,159000,160500,158500,160000,1824
20180829,160000,162000,159000,162000,821
20180830,162000,163000,161500,161500,1497
20180831,161500,166000,160500,166000,1952
20180903,166000,166000,160000,160500,1894
20180904,160500,160500,155500,157500,6851
20180905,158000,158000,155500,156500,1314
20180906,157500,158500,157000,158000,6019
20180907,159500,159500,155000,157500,2162
20180910,159000,184000,157500,177000,13597
20180911,179000,179000,170500,173000,5949
20180912,173000,175000,173000,175000,5829
20180913,173500,178500,173500,175000,6120
20180914,178000,178000,172500,173000,1794
20180917,171000,174500,171000,174500,944
20180918,172500,174500,172000,174000,491
20180919,174000,180000,173000,179500,5132
20180920,179500,179500,176500,178500,1654
20180921,177000,183000,175500,183000,3378
20180927,179500,182500,178500,182000,2041
20180928,179500,181500,179500,180500,270
20181001,181500,181500,177500,179000,1032
20181002,177500,182500,177500,180500,1916
20181004,178500,180500,171000,171000,730
20181005,169000,174000,168000,168500,757
20181008,172000,173000,169000,173000,917
20181010,174000,174000,170000,173000,349
20181011,170500,174500,168000,172500,1878
20181012,167000,180000,164500,180000,3307
20181015,178500,180500,176500,176500,1542
20181016,176500,176500,169500,171500,1192
20181017,171500,174500,169000,172500,4124
20181018,173000,174000,168000,169500,1111
20181019,169500,170000,165500,165500,659
20181022,165000,170000,164500,165000,716
20181023,165500,168000,156000,156000,1850
20181024,160000,161500,156500,158000,3731
20181025,154000,160500,152500,156500,8206
20181026,160500,161000,155500,159000,2793
20181029,156500,160000,151500,158500,2186
20181030,158000,159500,154500,155000,918
20181031,153000,159000,151000,159000,3135
20181101,159000,161000,155500,160000,1887
20181102,160500,162500,155500,159500,1941
20181105,160000,160000,155500,157500,1125
20181106,157500,157500,154500,156000,1161
20181107,157500,157500,151000,154500,3668
20181108,155000,155000,151000,152500,4820
20181109,152500,155000,151000,152500,5410
20181112,156000,156500,148500,150000,2973
20181113,148000,152000,145500,152000,3562
20181114,151500,154000,149000,152000,1387
20181115,152000,153500,151500,152000,2981
20181116,153000,156500,152500,156500,4624
20181119,155500,158000,154500,157000,1408
20181120,157000,159000,151000,153000,3951
20181121,152500,156000,152000,155500,622
20181122,156500,156500,154500,155000,500
20181123,154500,158500,154000,156500,841
20181126,156500,158500,156000,158000,1394
20181127,159000,159500,155000,157000,2152
20181128,159000,171500,157000,171000,5575
20181129,168500,171500,165500,171500,1796
20181130,170500,173500,167000,167000,3947
20181203,166500,173500,166500,172500,1405
20181204,172000,173000,170500,173000,763
20181205,170000,176500,169000,174500,1528
20181206,173000,175500,169000,169000,1493
20181207,169500,177500,169500,174000,2441
20181210,173000,174500,167000,170000,9518
20181211,170000,176000,169000,172500,2252
20181212,172500,173000,169000,172000,4541
20181213,171000,172500,168500,169000,2555
20181214,169000,171000,169000,169000,1411
20181217,170000,170000,167000,168000,428
20181218,167000,167000,162000,163500,1730
20181219,163500,164500,161000,163500,1511
20181220,163500,164000,160000,163000,2030
20181221,161500,164500,159500,162500,3591
20181224,162500,163000,159500,159500,1446
20181226,158500,201000,149500,156000,8755
20181227,159000,159000,153500,156000,1637
20181228,156000,157000,151000,151000,3131
20190102,153000,154500,152500,153000,1539
20190103,153000,158000,152000,156500,3193
20190104,154500,162500,153500,162500,2415
20190107,162000,169500,160500,169500,2608
20190108,169500,169500,164500,164500,964
20190109,165000,168000,162000,163000,1545
20190110,163000,163000,157500,159500,1622
20190111,158500,165500,158500,165500,1822
20190114,165000,165000,157500,160000,2878
20190115,160000,162000,158000,161000,1558
20190116,162000,162500,158000,160500,2743
20190117,162000,162000,159000,159500,1506
20190118,160500,161500,158500,161500,986
20190121,161000,162000,158500,160000,1592
20190122,160500,164000,159000,163500,1529
20190123,162000,166000,159500,164500,1609
20190124,165500,166500,162500,166000,1116
20190125,166000,169000,165500,168000,1891
20190128,165500,169000,165500,166500,2233
20190129,166500,173000,165000,169000,1673
20190130,172500,172500,165000,165000,2353
20190131,166500,174500,164000,174000,3164
20190201,173500,174000,171000,172000,1102
20190207,170500,173000,169500,171000,990
20190208,169000,177000,169000,177000,3385
20190211,177000,177500,170000,170000,1185
20190212,171500,174500,169000,171500,1269
20190213,170000,174000,167500,167500,2437
