날짜,시가,고가,저가,현재가,거래량
20080102,61413,61760,58711,60718,46373
20080103,61374,61606,59058,60370,32720
20080104,59290,62300,59290,61760,91839
20080107,61721,62262,59907,60602,30207
20080108,60911,62493,60370,61760,44818
20080109,60641,61644,59174,60602,37590
20080110,60370,61490,59869,59869,46787
20080111,59946,61490,59444,59521,34818
20080114,59444,60949,57900,58595,45362
20080115,59676,59753,57630,58170,37253
20080116,60563,61644,57900,58749,91994
20080117,59483,60872,58595,58595,62512
20080118,59598,59598,57167,58286,42124
20080121,59290,59290,57282,58440,48886
20080122,58440,58440,54851,55970,81321
20080123,57475,58942,56009,58942,53419
20080124,59791,59830,57051,58479,60777
20080125,57591,58788,57321,58788,45803
20080128,57861,57861,55777,57861,53471
20080129,57128,57553,55700,56124,153989
20080130,55970,56472,55005,55198,95259
20080131,56086,57591,55198,57591,88264
20080201,56588,56974,55931,56974,64274
20080204,56433,57977,56433,57514,72642
20080205,57437,58132,56356,56356,22357
20080211,56086,56317,54310,55121,38419
20080212,54696,55237,53886,54812,23860
20080213,55545,55545,54079,54272,31709
20080214,54117,56240,54117,56009,41658
20080215,56047,56047,54426,55198,30854
20080218,55275,55970,54619,55237,24818
20080219,55931,55970,55237,55623,34378
20080220,55275,55623,54272,55623,43316
20080221,55005,55661,54773,55005,24585
20080222,55198,55198,54040,54040,26528
20080225,54272,54889,54233,54542,28911
20080226,54426,54619,53886,54040,55725
20080227,54079,54465,53847,54001,38031
20080228,54079,54465,53345,54040,42202
20080229,53500,53500,52573,53191,58575
20080303,52650,52650,50180,50180,76243
20080304,50759,50759,47980,49640,97150
20080305,49408,49408,47517,47632,64404
20080306,47632,48134,47246,47285,89404
20080307,47285,47632,46552,47285,63834
20080310,46629,48559,46629,48250,40932
20080311,48520,48559,47169,47825,46476
20080312,48829,49099,47941,48289,44093
20080313,48289,49061,46745,46745,62487
20080314,47169,48636,39758,48636,205129
20080317,48636,48829,46474,48057,64119
20080318,48752,48752,46590,47941,57875
20080319,48289,48443,46243,46899,59740
20080320,46706,46899,42460,44043,162953
20080321,44236,44737,43039,43888,35233
20080324,43850,43888,43039,43425,38626
20080325,43541,45780,43425,45587,61968
20080326,45471,45471,43425,43927,70673
20080327,43927,46320,43927,45355,52020
20080328,44622,47439,44004,47439,72383
20080331,47478,49022,45625,49022,84352
20080401,47517,48482,47324,47864,43886
20080402,49022,49022,46320,46667,103290
20080403,47285,47285,45548,46320,76450
20080404,46320,46436,45548,45625,73471
20080407,45934,46938,45741,46474,70751
20080408,47053,47401,46281,46629,42668
20080410,47092,48829,45973,48829,111917
20080411,48559,48559,46706,47632,65595
20080414,47169,47169,46050,46166,43886
20080415,46590,46590,45394,45857,51917
20080416,45857,46976,45857,46166,65051
20080417,46204,46629,46204,46552,43082
20080418,46281,46976,46281,46629,33186
20080421,46629,47015,45702,45780,78238
20080422,45780,46629,45780,46320,51295
20080423,46281,46976,45895,46667,56813
20080424,46320,46320,45664,46011,61062
20080425,46204,47092,45895,46899,68860
20080428,46436,46899,46166,46552,49559
20080429,46320,46822,46050,46127,62461
20080430,46281,46474,46050,46088,74585
20080502,45973,46436,45973,46281,79507
20080506,46166,48250,46127,48250,54481
20080507,47555,48250,47208,48173,53290
20080508,47980,48597,47401,47864,47202
20080509,47941,47941,46397,46397,45103
20080513,46320,47285,45934,46513,38730
20080514,46513,46976,45934,46320,35984
20080515,45973,47478,45973,47285,51010
20080516,46706,47632,46513,47632,66917
20080519,47825,48134,46783,47787,62253
20080520,47092,47594,46050,47053,70207
20080521,46976,46976,46088,46088,55880
20080522,46050,46320,45509,45934,46139
20080523,45780,46011,45008,46011,28911
20080526,45934,46127,45046,45432,43108
20080527,44892,45509,44892,45394,19145
20080528,45355,45355,44236,44506,83160
20080529,44429,45316,44429,44737,77953
20080530,44930,45201,44506,44776,53808
20080602,44583,44776,43888,44236,54766
20080603,44313,44313,43579,43734,74145
20080604,43927,45123,43657,45008,43031
20080605,44429,45239,43927,44776,100518
20080609,44506,45123,43965,44776,81269
20080610,44815,45394,44776,45123,68497
20080611,44815,45741,44815,45741,79870
20080612,45664,45702,44429,44969,101709
20080613,44583,45895,44506,45702,103497
20080616,45085,46629,44853,46320,72823
20080617,46590,46629,45780,46552,72720
20080618,46474,46667,46243,46359,64585
20080619,46320,46320,45239,45934,28937
20080620,45895,46552,45895,46359,62720
20080623,46320,48289,46320,48211,75388
20080624,47362,49176,47246,49099,202901
20080625,49176,49176,48559,49138,65077
20080626,48559,49176,48327,48868,45518
20080627,48790,48829,48404,48752,49766
20080630,49022,49138,47864,48983,62253
20080701,49061,49138,48289,48675,41968
20080702,48597,48636,46590,47748,47150
20080703,47903,47903,46436,47092,86683
20080704,46552,47246,46050,46783,52305
20080707,46745,47285,46011,46667,111036
20080708,46667,46667,45432,45934,106450
20080709,46474,46552,45471,46243,45932
20080710,46204,46552,45548,46320,143264
20080711,46204,46243,45471,45625,42772
20080714,46204,46706,45162,45316,31787
20080715,45780,46204,44776,45548,43601
20080716,45548,46629,45085,46011,112797
20080717,46088,46088,45201,45548,56398
20080718,45548,45587,44776,45008,31476
20080721,45664,46320,44815,46127,85544
20080722,46127,46320,44892,44930,34015
20080723,45471,45509,45008,45201,45751
20080724,45201,45587,45046,45162,53756
20080725,45394,46281,44776,45046,43419
20080728,45432,46436,45046,46320,88601
20080729,46243,46243,44429,45239,32564
20080730,45278,46204,44930,46204,37901
20080731,46204,46783,45548,45741,44766
20080801,45895,46127,45085,46127,25984
20080804,45934,46243,44969,45818,56347
20080805,46166,47015,46127,46397,81709
20080806,46397,49331,46397,49331,74507
20080807,49717,49717,47285,47324,41606
20080808,47246,47246,46166,46320,34455
20080811,46166,47555,46166,46397,24559
20080812,46243,48906,46166,47710,42461
20080813,48597,48597,46783,48366,33212
20080814,47517,50952,47517,50566,72979
20080818,50566,50566,47864,47980,43445
20080819,48597,48597,47903,48134,40854
20080820,48636,49678,47941,47941,37020
20080821,48173,48173,46976,47478,58005
20080822,47980,48713,47092,48713,120051
20080825,49292,49910,48096,49331,35284
20080826,49292,50103,48713,49408,37227
20080827,49794,49794,48983,49794,49689
20080828,50180,50720,49215,49871,58005
20080829,50141,50875,49871,50566,54378
20080901,50566,50759,49408,49408,70466
20080902,50566,50952,48636,49215,83005
20080903,50257,50334,47864,48366,53082
20080904,47941,49022,47478,48250,29430
20080905,48250,48906,47285,48134,40518
20080908,48250,48250,47478,48173,49248
20080909,48173,48173,46822,48018,50880
20080910,47941,49717,47169,49331,71528
20080911,48327,48675,47555,47671,161813
20080912,48404,49176,47787,48327,80284
20080916,47092,48482,45934,47169,114922
20080917,47208,47208,45973,45973,107253
20080918,44622,44853,43116,43116,129533
20080919,43965,44776,43618,44197,105492
20080922,44236,44660,43039,43039,107772
20080923,43232,44506,42460,44390,103860
20080924,44390,44429,43888,44197,77253
20080925,44081,45085,43039,45046,184404
20080926,44120,44120,43232,43232,114041
20080929,43232,43502,40453,40530,182875
20080930,39372,40530,38639,39835,167331
20081001,39758,41997,39411,41688,109404
20081002,42460,43193,42190,43193,103186
20081006,42962,43155,39411,39642,115595
20081007,39642,40839,39642,40569,145207
20081008,39372,41302,39372,41225,80829
20081009,41225,42885,41225,42885,104041
20081010,42267,43541,37674,43232,100440
20081013,43232,44583,43039,43811,100518
20081014,44004,44737,43888,44506,74145
20081015,43309,44274,43271,43850,63704
20081016,41920,41997,40684,41920,78549
20081017,41418,44120,39411,43811,107901
20081020,44351,44737,43811,44197,54740
20081021,44544,44699,43811,43811,68834
20081022,44506,44583,42499,43811,117616
20081023,37828,43579,37828,43425,131580
20081024,44197,44197,41148,41920,194300
20081027,41920,41920,38754,40067,84740
20081028,38832,40105,37867,38214,82720
20081029,39449,39565,34933,36091,142979
20081030,37056,39681,36284,38600,77046
20081031,37905,42035,37519,42035,133963
20081103,40800,44197,40028,41302,147746
20081104,41302,42460,40530,40800,74740
20081105,41727,43309,40877,42807,133911
20081106,41881,44004,41109,41997,63316
20081107,42035,43000,40105,42460,89378
20081110,43618,44197,41341,42460,66580
20081111,42460,42885,41379,42846,133911
20081112,43579,43888,42460,42460,86269
20081113,41920,42383,40993,42113,116554
20081114,42460,43232,41341,43232,89974
20081117,42653,44197,41379,42074,77072
20081118,42190,42653,41341,41881,80906
20081119,42344,43193,40955,43193,79378
20081120,42460,43386,41804,42306,54300
20081121,43193,43193,41649,42306,79766
20081124,41958,43193,41032,42460,68031
20081125,42074,43348,41495,42846,89792
20081126,42460,43734,42267,42923,111269
20081127,43772,45934,43232,44544,42875
20081128,44544,47285,44544,47285,63160
20081201,46166,49408,45123,45355,47875
20081202,45355,45355,44120,44120,41036
20081203,43888,45857,42267,44004,97409
20081204,43425,44544,42807,44004,36865
20081205,44737,49292,44699,48636,74818
20081208,47478,52303,46243,52226,67953
20081209,51415,52457,48675,48752,78031
20081210,49601,52033,49254,51222,93212
20081211,49987,52843,49601,51917,128704
20081212,51917,52110,48636,51492,74974
20081215,52496,56665,52496,54272,150233
20081216,53422,54040,51415,51917,58575
20081217,51608,52882,50026,51878,64222
20081218,52187,55198,52033,53886,87616
20081219,55738,55738,52149,52650,58264
20081222,52843,53268,51184,51299,49170
20081223,51299,51685,50180,50875,30284
20081224,51531,52110,50219,52071,59170
20081226,51338,52573,49948,50141,56088
20081229,48675,50103,47748,49987,42512
20081230,49099,52110,49099,50373,44274
20090102,49794,50720,48983,50064,37875
20090105,50798,50875,48945,48945,64067
20090106,49871,51106,49408,49640,55466
20090107,49678,51647,48945,51647,64999
20090108,51878,52033,50141,50141,64352
20090109,50527,51299,49061,49408,46088
20090112,50064,50141,48636,50141,50336
20090113,50141,50141,48868,49254,46865
20090114,49485,49601,47941,48675,46761
20090115,48096,48173,45780,46629,74948
20090116,46050,46899,45934,46204,45440
20090119,45973,46783,45316,45316,53264
20090120,44583,45316,43386,43464,75025
20090121,43078,44197,41727,43116,52124
20090122,43232,44158,42576,44158,49611
20090123,44158,44544,42846,43772,64067
20090128,43850,45548,43850,45548,77046
20090129,44969,47092,44853,46706,58419
20090130,46590,47092,45625,46899,37202
20090202,45664,46899,45085,45394,47202
20090203,44969,45394,44004,44004,68678
20090204,44274,45085,44158,44969,55569
20090205,44506,46127,44429,44892,38704
20090206,44930,46281,44892,45355,51062
20090209,45239,45741,45046,45471,37098
20090210,45432,46088,44815,45355,48886
20090211,45278,45278,43618,43618,76062
20090212,43502,43618,42267,43039,166165
20090213,42499,43502,42228,42885,63393
20090216,42885,43386,42460,43386,44637
20090217,42846,43039,42074,42769,56839
20090218,42306,42421,41534,41534,74663
20090219,41302,41302,39951,39951,70932
20090220,40028,40144,38754,39140,42875
20090223,38677,40067,38600,39526,50025
20090224,39140,39256,38639,38793,61994
20090225,40028,40028,38523,38793,56580
20090226,39102,40530,38677,38677,68005
20090227,39333,39372,38407,38407,61269
20090302,37867,37867,36014,36091,84015
20090303,35898,36786,35473,36130,50284
20090304,36168,36786,35551,36400,95569
20090305,36631,37017,36091,36284,91554
20090306,36670,36786,35859,36438,69792
20090309,37095,37095,36168,36400,61580
20090310,35937,36863,35937,36670,53549
20090311,36902,38021,36902,37789,106606
20090312,37982,38600,37365,38600,135595
20090313,38253,39333,38021,38561,63678
20090316,38253,39256,38175,38330,36554
20090317,38716,40067,38446,40028,56632
20090318,40916,41148,40067,41148,39145
20090319,41148,41881,40800,41881,47901
20090320,41804,42460,41727,41920,39844
20090323,41920,42769,41920,42267,37564
20090324,42421,42421,39874,39874,143471
20090325,39951,40453,39604,39835,60440
20090326,39912,40646,39449,40607,61036
20090327,40414,41263,40183,40376,53523
20090330,40877,41109,39642,39642,34559
20090331,39990,40183,39333,39758,56735
