날짜,시가,고가,저가,현재가,거래량
20080102,104600,109600,104400,108300,269830
20080103,107500,117900,106100,117000,527800
20080104,117000,122900,114400,122400,96000
20080107,117000,125400,116900,123500,89000
20080108,121100,124500,119600,121500,50450
20080109,117800,121800,116200,121500,94290
20080110,121200,121200,116300,116300,23530
20080111,116400,118200,114000,116000,47320
20080114,115900,117000,112500,114900,27710
20080115,115600,115600,112200,114900,19800
20080116,115000,115000,110800,112500,27320
20080117,114900,114900,111200,112400,22030
20080118,112400,113800,107000,113500,16740
20080121,113000,113000,109800,112000,24420
20080122,110000,110000,105200,110000,31600
20080123,111700,111700,107500,110600,29320
20080124,110700,112000,109500,111000,21830
20080125,111000,111900,109300,110500,18690
20080128,109500,110400,106200,109000,18120
20080129,109000,110400,106400,109300,20070
20080130,109400,110000,106900,108300,19490
20080131,108700,111500,107300,109200,38710
20080201,109700,110000,107800,109000,14270
20080204,107800,111500,107800,110500,20040
20080205,111500,111700,110000,110500,21900
20080211,110400,110500,107100,107500,9960
20080212,107500,110900,104600,110000,22580
20080213,112600,112600,108500,108500,6130
20080214,108600,110000,108300,109900,18170
20080215,109500,109500,105100,106000,45860
20080218,106400,107400,103500,103500,27440
20080219,102600,105900,102600,105000,15210
20080220,105000,105000,103100,103500,13490
20080221,103700,106400,103700,105200,18380
20080222,105000,105400,102500,102600,13920
20080225,102600,105800,102600,103800,15030
20080226,103600,104900,103500,103500,16230
20080227,103500,105000,103400,103900,14470
20080228,104300,104300,102700,103500,20050
20080229,102600,103400,100900,101500,19620
20080303,101900,102400,99900,101500,20560
20080304,102700,102700,100000,100300,14070
20080305,100000,101900,100000,100300,12730
20080306,100300,101000,100200,100200,14710
20080307,100000,100000,99000,99100,16800
20080310,99100,99900,98000,98400,35580
20080311,98000,98500,96800,97500,16940
20080312,98100,100100,98100,99700,41470
20080313,100000,101100,98100,98500,43680
20080314,99200,99900,83800,99000,88470
20080317,98500,98500,93700,98000,44930
20080318,98000,98000,93200,93200,27460
20080319,94200,94600,89000,89300,78450
20080320,87800,89400,87800,88000,59480
20080321,88300,89100,87100,87700,32110
20080324,87700,92000,87500,89600,31150
20080325,91400,91400,89100,90000,29890
20080326,90300,90700,89000,89000,18030
20080327,89000,90300,88000,88200,31170
20080328,88000,89300,87700,88900,49170
20080331,89400,93000,88900,93000,39480
20080401,92300,92300,90000,90800,37830
20080402,91800,93000,89900,91000,32500
20080403,91600,91600,89900,90300,50570
20080404,90900,91600,90300,91500,75140
20080407,92800,96500,92700,96300,57030
20080408,97100,97200,94600,96200,44080
20080410,96600,102000,95900,102000,68120
20080411,102000,105400,101200,105000,41140
20080414,103500,109500,101500,108600,51920
20080415,106500,109000,104300,108500,34570
20080416,109300,109300,106200,106900,34580
20080417,107500,108200,105100,106300,24540
20080418,106300,107900,102600,102900,25040
20080421,103100,104700,102800,103000,25780
20080422,103100,113000,103000,107800,49800
20080423,106200,112000,106200,110400,38090
20080424,109600,112000,108300,110400,26740
20080425,109900,112300,108500,112000,24300
20080428,110500,114000,110500,114000,18990
20080429,114000,116900,112900,115000,26140
20080430,114200,117000,114200,114900,19080
20080502,115200,116000,113200,115300,25260
20080506,115500,118000,115300,116600,28870
20080507,115500,117300,113600,114300,39270
20080508,114700,115000,111100,111900,39750
20080509,111500,112600,109600,110000,23180
20080513,109700,114000,107500,114000,24630
20080514,111600,113000,109600,110000,26010
20080515,108600,111700,108600,109700,26190
20080516,110000,110900,109500,110900,28200
20080519,109100,111500,109100,111000,25470
20080520,109900,110000,109000,109000,11160
20080521,109000,109900,107500,107500,37150
20080522,107500,107500,105100,106900,18240
20080523,107800,107800,104000,104000,17420
20080526,104000,104900,102200,102400,22810
20080527,102400,102800,99900,102300,42090
20080528,102300,102300,99600,99600,27240
20080529,99700,109600,99700,107000,47470
20080530,105200,105700,102200,104000,84370
20080602,103300,105600,102100,105300,29240
20080603,105300,105600,102800,105000,8740
20080604,105000,109200,104100,108700,21830
20080605,106600,110000,106200,109000,27470
20080609,107400,107700,105400,105500,11930
20080610,105500,108000,105000,105000,16350
20080611,104700,107700,104100,104100,18990
20080612,104200,105200,102000,102000,32090
20080613,103000,105700,102500,105700,43640
20080616,104300,107400,101200,102000,51850
20080617,102000,102000,99000,100900,75330
20080618,100000,101800,100000,100900,21490
20080619,100900,100900,99300,99300,27810
20080620,99400,101000,99300,99400,19810
20080623,98500,101600,97600,100600,24210
20080624,100000,100000,98600,99800,27440
20080625,99700,101200,99400,99600,22010
20080626,99100,100000,98900,98900,22530
20080627,98000,101000,97800,100500,33720
20080630,100000,101100,99700,101100,37290
20080701,101100,102000,99300,99300,20110
20080702,99600,100800,98000,99000,30150
20080703,99700,99700,97800,98500,30870
20080704,98100,98900,97100,97500,18720
20080707,96700,98000,96200,97500,16980
20080708,96600,97500,92700,97500,30520
20080709,97500,97700,95500,95700,15360
20080710,96000,96000,94100,95000,35400
20080711,95000,95000,92600,93600,24850
20080714,94200,94800,91600,92500,16450
20080715,93400,93400,92000,92000,21050
20080716,91900,93000,91500,92600,19900
20080717,93100,93300,91100,91100,21720
20080718,91300,91700,90000,90400,20970
20080721,92400,96200,91900,96000,32920
20080722,95900,97100,94900,95100,6720
20080723,95500,97400,94800,95500,20630
20080724,95600,97900,95600,97000,12710
20080725,96600,96600,94200,95100,16590
20080728,95100,95600,92900,93200,25990
20080729,91300,92500,90400,91400,14870
20080730,92000,93700,91700,93100,18790
20080731,92600,95200,92600,95200,20080
20080801,93900,94800,93000,93100,20620
20080804,95000,95000,92100,93200,20800
20080805,94800,97800,93200,97000,45180
20080806,96100,97900,96100,97400,16990
20080807,97000,97800,95500,97800,23970
20080808,96200,98000,96100,97500,9120
20080811,96900,98000,96000,96400,7270
20080812,95600,96500,93500,94000,18190
20080813,94500,94900,92600,94100,18100
20080814,92300,97500,92300,96100,20050
20080818,96900,97000,94700,97000,13040
20080819,95900,95900,93100,94300,17150
20080820,93100,97100,93100,97000,15130
20080821,94700,96900,94400,96600,11180
20080822,95000,97000,93700,97000,19440
20080825,95300,97000,94900,95600,13070
