날짜,시가,고가,저가,현재가,거래량
20080102,103000,104500,99100,99500,98526
20080103,98000,98800,95300,98800,150979
20080104,100000,102500,97200,99700,114490
20080107,98000,98400,96200,97300,77257
20080108,97900,102500,95800,98000,71631
20080109,96600,112500,96500,109000,330894
20080110,112500,113500,109000,109000,165473
20080111,112000,113000,101000,106000,159615
20080114,102000,107500,102000,105000,102881
20080115,105000,106500,99500,102000,163112
20080116,101000,103000,89600,91000,412384
20080117,92100,94300,86600,88500,232905
20080118,87000,92300,86200,91200,114375
20080121,91000,91000,87100,87700,136681
20080122,83900,84900,74600,77000,381907
20080123,80800,81200,77500,81000,159475
20080124,81600,89300,81200,86700,189224
20080125,88200,89000,84700,87200,127018
20080128,86400,86400,77600,79400,171008
20080129,81800,82600,78200,78800,101424
20080130,80200,84400,80200,80300,240447
20080131,81500,90400,81500,87500,360572
20080201,89200,94300,88000,91800,223077
20080204,94000,94800,91800,93300,110281
20080205,94000,99800,94000,94400,143771
20080211,91200,96000,90000,95700,106653
20080212,97100,102000,96200,98000,180325
20080213,99000,100500,94500,95000,130323
20080214,96600,98300,95400,96500,107357
20080215,94200,97500,92900,96000,109767
20080218,97600,99800,96000,96600,75400
20080219,98000,99500,97400,99500,101501
20080220,98200,99400,94900,95100,134179
20080221,98300,98300,94900,96000,76279
20080222,97100,98700,95000,97700,144687
20080225,98700,103500,98600,100500,168165
20080226,103500,103500,99100,100000,119999
20080227,100000,101000,95800,96800,192231
20080228,97000,97400,95400,96900,129426
20080229,95000,95500,92500,93400,242866
20080303,89500,90400,88500,88800,171200
20080304,88900,90300,86100,90100,142499
20080305,90000,91000,87200,87400,77076
20080306,87700,89000,87000,87200,145554
20080307,86000,86800,84600,85300,114706
20080310,82900,84100,80000,80800,135452
20080311,79700,81800,78700,80100,165850
20080312,82200,82900,80100,80900,164262
20080313,81300,83900,79300,80900,145836
20080314,82400,82400,77700,79000,126113
20080317,77200,79000,76600,79000,82362
20080318,80000,82900,79800,81100,96554
20080319,83100,83300,81200,81200,78972
20080320,80900,81700,79700,81000,96934
20080321,82500,82500,79600,80000,124229
20080324,80700,81700,80200,80700,96048
20080325,81900,84200,81400,83600,177037
20080326,84400,84800,81500,82500,149301
20080327,82400,82500,80100,81200,113939
20080328,80500,81200,79700,80500,184670
20080331,81000,81800,80400,80700,123839
20080401,80800,82300,78300,78800,263053
20080402,80400,81200,79300,80000,209384
20080403,80500,85300,79800,84400,372424
20080404,84400,85100,83300,84400,196297
20080407,85400,87700,85100,85500,215076
20080408,86200,87100,85300,86800,147674
20080410,86000,86500,84400,86500,139847
20080411,86000,86300,84200,85200,116914
20080414,83900,83900,82000,82400,97138
20080415,81900,82800,80700,81300,88310
20080416,81800,84600,81800,84500,166136
20080417,85800,87000,84500,85200,182604
20080418,86100,90200,86100,89900,399068
20080421,91100,92600,89400,90600,206531
20080422,91000,92000,89500,90400,164991
20080423,89700,92000,89700,91500,146627
20080424,91600,91900,89400,90000,124084
20080425,90500,90700,88400,89000,125289
20080428,89200,91200,88700,89500,107954
20080429,90200,90200,87400,87700,98038
20080430,88000,89500,88000,89100,107165
20080502,90300,90400,88700,88800,99119
20080506,88300,88500,85100,86700,150993
20080507,86700,88900,86700,88900,111566
20080508,88300,92300,88200,91200,197929
20080509,91500,91900,90000,90700,173144
20080513,91700,95500,91000,93600,232470
20080514,93600,96300,92800,95800,224621
20080515,95900,97200,94800,95900,224822
20080516,95000,95000,90600,94100,235511
20080519,94500,97300,94200,97000,154829
20080520,98000,98000,94200,94900,91586
20080521,94200,94200,92500,93200,69942
20080522,92000,92400,89600,91300,117052
20080523,90500,91300,87500,89200,173390
20080526,87500,88900,86600,87300,67365
20080527,86500,88000,85700,86400,96674
20080528,87200,88500,83600,84000,305923
20080529,84800,88300,84700,86800,238690
20080530,88000,88400,86400,88200,109969
20080602,88200,89500,86300,88400,90011
20080603,88300,88300,86400,87000,56326
20080604,87000,90100,86300,89500,122079
20080605,90000,90800,87700,87900,126141
20080609,85000,85600,84100,85300,131267
20080610,85700,85700,81800,82000,127911
20080611,83300,88500,83300,88100,400486
20080612,85500,86300,82000,82000,289406
20080613,83100,84500,81000,84500,157934
20080616,84000,84500,82300,82900,74029
20080617,83400,83700,81200,82100,75889
20080618,81900,84500,81700,82500,123108
20080619,81800,82000,81000,81900,83132
20080620,82500,83000,81300,82000,54447
20080623,81200,81500,79400,80500,106334
20080624,80600,80700,79000,79300,76483
20080625,79300,79300,75500,77800,249668
20080626,78200,78800,77400,77600,107821
20080627,75200,76100,74800,75500,99780
20080630,76800,77200,73800,74600,184587
20080701,74700,75000,71700,72600,180154
20080702,72600,72600,66900,68900,261925
20080703,66900,69300,66200,68000,228181
20080704,67900,70800,67700,69800,190296
20080707,69800,71500,69800,71000,123658
20080708,71000,71200,64000,68000,266918
20080709,69600,74500,69500,70400,332640
20080710,70300,74400,70100,73900,161111
20080711,73600,77800,72000,75300,193932
20080714,75300,75300,73000,73800,87015
20080715,73700,73700,68500,69700,138819
20080716,71500,72500,68600,69900,81431
20080717,72700,73400,71300,72400,72998
20080718,73300,73500,70700,70800,60037
20080721,72500,74200,71300,73600,118733
20080722,73000,74600,72500,74400,68009
20080723,75700,76800,74000,74300,123972
20080724,75000,78100,74100,77100,158429
20080725,75700,76400,75100,76200,66618
20080728,77000,77200,75500,77000,99470
20080729,75500,75800,73800,75500,77307
20080730,76500,76700,75400,75400,57134
20080731,75500,76800,75400,75800,63067
20080801,75400,75400,72500,73000,135722
20080804,73000,73400,70600,72800,66653
20080805,72800,75000,72800,72800,88476
20080806,74400,77100,74200,76000,103913
20080807,76800,77600,76100,77000,106622
20080808,75900,76500,75100,76400,68833
20080811,77700,77800,75900,76300,73438
20080812,76000,76200,73800,74500,76845
20080813,74500,75300,72100,73000,96947
20080814,71900,72800,71900,72400,69081
20080818,72400,72900,69600,70900,132235
20080819,70000,70900,69000,70700,61704
20080820,71000,71000,69100,69300,93781
20080821,69700,69800,67100,68000,91776
20080822,68000,68000,65200,66300,111272
20080825,66600,68000,66200,66300,59541
20080826,64300,67800,64300,67100,91995
20080827,66600,67700,64600,67100,114822
20080828,67400,67900,65600,66000,65419
20080829,66400,67200,65000,65000,84301
20080901,64000,64300,61100,61200,105746
20080902,60500,62900,60000,60000,102793
20080903,59900,63100,59600,61700,100288
20080904,61900,65200,61600,63300,83282
20080905,61800,68800,61800,64500,233082
20080908,66400,70500,65400,69100,200566
20080909,69100,69300,66400,68100,140923
20080910,66600,68500,66600,68300,185733
20080911,68300,68700,66200,67800,133153
20080912,68200,70800,68200,70800,240385
20080916,65000,66900,64500,65900,143838
20080917,66500,71000,66500,68400,166912
20080918,67100,69400,66500,67800,94029
20080919,70500,72700,69500,72300,171920
20080922,72500,73300,70600,71900,146117
20080923,70700,73500,70600,72700,108825
20080924,72000,72700,71200,72400,132015
20080925,72000,72700,70700,72700,106998
20080926,72500,72600,70800,71700,92365
20080929,72500,72500,68100,69000,117206
20080930,64700,67600,64700,67500,186462
20081001,67600,68900,66800,68500,173596
20081002,68700,69700,66000,67000,105728
20081006,66000,66000,63400,64500,121547
20081007,63900,64000,62300,63200,102780
20081008,61600,61700,57900,57900,186967
20081009,57000,60200,56600,58400,126268
20081010,55000,57000,51300,57000,191630
20081013,58000,62000,57500,60500,124855
20081014,63600,65000,62700,64000,190426
20081015,62200,63400,59900,61500,142918
20081016,58000,58700,54900,55000,151992
20081017,57100,57200,53500,56200,123769
20081020,57300,58000,53500,56000,103503
20081021,56500,57300,53000,53500,166758
20081022,52500,53200,46600,48200,187683
20081023,43950,49000,41000,49000,308840
20081024,47000,48900,41650,41650,162816
20081027,38800,43200,37350,37350,171972
20081028,36000,42950,36000,42950,176232
20081029,46000,48150,42100,43500,224138
20081030,46800,50000,45150,50000,189845
20081031,50900,54200,48000,52000,241798
20081103,52500,53500,49450,51100,183951
20081104,51200,52300,48600,49050,150384
20081105,51000,54300,50400,52100,282784
20081106,48400,50700,44300,45300,195818
20081107,43200,48500,41250,48500,203543
20081110,48000,52400,47000,52000,208863
20081111,50500,51400,48950,51000,141474
20081112,48500,50900,48500,49600,83668
20081113,47450,47900,45150,46900,100615
20081114,49000,49000,45250,45900,137485
20081117,45700,45900,43500,44900,110753
20081118,44000,44300,42200,42200,119764
20081119,42000,42100,38250,38850,213844
20081120,36300,36850,33500,33850,227538
20081121,32500,38450,32200,37350,172858
20081124,36900,38000,35500,35600,131737
20081125,37900,38900,37200,38500,219650
20081126,38600,42450,38500,41000,175741
20081127,42000,44700,41050,44700,148945
20081128,44100,46550,42500,44250,123106
20081201,44250,45450,42500,44500,79394
20081202,41400,42500,41300,41300,80540
20081203,42150,43500,40900,43200,155533
20081204,43650,44000,40550,41200,192092
20081205,41200,42450,39900,41100,81599
20081208,41500,45500,41300,45500,171727
20081209,45200,47250,43650,46850,169447
