날짜,시가,고가,저가,현재가,거래량
20141006,42700,43000,37800,39500,2794740
20141007,39800,41600,38300,39600,822995
20141008,39600,41400,38800,40300,670310
20141010,40300,40600,38100,40400,595480
20141013,40000,40400,38100,39200,595165
20141014,39000,39300,37100,38000,645605
20141015,38000,39000,36300,37300,607525
20141016,36600,37800,35400,37800,869950
20141017,37700,38300,37100,37500,275215
20141020,38300,38700,37700,38200,352505
20141021,37800,38200,37100,37300,366140
20141022,38000,38300,35900,36100,698615
20141023,35800,36800,34600,35800,625025
20141024,36100,36500,34200,36400,580105
20141027,36900,39100,36600,38000,669120
20141028,38000,40000,38000,39600,632920
20141029,40500,40600,39100,39300,349780
20141030,39600,41000,38800,40700,499170
20141031,40900,41200,39900,40300,310840
20141103,40000,40000,38000,38700,505560
20141104,38300,38700,36200,38100,637475
20141105,38200,38900,38100,38900,290275
20141106,38900,39100,36800,38400,8665635
20141107,37500,38500,37300,37800,418645
20141110,38100,39300,37300,37500,520360
20141111,37500,39000,37500,38500,553810
20141112,38900,39500,38100,38800,245865
20141113,38700,39300,38500,38700,163425
20141114,38400,38700,38000,38400,159175
20141117,38600,38700,37300,37900,301890
20141118,37900,38000,37200,37500,231840
20141119,37500,37700,37000,37700,170685
20141120,37600,37800,37300,37700,158125
20141121,37700,38000,36400,36900,378455
20141124,36600,37000,36100,36600,314980
20141125,36700,37100,36200,36500,320655
20141126,36600,37600,36100,37000,330675
20141127,37000,38500,37000,38100,409450
20141128,38100,38400,37400,38000,140335
20141201,38400,38400,36600,37000,238390
20141202,36600,37900,36600,37800,125635
20141203,38700,38700,37900,38300,256420
20141204,38600,39400,37700,39400,487045
20141205,39500,39500,38600,39100,216340
20141208,39300,39300,38100,38900,302240
20141209,38600,38700,37900,38700,369175
20141210,38600,38600,37500,38200,308745
20141211,37600,38200,37100,38200,319310
20141212,38000,38100,36700,37600,502815
20141215,37300,37900,36800,37900,458440
20141216,37900,38200,37400,37700,210300
20141217,37700,38100,37400,37400,152550
20141218,37400,37800,36600,37400,187960
20141219,38000,38100,37100,37200,226240
20141222,37200,37300,36700,37000,190545
20141223,37200,37200,36400,36600,202030
20141224,36500,36800,36400,36700,145120
20141226,36800,37600,36700,37600,188650
20141229,37300,37800,36300,36600,223205
20141230,36600,36700,35800,36700,230635
20150102,36300,36500,36000,36500,135605
20150105,36100,36400,35800,36400,161815
20150106,36000,36200,35500,35800,163830
