날짜,시가,고가,저가,현재가,거래량
20080102,4041,4041,3982,4012,639330
20080103,4023,4023,3889,3947,42779
20080104,3941,4000,3924,3971,651406
20080107,3965,4082,3965,4082,853265
20080108,4082,4088,3982,4088,621703
20080109,4082,4082,4035,4070,545430
20080110,3988,4053,3988,4041,1038928
20080111,4035,4041,3976,3988,1965604
20080114,3982,3982,3900,3924,751841
20080115,4000,4000,3918,3953,551950
20080116,3795,4000,3795,3865,524339
20080117,3894,3959,3877,3930,2027454
20080118,3930,4099,3924,3988,4106568
20080121,3988,4006,3918,3982,427462
20080122,3982,3982,3871,3889,82030
20080123,3982,3982,3789,3865,354030
20080124,3812,3812,3660,3719,701719
20080125,3660,3801,3660,3748,734494
20080128,3865,3865,3730,3748,269247
20080129,3812,3812,3713,3777,321763
20080130,3777,3795,3713,3795,519564
20080131,3789,4041,3783,4041,530588
20080201,3959,3959,3853,3883,319688
20080204,3894,3930,3853,3918,322198
20080205,3930,3982,3900,3982,1042018
20080211,3982,3988,3883,3976,420417
20080212,3912,3918,3865,3918,101992
20080213,3859,3894,3836,3894,80647
20080214,3853,3889,3853,3889,41237
20080215,3889,3953,3859,3953,1149799
20080218,3953,3982,3894,3971,80220
20080219,3971,3971,3930,3971,79215
20080220,3971,3994,3965,3982,615078
20080221,3982,3988,3947,3988,80801
20080222,3924,3988,3924,3988,36302
20080225,4006,4012,3935,4000,93215
20080226,4000,4000,3935,3994,2067405
20080227,3935,4017,3935,3976,66816
20080228,3976,4053,3953,4029,550515
20080229,4012,4017,4006,4012,443896
20080303,4006,4070,3982,4012,788258
20080304,4006,4006,3959,3982,1064047
20080305,4029,4029,3953,4000,1210981
20080306,3959,4000,3912,3924,305054
20080307,3924,3947,3877,3894,186412
20080310,3883,3894,3836,3894,53122
20080311,3865,3924,3848,3924,53890
20080312,3865,3906,3836,3906,218413
20080313,3842,3894,3842,3894,65604
20080314,3865,3894,3848,3865,74432
20080317,3842,3889,3695,3695,13371927
20080318,3742,3742,3666,3689,539211
20080319,3689,3719,3637,3684,582669
20080320,3660,3742,3520,3742,687359
20080321,3689,3783,3684,3742,272679
20080324,3713,3742,3637,3742,179824
20080325,3701,3807,3607,3766,429757
20080326,3695,3766,3689,3742,486089
20080327,3730,3742,3719,3742,180319
20080328,3748,3859,3748,3859,469907
20080331,3836,3935,3725,3918,2137101
20080401,3865,3865,3748,3748,293443
20080402,3719,3807,3701,3748,278273
20080403,3719,3771,3719,3725,903378
20080404,3760,3760,3730,3748,213956
20080407,3748,3771,3701,3742,118009
20080408,3748,3760,3695,3730,142683
20080410,3742,3742,3678,3730,318216
20080411,3713,3713,3631,3654,448738
20080414,3684,3684,3631,3654,890778
20080415,3654,3654,3643,3648,1001739
20080416,3643,3654,3643,3654,1947313
20080417,3684,3684,3654,3678,168023
20080418,3678,3684,3660,3678,392771
20080421,3678,3684,3660,3678,284171
20080422,3678,3689,3631,3631,407371
20080423,3678,3678,3631,3643,248174
20080424,3643,3672,3643,3660,78632
20080425,3660,3678,3660,3672,142837
20080428,3678,3701,3666,3689,171643
20080429,3689,3754,3672,3748,545514
20080430,3748,3807,3730,3801,711094
20080502,3801,3830,3777,3801,816382
20080506,3801,3842,3795,3836,919945
20080507,3836,3836,3748,3830,178989
20080508,3766,3842,3766,3830,767921
20080509,3871,3871,3795,3807,276376
20080513,3836,3836,3748,3766,271091
20080514,3783,3818,3754,3771,338181
20080515,3760,3760,3678,3707,574985
20080516,3707,3713,3684,3695,544078
20080519,3678,3725,3678,3719,121885
20080520,3701,3730,3701,3713,134777
20080521,3725,3730,3713,3719,299932
20080522,3719,3725,3707,3719,382714
20080523,3754,3777,3707,3748,130641
20080526,3748,3777,3730,3777,211907
20080527,3795,3795,3766,3777,111691
20080528,3760,3777,3730,3771,105783
20080529,3771,3777,3748,3771,339940
20080530,3789,3789,3760,3777,334168
20080602,3783,3801,3771,3795,417150
20080603,3789,3795,3771,3777,764677
20080604,3777,3783,3742,3771,344226
20080605,3777,3789,3760,3789,60379
20080609,3777,3807,3754,3801,165837
20080610,3812,3812,3766,3771,361363
20080611,3789,3789,3760,3771,278280
20080612,3754,3777,3736,3771,170055
20080613,3760,3789,3754,3766,257772
20080616,3766,3766,3742,3748,238169
20080617,3742,3748,3730,3736,457863
20080618,3730,3730,3660,3672,634893
20080619,3672,3713,3666,3678,164898
20080620,3678,3707,3678,3701,1979073
20080623,3707,3742,3701,3701,544351
20080624,3695,3725,3678,3701,187318
20080625,3689,3701,3678,3689,975492
20080626,3689,3725,3684,3725,537504
20080627,3755,3755,3652,3676,412554
20080630,3688,3950,3555,3950,1534786
20080701,3773,3773,3670,3688,159539
20080702,3670,3676,3615,3640,1720239
20080703,3646,3646,3603,3640,249058
20080704,3640,3670,3603,3640,64677
20080707,3646,3646,3555,3555,169017
20080708,3524,3524,3457,3463,454544
20080709,3506,3506,3457,3463,114033
20080710,3463,3463,3457,3463,201985
20080711,3463,3463,3439,3457,195221
20080714,3463,3463,3433,3457,57469
20080715,3451,3463,3409,3445,130161
20080716,3421,3445,3415,3445,98349
20080717,3427,3427,3397,3397,238254
20080718,3397,3403,3378,3403,124189
20080721,3397,3451,3378,3397,278160
20080722,3397,3445,3354,3384,238235
20080723,3384,3403,3330,3391,354578
20080724,3403,3445,3384,3403,3072422
20080725,3427,3579,3403,3579,256126
20080728,3573,3573,3494,3530,145649
20080729,3561,3561,3476,3536,156575
20080730,3536,3536,3463,3476,337220
20080731,3506,3767,3506,3767,706130
20080801,3573,3646,3561,3646,152621
20080804,3591,3634,3591,3634,20308
20080805,3628,3713,3615,3646,219723
20080806,3646,3725,3646,3707,327667
20080807,3688,3688,3634,3670,91272
20080808,3664,3700,3646,3700,206641
20080811,3700,3731,3658,3725,139081
20080812,3725,3737,3682,3700,192370
20080813,3688,3749,3676,3725,249812
20080814,3707,3731,3707,3725,114839
20080818,3731,3737,3725,3731,42493
20080819,3688,3725,3664,3676,172475
20080820,3646,3713,3621,3634,903166
20080821,3646,3646,3628,3628,151841
20080822,3640,3646,3615,3646,132548
20080825,3646,3646,3609,3609,173480
20080826,3609,3634,3597,3615,111564
20080827,3615,3646,3555,3646,267663
20080828,3591,3597,3549,3555,272536
20080829,3561,3640,3555,3640,225976
20080901,3567,3585,3445,3451,335073
20080902,3451,3470,3378,3378,343599
20080903,3451,3451,3366,3397,146273
20080904,3457,3524,3457,3512,54046
20080905,3567,3567,3488,3524,1044868
20080908,3524,3524,3512,3524,312444
20080909,3524,3524,3421,3445,56876
20080910,3451,3494,3421,3451,141514
20080911,3482,3494,3433,3451,41423
20080912,3457,3457,3421,3433,150733
20080916,3409,3451,3391,3415,201471
20080917,3415,3457,3336,3336,558795
20080918,3354,3384,3166,3172,817267
20080919,3141,3202,3044,3184,3672111
20080922,3214,3251,3196,3227,1032242
20080923,3220,3281,3214,3251,1060035
20080924,3251,3281,3160,3220,694348
20080925,3251,3251,3172,3245,400071
20080926,3263,3263,3196,3245,425523
20080929,3220,3251,3196,3239,378224
20080930,3141,3403,3129,3403,1689368
20081001,3233,3281,3233,3251,251531
20081002,3245,3269,3239,3239,281767
20081006,3239,3251,3202,3251,449914
20081007,3220,3245,3178,3208,481478
20081008,3208,3281,3172,3172,237681
20081009,3202,3251,3172,3190,602473
20081010,3190,3190,3050,3050,1056056
20081013,3069,3111,3069,3099,268208
20081014,3123,3135,3014,3062,1375042
20081015,3075,3075,2996,2996,825981
20081016,2947,2947,2686,2734,2393517
20081017,2734,2740,2431,2582,2159789
20081020,2582,2759,2561,2625,1174022
20081021,2628,2850,2628,2850,689978
20081022,2750,2759,2713,2743,478598
20081023,2743,2743,2546,2674,656256
20081024,2674,2765,2582,2582,451265
20081027,2579,2613,2434,2434,906556
20081028,2424,2655,2406,2655,924939
20081029,2674,2862,2613,2674,883187
20081030,2734,2838,2631,2838,1488897
20081031,2832,2886,2698,2886,996552
20081103,2825,2877,2768,2850,615764
20081104,2807,2847,2786,2813,234157
20081105,2844,2901,2801,2813,374607
20081106,2798,2844,2750,2825,378983
20081107,2825,2841,2801,2829,239850
20081110,2865,2917,2829,2917,128404
20081111,2917,3069,2889,3056,239735
20081112,2983,3008,2932,3002,242939
20081113,2990,3087,2904,3069,500766
20081114,3087,3093,3011,3011,428916
20081117,2968,2983,2944,2944,1277836
20081118,2880,2938,2746,2792,1140239
20081119,2795,2838,2753,2765,574989
20081120,2734,2737,2613,2613,482202
20081121,2616,2671,2613,2622,990703
