날짜,시가,고가,저가,현재가,거래량
20110513,6161,6161,5242,5242,452573
20110516,4465,4465,4465,4465,514201
20110517,3939,4057,3796,3796,12942983
20110518,3882,3896,3706,3730,6528294
20110519,3739,3763,3194,3280,6521059
20110520,3299,3431,3171,3266,2949780
20110523,3318,3384,3128,3270,3426808
20110524,3190,3370,3157,3157,2935668
20110525,3204,3213,2929,2938,3303309
20110526,2938,2986,2792,2796,2940025
20110527,2820,2863,2744,2801,1961887
20110530,2829,2891,2749,2749,1674699
20110531,2773,2782,2649,2692,1509640
20110601,2711,2915,2664,2834,2187722
20110602,2763,2905,2730,2877,1739434
20110603,2910,2934,2782,2801,1412832
20110607,2806,3119,2806,3071,2126318
20110608,3057,3090,2938,3033,1007881
20110609,2981,3052,2905,2938,676658
20110610,2976,2976,2773,2777,1142846
20110613,2735,2782,2564,2635,839503
20110614,2621,2725,2621,2664,462873
20110615,2654,2711,2630,2697,409345
20110616,2664,2758,2659,2673,517909
20110617,2635,2668,2555,2607,1138833
20110620,2645,2649,2593,2616,361634
20110621,2630,2635,2593,2616,440895
20110622,2635,2645,2588,2616,417287
20110623,2597,2664,2597,2611,539150
20110624,2611,2649,2602,2626,447344
20110627,2630,2702,2626,2645,576913
20110628,2664,2692,2626,2659,572923
20110629,2673,2683,2564,2616,582655
20110630,2616,2635,2588,2616,386767
20110701,2616,2626,2578,2583,465603
20110704,2593,2607,2578,2593,343561
20110705,2593,2593,2569,2578,292526
20110706,2574,2635,2564,2621,505658
20110707,2607,2626,2583,2588,368369
20110708,2597,2645,2593,2593,353362
20110711,2640,2692,2611,2654,601552
20110712,2654,2668,2626,2649,276512
20110713,2654,2673,2621,2664,227263
20110714,2621,2664,2621,2654,326521
20110715,2654,3014,2640,2948,1617682
20110718,2976,3100,2976,3014,1490935
20110719,2976,3052,2957,3033,426304
20110720,3043,3066,2929,2943,910733
20110721,2938,2967,2716,2967,1284928
20110722,2929,3005,2872,2962,331591
20110725,2910,2948,2815,2815,285959
20110726,2815,3024,2815,2896,577437
20110727,2901,2901,2839,2844,249665
20110728,2787,2891,2782,2853,513778
20110729,2844,2877,2787,2787,323546
20110801,2844,2938,2806,2938,352782
20110802,2910,2934,2829,2853,399678
20110803,2806,2829,2744,2754,513984
20110804,2820,2820,2702,2716,314795
20110805,2540,2664,2417,2659,350248
20110808,2649,2649,2261,2465,784021
20110809,2237,2351,2095,2265,655243
20110810,2379,2446,2147,2213,652156
20110811,2057,2175,1948,2119,772313
20110812,2213,2213,2100,2123,610283
20110816,2190,2256,2171,2251,403730
20110817,2251,2332,2242,2299,545081
20110818,2275,2294,2133,2185,622839
20110819,2038,2038,1896,1896,1115168
20110822,1896,1929,1815,1820,410356
20110823,1839,1901,1839,1896,436827
20110824,1953,1962,1848,1877,307366
20110825,1896,1953,1896,1934,237398
20110826,1905,1957,1896,1953,151166
20110829,1972,1991,1938,1957,401416
20110830,2000,2066,1957,2019,660298
20110831,2014,2095,1986,2085,622107
20110901,2100,2161,2047,2109,859386
20110902,2057,2090,2052,2085,593920
20110905,2029,2052,2010,2010,399281
20110906,1991,2019,1953,2019,426784
20110907,2019,2085,1991,2033,460368
20110908,2052,2052,2019,2024,236605
20110909,2000,2033,1986,2000,219346
20110914,1972,2005,1934,1938,226608
20110915,1957,1991,1891,1896,177875
20110916,1919,2066,1919,2066,427866
20110919,2062,2374,2019,2156,707847
20110920,2161,2218,2085,2147,253077
20110921,2204,2213,2138,2152,164937
20110922,2062,2142,2029,2066,198008
20110923,1943,1991,1919,1938,356216
20110926,1915,1938,1806,1848,369561
20110927,1858,1957,1858,1953,191299
20110928,1981,1995,1929,1943,110181
20110929,1934,2024,1896,2024,136393
20110930,2047,2133,2014,2071,330225
20111004,1986,2010,1943,1986,204128
20111005,1995,2005,1901,1934,215037
20111006,1953,2014,1953,1972,89165
20111007,2019,2019,1943,1967,249104
20111010,1986,1986,1943,1962,91572
20111011,2033,2033,1972,2005,172101
20111012,1986,2076,1986,2066,231067
20111013,2095,2256,2066,2171,355137
20111014,2166,2280,2123,2275,338610
20111017,2294,2393,2275,2308,432962
20111018,2261,2308,2194,2303,200574
20111019,2303,2365,2284,2299,290878
20111020,2322,2322,2114,2114,342705
20111021,2218,2228,2147,2209,227574
20111024,2213,2313,2185,2199,278929
20111025,2190,2237,2166,2180,291302
20111026,2142,2185,2138,2175,144148
20111027,2185,2228,2175,2228,269480
20111028,2289,2299,2190,2218,406599
20111031,2228,2289,2209,2232,274146
20111101,2180,2218,2142,2175,244736
20111102,2090,2156,2066,2156,342980
20111103,2156,2161,2090,2090,222422
20111104,2142,2152,2100,2128,311898
20111107,2128,2152,2095,2128,149713
20111108,2123,2175,2090,2090,232830
20111109,2114,2123,2090,2095,213521
20111110,2047,2057,1976,2033,370332
20111111,2043,2052,2024,2033,140319
20111114,2038,2090,2038,2071,159056
20111115,2062,2066,2029,2052,106959
20111116,2043,2109,2038,2047,233780
20111117,2057,2057,2024,2038,135049
20111118,2024,2104,2010,2076,173542
20111121,2076,2114,2038,2076,138631
20111122,2038,2071,2033,2057,183609
20111123,2081,2081,2033,2057,194768
20111124,2029,2052,2019,2033,93115
20111125,2038,2057,2019,2024,127175
20111128,2047,2062,2024,2047,143316
20111129,2047,2057,2033,2047,131179
20111130,2047,2095,2010,2010,277553
20111201,2071,2071,2029,2029,323118
20111202,2024,2047,2024,2024,82076
20111205,2038,2038,2005,2024,146318
20111206,2024,2052,2010,2014,126010
20111207,2019,2038,2010,2029,135835
20111208,2024,2047,2014,2047,76772
20111209,2019,2029,2010,2010,125282
20111212,2024,2029,2005,2010,235366
20111213,2000,2019,2000,2010,433362
20111214,1991,2251,1991,2175,443581
20111215,2156,2156,2090,2133,1931316
20111216,2133,2289,2133,2223,395571
20111219,2185,2294,2066,2228,559140
20111220,2313,2346,2232,2265,268519
20111221,2275,2332,2242,2303,273672
20111222,2370,2536,2341,2408,968424
20111223,2465,2611,2389,2559,694691
20111226,2597,2597,2502,2555,175214
20111227,2607,2607,2512,2540,306926
20111228,2569,2569,2507,2507,244961
20111229,2483,2555,2474,2531,224026
20120102,2574,2574,2474,2540,190999
20120103,2545,2564,2545,2559,376168
20120104,2588,2758,2588,2697,534266
20120105,2735,2787,2697,2725,458207
20120106,2763,2763,2664,2749,166025
20120109,2782,2782,2692,2720,119998
20120110,2720,2749,2654,2683,261617
20120111,2692,2692,2640,2645,253385
20120112,2683,2792,2654,2720,210336
20120113,2720,2763,2720,2739,62645
20120116,2702,2773,2673,2702,63447
20120117,2687,2739,2626,2706,257405
20120118,2744,2744,2692,2716,95113
20120119,2720,2735,2683,2702,68774
20120120,2739,2739,2654,2706,216668
20120125,2739,2739,2640,2654,162318
20120126,2635,2692,2588,2664,200928
20120127,2664,2692,2626,2692,151130
20120130,2702,2720,2673,2687,80599
20120131,2687,2702,2645,2697,141442
20120201,2687,2687,2621,2659,120465
20120202,2683,2739,2673,2739,184381
20120203,2777,2806,2687,2735,164828
20120206,2749,2891,2735,2844,302541
20120207,2853,2886,2825,2863,208306
20120208,2863,2891,2754,2806,358475
20120209,2796,2839,2754,2815,287465
20120210,2815,2844,2777,2829,162193
20120213,2834,2839,2763,2811,192804
20120214,2806,2825,2768,2815,120248
20120215,2792,2853,2782,2801,185685
20120216,2801,2801,2720,2720,240124
20120217,2739,2763,2654,2697,199458
20120220,2735,2735,2654,2730,159931
20120221,2725,2739,2649,2730,193908
20120222,2730,2730,2687,2711,151474
20120223,2692,2716,2616,2616,298135
20120224,2602,2683,2602,2673,114585
20120227,2687,2702,2640,2664,137013
20120228,2683,2754,2645,2735,117533
20120229,2735,2768,2720,2744,84343
20120302,2749,2777,2711,2744,127990
20120305,2749,2754,2725,2739,59435
20120306,2720,2811,2720,2763,182937
20120307,2739,2920,2735,2796,414259
20120308,2820,2820,2768,2806,75530
20120309,2834,2834,2792,2815,93585
20120312,2815,2882,2787,2796,68798
20120313,2787,2825,2782,2825,71056
20120314,2844,2858,2825,2844,120330
20120315,2844,2848,2792,2848,94134
20120316,2844,2844,2782,2787,96414
20120319,2811,2811,2768,2773,118574
20120320,2773,2844,2749,2834,127157
20120321,2829,2848,2811,2844,164075
20120322,2839,2844,2806,2839,65418
20120323,2834,2844,2796,2834,84370
20120326,2891,2891,2801,2825,89493
20120327,2825,2853,2792,2820,134124
20120328,2796,2825,2749,2820,157381
20120329,2782,2782,2725,2763,132897
20120330,2787,2787,2725,2725,102403
20120402,2725,2768,2692,2725,92904
20120403,2758,2763,2673,2692,138104
20120404,2654,2697,2616,2692,128218
20120405,2621,2706,2611,2706,82835
20120406,2664,2702,2649,2702,48847
20120409,2659,2683,2559,2588,126470
20120410,2588,2645,2555,2640,92747
20120412,2574,2649,2569,2640,72461
20120413,2668,2687,2621,2687,48481
20120416,2626,2692,2616,2683,52657
20120417,2692,2692,2640,2683,37692
20120418,2664,2692,2645,2673,71436
20120419,2668,2668,2588,2621,82246
20120420,2645,2645,2569,2621,46261
20120423,2597,2626,2597,2611,26714
20120424,2645,2645,2559,2588,134550
20120425,2588,2593,2370,2521,176741
20120426,2574,2635,2507,2583,151323
20120427,2602,2626,2550,2607,33830
20120430,2607,2626,2564,2569,30892
20120502,2574,2607,2540,2569,44177
20120503,2583,2602,2526,2559,53347
20120504,2574,2654,2545,2649,63603
20120507,2626,2649,2593,2611,35125
20120508,2611,2659,2611,2635,53771
20120509,2588,2635,2488,2526,206523
20120510,2498,2536,2488,2517,81673
20120511,2488,2512,2427,2441,147560
20120514,2417,2483,2398,2441,48633
20120515,2389,2436,2360,2384,207257
