날짜,시가,고가,저가,현재가,거래량
20080102,1960,2006,1914,1914,2477476
20080103,1896,1978,1896,1969,2372373
20080104,1969,2033,1942,1969,3843429
20080107,1905,1996,1896,1969,1985936
20080108,1996,1996,1877,1877,2320086
20080109,1832,1923,1822,1923,2368295
20080110,1942,1951,1887,1887,829605
20080111,1914,1923,1795,1797,1722274
20080114,1800,1822,1742,1757,1156609
20080115,1779,1790,1703,1722,1193876
20080116,1667,1722,1648,1648,1519886
20080117,1683,1713,1650,1694,978347
20080118,1659,1766,1659,1764,1370036
20080121,1758,1758,1676,1676,1012994
20080122,1612,1645,1502,1544,2455583
20080123,1603,1625,1539,1539,1364178
20080124,1594,1606,1581,1601,1394233
20080125,1625,1628,1562,1601,1292979
20080128,1577,1594,1513,1520,1035798
20080129,1559,1575,1528,1539,900296
20080130,1557,1568,1447,1487,1292690
20080131,1456,1575,1456,1575,1185971
20080201,1575,1612,1575,1603,1354815
20080204,1630,1667,1614,1623,1825057
20080205,1621,1625,1594,1612,762473
20080211,1540,1548,1515,1517,1105916
20080212,1526,1540,1511,1520,956809
20080213,1548,1575,1524,1531,1851613
20080214,1566,1583,1553,1579,1589557
20080215,1555,1575,1542,1570,836140
20080218,1570,1608,1568,1592,875553
20080219,1614,1658,1614,1658,1956831
20080220,1641,1652,1612,1621,1287727
20080221,1639,1652,1614,1614,633441
20080222,1586,1603,1568,1601,994141
20080225,1625,1639,1590,1597,810709
20080226,1621,1625,1584,1584,829954
20080227,1594,1608,1579,1590,996636
20080228,1597,1619,1594,1606,1152285
20080229,1584,1592,1575,1586,823845
20080303,1546,1546,1526,1533,1449026
20080304,1539,1546,1528,1529,801723
20080305,1529,1535,1506,1513,1063894
20080306,1515,1542,1506,1529,885288
20080307,1511,1511,1489,1495,1319726
20080310,1462,1476,1412,1412,2290823
20080311,1383,1449,1379,1438,1110273
20080312,1493,1498,1440,1440,1277283
20080313,1438,1451,1405,1418,1223653
20080314,1443,1443,1388,1390,1044741
20080317,1376,1379,1324,1355,1221960
20080318,1355,1379,1352,1370,781932
20080319,1414,1414,1381,1381,1126723
20080320,1370,1431,1357,1431,904549
20080321,1465,1551,1449,1507,3214366
20080324,1520,1535,1495,1509,1274602
20080325,1540,1542,1506,1517,1423595
20080326,1520,1529,1507,1518,1516179
20080327,1517,1529,1506,1511,2046931
20080328,1462,1502,1452,1496,1304554
20080331,1507,1511,1465,1480,1111141
20080401,1495,1524,1482,1484,2409515
20080402,1555,1555,1513,1524,3460076
20080403,1513,1515,1495,1495,1922986
20080404,1493,1509,1471,1509,2140923
20080407,1520,1566,1518,1520,2732347
20080408,1520,1522,1463,1465,2017045
20080410,1456,1458,1420,1421,2329520
20080411,1429,1438,1412,1420,1575383
20080414,1390,1399,1377,1377,1941434
20080415,1381,1399,1366,1392,1094680
20080416,1412,1418,1401,1412,1460879
20080417,1438,1456,1416,1416,1701593
20080418,1429,1432,1401,1407,879954
20080421,1429,1434,1418,1429,1513417
20080422,1431,1434,1414,1414,1164449
20080423,1409,1458,1409,1438,1376189
20080424,1454,1518,1434,1484,4148627
20080425,1500,1506,1460,1473,1869084
20080428,1484,1495,1463,1474,2346751
20080429,1473,1473,1434,1438,1372286
20080430,1438,1456,1436,1452,556897
20080502,1473,1478,1460,1465,943897
20080506,1460,1465,1441,1441,1018808
20080507,1447,1473,1443,1458,1435388
20080508,1447,1478,1440,1473,833929
20080509,1473,1518,1452,1484,1141087
20080513,1539,1542,1489,1489,3344797
20080514,1489,1500,1458,1458,1396821
20080515,1454,1489,1454,1476,1124544
20080516,1493,1517,1493,1509,1235424
20080519,1517,1535,1496,1498,1031300
20080520,1491,1520,1487,1498,573713
20080521,1482,1495,1469,1471,777935
20080522,1458,1465,1451,1462,573434
20080523,1471,1506,1463,1487,948352
20080526,1487,1498,1465,1473,647592
20080527,1469,1480,1452,1456,797721
20080528,1460,1463,1436,1436,773158
20080529,1443,1471,1443,1451,620201
20080530,1473,1566,1458,1518,3733723
20080602,1529,1529,1507,1517,664670
20080603,1502,1507,1484,1491,869307
20080604,1484,1528,1484,1520,1060831
20080605,1524,1531,1504,1515,1203392
20080609,1484,1495,1476,1489,637197
20080610,1496,1500,1463,1469,1044075
20080611,1467,1482,1467,1474,652932
20080612,1458,1465,1445,1460,710700
20080613,1460,1474,1445,1445,604145
20080616,1460,1471,1449,1449,673252
20080617,1445,1474,1445,1460,528764
20080618,1463,1465,1449,1465,437615
20080619,1465,1478,1458,1465,605193
20080620,1476,1478,1460,1474,625372
20080623,1449,1476,1447,1460,799817
20080624,1471,1471,1451,1467,713080
20080625,1467,1493,1467,1493,1310379
20080626,1496,1535,1496,1528,2295993
20080627,1528,1528,1528,1528,0
20080630,1528,1528,1528,1528,0
20080701,1528,1528,1528,1528,0
20080702,1528,1528,1528,1528,0
20080703,1528,1528,1528,1528,0
20080704,1528,1528,1528,1528,0
20080707,1528,1528,1528,1528,0
20080708,1308,1363,1299,1299,5100111
20080709,1253,1285,1148,1148,9403515
20080710,1098,1171,1070,1157,4033910
20080711,1153,1194,1134,1162,3256173
20080714,1144,1208,1144,1153,2287228
20080715,1166,1166,1089,1093,1629792
20080716,1098,1116,1048,1066,2207361
20080717,1107,1162,1093,1093,4039996
20080718,1121,1125,1070,1075,1945845
20080721,1089,1125,1084,1116,2331973
20080722,1107,1148,1098,1130,1494020
20080723,1166,1217,1157,1212,3242521
20080724,1235,1235,1176,1203,1799985
20080725,1171,1185,1162,1176,1045858
20080728,1194,1208,1171,1208,1151787
20080729,1176,1189,1153,1185,1163646
20080730,1212,1226,1199,1221,1546891
20080731,1240,1244,1203,1208,908884
20080801,1185,1208,1185,1208,659585
20080804,1199,1212,1153,1153,747797
20080805,1148,1166,1130,1139,742868
20080806,1180,1208,1171,1208,1137588
20080807,1199,1212,1171,1189,739244
20080808,1166,1203,1162,1189,952180
20080811,1217,1221,1180,1180,990729
20080812,1180,1194,1176,1180,653335
20080813,1176,1194,1157,1176,1007442
20080814,1166,1189,1166,1180,541698
20080818,1185,1185,1148,1148,851863
20080819,1125,1134,1098,1116,1361226
20080820,1098,1121,1098,1107,936435
20080821,1107,1112,1066,1066,1438630
20080822,1057,1066,1029,1061,1130355
20080825,1066,1080,1016,1016,1567196
20080826,974,1016,974,984,1650208
20080827,974,1016,961,988,1742947
20080828,993,1029,979,979,1767946
20080829,1002,1020,984,997,1660710
20080901,984,988,901,901,2161491
20080902,929,951,851,869,3284020
20080903,865,929,865,929,2334307
20080904,915,951,910,938,1993534
20080905,901,938,887,924,1776828
20080908,961,1057,961,1034,7139773
20080909,1029,1052,988,1016,4795551
20080910,988,1093,988,1061,5764047
20080911,1066,1066,1025,1038,2392694
20080912,1070,1080,1043,1066,1999734
20080916,910,924,910,910,8224203
20080917,951,1002,933,951,6255001
20080918,901,947,901,947,3688884
20080919,1006,1025,961,970,3450348
20080922,984,988,933,938,3090986
20080923,929,997,924,984,4063383
20080924,984,1025,956,1020,4561011
