날짜,시가,고가,저가,현재가,거래량
20080102,11497,11586,10826,10826,1308183
20080103,10602,11094,10513,10781,895732
20080104,10871,11184,10692,11005,1008786
20080107,10602,11139,10513,10513,918323
20080108,10692,11050,10647,10915,873926
20080109,10647,10915,10557,10915,997935
20080110,11005,11005,10692,10915,686874
20080111,11050,11228,10289,10602,890540
20080114,10468,10513,9797,9842,1289301
20080115,9976,10021,9171,9573,1100692
20080116,9260,9797,9260,9484,1000404
20080117,9484,9931,9350,9797,1257799
20080118,9529,9931,9439,9842,779179
20080121,9663,9707,9126,9126,1290045
20080122,8634,9126,8634,8992,1012653
20080123,9350,9439,8920,9260,816800
20080124,9350,9484,9036,9305,830792
20080125,9350,9439,8992,9126,942556
20080128,8992,8992,8634,8679,1099916
20080129,8849,8875,8169,8356,2159863
20080130,8365,8491,7802,7802,1231280
20080131,7623,8383,7542,8383,2435106
20080201,8455,8464,7954,8142,1060650
20080204,8079,8428,8061,8401,1130647
20080205,8348,8813,8240,8768,979176
20080211,8401,8437,8178,8267,762048
20080212,8276,8491,7990,8491,1172338
20080213,8625,8875,8607,8795,2201365
20080214,9036,9126,8705,8902,1529536
20080215,8858,9036,8813,8902,1068007
20080218,8992,9305,8947,9171,1249182
20080219,9260,9305,9081,9215,760390
20080220,9171,9439,8947,9215,891746
20080221,9305,9439,8992,9215,576741
20080222,9036,9171,8831,8858,793633
20080225,8875,9081,8840,8849,953286
20080226,8947,9036,8786,8786,540907
20080227,8858,8884,8339,8419,1895857
20080228,8419,8768,8348,8500,1540836
20080229,8383,8473,8231,8330,866965
20080303,7981,8115,7918,7981,611268
20080304,8052,8151,8017,8097,738406
20080305,8061,8142,7847,7882,808369
20080306,7882,7954,7829,7864,938011
20080307,7739,7820,7274,7426,1511473
20080310,7175,7292,6889,6916,1206574
20080311,6755,7158,6683,7023,1482899
20080312,7381,7515,7247,7390,1139398
20080313,7399,7524,7247,7372,890251
20080314,7426,7524,6934,7247,1135604
20080317,7158,7158,6934,7077,919660
20080318,7113,7220,7050,7158,959051
20080319,7363,7569,7363,7524,891658
20080320,7471,7515,7363,7489,285905
20080321,7730,7873,7641,7748,893296
20080324,7748,8088,7703,8052,1088106
20080325,8151,8473,7882,8374,1608885
20080326,8267,8312,8160,8213,907874
20080327,8115,8276,8097,8231,536990
20080328,8115,8365,8097,8276,736466
20080331,8392,8392,8008,8061,780105
20080401,8115,8267,7829,7855,755704
20080402,8204,8303,8079,8169,968559
20080403,8312,8535,8187,8482,1224129
20080404,8535,8741,8410,8562,964321
20080407,8544,8553,8276,8401,883572
20080408,8285,8365,8070,8106,643110
20080410,8106,8195,7999,8017,750430
20080411,8106,8160,8052,8133,353581
20080414,7990,8052,7838,7972,717353
20080415,7963,8213,7936,8187,348474
20080416,8231,8741,8133,8535,1398901
20080417,8902,9171,8500,8696,3531488
20080418,8741,8902,8348,8455,1601807
20080421,8455,8893,8348,8410,2143697
20080422,8491,8652,8097,8097,2581992
20080423,8097,8365,8097,8195,1711128
20080424,8500,9215,8321,8356,5159231
20080425,8428,8634,8285,8348,1367005
20080428,8258,8634,7918,7945,4853340
20080429,8052,8088,7578,7820,2081972
20080430,7855,7918,7677,7793,1381792
20080502,7954,7963,7793,7882,1044595
20080506,7963,7963,7802,7918,634498
20080507,7954,8008,7784,7909,959094
20080508,7703,7847,7703,7775,1003241
20080509,7855,7864,7659,7694,486921
20080513,7757,8303,7721,8034,1455852
20080514,8160,8321,8052,8258,1372261
20080515,8410,8822,8312,8661,2350406
20080516,8679,8992,8679,8804,3217244
20080519,8822,8893,8571,8679,1374899
20080520,8679,9081,8643,8858,1383474
20080521,8696,9081,8321,8992,1761953
20080522,8866,9081,8822,9036,1024980
20080523,9126,9305,9036,9081,904742
20080526,8992,8992,8777,8893,610496
20080527,8902,9394,8732,9350,1220006
20080528,9350,9394,9036,9171,531416
20080529,9260,9350,8920,9081,875535
20080530,9081,9439,8902,9350,1583733
20080602,9394,9529,9305,9305,911974
20080603,9171,9394,8992,9260,862563
20080604,9215,9350,9081,9260,371034
20080605,9305,10021,9171,9797,3179095
20080609,9529,10110,9439,9707,1521494
20080610,9842,9886,9394,9439,888862
20080611,9484,9797,9484,9618,1297896
20080612,9439,9663,9305,9663,608314
20080613,9797,9976,9350,9573,1367139
20080616,9663,9752,9350,9573,707998
20080617,9529,9573,9394,9394,443911
