날짜,시가,고가,저가,현재가,거래량
20080102,27236,27458,26308,26485,5184438
20080103,26087,27988,25954,27988,6708531
20080104,28121,28651,27015,27590,5744924
20080107,26529,28298,26175,27855,6943200
20080108,28032,28077,24230,24407,15213106
20080109,23699,24849,23080,24407,8126419
20080110,24893,25114,23699,23699,3972567
20080111,24141,24407,22373,22638,5036354
20080114,23080,23346,22682,22771,3292988
20080115,23213,23213,21710,22461,3073951
20080116,22108,23346,21975,22329,3415705
20080117,22903,23257,22550,23124,2463177
20080118,22638,24362,22550,24009,4339115
20080121,23965,24230,23169,23346,2678075
20080122,22550,22903,21179,22594,3992460
20080123,23567,23655,22108,22461,3004591
20080124,23346,23478,22771,22992,2582555
20080125,23169,23257,20295,21533,13745295
20080128,21223,22019,20383,20781,3237629
20080129,21400,21488,20516,20737,2417394
20080130,21046,21931,20250,20427,4398553
20080131,20074,20693,19897,20472,2080593
20080201,20914,21091,20604,20869,2051920
20080204,21046,21754,20825,21356,2937645
20080205,21223,21798,21135,21444,1421310
20080211,20737,20958,20604,20958,1725663
20080212,21046,21091,20693,20825,1325182
20080213,21223,21444,20737,20825,1131883
20080214,21223,21488,21135,21488,1602619
20080215,21223,21488,21046,21400,1398963
20080218,21665,21798,21091,21091,2137886
20080219,21665,21710,21356,21488,2496471
20080220,21267,21267,20737,20958,2342665
20080221,21179,21223,20825,20958,961135
20080222,20737,20781,20029,20604,2259537
20080225,21002,21046,20604,20693,1259380
20080226,21046,21091,20427,20604,1577226
20080227,20869,21002,20250,20250,3603900
20080228,20427,21356,20383,21091,3007314
20080229,20914,21312,20781,20914,2094894
20080303,20339,20383,20074,20250,1906977
20080304,20383,20472,19808,20118,1752787
20080305,20162,20339,19853,19985,1204319
20080306,20162,20472,19808,20339,1682797
20080307,19897,20029,19631,19808,1381467
20080310,19189,19455,19101,19278,2057491
20080311,19012,20074,19012,19764,1843072
20080312,20604,20648,19897,19897,1568311
20080313,19941,20427,19366,19366,1777357
20080314,19676,19764,18482,19189,2879863
20080317,18968,19101,17774,18438,2546670
20080318,18438,18570,17376,17686,5025102
20080319,18349,18393,17642,17686,3805639
20080320,17376,17907,17155,17598,3237525
20080321,18128,19012,18040,18791,4984851
20080324,18924,19278,18570,18924,3270234
20080325,19322,19366,18968,19057,2040143
20080326,19057,19366,18924,19101,1387086
20080327,18924,19897,18880,19145,2904384
20080328,18924,19366,18615,19234,2156113
20080331,19278,19410,18880,19366,1717766
20080401,19676,20250,19455,19853,4052892
20080402,20781,21179,20427,20693,5623342
20080403,20693,21488,20339,21223,4391557
20080404,21046,22329,20825,21665,5240529
20080407,21931,22019,21223,21312,3377163
20080408,21091,21179,20383,20560,3084449
20080410,20472,20869,20206,20339,2406449
20080411,20693,20781,20250,20604,1977654
20080414,20118,20560,20029,20295,1686881
20080415,20339,21223,20206,20914,3819002
20080416,21267,21356,20781,20869,2423099
20080417,21312,21356,20693,20693,1878196
20080418,20869,21046,20472,20825,1609253
20080421,21312,21621,21046,21046,2775992
20080422,21091,21577,20781,20914,2437353
20080423,20914,21312,20781,21135,2172095
20080424,21223,22108,20958,21223,3965994
20080425,21665,21931,21356,21665,2387129
20080428,22019,22461,21665,21665,2980158
20080429,21798,21931,20648,21046,2445761
20080430,20869,21091,20560,20737,1747868
20080502,21091,21400,20958,21312,1938336
20080506,21267,21356,20869,21267,1542714
20080507,21267,21842,20958,21046,1953960
20080508,20693,21046,20560,20825,1974904
20080509,21002,21002,20074,20472,2686277
20080513,20604,20693,19455,19897,3169485
20080514,19631,19808,18836,19366,4189624
20080515,19499,19808,19278,19455,2388420
20080516,19676,20029,19455,19455,2261559
20080519,19543,19853,19145,19455,1868662
20080520,19543,19631,19234,19410,1099037
20080521,18924,19145,18791,19101,1885308
20080522,18747,18968,18305,18836,3039946
20080523,18968,19543,18703,19101,2960097
20080526,18968,19322,18924,18924,1343718
20080527,19057,19366,18836,18968,1285107
20080528,19057,19145,18526,18615,1405906
20080529,18703,18924,18615,18703,1115601
20080530,18880,19145,18791,19057,1397497
20080602,19057,19145,18747,18836,1265515
20080603,18703,18791,18305,18703,1675676
20080604,18659,18703,18393,18615,1263970
20080605,18659,20604,18570,18836,6844659
20080609,18217,18615,18128,18615,1448220
20080610,18615,18791,17951,18217,1887096
20080611,18217,18349,17907,18084,994832
20080612,17730,17863,17598,17774,1654591
20080613,17863,17951,17509,17686,1207083
20080616,17863,18084,17730,17774,1055924
20080617,17863,17951,17465,17642,1142755
20080618,17553,17774,17509,17642,1087799
20080619,17509,17598,17155,17465,1205461
20080620,17598,17642,17288,17332,713527
20080623,17023,17244,16890,17244,796372
20080624,17111,17288,17023,17200,710160
20080625,17111,17819,17111,17598,1641267
20080626,17598,17907,17465,17465,1065434
20080627,16934,17155,16890,17155,1046692
20080630,17067,17155,16492,16669,1940620
20080701,16625,16802,16227,16492,1781769
20080702,16404,16492,15519,15785,2448767
20080703,15210,16050,14945,15873,2232948
20080704,15696,16094,15166,15564,1391411
20080707,15387,15608,15033,15343,1558775
20080708,15254,15431,14591,14900,2030239
20080709,15343,15608,14945,15033,1792070
20080710,14635,15475,14635,15475,1498754
20080711,15431,16138,15122,15785,2225858
20080714,15652,16050,15475,15785,1257593
20080715,15652,15696,14945,15033,1365945
20080716,15210,15343,14724,14856,1252449
20080717,15387,15829,15298,15475,1856061
20080718,15829,15873,15343,15343,1100774
20080721,15608,16360,15608,16094,2107608
20080722,15917,16492,15829,16271,1382994
20080723,16757,17067,16492,16536,2405847
20080724,16625,16757,16227,16625,1359592
20080725,16227,16360,16050,16315,1016123
20080728,16625,16625,16183,16404,998196
20080729,15962,16006,15608,16006,1215731
20080730,16404,16492,15785,15785,1117569
20080731,16050,16360,15873,16006,1004999
20080801,15829,15917,15519,15741,848766
20080804,15608,15652,14812,15033,1906528
20080805,14856,15254,14591,14679,1782007
20080806,15122,15519,15077,15475,1462972
20080807,15475,15564,15033,15254,812286
20080808,14989,15696,14900,15608,1291082
20080811,16050,16448,16006,16271,2350871
20080812,16227,16802,16138,16448,1817717
20080813,16360,16492,16050,16315,833415
20080814,16050,16669,16006,16536,1021603
20080818,16625,16669,16271,16360,719958
20080819,16138,16183,15696,16094,880105
20080820,15917,16050,15741,15873,597783
20080821,16006,16006,15122,15343,1312917
20080822,15254,15343,14547,14989,1748465
20080825,15077,15210,14591,14989,1083571
20080826,14591,14768,14503,14591,987057
20080827,14503,14812,14237,14458,987978
20080828,14591,15166,14370,14370,2153266
20080829,14768,14989,14547,14591,1906207
20080901,14414,14547,13353,13353,2382295
20080902,13353,13751,12424,12645,2703252
20080903,12513,13618,12469,13530,2737776
20080904,13441,14149,13220,13662,1579269
20080905,12911,13574,12911,13176,1494048
20080908,13928,15033,13795,14945,4203826
20080909,14768,15210,14458,14547,2055705
20080910,14281,15564,14193,15387,3370542
20080911,15210,15741,15033,15475,2785080
20080912,15917,16227,15387,15652,2246468
20080916,13309,13707,13309,13309,4987975
20080917,13707,14635,13574,13884,4933570
20080918,13265,13618,12645,13176,3762363
20080919,14016,14149,13751,13839,2691013
20080922,14149,14237,13265,13486,2982892
20080923,13309,14281,13176,14281,2357816
20080924,14281,15033,14193,14900,2482318
20080925,14856,15785,14591,15564,3334841
20080926,15564,15873,15166,15298,2759292
20080929,15741,16050,15033,15033,2369453
20080930,13928,15077,13795,14945,2521091
20081001,15122,15210,14679,14812,1317967
20081002,15122,15608,14856,14900,2150438
20081006,14591,14724,13884,14237,2426289
20081007,14060,14724,13972,14591,3233484
20081008,14149,14414,13530,13618,3056527
20081009,13795,14326,13618,13795,2553536
20081010,13132,13220,12248,12911,3418782
20081013,13574,14060,13043,14060,3254706
20081014,15033,15829,14856,15431,5109555
20081015,15166,15873,15166,15652,2910228
20081016,14635,14768,13397,13397,4828129
20081017,14326,14326,13353,13662,4720804
20081020,14149,14193,13309,14149,4272019
20081021,14326,14547,13441,13662,2278682
20081022,13662,13884,11761,12336,2252354
20081023,11275,11761,10700,11231,3518494
20081024,11231,11452,9550,9550,3502135
20081027,9108,10302,8799,9727,8033710
20081028,9241,10700,9241,10391,7448601
20081029,10788,11231,8843,8843,9482453
20081030,9816,10169,8144,10169,8848102
20081031,10169,11231,9948,10523,9530745
20081103,10567,11054,10435,10921,4190246
20081104,10921,11584,10656,11363,3487612
20081105,12026,12867,11717,11938,7689301
20081106,11186,11319,10169,10169,3790063
20081107,9639,11275,9462,11275,5361100
20081110,11142,11452,10656,10877,5209774
20081111,10523,10788,10081,10214,3727660
20081112,9904,10037,9550,9948,3387290
20081113,9285,9418,8666,8825,3871783
20081114,9418,9506,8976,9197,2854319
20081117,9020,9993,8887,9418,4336385
20081118,9064,9285,8887,8887,2550092
20081119,9108,9108,8507,8578,2242185
20081120,7941,8118,7295,7295,3946652
20081121,6898,8277,6703,7968,5988285
20081124,7897,8003,7207,7242,3822511
20081125,7853,8180,7366,7366,4356563
20081126,7693,8463,7685,8463,4309652
20081127,9020,9506,8666,8666,8252262
20081128,8834,9506,8693,9285,4757534
20081201,9506,10656,9241,10169,9759107
20081202,9506,10700,9462,10258,13113144
20081203,10788,11584,10656,10744,12763783
20081204,11231,11407,10081,10125,5698662
20081205,10391,10965,10125,10965,5893129
20081208,11363,12380,11098,11938,7848768
20081209,11982,12026,11452,11496,4183446
20081210,11673,12336,11407,11938,5552218
20081211,12115,12822,12026,12071,6130913
20081212,11584,12336,10788,11319,4006906
20081215,11938,12911,11850,12911,3959058
20081216,12778,13088,12159,12557,5181075
20081217,13220,13265,11894,12380,4946528
