날짜,시가,고가,저가,현재가,거래량
20080102,15721,15976,15328,15564,196873
20080103,15328,15603,15131,15564,123428
20080104,15839,15839,15230,15485,222014
20080107,15171,15485,14817,15328,268790
20080108,15446,15642,15210,15485,206015
20080109,15465,15642,15131,15524,264024
20080110,15446,15564,15308,15524,221243
20080111,15564,15564,14817,15092,184168
20080114,15210,15230,14719,14895,160139
20080115,14895,15033,14542,14738,253361
20080116,14719,14915,14463,14679,144509
20080117,14954,15269,14778,15131,173143
20080118,15092,15210,14817,15210,140300
20080121,15288,15288,14542,14660,296702
20080122,14267,15013,13559,14699,549030
20080123,14856,14994,14601,14660,355720
20080124,14895,15013,14424,14561,218202
20080125,14561,15033,14326,15033,275533
20080128,15013,15013,14385,14385,174777
20080129,14561,14620,14031,14365,278385
20080130,14443,14443,13284,13520,454521
20080131,13363,14149,12970,14149,421436
20080201,14031,14031,13598,13736,252226
20080204,14345,14856,13854,13854,567688
20080205,13893,14090,13756,13952,213533
20080211,13756,13756,13500,13677,174698
20080212,13579,14031,13422,13913,157849
20080213,13834,14031,13815,13913,112258
20080214,13972,14149,13972,14109,162152
20080215,14070,14129,13736,14129,196020
20080218,13952,14463,13952,14385,182039
20080219,14542,14542,14345,14424,135339
20080220,14227,14385,14050,14208,208198
20080221,14247,14443,14129,14385,126812
20080222,14385,14385,13952,14149,190239
20080225,14267,14463,14149,14424,143046
20080226,14404,14522,14306,14345,107144
20080227,14502,14738,14443,14738,176764
20080228,14738,14738,14522,14738,165744
20080229,14522,14601,14404,14542,107956
20080303,14109,14326,13992,14109,127441
20080304,14031,14267,14031,14109,79782
20080305,14109,14227,13756,14070,195298
20080306,13972,14620,13933,14620,198445
20080307,14385,14778,14227,14620,206432
20080310,14424,14502,14208,14365,110096
20080311,14267,14601,14031,14463,174991
20080312,14561,14581,14365,14443,131392
20080313,14404,14581,14090,14090,174227
20080314,14188,14365,13481,13952,226136
20080317,13756,13992,13520,13834,164462
20080318,13618,13952,13304,13638,293481
20080319,14011,14031,13638,13716,327347
20080320,13716,13716,13068,13500,339901
20080321,13559,13559,12989,13048,600796
20080324,13088,13382,13029,13068,311966
20080325,13186,13245,13048,13107,320307
20080326,13107,13166,12911,13068,426584
20080327,13304,13304,12970,13147,329499
20080328,13352,13537,13146,13249,187391
20080331,13476,13476,13064,13393,221946
20080401,13393,13393,13002,13290,182705
20080402,13331,13393,13064,13146,185423
20080403,13228,13331,13105,13331,128002
20080404,13393,13517,13146,13311,142149
20080407,13393,13455,13187,13373,212402
20080408,13352,13393,13022,13187,167532
20080410,13002,14011,12754,14011,279716
20080411,13702,13929,13496,13847,175418
20080414,13620,13682,13270,13270,203622
20080415,13187,13434,13187,13331,138803
20080416,13290,13661,13228,13476,217296
20080417,13496,13805,13414,13455,106367
20080418,13393,13558,13393,13434,112169
20080421,13455,13764,13331,13620,229434
20080422,13661,13950,13661,13888,279456
20080423,13888,14424,13826,14424,219087
20080424,14424,14485,14156,14382,182894
20080425,14424,14609,14300,14341,225600
20080428,14176,14403,13682,13682,191363
20080429,13723,14156,13702,13950,207692
20080430,13888,14114,13702,14114,309621
20080502,14011,14197,13970,14197,147141
20080506,14176,14197,14011,14176,129830
20080507,14011,14341,13867,14176,162249
20080508,14135,14176,13950,14176,149531
20080509,14135,14135,13723,13723,200577
20080513,13496,13537,13002,13146,315709
20080514,13022,13311,12796,12837,167699
20080515,12693,13290,12693,13187,162870
20080516,13187,13434,13084,13434,194659
20080519,13434,13558,13352,13517,95219
20080520,13373,13414,13022,13373,150439
