날짜,시가,고가,저가,현재가,거래량
20080102,66300,66400,64000,64000,301201
20080103,63500,65200,63200,65200,235164
20080104,65200,66700,64100,66400,288517
20080107,64500,66000,64500,65500,243328
20080108,65800,66300,64500,64500,234096
20080109,63700,65300,62500,65300,306101
20080110,64900,65500,64100,64100,186140
20080111,64300,64800,62600,62600,317306
20080114,62700,63800,62400,62800,189134
20080115,63000,64000,60800,61900,340130
20080116,61100,62400,60900,61600,307308
20080117,62000,63400,61600,62500,216841
20080118,62100,65000,61500,64700,299723
20080121,64000,64900,62900,62900,277293
20080122,61500,64300,61200,62900,599221
20080123,63700,67700,63600,66300,878195
20080124,67100,67800,66100,67200,673990
20080125,67200,67500,66000,67000,484380
20080128,66200,69300,66100,66400,632623
20080129,67800,71200,67500,70700,935110
20080130,71100,73700,70200,71500,1436177
20080131,70200,71500,69100,69600,885905
20080201,70300,72000,69200,70200,580694
20080204,70600,71000,69200,69700,681329
20080205,69600,72000,69600,71000,394145
20080211,69700,70300,67600,67600,406999
20080212,68100,69100,67900,67900,304305
20080213,68300,69000,67200,67900,247324
20080214,68800,70700,68800,70400,613337
20080215,69600,69900,68400,69000,373634
20080218,69200,70000,68000,68000,373048
20080219,69000,70200,68800,70000,426796
20080220,69000,70700,68600,69300,417609
20080221,70400,72200,69800,71000,759381
20080222,70500,72100,69600,69600,526951
20080225,69600,71000,68400,70000,492846
20080226,71000,71000,67900,68000,447314
20080227,68500,68700,66500,66700,451043
20080228,67300,67700,66100,66400,476768
20080229,66300,67400,65500,66400,432851
20080303,65300,65900,64600,65100,329603
20080304,66300,68200,66100,67500,539544
20080305,67900,69000,67300,69000,273633
20080306,69000,70000,68300,70000,607727
20080307,69000,70300,68400,69900,462874
20080310,69000,71600,68900,69500,502855
20080311,69400,73500,69100,72300,917884
20080312,74000,74000,70900,71100,768340
20080313,71100,72800,69900,70500,669995
20080314,72400,74400,71200,72300,902194
20080317,72600,74800,71800,72500,897460
20080318,73100,74400,71900,74100,716599
20080319,75100,75800,74200,75800,680226
20080320,74900,75800,73500,75200,379573
20080321,75300,75600,72700,72700,610399
20080324,73000,73700,72000,73600,304274
20080325,73000,74000,71700,72500,607829
20080326,72500,75400,72500,74500,589692
20080327,74600,77400,74400,77400,708336
20080328,77500,78500,76300,78400,653297
20080331,78000,79300,76900,77900,491556
20080401,77900,78900,77000,78000,434646
20080402,79000,80000,77300,77300,563244
20080403,77300,81000,76700,80000,778492
20080404,80100,81500,79200,79700,489733
20080407,79000,79500,77100,77100,668546
20080408,76200,76900,75500,76900,582528
20080410,76800,78700,76000,78700,475386
20080411,78700,80200,78100,80000,526021
20080414,78400,80100,78300,78800,309877
20080415,79700,81400,78000,78000,568386
20080416,78900,78900,76200,77400,505990
20080417,78800,80000,78400,78700,466451
20080418,79700,80400,79000,80400,387463
20080421,81200,82200,79700,81500,474328
20080422,81700,82000,78000,79700,826167
20080423,80400,82000,78800,78800,649913
20080424,78400,79500,76300,76800,730185
20080425,77300,78500,76600,78500,370658
20080428,78600,78900,77200,77800,297799
20080429,78000,78000,75200,75700,442274
