날짜,시가,고가,저가,현재가,거래량
20080102,57976,58350,56418,56418,230627
20080103,56168,56168,55233,55483,239635
20080104,55171,57353,53114,56418,563418
20080107,54173,56231,54173,55545,197739
20080108,55545,58163,54859,57664,307131
20080109,57353,59223,56480,59223,526363
20080110,59223,59846,56605,56605,705352
20080111,56605,57353,55545,56480,384578
20080114,55420,56542,53675,53986,548358
20080115,53675,54610,47004,49373,877811
20080116,48314,52054,48002,51867,659146
20080117,52366,56168,52179,53238,748111
20080118,52366,54485,51243,53799,437102
20080121,52740,53425,50745,51618,378559
20080122,48314,52490,48002,49560,728955
20080123,50807,51805,48126,48875,437053
20080124,49872,51368,49436,50495,288700
20080125,51181,56293,51181,55296,521288
20080128,54236,57727,53924,54859,607338
20080129,56729,58787,55981,56106,538907
20080130,56231,57477,51430,55607,442731
20080131,55607,57166,53675,56231,400622
20080201,56355,57602,53612,54547,432218
20080204,54859,57664,54360,56854,363723
20080205,57290,58413,56854,57353,149124
20080211,55794,56667,54859,55358,170676
20080212,55420,56106,54236,54547,200548
20080213,55545,56418,54298,54298,278193
20080214,55296,56106,54735,55919,230280
20080215,55919,59597,55109,59098,485325
20080218,58911,64210,58911,62340,698522
20080219,62963,68574,62652,66392,719557
20080220,65457,67951,63275,64522,371464
20080221,66080,67639,64210,64522,153801
20080222,64210,67327,63587,65145,246203
20080225,66392,67327,62340,63898,346820
20080226,65145,66704,62278,64522,409650
20080227,65457,66392,63587,63587,266275
20080228,63587,63898,61280,62153,329339
20080229,62153,63898,61717,62340,245096
20080303,60470,61093,58413,58787,303601
20080304,58911,62215,58475,61093,404454
20080305,62215,62340,59846,61156,182702
20080306,61405,61966,59722,61343,259254
20080307,60033,60033,57477,58039,379947
20080310,56418,56916,54423,54797,370551
20080311,53924,56418,53924,56418,284568
20080312,57976,59161,56168,56418,376358
20080313,55857,57852,53550,53612,433256
20080314,54547,54672,50495,51181,560615
20080317,51742,51742,47378,48251,890048
20080318,48625,50308,47752,48750,928115
20080319,50807,52366,50371,52366,865691
20080320,50869,51493,49249,50869,875367
20080321,51992,52428,51243,52054,466405
