날짜,시가,고가,저가,현재가,거래량
20080102,49000,49000,46900,47000,630504
20080103,46050,47800,46050,47150,367185
20080104,46700,46850,45150,45450,1661914
20080107,43800,44300,42850,42950,1245676
20080108,43200,43500,42100,42850,950425
20080109,42100,44050,41850,44050,727114
20080110,44300,44400,42700,42700,673777
20080111,43500,43550,41500,41550,662075
20080114,41500,42350,41000,41700,478289
20080115,41800,43200,41050,41750,660472
20080116,41000,41450,40200,40600,790938
20080117,41400,42900,40950,42600,878359
20080118,42050,44700,41800,44600,1405080
20080121,44650,45150,41300,41500,1303644
20080122,39150,41250,39150,39850,1263447
20080123,41300,41500,39550,40000,978902
20080124,41000,41450,40650,41000,511919
20080125,41900,43250,41600,43200,686191
20080128,42350,42800,40850,41500,570493
20080129,42300,44050,41750,44000,809192
20080130,44600,44800,42500,43000,1227718
20080131,42900,44000,42100,43900,861605
20080201,44500,44700,42650,43150,617189
20080204,43300,44000,42800,44000,963120
20080205,43350,44450,43350,44000,593669
20080211,42650,43700,42500,43100,623183
20080212,43400,43700,41600,41650,1107117
20080213,42100,42250,40200,40200,932810
20080214,41150,41500,40700,41500,696520
20080215,40800,40850,40150,40700,951202
20080218,41000,41900,40750,41000,825178
20080219,41750,43400,41200,43400,1251191
20080220,42700,43900,42350,42900,1181496
20080221,43750,44100,43200,43400,969560
20080222,42950,44050,42850,44000,784661
20080225,44400,44550,43600,44000,827409
20080226,44500,44700,42800,43800,897417
20080227,44200,44250,43300,43300,703850
20080228,43500,44650,43100,44100,598179
20080229,43750,44600,43350,44150,601643
20080303,42900,43300,42050,42200,711665
20080304,42600,43500,41650,43200,514531
20080305,43300,46350,43300,46200,2432248
20080306,47150,48200,46200,47900,2122284
20080307,47000,49000,46900,48400,1836886
20080310,47900,48900,47100,47500,1017869
20080311,48000,50300,47600,49400,1739636
20080312,50900,51300,49650,49900,1446902
20080313,49900,50400,48700,49800,851134
20080314,50900,52000,50100,51300,1354330
20080317,51400,52300,49800,51300,1402957
20080318,51300,51900,49450,51300,1059348
20080319,51800,51800,49800,51100,1380119
20080320,50300,51200,49800,51200,646522
20080321,52000,53300,51200,52600,1233830
20080324,52700,53600,52200,53100,744907
20080325,53200,53200,50500,50700,1719308
20080326,51000,51900,50800,51000,718901
20080327,50900,52600,50500,52600,787127
20080328,52200,54900,51700,54200,1383871
20080331,54500,54800,53300,54100,609515
20080401,54100,54500,53300,53500,806683
20080402,54500,54800,53300,53800,1050144
20080403,54200,55500,53800,54800,1003182
20080404,54800,54800,52800,54000,775162
20080407,53300,53700,52700,53700,719757
20080408,53300,55100,52800,54600,948698
20080410,54700,55500,54100,54900,698050
20080411,55100,55900,54400,55900,699422
20080414,54800,55400,53100,54600,761027
20080415,54100,54600,51100,51100,1437311
20080416,51600,52600,50200,51300,1619658
20080417,52200,52900,51700,52000,768161
20080418,52600,54700,52400,54300,1021743
20080421,55200,55600,54200,54700,711063
20080422,54600,55100,51800,54200,1028724
20080423,53600,55500,53600,53900,682467
20080424,54300,56100,53900,55700,1122922
20080425,55900,57000,55800,56500,1007997
20080428,56900,56900,55300,56400,551057
20080429,56400,56400,53900,55800,1246092
