날짜,시가,고가,저가,현재가,거래량
20080102,11180,11200,10840,10880,18047200
20080103,10760,11060,10640,10920,19346500
20080104,10920,10960,10760,10780,17997350
20080107,10360,10480,10340,10380,39787200
20080108,10380,10480,10320,10320,24783700
20080109,10340,10580,10260,10500,23865450
20080110,10440,10580,10320,10320,31551350
20080111,10360,10520,10220,10320,23425150
20080114,10280,10520,10280,10500,22167000
20080115,10660,10820,10420,10640,40283950
20080116,10400,10800,10360,10600,49448100
20080117,10740,11200,10720,11200,42213900
20080118,11040,11440,10960,11340,35586400
20080121,11220,11460,11160,11280,25085050
20080122,11000,11160,10720,10720,43213650
20080123,11040,11120,10760,10800,36303850
20080124,11020,11240,10980,11120,27902000
20080125,11120,11400,11080,11220,26107500
20080128,11060,11300,10720,10780,27213200
20080129,10920,11200,10880,11160,21471250
20080130,11340,11620,11200,11420,35769400
20080131,11580,11940,11420,11900,46767100
20080201,12020,12100,11560,11720,28352100
20080204,12040,12240,12000,12240,46921550
20080205,12100,12360,12020,12260,23207550
20080211,11820,12020,11680,11680,28841250
20080212,11700,11760,11460,11460,18513050
20080213,11760,11760,11400,11480,21558700
20080214,11660,11860,11600,11860,28837050
20080215,11720,11800,11500,11720,20001000
20080218,11640,11740,11420,11540,18412450
20080219,11600,11740,11540,11740,16641000
20080220,11740,11800,11520,11560,18171450
20080221,11580,11920,11580,11880,21269600
20080222,11640,11740,11600,11640,15574600
20080225,11560,11640,11500,11620,15236300
20080226,11620,11720,11380,11420,12393550
20080227,11460,11720,11380,11560,13882800
20080228,11680,11700,11460,11600,14536100
20080229,11540,11540,11200,11200,22988800
20080303,10900,11040,10840,10980,22136800
20080304,11000,11220,11000,11040,16975550
20080305,11020,11320,11020,11240,21097000
20080306,11260,11500,11160,11240,18850600
20080307,11000,11100,10940,11000,20272750
20080310,10960,11220,10900,11080,17898000
20080311,10960,11180,10940,11100,31354900
20080312,11320,11400,11160,11200,24374050
20080313,11020,11180,10940,11000,30835150
20080314,11100,11140,10860,10940,22180950
20080317,11060,11180,10900,11000,40741250
20080318,11040,11440,11040,11360,42480400
20080319,11640,11860,11600,11820,35035300
