날짜,시가,고가,저가,현재가,거래량
20080102,8550,8550,8280,8310,969550
20080103,8260,8310,8160,8270,638950
20080104,8270,8270,8170,8220,510950
20080107,8110,8130,7990,8000,1951050
20080108,8020,8040,7850,7860,2597600
20080109,7840,8020,7830,7920,1972850
20080110,7920,7940,7740,7740,1361550
20080111,7840,7870,7680,7680,1389600
20080114,7650,7870,7650,7870,651200
20080115,7920,8080,7870,8000,1850700
20080116,7860,8110,7720,8060,1299050
20080117,8080,8560,8010,8440,1964800
20080118,8360,8450,8220,8350,2047650
20080121,8230,8270,8120,8250,2492650
20080122,7820,8150,7820,8050,3060500
20080123,8200,8240,7890,7920,1916500
20080124,7940,8160,7940,8000,994700
20080125,8020,8270,8010,8180,1313800
20080128,7900,8080,7750,7750,1350550
20080129,7900,8160,7820,8000,766500
20080130,8200,8520,8100,8100,2415050
20080131,8200,8610,8060,8600,2632650
20080201,8600,8660,8340,8440,2005050
20080204,8600,8950,8580,8930,2639300
20080205,8840,9180,8790,9100,2094300
20080211,8800,9100,8630,8630,1344400
20080212,8660,8780,8510,8540,1437900
20080213,8660,8660,8380,8380,1114950
20080214,8460,8630,8460,8460,2118100
20080215,8320,8360,8210,8240,1993050
20080218,8200,8260,8100,8100,994650
20080219,8220,8460,8200,8420,923400
20080220,8300,8480,8300,8420,886700
20080221,8490,8700,8420,8700,1121300
20080222,8580,8600,8450,8600,612600
20080225,8510,8540,8470,8510,563100
20080226,8550,8560,8200,8360,960050
20080227,8310,8400,8200,8290,859550
20080228,8360,8370,8270,8340,534600
20080229,8300,8300,8160,8190,2047800
20080303,8160,8220,8080,8200,2659650
20080304,8200,8270,8100,8100,849100
20080305,8170,8200,8060,8110,1879700
20080306,8160,8260,8080,8210,496950
20080307,8100,8100,7880,7950,1563400
20080310,7860,8050,7860,8040,1117350
20080311,8040,8240,8020,8200,1816600
20080312,8300,8360,8220,8220,1767200
20080313,8190,8270,8150,8270,2176350
20080314,8260,8290,8040,8150,2847800
20080317,8150,8500,8120,8300,3787400
20080318,8200,8350,8170,8260,4952700
20080319,8420,8600,8400,8590,2158050
20080320,8410,8850,8410,8850,2269650
20080321,8850,8910,8740,8850,1263550
20080324,8910,8910,8700,8750,549950
20080325,8870,8950,8800,8800,1061450
20080326,8830,8870,8740,8760,2453450
20080327,8700,8800,8580,8800,1223050
20080328,8800,8990,8740,8920,1187700
20080331,8920,9030,8910,8920,2514300
20080401,8920,9130,8910,9000,4714350
20080402,9170,9370,9150,9370,1662100
20080403,9370,9560,9320,9540,2235400
20080404,9540,9540,9230,9260,1151100
20080407,9280,9420,9200,9200,1468200
20080408,9200,9200,9100,9150,510900
20080410,9200,9560,9150,9560,2579800
20080411,9540,9780,9510,9740,2418150
20080414,9540,9670,9480,9620,1588100
20080415,9590,9610,9420,9420,1389300
20080416,9600,9600,9130,9400,2261500
20080417,9700,9700,9380,9380,1537500
20080418,9360,9490,9310,9390,2716700
20080421,9540,9610,9440,9560,3439600
20080422,9600,9780,9560,9740,2218250
20080423,9620,9770,9560,9560,2855000
