날짜,시가,고가,저가,현재가,거래량
20080102,30598,30789,29832,29947,1527843
20080103,29640,30176,29487,29870,1110364
20080104,29908,30023,28951,29564,1828989
20080107,28874,29066,28645,28913,1837232
20080108,28874,29142,28223,28645,1685119
20080109,28109,28338,27879,28262,2340731
20080110,28262,28606,27879,27879,2616451
20080111,27917,28300,27036,27496,3001809
20080114,27113,27189,25773,26270,3881498
20080115,26194,26462,25045,25504,3669506
20080116,24815,26155,24662,25504,3080415
20080117,25773,26462,25351,26041,2705077
20080118,25275,25658,24700,25045,3944178
20080121,23819,24088,22441,22441,6984516
20080122,21483,21637,20488,21101,6067208
20080123,21752,22020,20909,20947,4100483
20080124,21292,23245,21292,23130,5745693
20080125,23743,24317,22977,23360,4182478
20080128,23130,23245,21445,21828,3175563
20080129,22479,22824,21254,21713,2197649
20080130,21981,22096,19301,19454,5194460
20080131,19224,20296,19071,19492,4060240
20080201,20296,21369,20067,21062,4700878
20080204,21828,23054,21713,22594,4183291
20080205,22441,22900,21905,22671,2198804
20080211,21905,22058,21330,22058,2077289
20080212,22556,23054,22020,22326,2420814
20080213,22747,22747,21292,21675,2179258
20080214,22173,22747,22058,22709,2071752
20080215,22211,24126,22020,23551,3340584
20080218,23973,24049,22900,23168,2686118
20080219,23551,23973,23092,23743,2270293
20080220,23743,23743,22747,22747,2105342
20080221,23130,23398,22786,22939,1666654
20080222,22441,22977,22096,22939,1483436
20080225,23283,24049,23207,23360,1627262
20080226,23781,23819,22939,23130,1219887
20080227,23437,23705,23283,23283,1379025
20080228,23437,24662,23398,24317,3187895
20080229,24356,25504,24126,24471,4297237
20080303,23666,24049,23360,23475,2831455
20080304,23819,24279,23398,24241,2018439
20080305,24394,24624,23819,24088,1680336
20080306,24279,25160,24164,24777,2097174
20080307,24279,24356,23705,24049,2295554
20080310,23360,23590,22441,22824,3072271
20080311,22249,23398,22249,23130,1530340
20080312,24088,24088,23130,23398,1767698
20080313,23130,23360,22403,22594,2274860
20080314,22939,23130,21445,21943,2933647
20080317,21445,21943,20909,21828,2895874
20080318,21866,22135,21522,21981,2306564
20080319,22939,23092,22632,22747,2332017
20080320,22211,22441,21905,22364,1783333
20080321,22786,22900,22517,22632,1379005
20080324,22862,23168,22747,22747,1165515
20080325,23168,23360,23015,23015,1140409
20080326,23092,23437,22939,23092,1335492
20080327,23015,23475,22824,23398,1709261
20080328,23245,24126,23245,23896,2210400
20080331,24088,24394,23819,24164,2057456
20080401,24356,24815,24049,24356,2006128
20080402,25045,25083,24700,24700,2059118
20080403,24892,25581,24509,25275,2448552
20080404,25466,26615,25390,26117,4102014
20080407,26653,27840,26462,27036,5214692
20080408,27266,27381,26424,27266,3501406
20080410,26921,26960,26270,26807,3308958
20080411,26577,27075,26424,26768,1629984
20080414,26270,26462,26079,26270,2064445
20080415,26002,26462,25696,25849,2297691
20080416,26194,26500,25734,25926,2389146
20080417,26347,26653,25887,26041,2298967
20080418,25658,25964,25122,25275,4187489
20080421,25696,26232,25543,26041,3350757
20080422,26347,26577,25428,25811,2650769
20080423,25619,27075,25581,26768,4377873
20080424,27151,27687,26462,27304,3794675
20080425,27687,27764,27036,27496,2688994
20080428,27189,27419,26500,27036,2692247
20080429,26998,27228,26117,26347,2620936
20080430,26270,26385,25696,26117,2246897
20080502,27036,28300,26921,28223,6594713
20080506,28415,28951,27955,28262,4957835
20080507,28721,30023,28645,29104,7277408
20080508,28989,29755,28798,29564,3713326
20080509,30023,30598,29717,29908,4116728
20080513,29908,30023,28798,29411,3539785
20080514,29602,30253,29602,30138,3220079
20080515,30330,31172,30100,30636,3273603
20080516,31325,32091,31172,31823,5576374
20080519,32551,33355,32206,32972,4615101
20080520,33125,33623,32474,32704,3241084
20080521,31861,33508,31823,32704,3267185
20080522,32704,32972,31976,32781,3662133
20080523,33393,34006,32781,32781,4274350
20080526,32321,32742,31172,31517,4529488
20080527,31325,32015,30713,31938,2376238
20080528,32321,33049,31938,32091,2334500
20080529,32474,33470,32244,32704,3892700
20080530,33202,33623,32819,32819,2897743
20080602,33317,33929,33317,33700,3456957
20080603,33700,34389,33470,33929,2930024
20080604,34006,34044,33087,33853,2119654
20080605,33853,33929,33049,33700,2583739
20080609,32934,33010,32436,33010,3364222
20080610,33010,33010,31287,31555,4793409
20080611,31632,32053,30521,31249,2934179
20080612,30636,30636,29449,29640,5451805
20080613,29870,30138,28568,29679,4465094
20080616,29908,30751,29372,29947,3331749
20080617,30023,30406,29487,30176,2193010
20080618,30176,31287,30138,30904,2915269
20080619,31057,31325,30636,31019,2521801
20080620,31287,31593,31057,31249,2281808
20080623,30713,31402,30598,31210,1565772
20080624,30559,30559,29602,29870,4945931
20080625,29334,29334,28568,29257,4218570
20080626,29449,30138,29104,29104,3065607
20080627,28109,28760,27726,28760,2026152
20080630,28377,29219,28377,28568,1811372
20080701,28721,29525,28721,28798,3402534
20080702,29104,29257,27764,28300,3051279
20080703,27572,28798,26921,28491,3481656
20080704,28338,28913,28338,28530,1543949
20080707,28453,29487,28453,29142,2819633
