날짜,시가,고가,저가,현재가,거래량
20080102,85821,85916,83450,83545,543731
20080103,82218,84399,81364,83640,803764
20080104,83545,83640,81743,81838,894439
20080107,78709,79847,77761,77855,942732
20080108,78140,80795,78140,79183,623523
20080109,77761,82692,77192,82502,628737
20080110,83261,84114,80606,80606,459291
20080111,81554,82502,77761,78235,440203
20080114,78235,79183,75674,75959,491839
20080115,76812,77666,71407,74916,725347
20080116,72166,75200,72166,73493,527788
20080117,74442,75200,70459,73019,936116
20080118,71217,75580,71123,75390,667007
20080121,74916,74916,70933,72166,652210
20080122,69036,69321,61640,65148,1461885
20080123,67803,67993,63062,63536,1141938
20080124,65433,67519,64769,66950,964155
20080125,67803,68847,66571,68467,644417
20080128,67140,67424,62967,63346,619751
20080129,64959,66002,62019,62114,789004
20080130,62777,63062,57277,58036,982045
20080131,57467,61640,56993,60502,673370
20080201,61450,63441,61450,62588,671089
20080204,63062,69510,63062,66571,1015495
20080205,67045,69036,66191,68752,696086
20080211,65812,66571,64390,65053,527042
20080212,65622,65812,64484,65148,345042
20080213,66097,66571,63252,63536,423806
20080214,65338,67803,64864,67614,483206
20080215,66286,67329,64484,65338,937344
20080218,65622,66950,63915,64484,1058639
20080219,66381,70079,65907,70079,2181026
20080220,68941,70174,67709,68183,1399005
20080221,69700,69890,66571,67329,1402368
20080222,66286,66286,64769,66002,1030357
20080225,66950,67329,65907,66286,639795
20080226,67234,67614,62114,63157,3057779
20080227,63157,63441,60312,62872,3050664
20080228,63536,64390,63062,64010,1191686
20080229,63536,63536,62208,63536,1097284
20080303,61165,62114,60976,61450,830984
20080304,61924,62114,59458,59743,1383315
20080305,60027,60596,58889,59269,779971
20080306,59743,60786,59079,60502,1122004
20080307,59079,59364,58415,58795,835360
20080310,57372,58415,56139,57372,1389010
20080311,56614,58984,56519,58700,998498
20080312,61260,61545,60217,60407,1009759
20080313,60407,63157,59933,60691,1428392
20080314,62398,62398,58415,58795,1105536
20080317,57846,60122,56898,59174,720188
20080318,59743,60502,59174,60027,501757
20080319,62114,62398,60407,60691,745392
20080320,59838,61924,59838,61640,551292
20080321,63252,65053,62777,64674,1514011
20080324,65053,65812,64295,65717,956786
20080325,66665,66665,64959,65338,980467
20080326,65717,67614,65338,66855,1122830
20080327,66381,66855,65907,66191,730677
20080328,65433,69605,64959,69226,1249060
20080331,69036,69700,68278,69036,826882
20080401,69605,73304,69036,71976,1596504
20080402,74347,78140,74157,76812,2512416
20080403,76717,78519,75959,78330,1137671
20080404,77381,82502,76054,80511,1799467
20080407,80606,80700,78330,78993,1300008
20080408,78330,78519,75390,75390,1352769
20080410,73873,77097,73209,76717,1094563
20080411,77286,78140,76054,76717,847628
20080414,74536,75580,74442,74536,629288
20080415,75200,77192,74916,76812,768399
20080416,78140,78614,76812,76812,600846
20080417,78709,81080,77855,79942,1709002
20080418,80700,81554,79183,80890,885851
20080421,82028,82502,80985,81269,678694
20080422,81364,81554,76338,77381,2067971
20080423,77855,80700,77761,78424,1353360
20080424,79278,81364,78140,79468,919310
20080425,80795,81743,80131,80416,718185
20080428,81080,81933,79278,80321,647716
20080429,80606,80700,77286,80037,726279
20080430,79657,80226,77286,78235,1010644
20080502,79088,79088,76623,78709,1446641
20080506,77666,77950,76528,76717,853353
20080507,76812,77476,74252,75011,1050645
20080508,73209,75959,73209,74347,745627
20080509,74347,74726,71123,71407,1238727
20080513,71502,72640,70364,72260,928941
20080514,71881,71976,68372,69226,1534339
20080515,69226,71881,69226,71881,1138677
20080516,72355,73304,71407,71691,837363
20080519,72071,73304,71691,72545,782012
20080520,72545,73019,71597,72545,484116
20080521,71407,71881,69605,70174,844102
20080522,68562,68941,66950,68088,1147542
20080523,68467,70079,67614,68657,920145
20080526,67803,69700,67329,67993,676043
20080527,68372,69890,68372,69700,532380
20080528,70079,70364,67709,68467,510474
20080529,68847,70079,68467,68941,423427
20080530,69890,71312,69700,70079,765644
20080602,70364,70933,69605,70554,396122
20080603,69700,69890,67234,67329,1220026
20080604,67424,69510,67140,69226,710297
20080605,69226,69890,68467,69226,363731
20080609,67234,68467,66950,68467,528929
20080610,68752,69036,66571,67140,472667
20080611,67614,67709,64959,66097,637362
20080612,64959,65338,63726,63915,926282
20080613,64295,65148,63536,64579,523227
20080616,65528,66571,64864,65528,401124
20080617,65907,66191,62967,64105,754330
20080618,63536,64484,62683,64105,640143
20080619,63536,63726,61924,63346,641936
20080620,63821,63915,62777,63062,303799
20080623,61829,63536,61640,63441,326622
20080624,63157,63536,62303,63062,279985
20080625,62683,64484,62683,63915,441384
20080626,64105,65338,63536,63631,499246
20080627,61734,62872,61450,62777,493943
20080630,62493,62588,61545,61924,357627
20080701,61734,62683,60691,62208,462841
20080702,61734,62208,60027,60596,717364
20080703,59174,61450,58415,60312,620564
20080704,59743,61450,58320,58700,541464
20080707,57467,58226,56424,57751,890300
20080708,57182,57372,54053,54907,1113985
20080709,56424,57941,55950,56045,965584
20080710,54717,59269,54717,59269,916532
20080711,59079,61829,57846,61450,905436
20080714,61071,61734,59743,60312,627896
20080715,59553,59553,56519,57182,939759
20080716,57372,58605,55001,56424,1019373
20080717,59269,59553,56424,56708,1163873
20080718,57846,58700,56614,56614,1110225
20080721,57751,62777,57657,61450,1947248
20080722,60502,62588,60407,62114,814652
20080723,64010,65243,63252,63631,1300583
20080724,63821,64295,62398,64200,853310
20080725,62398,62777,60881,62114,1173718
20080728,62493,62588,60976,61734,646700
20080729,60122,60217,58036,58984,1310712
20080730,60976,61640,59553,59743,871886
20080731,60691,61355,59458,60407,701961
20080801,59648,59648,58605,59458,626154
20080804,59079,59648,57846,57941,431309
20080805,57657,58510,57372,58320,640766
20080806,60217,61450,59743,60976,1098084
20080807,60786,61260,59648,60881,496640
20080808,59933,61734,59648,60786,482091
20080811,62303,63536,62208,62208,1022333
20080812,62208,63726,61734,62398,532964
20080813,62114,63252,61924,62777,445237
20080814,62019,63346,61829,63252,447017
20080818,63726,63726,62683,63157,307035
20080819,62114,62208,60691,61545,517643
20080820,60407,60881,59553,60596,523742
20080821,60312,60786,58320,59079,501781
20080822,58320,58700,56424,58226,646872
20080825,57941,58984,56708,57562,581985
20080826,56139,57182,56045,56234,555636
20080827,55381,57372,55001,56519,625503
20080828,57088,58510,55570,56234,712520
20080829,57562,58036,56614,56614,556161
20080901,55476,56329,52820,53105,822424
20080902,53579,54527,51493,52157,813433
20080903,51303,57467,51303,56898,1251259
20080904,56708,58795,55476,57277,753166
20080905,55665,57941,54907,56708,566388
20080908,59838,65148,59838,64484,2506182
20080909,63915,65053,63536,64200,1284223
20080910,62872,67424,62114,67140,2210661
20080911,66571,68657,66097,67234,1124472
