날짜,시가,고가,저가,현재가,거래량
20080102,2817,2822,2674,2716,36167
20080103,2716,2716,2683,2693,7969
20080104,2716,2748,2646,2734,15977
20080107,2660,2711,2633,2683,8311
20080108,2628,2706,2610,2628,20967
20080109,2628,2665,2480,2554,49508
20080110,2582,2610,2517,2527,31807
20080111,2559,2577,2517,2517,17418
20080114,2517,2563,2480,2499,10510
20080115,2577,2577,2319,2342,61533
20080116,2397,2397,2148,2190,93281
20080117,2255,2278,2167,2213,50890
20080118,2172,2250,2135,2222,32710
20080121,2255,2255,2181,2208,8736
20080122,2296,2296,2093,2116,52896
20080123,2121,2181,2093,2093,25909
20080124,2208,2208,2102,2148,29954
20080125,2241,2397,2139,2296,37770
20080128,2338,2338,2213,2282,5626
20080129,2397,2397,2255,2338,32857
20080130,2444,2444,2241,2305,11076
20080131,2444,2444,2213,2301,2909
20080201,2393,2393,2213,2218,15809
20080204,2259,2342,2199,2301,27648
20080205,2324,2324,2245,2301,4114
20080211,2296,2342,2241,2278,9265
20080212,2342,2384,2213,2301,8999
20080213,2305,2305,2231,2268,12141
20080214,2282,2296,2222,2287,29554
20080215,2287,2301,2218,2250,5385
20080218,2296,2296,2213,2273,14173
20080219,2241,2268,2208,2255,71231
20080220,2268,2268,2213,2255,20163
20080221,2291,2291,2241,2282,5438
20080222,2310,2310,2231,2278,5013
20080225,2338,2338,2241,2278,29972
20080226,2255,2347,2241,2324,28348
20080227,2333,2342,2291,2342,23058
20080228,2351,2573,2333,2545,52946
20080229,2545,2545,2453,2531,11919
20080303,2540,2545,2402,2527,14804
20080304,2462,2628,2457,2628,32762
20080305,2633,2739,2559,2656,51612
20080306,2591,2674,2559,2559,13096
20080307,2573,2573,2457,2494,30634
20080310,2397,2494,2397,2485,5852
20080311,2490,2490,2397,2480,11011
20080312,2448,2573,2448,2490,7093
20080313,2490,2563,2448,2448,10678
20080314,2444,2490,2397,2407,7353
20080317,2338,2490,2268,2351,20060
20080318,2245,2393,2245,2319,24468
20080319,2351,2411,2310,2370,4096
20080320,2393,2393,2305,2328,3177
20080321,2374,2397,2314,2351,12547
20080324,2351,2379,2324,2351,28375
20080325,2333,2416,2319,2351,19806
20080326,2338,2397,2314,2342,10952
20080327,2356,2356,2287,2324,7619
20080328,2310,2370,2268,2324,9623
20080331,2347,2351,2282,2314,12935
20080401,2333,2388,2310,2351,42812
20080402,2370,2388,2291,2342,37953
20080403,2342,2402,2333,2365,29647
20080404,2365,2536,2333,2379,49541
20080407,2434,2457,2370,2430,17349
20080408,2448,2448,2370,2374,27168
20080410,2416,2471,2397,2439,32756
20080411,2476,2476,2397,2407,20421
20080414,2407,2425,2379,2384,14084
20080415,2379,2467,2379,2467,24814
20080416,2430,2490,2430,2480,11794
20080417,2434,2536,2434,2480,10356
20080418,2453,2508,2453,2490,4511
20080421,2490,2665,2467,2619,63244
20080422,2656,2656,2554,2619,26008
20080423,2646,2697,2596,2637,14937
20080424,2628,2628,2527,2582,11057
20080425,2504,2637,2490,2582,8275
20080428,2605,2605,2504,2504,16844
20080429,2531,2531,2434,2480,13405
20080430,2485,2563,2439,2563,14752
20080502,2536,2536,2467,2508,53470
20080506,2517,2600,2471,2582,35399
20080507,2596,2596,2490,2490,15036
20080508,2554,2554,2421,2471,40019
20080509,2439,2628,2439,2582,84899
