날짜,시가,고가,저가,현재가,거래량
20080102,359996,364447,351095,351590,79205
20080103,355546,355546,345656,346645,101223
20080104,348623,348623,337249,338733,203057
20080107,333293,342689,332799,333293,170966
20080108,336755,343678,334777,340711,117369
20080109,338733,348128,335766,347139,81154
20080110,347139,348128,337249,343183,143559
20080111,344667,345161,328843,330326,119106
20080114,328843,334282,328348,328348,90240
20080115,330326,331315,315986,326370,153921
20080116,317964,318953,301645,306590,386463
20080117,306590,306590,292250,301151,286687
20080118,295217,304118,287799,298184,313945
20080121,298184,305107,290766,291755,211172
20080122,283843,297689,278898,292744,252226
20080123,298184,299667,286810,289777,175271
20080124,291755,296700,288788,289283,146402
20080125,290272,295217,287799,295217,193504
20080128,290272,293733,282854,286316,115094
20080129,291261,306096,289777,296206,182877
20080130,305107,305107,285327,296700,156131
20080131,300656,308074,291755,302140,179520
20080201,305601,311535,298184,309063,171466
20080204,307085,323403,307085,318953,154558
20080205,315986,320931,309557,311535,102837
20080211,303623,311041,295711,299173,122584
20080212,299667,300656,293239,296206,118177
20080213,298678,303623,292744,296206,96903
20080214,303129,303623,297689,301645,97832
20080215,297689,298678,293239,293733,111346
20080218,293239,300656,291755,293733,72507
20080219,297689,299667,294722,296700,111834
20080220,293733,294722,287305,289777,160151
20080221,291261,292744,286810,289283,112422
20080222,287799,289283,282360,283349,90072
20080225,286810,288788,284338,287799,80643
20080226,287799,291261,285327,285327,139955
20080227,287305,291755,286316,288788,120428
20080228,290272,290272,285327,287799,170639
20080229,288294,293733,284832,291755,184394
20080303,288788,289777,281865,284832,134477
20080304,285821,286316,279887,284832,96010
20080305,285327,285821,276426,277415,126111
20080306,278404,287305,276920,284832,113085
20080307,281865,289283,277415,289283,125712
20080310,285327,289283,281865,284338,103892
20080311,281371,291261,280876,287799,125094
20080312,292744,295711,292250,292744,116596
20080313,292250,294228,286316,286316,109300
20080314,287799,291261,243789,285327,184889
20080317,281865,281865,267030,272470,126705
20080318,276920,286316,266536,273459,175356
20080319,278404,280382,273953,279887,158426
20080320,279393,286810,273459,284338,96262
20080321,287305,291755,284338,291261,150345
20080324,293733,294228,284832,286316,84782
20080325,287799,301645,286316,296206,181743
20080326,296700,302634,291755,300162,123160
20080327,300656,306096,297689,304118,101591
20080328,301645,311041,299667,304612,113583
20080331,307579,310546,302634,308568,118095
20080401,304612,308074,296700,301151,138070
20080402,304612,306096,291261,291261,282046
20080403,289283,295217,288788,294722,292865
20080404,298184,305107,291755,299173,92697
20080407,303129,311041,301645,310546,136582
20080408,311535,311535,304118,310052,102335
20080410,315491,315491,305107,314008,160078
20080411,314997,317469,311041,315491,97500
20080414,308568,311535,306096,311535,64038
20080415,311535,312030,304612,311535,74384
20080416,315491,316480,312030,313513,85739
20080417,318458,320436,314997,318953,82493
20080418,313513,318953,312524,314502,88303
20080421,314997,316480,308074,310546,81975
20080422,310052,312524,307085,307579,110258
20080423,306096,320931,306096,319447,130752
20080424,321425,322909,312030,322909,109356
20080425,322909,331810,322909,331810,109892
20080428,326865,331315,323403,327359,60889
20080429,327854,329337,316975,324887,105842
20080430,320436,323898,317964,321425,118754
20080502,325876,325876,318953,319447,117625
20080506,315986,328843,314008,328843,92052
20080507,323403,328843,315986,321425,98410
20080508,318953,319447,313513,314997,118677
20080509,315986,317964,305601,311041,128222
20080513,305601,309063,298184,301645,268097
20080514,291755,294228,280382,280876,846376
20080515,282854,292744,282854,290766,536649
20080516,292744,297195,292250,295711,248602
20080519,298184,298678,289283,290766,205492
20080520,289283,296206,289283,293239,171836
20080521,293239,296700,291261,294722,127506
20080522,293239,294228,285327,289777,160802
20080523,287799,289777,284338,287305,124481
20080526,282360,284338,275931,276920,210012
20080527,278404,284338,277415,283349,69718
20080528,286810,287305,284338,285327,111320
20080529,288294,295217,285327,293733,160446
20080530,296700,296700,288788,295711,128681
20080602,294228,294722,288788,293239,137496
20080603,290272,291755,283349,284832,135500
20080604,285327,286316,282854,286316,106699
20080605,286316,287305,283349,287305,91389
20080609,280382,290272,278898,286810,178525
20080610,288788,288788,279393,279887,168901
20080611,279887,281865,273953,278404,165826
20080612,275931,277415,271975,271975,198746
20080613,272470,281865,271975,281865,162612
20080616,277909,282854,274942,276920,169773
20080617,279887,280876,274942,278898,89176
20080618,278404,280382,276920,278404,100665
20080619,280876,283843,278404,279393,184867
20080620,280382,282360,272470,272470,120831
20080623,269503,277909,267525,273953,116072
20080624,270492,280876,268019,276920,114311
20080625,282360,282360,274448,278404,219166
20080626,278898,279393,274942,277415,44082
20080627,272470,277909,270986,274942,97979
20080630,276920,281865,274942,278404,123712
20080701,279887,283843,278404,280382,89146
20080702,280382,283843,277415,280382,181003
20080703,280382,282360,276920,277909,125866
20080704,275437,280382,269997,276920,125900
20080707,276426,278404,272470,274942,167271
20080708,276920,276920,248734,267030,380843
20080709,266536,266536,253184,254668,335265
20080710,249228,251206,241316,247250,425338
20080711,242800,252195,242800,250217,234127
20080714,247250,249228,242305,242305,142657
20080715,244530,244778,239833,239833,151134
20080716,241316,244530,234146,241563,232552
20080717,249228,250712,245767,247745,211874
20080718,251206,251701,246756,248734,88060
20080721,248734,257635,248734,254668,176541
20080722,253679,260107,251701,255657,93049
20080723,261096,266536,257140,261096,139640
20080724,260602,271481,260107,270986,145575
20080725,266041,271975,264063,269503,88843
20080728,268019,272470,264558,267525,64329
20080729,262085,266536,250712,257635,144026
20080730,262085,263074,255162,257635,69023
20080731,255162,261096,255162,259118,59733
20080801,262085,262085,254668,257140,45817
20080804,260107,260107,250217,251701,71803
20080805,248734,260107,248734,256151,127241
20080806,266041,271481,263569,267030,140091
20080807,269997,270492,257635,266041,133892
20080808,266536,267525,261591,263569,92950
20080811,267525,273953,267030,272964,115690
20080812,268514,278404,268019,269503,91561
20080813,273459,273459,268019,270986,67308
20080814,268019,270492,265052,265547,92329
20080818,271481,275437,270492,275437,102351
20080819,276920,276920,268019,271975,72819
20080820,278898,278898,269503,274448,105308
20080821,272964,275437,269503,274942,74184
20080822,275931,276426,270986,276426,104515
20080825,277415,278898,273953,277415,73605
20080826,274942,277909,270492,272964,88149
20080827,273459,273459,264063,270986,127951
20080828,272470,272470,262580,263569,76422
20080829,267030,270492,264558,269008,94806
20080901,261096,272964,260107,264063,129280
20080902,267030,273953,267030,273459,167569
20080903,273459,277909,266041,269997,130240
20080904,271481,271975,264063,269997,122910
20080905,263074,269008,263074,265547,138210
20080908,268019,274942,266041,270492,167597
20080909,269008,270986,264063,270986,127116
20080910,270986,281371,269997,277909,197913
20080911,277909,279887,273459,277415,277124
20080912,277909,283349,275437,281371,101852
20080916,276920,284338,275931,277415,131106
20080917,278404,283349,276426,282360,136135
20080918,276920,277415,258624,268514,230843
20080919,269997,275931,268019,269503,247435
20080922,271481,279393,256151,260107,368177
20080923,260107,261591,255657,259118,153927
20080924,257140,268514,257140,266536,118509
20080925,264063,269008,259613,268019,102647
20080926,268514,272964,266536,270986,129346
20080929,271975,278898,269503,273459,169296
20080930,267030,279393,262580,277909,201534
20081001,282854,282854,271975,279393,252080
20081002,281865,282854,271975,272964,100307
20081006,270986,271481,258129,260107,269961
20081007,257140,261591,254668,258624,158833
20081008,248734,254173,244778,247250,338628
20081009,240822,249723,234393,234393,247261
20081010,227470,231921,206454,224503,362994
20081013,223020,233651,223020,232415,242295
20081014,241563,247250,235135,238102,212713
20081015,235382,238596,226976,237360,148958
20081016,224503,232910,216344,222525,200867
20081017,227470,227965,215108,220300,171435
20081020,224009,231673,218816,229201,136695
20081021,229943,237360,212141,216591,286626
20081022,211646,217580,191124,202745,377682
20081023,188157,202745,182965,199778,175399
20081024,203734,203734,173817,182965,213482
20081027,182965,187910,162196,174064,252956
20081028,164669,184449,164669,178515,308173
20081029,185932,198789,176537,186921,280936
20081030,203734,214860,195822,214860,163965
20081031,217827,233404,212635,221042,313906
20081103,221536,231921,218075,222525,139923
20081104,222772,230437,215849,227470,144823
20081105,227717,242552,227717,235382,193846
20081106,232168,234888,222031,226481,145621
20081107,220547,228459,209915,223761,244054
20081110,222525,229448,214119,223761,186406
20081111,223514,223761,215108,217827,134653
20081112,210904,227965,210904,224998,127215
20081113,213130,226976,211399,226976,178703
20081114,227965,229943,217333,226976,156353
20081117,226976,229943,216838,220053,180489
20081118,216591,221289,208926,211399,188349
20081119,208679,209174,193597,202745,209039
20081120,187416,199284,187168,188405,148934
20081121,184943,196069,181234,195822,169852
20081124,191866,197306,188899,196069,137249
20081125,197306,204970,182471,190383,283013
20081126,191619,202745,190383,202745,211187
20081127,208926,213624,207690,209915,157096
20081128,210904,218322,209915,218322,161011
20081201,224009,224009,208679,212388,173081
20081202,199036,209915,199036,201509,106602
20081203,202003,204229,190877,202498,232347
20081204,203734,204229,197306,197306,99358
20081205,201756,210904,197553,206454,141365
20081208,205218,225492,202251,221536,180948
20081209,226234,226234,215602,222525,125553
20081210,224009,228212,217580,224256,196877
20081211,220053,228459,218075,227223,290910
20081212,222525,226728,210657,216838,189815
20081215,221042,237113,220547,225739,167219
20081216,226234,240327,224998,231673,182408
20081217,234640,243047,227223,237855,151551
20081218,242305,245519,233157,244530,137164
20081219,246508,246508,232910,232910,226283
20081222,232910,237855,226481,229695,166717
20081223,224998,230932,224750,228954,75045
20081224,226481,230437,223514,228212,69170
20081226,227965,227965,222278,224503,81346
20081229,222525,234393,219064,233404,79581
20081230,235877,238349,230437,238349,104839
20090102,235382,237113,229695,232415,101593
20090105,240080,240080,228459,231673,132928
20090106,233157,238844,230684,231426,120477
20090107,231426,235382,224998,227470,238790
20090108,230437,230437,219064,222031,223939
20090109,223020,225492,219064,219558,128847
20090112,221536,222525,215849,219558,137265
20090113,215602,218816,209915,215602,221623
20090114,213130,213377,209668,211646,202651
20090115,207690,208185,199778,200520,233195
20090116,200520,208185,200273,207937,154861
20090119,208185,211893,208185,211893,128125
20090120,206948,209668,201014,202745,126588
20090121,196317,200273,195328,198789,142327
20090122,203240,209174,197553,207196,161892
20090123,202992,207196,201014,205218,91245
20090128,212141,217086,210904,216591,162167
20090129,217086,222525,216591,220300,164849
20090130,217580,222525,213871,221042,104034
20090202,221042,222525,212635,216838,131688
20090203,219805,221536,212388,214613,131773
20090204,217333,220547,212388,213871,208137
20090205,213871,217086,212635,212882,89451
20090206,217086,220794,214613,219064,130523
20090209,220053,224503,219558,224256,126641
20090210,226481,226481,217086,220053,119518
20090211,213624,215849,213130,215849,80028
20090212,213624,215849,207690,215849,169472
20090213,215602,219805,210163,219064,92068
20090216,215602,221042,213624,219064,102163
20090217,214860,215108,209174,209174,148208
20090218,209174,209174,201014,202745,169245
20090219,201262,205218,199284,202745,159755
20090220,201509,202745,199778,200273,134018
20090223,202003,208185,200025,205465,85609
20090224,202251,205959,199778,204229,96699
20090225,209915,209915,201014,206207,113563
20090226,205218,210410,198789,201509,118548
20090227,202745,203981,199284,199284,97037
20090302,197800,198295,188899,192113,134402
20090303,190135,193350,185932,188157,116355
