날짜,시가,고가,저가,현재가,거래량
20080102,51445,51829,48950,49910,1542816
20080103,49718,49718,47510,47702,2041317
20080104,47702,47798,45591,46070,4437876
20080107,45111,45782,44679,45782,2280551
20080108,45591,45782,45063,45255,1778772
20080109,44775,45399,44391,45303,1567475
20080110,45399,45782,44823,45111,1778990
20080111,45591,45782,44151,44199,1686336
20080114,43863,44439,43239,43335,1754781
20080115,43671,43671,42807,43479,1635477
20080116,42903,43719,42759,43383,1874330
20080117,43863,46838,43671,46646,2680797
20080118,46070,47846,45303,47414,2874140
20080121,47318,48086,46214,47126,1791158
20080122,45447,46934,44535,45830,2244461
20080123,46550,47030,45782,47030,1562539
20080124,47510,48182,46550,46646,1684919
20080125,46646,47558,45159,46358,1737404
20080128,45111,46070,45111,45638,1134231
20080129,46022,47942,46022,47510,2220244
20080130,48086,48278,46166,47030,1389118
20080131,45974,48758,45399,48278,2611686
20080201,49238,49238,47318,48662,1164955
20080204,48182,49526,48182,48662,1039051
20080205,49430,49718,48470,49046,1164828
20080211,47702,47942,46598,47414,1651688
20080212,46646,47414,46502,46886,878663
20080213,47030,47510,45591,45878,1263782
20080214,46166,48470,46166,48470,1716579
20080215,47510,47510,46454,46790,1046590
20080218,47078,47942,46598,47126,910892
20080219,47990,48566,47702,47894,1186524
20080220,47030,47798,46214,46790,1334566
20080221,46838,48854,46838,48662,1419901
20080222,48470,48470,47078,47846,944137
20080225,47846,49718,47846,49334,1373782
20080226,49910,50485,49718,50294,1836135
20080227,50677,50677,49910,50198,993697
20080228,50390,50581,49142,50198,1191397
20080229,49910,49910,48854,49430,1199291
20080303,48758,48758,47222,48662,1895960
20080304,48758,48950,47462,47942,1021674
20080305,47606,47990,46886,47462,1227212
20080306,47510,48854,47270,48566,1124570
20080307,47942,47942,47078,47798,920549
20080310,46886,47702,46790,47126,661754
20080311,46310,47030,46262,46838,1274543
20080312,48278,49046,46838,47462,2478826
20080313,47030,47894,45591,45782,2352255
20080314,46454,46550,44967,45591,1921871
20080317,45974,46022,43959,46022,2321300
20080318,45591,45782,44679,45303,1773463
20080319,46070,46886,45159,45303,2267953
20080320,45015,45303,44295,45111,1360823
20080321,46070,47606,45830,47606,1417160
20080324,47990,49910,47798,49526,2137705
20080325,50390,50677,49622,50102,1941933
20080326,49430,49910,49046,49910,1358715
20080327,49526,50198,48950,50198,1185503
20080328,49814,50390,49142,50390,1218694
20080331,50390,50390,49238,50198,1123755
20080401,49718,51541,49718,50965,1746807
20080402,52309,54613,52309,54037,4456491
20080403,54037,54325,53365,54133,2240051
20080404,53365,53461,51829,52405,1827429
20080407,51733,51925,50869,51349,1769542
20080408,51541,51925,50677,51061,1145896
20080410,51733,52789,51061,52501,2713752
20080411,52501,53173,52117,52885,1444084
20080414,51445,52981,50773,52501,1432580
20080415,52501,53269,51925,52501,1309896
20080416,53269,53557,52693,53173,1541964
20080417,53749,53941,53365,53845,945317
20080418,53941,54229,52117,53269,1907597
20080421,53557,54133,52885,52885,1370660
20080422,52981,53077,51829,52309,1367492
20080423,51445,52789,51445,51733,1037384
20080424,52117,52693,50869,52021,1354415
20080425,52789,54421,52501,54421,2711121
20080428,54421,56340,54421,55189,2496768
20080429,55956,55956,54805,54805,1410212
20080430,54421,55860,54133,55572,1035241
20080502,56628,56724,55476,56532,1502637
20080506,54709,55284,53749,54997,3149121
20080507,54805,55189,53653,54613,1761911
20080508,53653,54229,51733,51829,3815563
20080509,51733,51733,50102,51253,2168344
20080513,51829,51925,50773,51253,1478128
20080514,51253,51445,49910,50965,1828096
20080515,50390,50965,50390,50773,2912325
20080516,50965,51253,50390,50581,1772787
20080519,50869,50965,49430,50006,2684042
20080520,50006,50102,48854,49142,2196669
20080521,48278,48470,47798,48086,2873070
20080522,47990,48470,47654,47798,1978672
20080523,48086,48374,47702,47702,1803988
20080526,47654,48278,47126,47318,1593341
20080527,47702,48566,47510,47990,2369391
20080528,48854,48854,47894,48278,2536498
20080529,48182,49622,48086,49526,2923459
20080530,49910,49910,48854,49430,1732646
20080602,48950,49238,47990,49238,1369941
20080603,48758,48758,47702,48182,1401262
20080604,47990,48662,47702,47990,1007750
20080605,47510,47750,46838,47366,1975659
20080609,46358,46358,45447,45591,2864132
20080610,45830,45878,43959,44295,3113682
20080611,44343,44775,43815,44151,2377212
20080612,43335,43767,42759,42759,3552057
20080613,43383,44439,43287,44391,2445594
20080616,45303,46694,44727,46262,3094076
20080617,46838,46982,45734,46646,2096643
20080618,46598,46742,45974,46646,913110
20080619,45591,45782,44679,45399,2006494
20080620,45207,45638,44823,45063,1070571
20080623,43671,45591,43623,44823,1249317
20080624,44823,45782,44295,45399,1088954
20080625,45782,45830,44967,45782,1530264
20080626,45495,46454,44919,45207,902071
20080627,44247,44679,43767,44679,1076576
20080630,44919,45686,44343,45399,1237434
20080701,44679,46022,44679,45207,1431041
20080702,45207,45926,44679,45063,1661430
20080703,44151,45255,43911,44823,1464098
20080704,44151,44871,42711,43239,1660164
20080707,43191,44439,42615,44247,1480732
20080708,43767,43959,41559,42519,2455687
20080709,43431,43815,42423,42423,1416737
20080710,41463,43383,41463,42231,2487093
20080711,42039,43815,41367,43671,1701006
20080714,43191,43719,42615,43191,1212486
20080715,42231,42519,40552,40935,2242602
20080716,40552,41223,39160,39832,2888465
20080717,40983,41463,39496,39976,2142181
20080718,40696,40792,39928,40168,1513854
20080721,40792,42711,40792,42183,3193079
20080722,41367,42663,41367,42327,1937984
20080723,44151,44343,43431,43767,3426876
20080724,44439,45686,44151,45111,3637438
20080725,44247,45399,44151,45111,1289927
20080728,44535,45543,44295,44727,1643270
20080729,43719,43959,42903,43863,1315085
20080730,44823,45686,44679,45303,2234700
20080731,45638,46214,44583,45495,1311275
20080801,45543,45543,44007,44919,882150
20080804,45111,45207,43527,44199,1221340
20080805,44919,45974,44631,45495,1945526
20080806,46406,47846,46166,47174,2321408
20080807,47702,47702,46310,47030,1772853
20080808,46358,48182,46310,47558,2586118
20080811,48182,48950,47702,48278,1873727
20080812,48086,48278,47318,47462,1237035
20080813,46934,47510,46358,47222,1240900
20080814,47126,48182,46550,48182,1742337
20080818,48758,48854,46982,47222,1166942
20080819,46454,46550,45447,46454,1729404
20080820,46406,47222,45543,46358,1339989
20080821,46070,46358,45686,45878,1125930
20080822,46022,46310,45015,45734,1589360
20080825,45734,47222,45734,46742,1200947
20080826,45591,47222,45495,46502,1029403
20080827,46934,47702,46406,47366,1175991
20080828,47990,47990,46694,47366,845817
20080829,47798,48470,47462,47846,1703544
20080901,47414,47846,45878,46118,1972902
20080902,46118,47030,43671,45638,3567586
20080903,45638,46550,43911,44439,2687424
20080904,44439,45495,43815,45207,1757770
20080905,44151,45303,44103,44439,1698077
20080908,47222,48374,46550,48086,3674653
20080909,47894,47894,46886,47798,1501809
20080910,46838,47798,46646,47510,2642649
20080911,46790,46934,45063,45303,4122276
20080912,46070,46886,45591,46070,1835563
20080916,40120,43911,40120,43815,3032884
20080917,45111,45159,43431,43815,2081432
20080918,41463,41943,37912,41079,5655841
20080919,42519,43239,41079,41751,5543456
20080922,42519,43575,42279,42663,2683250
20080923,42375,43047,41511,42903,2339802
20080924,43479,43479,42519,42519,2345950
20080925,42615,42615,41223,42231,2174292
20080926,42135,42135,41031,41367,2069246
20080929,41559,42135,40120,41031,2788545
20080930,37720,41319,37576,40216,3113031
20081001,41031,41079,39208,40120,2667863
20081002,40312,41175,39256,39640,2024817
20081006,39064,39064,36376,36808,3978131
20081007,35705,37528,35657,37240,2277201
20081008,35417,35609,32537,34169,3677337
20081009,33497,37288,33497,35513,4220254
20081010,33113,35945,31577,35177,4024015
20081013,36136,38104,35945,37528,3425947
20081014,39688,41511,39448,40312,4080138
20081015,38680,39928,38200,39928,2074559
20081016,37048,37288,33977,35465,4019861
20081017,35465,35513,31098,32345,4943641
20081020,33305,34505,32105,34073,4939722
20081021,35609,35609,33593,34697,2209777
20081022,33545,35657,32825,33977,3245470
20081023,31481,33785,30762,33113,2813435
20081024,32777,32921,29226,32777,3848912
20081027,32105,34985,30906,34553,4231128
20081028,32729,34073,32057,32729,4627011
20081029,33977,34649,27834,27834,5746103
20081030,29850,31961,24475,31673,9175582
20081031,30522,34121,28506,30042,7136759
20081103,29466,32633,29082,31817,4844397
20081104,32441,35465,32057,35321,4742215
20081105,37432,38584,35465,36088,4798398
20081106,34601,34889,31577,32777,3040695
20081107,31194,35561,30714,34937,3326118
20081110,34985,35897,32825,34505,2749806
20081111,34745,35945,33545,33689,2523750
20081112,32729,33353,31577,32825,2320003
20081113,30234,30714,27930,30714,4932328
20081114,32633,32633,30090,30714,2462446
20081117,30714,33257,28986,30714,3244905
20081118,29946,30666,28794,28794,2712830
20081119,28986,29370,27066,28074,2704790
20081120,26395,26874,24091,25339,3141532
20081121,23515,27354,22891,27354,2374441
20081124,26538,27210,24955,25003,2418864
20081125,26730,27354,23995,24571,2916862
20081126,24811,28170,24619,28122,5838043
20081127,29418,31673,28122,28458,5368717
20081128,29226,30858,28746,29274,3283031
20081201,29706,29706,27834,28314,2596696
20081202,27210,30282,26395,28794,3521945
20081203,29610,30906,29274,30378,3604058
20081204,31481,31865,28986,29514,2537285
20081205,29514,30858,29082,30426,1666722
20081208,30426,33113,29898,32633,3171228
20081209,33497,33497,30954,32441,2951129
20081210,32729,35081,32153,33497,3789337
20081211,33449,34457,31913,33497,8009089
20081212,31673,31769,28506,28506,6699984
20081215,29274,30714,29274,30714,3511603
20081216,30906,31433,29754,31194,2801074
20081217,32969,33257,31337,32057,3175816
20081218,32537,32825,30186,30810,3116943
20081219,31625,31721,30282,30474,2485265
20081222,30714,31098,29850,30186,1553610
20081223,30234,30474,28842,29178,1654659
20081224,28794,29130,27594,28794,1662492
20081226,28794,29370,28170,28794,1313488
20081229,28602,29034,27786,28746,969819
20081230,29178,29850,28506,28506,1256148
20090102,27978,28314,26634,28314,3748088
20090105,29466,32105,29178,30906,5425965
20090106,31002,31481,30714,31098,3941736
20090107,31385,32201,30714,31625,4241709
20090108,31241,31289,29850,30522,2517744
20090109,31194,31625,29178,29178,3164833
20090112,28362,28794,27882,28410,2339330
20090113,28026,29514,27642,29034,1688370
20090114,29658,30714,28314,30714,2446761
20090115,29370,29562,28698,28794,2729928
20090116,28314,28986,27402,28938,4289987
20090119,28890,29466,28074,28410,3276012
20090120,27834,27834,27066,27066,2977503
20090121,25435,26107,25387,25435,3661062
20090122,26730,26922,25627,25915,4041879
20090123,25147,25435,24475,24475,4504956
20090128,25531,27162,25243,26395,4737482
20090129,27354,28026,26826,27258,4719707
20090130,26395,27786,26155,27354,3429972
20090202,25627,26395,25147,25387,7432044
20090203,24955,26538,24715,26442,7249271
20090204,27162,27402,26682,27402,4165055
20090205,26682,28218,26490,26874,3077171
20090206,27882,28122,27402,28074,2896113
20090209,29274,29658,28170,28170,3541422
20090210,28602,29082,27882,28506,2971967
20090211,27354,28026,26634,27834,4388282
20090212,27450,27642,26203,26490,4473628
20090213,26490,26922,26107,26778,2434530
20090216,26634,26730,25915,26251,3183757
20090217,25700,25850,24500,25050,4945645
20090218,24300,24400,23550,23600,4425953
20090219,24000,24800,23600,24150,4325900
20090220,23400,23800,22050,22900,4770049
20090223,22500,23250,21600,22950,6337203
20090224,22050,22100,21350,21550,4118925
20090225,22750,22750,21250,21250,5029539
20090226,21700,22400,20950,21300,3336719
20090227,21550,23350,21350,23300,5564027
20090302,22350,22600,21800,22000,3617992
20090303,21100,21850,20500,21500,4476155
20090304,21350,22250,21000,21950,4249114
20090305,22100,22100,21250,21450,4196405
20090306,20600,20900,20500,20500,3751343
20090309,20850,21300,20400,20800,3514612
20090310,20400,23700,20400,22800,9482933
20090311,24150,24150,23200,23300,6003043
20090312,23150,23250,22450,23000,5900134
20090313,23600,23700,22000,22400,7384031
20090316,22400,23300,22050,23000,6471151
20090317,23800,25500,23600,25200,8291896
20090318,25850,26000,24850,25900,6471703
20090319,26400,26750,25600,25600,5640469
20090320,25600,25850,24400,25100,4003418
20090323,25200,26350,25050,26300,3873054
20090324,28050,28300,26800,27250,5153475
20090325,26850,27250,26400,27000,2689026
20090326,26900,27800,26700,27700,3240910
20090327,27350,27850,26200,26700,4267275
20090330,26050,26300,24300,24300,5127558
20090331,24750,25400,24450,24600,6268897
20090401,25200,25800,24750,25750,3842180
20090402,26700,28000,26450,27750,5960502
20090403,28500,29300,28050,28900,7888514
20090406,29050,30600,29000,29750,5470568
20090407,29250,29600,28350,28900,4247360
20090408,28050,28250,27600,27600,3259470
20090409,27950,30200,27850,29950,5852012
20090410,31500,31800,30150,30300,6697775
20090413,30550,30800,29400,30300,2831409
20090414,30900,31300,30050,30300,3889213
20090415,29600,29850,28650,29800,3755725
20090416,30500,30800,28850,29300,4298763
20090417,29450,29700,28650,28750,3447808
20090420,28900,29950,28300,29850,2254216
20090421,28850,29200,28300,29050,3277682
20090422,29650,29650,28900,29250,2788469
20090423,29250,29450,28300,29000,3240242
20090424,29400,30000,28550,29600,4442957
20090427,29600,30100,29000,29000,3385246
20090428,29550,29700,27950,28000,4650718
20090429,28400,29400,28100,29400,2484237
20090430,30200,32100,30150,31700,9373677
20090504,32800,36350,32500,34000,11748551
20090506,33500,34200,31700,31700,13492539
20090507,32700,32850,31450,31850,9112344
20090508,31600,32300,31300,32300,4814077
20090511,32850,32850,31850,32300,4371804
20090512,31900,32450,31500,31800,3087185
20090513,31700,32300,31100,31500,4641639
20090514,30750,30900,30300,30300,3876918
20090515,31100,32100,30900,31950,3940025
20090518,31300,31900,30750,31400,3772762
20090519,32900,33000,31950,32650,5437735
20090520,32800,33150,32300,33000,3657350
20090521,33000,33800,32650,33250,3589334
20090522,32700,33200,32100,32200,2756736
20090525,31500,31900,29150,31600,3983897
