날짜,시가,고가,저가,현재가,거래량
20080102,3244,3432,3214,3363,1983518
20080103,3323,3382,3244,3372,1138887
20080104,3343,3481,3254,3402,1307219
20080107,3264,3363,3254,3283,838083
20080108,3283,3303,3145,3165,859534
20080109,3125,3234,3046,3234,562659
20080110,3224,3244,3096,3105,820171
20080111,3086,3145,2967,2967,750343
20080114,3016,3076,2947,2967,646319
20080115,2987,3007,2868,2868,613437
20080116,2918,2987,2868,2967,611425
20080117,3076,3076,2937,2937,432355
20080118,2947,3026,2868,3016,511632
20080121,3026,3026,2868,2908,525758
20080122,2838,2888,2710,2858,828528
20080123,2927,2927,2819,2908,553857
20080124,2927,2997,2898,2918,538179
20080125,2947,2997,2908,2997,428109
20080128,2937,2987,2898,2937,377002
20080129,2957,3046,2937,3016,435490
20080130,3036,3066,2829,2868,556577
20080131,2967,2967,2789,2789,525839
20080201,2809,2829,2759,2829,516496
20080204,2829,2898,2829,2858,343897
20080205,2848,2957,2848,2927,358695
20080211,2908,2957,2799,2927,432457
20080212,2927,2937,2848,2888,338877
20080213,2868,2908,2769,2779,423710
20080214,2819,2858,2740,2829,858367
20080215,2789,2819,2700,2740,845348
20080218,2720,2799,2710,2720,666329
20080219,2749,2779,2740,2769,480182
20080220,2769,2789,2680,2680,758134
20080221,2700,2759,2680,2710,530101
20080222,2720,2720,2651,2651,400369
20080225,2680,2740,2670,2720,437507
20080226,2720,2740,2670,2670,351769
20080227,2730,2740,2680,2680,297335
20080228,2690,2700,2651,2690,363220
20080229,2660,2660,2581,2601,841678
20080303,2552,2552,2473,2473,588422
20080304,2492,2502,2413,2453,528508
20080305,2433,2532,2433,2473,234666
20080306,2482,2591,2473,2482,715419
20080307,2473,2482,2413,2423,523968
20080310,2393,2482,2393,2453,451627
20080311,2482,2482,2364,2393,722386
20080312,2423,2492,2413,2492,594423
20080313,2492,2542,2453,2453,710060
20080314,2473,2502,2334,2374,578665
20080317,2403,2482,2314,2433,571445
20080318,2512,2512,2423,2512,455611
20080319,2522,2542,2443,2453,426567
20080320,2482,2502,2393,2423,392229
20080321,2443,2522,2403,2512,381344
20080324,2512,2552,2473,2532,336905
20080325,2552,2552,2482,2502,380884
20080326,2492,2512,2423,2453,348372
20080327,2453,2512,2423,2453,342467
20080328,2453,2591,2433,2552,711390
20080331,2562,2581,2502,2532,497932
20080401,2512,2581,2492,2512,402497
20080402,2542,2581,2522,2562,442633
20080403,2552,2621,2542,2621,522244
20080404,2621,2621,2542,2611,312123
20080407,2611,2670,2571,2651,485439
20080408,2641,2641,2562,2611,316268
20080410,2601,2601,2522,2571,689504
20080411,2552,2601,2532,2591,322669
20080414,2532,2542,2492,2522,375040
20080415,2482,2522,2473,2502,325475
20080416,2492,2571,2482,2502,546541
20080417,2532,2542,2463,2492,329004
20080418,2492,2532,2482,2522,235894
20080421,2522,2532,2502,2532,295556
20080422,2502,2512,2383,2383,918361
20080423,2393,2463,2374,2433,485015
20080424,2433,2433,2354,2413,650101
20080425,2413,2453,2393,2453,416784
20080428,2423,2463,2354,2374,325682
20080429,2374,2453,2374,2453,448336
20080430,2443,2443,2383,2393,283720
20080502,2413,2453,2403,2453,361835
20080506,2443,2502,2423,2502,377411
20080507,2492,2542,2482,2532,463599
20080508,2522,2581,2492,2492,672608
20080509,2482,2502,2393,2423,786092
20080513,2413,2502,2383,2502,468806
20080514,2502,2512,2403,2443,363094
20080515,2413,2482,2413,2473,518088
20080516,2463,2492,2413,2453,522421
20080519,2423,2453,2413,2453,484716
20080520,2453,2492,2383,2443,508291
20080521,2433,2433,2374,2374,446713
20080522,2354,2364,2275,2285,617057
20080523,2294,2294,2196,2255,705232
20080526,2186,2245,2156,2186,463968
20080527,2186,2215,2166,2215,275515
20080528,2196,2196,2126,2126,639868
20080529,2146,2245,2136,2225,526648
20080530,2225,2245,2186,2205,321006
20080602,2196,2255,2136,2225,537234
20080603,2196,2235,2186,2196,221895
20080604,2215,2225,2166,2196,284787
20080605,2176,2176,2136,2146,593771
20080609,2107,2107,2037,2107,677639
20080610,2116,2116,1970,1970,801976
20080611,1998,2037,1972,1978,855682
20080612,1938,2008,1889,1889,1469494
20080613,1901,1952,1881,1909,561632
20080616,1976,1976,1901,1942,428392
20080617,1958,1964,1921,1927,430151
20080618,1938,2027,1938,1976,822957
20080619,1976,1976,1905,1909,553286
20080620,1938,1956,1907,1919,442644
20080623,1919,1976,1877,1950,234484
20080624,1952,1998,1905,1998,314812
20080625,2018,2057,1976,2037,521567
20080626,2008,2027,1978,2018,351718
20080627,1998,2018,1970,1972,360262
20080630,1998,2018,1972,1998,349777
20080701,1942,2027,1929,1929,534039
20080702,1925,1958,1913,1927,539004
20080703,1940,1952,1883,1917,674423
20080704,1891,1948,1845,1931,405257
20080707,1972,2047,1956,2047,659534
20080708,2077,2077,1948,1948,595930
20080709,1976,2018,1929,1929,366228
20080710,1938,1988,1895,1895,1080642
20080711,1919,1919,1762,1810,1088933
20080714,1838,1838,1709,1741,837229
20080715,1754,1754,1646,1648,602684
20080716,1650,1701,1650,1677,782396
20080717,1683,1697,1628,1648,478377
20080718,1648,1663,1626,1654,313513
20080721,1652,1790,1652,1790,757077
20080722,1790,1810,1749,1796,267755
20080723,1832,1885,1810,1885,471491
20080724,1877,2018,1877,2018,493230
20080725,1978,2008,1938,1988,423816
20080728,1998,2097,1978,2097,339641
20080729,2037,2077,1921,1940,446794
20080730,1964,2057,1940,2057,386622
20080731,2047,2107,1974,2047,598483
20080801,2047,2047,1948,1972,220318
20080804,1978,2027,1873,1873,319413
20080805,1931,2008,1909,1978,588265
20080806,1998,2057,1978,2057,410424
20080807,2027,2047,1891,1891,792800
20080808,1879,1913,1794,1822,574216
20080811,1851,1921,1830,1897,319271
20080812,1897,1946,1855,1889,411991
20080813,1865,1921,1824,1907,471183
20080814,1859,1901,1849,1859,572775
20080818,1889,1889,1810,1826,400101
20080819,1847,1847,1751,1772,326516
20080820,1786,1851,1760,1782,469317
20080821,1782,1784,1701,1711,513452
20080822,1747,1747,1662,1679,368018
20080825,1683,1772,1683,1772,420637
20080826,1770,1879,1754,1861,532639
20080827,1879,1940,1826,1909,531749
20080828,1938,1938,1790,1802,318099
20080829,1917,1919,1832,1859,545687
20080901,1923,1923,1851,1891,770273
20080902,1879,1974,1877,1933,1348973
20080903,1933,1998,1901,1919,373715
20080904,1899,1901,1820,1834,496344
20080905,1826,1895,1770,1794,663372
20080908,1796,1847,1788,1812,686122
20080909,1820,1822,1751,1751,731865
20080910,1778,1899,1751,1899,681703
20080911,1871,1919,1780,1780,1838725
20080912,1814,1859,1804,1826,648286
20080916,1747,1816,1721,1786,840404
20080917,1802,1804,1760,1774,615672
20080918,1778,1778,1685,1701,936552
20080919,1735,1840,1723,1836,1987108
20080922,1840,1849,1790,1802,774266
20080923,1802,1832,1770,1800,662234
20080924,1800,1834,1786,1794,914989
20080925,1814,1814,1735,1743,1295798
20080926,1749,1784,1739,1754,544893
20080929,1798,1798,1745,1774,922244
20080930,1624,1737,1624,1701,908796
20081001,1697,1719,1662,1719,651471
20081002,1747,1764,1713,1741,462639
20081006,1707,1707,1608,1648,543655
20081007,1640,1747,1632,1667,579039
20081008,1673,1695,1545,1580,580839
20081009,1596,1642,1527,1612,1043882
20081010,1602,1602,1371,1484,1130637
20081013,1503,1701,1495,1701,976794
20081014,1758,1820,1754,1820,839079
20081015,1751,1838,1741,1838,806471
20081016,1760,1760,1602,1693,987735
20081017,1711,1760,1610,1760,1264004
20081020,1810,1849,1770,1840,1212234
20081021,1818,1842,1705,1770,938195
20081022,1816,1818,1515,1731,926916
20081023,1586,1721,1476,1491,1157077
20081024,1448,1456,1268,1268,779282
20081027,1264,1319,1078,1078,978124
20081028,1048,1054,918,1001,1552598
20081029,1056,1078,853,898,1448068
20081030,930,1027,909,1001,1132355
20081031,1009,1074,953,1070,1376739
20081103,1090,1187,1048,1084,1474797
20081104,1092,1246,1090,1246,1712876
20081105,1248,1385,1236,1345,1879069
20081106,1266,1294,1161,1161,1041814
20081107,1088,1193,1050,1193,1382674
20081110,1276,1280,1161,1252,952002
20081111,1244,1304,1181,1248,843569
20081112,1203,1325,1189,1313,1001971
20081113,1302,1302,1163,1246,913705
20081114,1282,1304,1159,1159,1160369
20081117,1120,1226,1092,1129,1177290
20081118,1129,1163,1038,1038,1146354
20081119,1040,1042,914,939,1274251
20081120,879,909,839,849,808402
20081121,830,872,773,872,1068796
20081124,872,878,797,801,1087411
20081125,824,866,781,832,1145449
20081126,821,868,815,843,1088023
20081127,860,892,854,863,923104
20081128,870,942,866,904,939317
20081201,902,926,865,893,780717
20081202,851,859,830,833,657603
20081203,845,900,822,900,1416567
20081204,910,920,832,848,701117
20081205,841,906,841,873,752618
20081208,880,1003,880,1003,898038
20081209,1034,1118,1021,1118,1285839
20081210,1131,1167,1108,1118,1147002
20081211,1108,1224,1050,1207,2268685
20081212,1177,1262,1108,1224,1530611
20081215,1266,1406,1264,1406,1809706
20081216,1422,1523,1197,1458,2836905
20081217,1523,1527,1331,1424,1890854
20081218,1420,1484,1420,1426,935920
20081219,1444,1460,1404,1416,963463
20081222,1416,1454,1335,1345,916314
20081223,1501,1501,1286,1335,770606
20081224,1345,1351,1240,1317,549312
20081226,1335,1335,1236,1246,559994
20081229,1246,1262,1088,1207,723902
20081230,1218,1387,1207,1321,1638149
20090102,1307,1321,1216,1238,2640540
20090105,1262,1272,1213,1226,1270131
20090106,1246,1381,1226,1351,2099342
20090107,1357,1408,1321,1385,2560869
20090108,1383,1383,1329,1343,1288119
20090109,1353,1389,1337,1347,1204069
20090112,1345,1345,1286,1286,796435
20090113,1252,1333,1218,1300,1297087
20090114,1266,1343,1266,1311,743033
20090115,1244,1258,1149,1149,1482730
20090116,1187,1203,1167,1175,774180
20090119,1205,1226,1187,1189,677790
20090120,1167,1177,1124,1129,969413
20090121,1088,1159,1046,1129,624539
20090122,1131,1224,1122,1131,773068
20090123,1110,1143,1078,1092,516617
20090128,1118,1214,1108,1211,724150
20090129,1211,1244,1177,1216,626708
20090130,1193,1207,1157,1199,350899
20090202,1161,1199,1143,1163,869261
20090203,1163,1175,1127,1143,1250485
