날짜,시가,고가,저가,현재가,거래량
20080102,15369,15519,14870,14870,71172
20080103,14721,14970,14521,14671,104659
20080104,14721,14770,14421,14621,76633
20080107,14172,14471,14172,14271,97635
20080108,14271,14970,14222,14970,142625
20080109,14721,14870,14621,14820,59248
20080110,14820,15569,14721,15070,198617
20080111,15070,15369,14970,15120,100210
20080114,15070,15070,14471,14671,115330
20080115,14970,15070,14371,15070,149869
20080116,15120,15120,14471,14471,96212
20080117,14671,14770,14222,14371,84378
20080118,14471,14671,14172,14271,88386
20080121,14172,14321,13423,13423,117735
20080122,13074,13273,12475,13174,147094
20080123,13623,13673,13174,13623,122464
20080124,13723,14122,13573,13673,72164
20080125,13573,13872,13473,13573,51182
20080128,13124,13723,13124,13573,57545
20080129,13623,14022,13573,13723,51973
20080130,13772,13822,12874,13074,75200
20080131,12924,13373,12525,12675,218947
20080201,12725,13174,12575,13174,92484
20080204,13124,13723,13124,13723,56432
20080205,13423,13872,13373,13373,38717
20080211,12974,12974,12625,12924,98186
20080212,12924,13174,12675,13174,83026
20080213,13074,13323,13024,13224,59539
20080214,13224,13573,12924,13573,70621
20080215,13423,13423,12874,13074,82995
20080218,13523,13523,12874,12974,77845
20080219,13024,13323,12774,12924,127344
20080220,12774,12974,12575,12575,311613
20080221,12725,13323,12525,13074,290160
20080222,13124,13723,12974,13523,168937
20080225,13373,13673,13224,13423,167825
20080226,13922,13922,13273,13273,42525
20080227,13323,13573,12874,12874,119799
20080228,12974,13174,12774,13174,101993
20080229,13573,13723,13224,13723,238597
20080303,13273,13723,13174,13623,138166
20080304,13623,14022,13273,13922,167525
20080305,14022,14022,13473,13872,131673
20080306,13723,14022,13573,13822,96032
20080307,13473,13822,13174,13673,141993
20080310,13323,13523,13024,13024,88787
20080311,13074,13174,12874,12974,50511
20080312,13174,13523,12974,12974,72785
20080313,13174,13273,12575,12625,147344
20080314,12725,12924,12375,12475,76182
20080317,12275,12475,11677,12475,186442
20080318,12475,12475,11826,11976,306172
20080319,12275,12275,11677,11677,226472
20080320,11577,11776,11228,11327,223747
20080321,11477,11727,11327,11727,132805
20080324,11627,11876,11527,11577,117855
20080325,11677,11727,11477,11677,247855
20080326,11677,11727,11477,11677,150210
20080327,11727,11776,11577,11677,98917
20080328,11677,11876,11427,11826,145671
20080331,11926,12026,11627,12026,220450
20080401,12126,12126,11577,11577,122214
20080402,11727,11826,11477,11677,174458
20080403,11677,11876,11677,11876,150180
20080404,11826,12126,11776,12026,145050
20080407,12176,12325,12026,12026,152645
20080408,12076,12226,11826,12126,114358
20080410,12275,12375,12126,12176,140671
20080411,12226,12325,11926,12176,148907
20080414,12076,12176,11926,12076,134018
20080415,12076,12176,11876,11976,53557
20080416,12176,12425,12026,12325,102274
20080417,12425,12475,12176,12176,98897
20080418,12325,12375,11976,12126,73116
20080421,12226,12325,12176,12275,66893
20080422,12176,12425,12076,12425,96012
20080423,12275,12675,12275,12575,128777
20080424,12575,12675,12325,12575,207885
20080425,12575,12924,12475,12725,231092
20080428,12774,12774,12575,12774,167975
20080429,12725,12824,12575,12774,124879
20080430,12625,13224,12625,13124,217014
20080502,13124,13273,13074,13074,144418
20080506,13224,13423,13124,13323,203847
20080507,13323,13323,12874,12924,225601
20080508,12874,13124,12824,12974,107074
20080509,13074,13074,12725,12725,129569
20080513,12874,12874,12425,12675,106523
20080514,12525,12774,12525,12774,184949
20080515,12725,12974,12675,12824,82314
20080516,12974,13074,12824,12824,162675
20080519,12974,13623,12974,13623,186312
20080520,13772,13772,13224,13373,111743
20080521,13224,13423,13024,13373,93907
20080522,13124,13224,12924,13024,83747
20080523,13024,13124,12824,12874,60110
20080526,12824,12824,12375,12375,143867
20080527,12275,12575,12226,12375,74298
20080528,12475,12575,12375,12425,124869
20080529,12375,12725,12375,12425,102024
20080530,12475,12575,12126,12275,433006
20080602,12275,13174,12226,12675,277905
20080603,12675,12774,12375,12375,111302
20080604,12375,12525,12275,12475,101873
20080605,12375,12525,12176,12475,139128
20080609,12275,12425,11776,12375,93897
20080610,12275,12275,12026,12076,153847
20080611,12375,12375,11826,11926,109338
20080612,11826,12176,11677,11776,172515
20080613,11926,12226,11826,12076,115090
20080616,11976,12425,11976,12325,130861
20080617,12226,12675,12226,12675,133486
20080618,12675,13074,12425,12974,145110
20080619,12924,13024,12625,12974,128987
20080620,12824,13074,12675,12725,94939
20080623,12924,12924,12475,12625,50691
20080624,12475,12675,12375,12625,76212
20080625,12675,13473,12625,13174,206232
20080626,13174,13473,12974,13373,177905
20080627,13124,13174,12725,12824,91172
20080630,12625,13174,12625,12824,129919
20080701,12974,13174,12475,12575,121072
20080702,12575,12725,11926,12375,191092
20080703,12275,12525,11926,12275,130771
20080704,12226,12425,12126,12325,52805
20080707,12425,12575,12176,12375,64579
20080708,12425,12425,11627,11727,168026
20080709,11926,11976,11677,11776,68647
20080710,11677,12874,11477,12874,137755
20080711,12824,12824,12076,12176,167084
20080714,12076,12226,11876,12176,90160
20080715,12076,12176,11677,11727,91683
20080716,11677,11876,11477,11677,137434
20080717,11776,11976,11677,11776,77875
20080718,11976,11976,11727,11727,34559
20080721,11876,12176,11876,12126,93907
20080722,12176,12176,11876,12176,62565
20080723,12475,12475,12126,12275,43577
20080724,12325,12475,12026,12425,83727
20080725,12275,12425,12176,12325,35070
20080728,12325,12475,12176,12425,31703
20080729,12275,12375,11826,11926,53086
20080730,12076,12325,11876,12325,48046
20080731,12176,12725,12176,12575,113537
20080801,12375,12375,12026,12026,49488
20080804,12026,12176,11926,11926,320891
20080805,12076,12425,12076,12325,73496
20080806,12475,12675,12325,12475,67635
20080807,12575,12675,12325,12525,83126
20080808,12325,12774,12325,12475,62595
20080811,12475,12824,12475,12725,65270
20080812,12675,12874,12325,12375,74639
20080813,12325,12575,12226,12475,52254
20080814,12375,12675,12325,12675,114929
20080818,12824,12824,12425,12475,64138
20080819,12425,12475,12126,12275,44779
20080820,12176,12774,12126,12325,56172
20080821,12275,12725,12226,12625,80761
20080822,12625,12625,12375,12525,52575
20080825,12625,12675,12475,12625,35781
20080826,12625,13024,12525,12974,75691
20080827,13124,13373,12824,13373,139338
20080828,13373,13373,12824,12874,81653
20080829,12924,13273,12874,13124,71993
20080901,13124,13273,12874,13174,90200
20080902,13273,13922,12924,13922,200671
20080903,13822,13822,13323,13523,88557
20080904,13423,13573,13024,13573,83446
20080905,13373,13473,13024,13423,67244
20080908,13423,13573,13174,13224,75671
20080909,13074,13224,12774,13024,82294
20080910,12974,13423,12774,13423,99659
20080911,13423,13423,13074,13074,147895
20080912,13224,13623,13174,13273,69939
20080916,12675,13473,11377,12974,272675
20080917,12824,13124,12525,12625,141523
20080918,12375,12575,11677,11776,380240
20080919,11976,12126,11776,11776,429549
20080922,11926,12076,11826,11976,270521
20080923,12026,12275,11976,12126,124929
20080924,12076,12375,11976,12375,133917
20080925,12325,12475,12076,12425,135150
20080926,12325,12325,12076,12076,105631
20080929,12126,12325,11976,12176,118997
20080930,11677,12226,11477,12176,276943
20081001,12176,12176,11826,12026,115751
20081002,12126,12176,11677,11776,94859
20081006,11727,11727,11327,11527,120561
20081007,11277,11776,11277,11527,103737
20081008,11327,11327,9920,9920,350210
20081009,9780,10279,9770,10279,167304
20081010,9980,9980,8812,9002,273276
20081013,9192,9481,8962,9341,169789
20081014,9880,9970,9631,9790,135931
20081015,9780,10329,9581,10130,98777
20081016,9571,9870,9192,9671,120761
20081017,9950,9950,9202,9681,143046
20081020,9770,10180,9581,9830,87965
20081021,9860,9980,9571,9780,86853
20081022,9780,9880,8782,9291,113286
20081023,8483,8802,7914,8713,159639
20081024,8982,8982,7415,7415,166212
20081027,6407,7415,6307,6307,303026
20081028,5888,6647,5878,6487,249529
