날짜,시가,고가,저가,현재가,거래량
20080102,8560,8740,8470,8500,1011090
20080103,8450,8460,8280,8300,968317
20080104,8310,8310,8030,8090,2290241
20080107,7900,8010,7860,7890,1228343
20080108,7910,7970,7810,7830,1111988
20080109,7740,7880,7630,7880,1332881
20080110,7940,8180,7880,8010,1324964
20080111,8150,8160,7900,7900,746707
20080114,7900,7950,7700,7900,635612
20080115,7930,7960,7630,7710,634220
20080116,7550,7650,7500,7510,917932
20080117,7560,8300,7500,7700,3873571
20080118,7700,7780,7300,7360,3256304
20080121,7360,7440,7260,7280,1071658
20080122,7120,7190,6660,6840,1605796
20080123,7010,7050,6670,6680,1564483
20080124,6890,7000,6860,6990,1798085
20080125,7050,7130,6920,7000,1221204
20080128,6950,7250,6890,7060,1588001
20080129,7200,7260,7050,7060,852333
20080130,7110,7160,6800,6810,974029
20080131,6700,6850,6700,6750,1295884
20080201,6870,7090,6870,6970,1059316
20080204,7040,7430,7040,7400,1712159
20080205,7350,7470,7260,7280,966740
20080211,6990,7140,6910,7090,991007
20080212,7130,7260,7100,7170,763052
20080213,7230,7290,7090,7090,814369
20080214,7200,7280,7120,7130,1338392
20080215,7060,7120,6970,7080,1001541
20080218,7100,7320,7100,7290,1439955
20080219,7360,7370,7230,7260,791697
20080220,7160,7400,7140,7310,1236880
20080221,7340,7380,7190,7320,644774
20080222,7260,7260,7110,7190,520964
20080225,7190,7290,7160,7180,611305
20080226,7230,7290,7090,7120,663532
20080227,7140,7280,7110,7260,742935
20080228,7280,7280,7200,7260,572742
20080229,7210,7220,7120,7150,529469
20080303,7020,7060,6940,6950,912666
20080304,7010,7040,6910,6910,649129
20080305,6950,7050,6920,6930,466068
20080306,6980,7030,6930,6980,474165
20080307,6900,7010,6840,7000,516926
20080310,6900,6940,6750,6750,626557
20080311,6630,6830,6610,6790,470040
20080312,6930,6940,6580,6580,1624233
20080313,6590,6650,6110,6200,1934278
20080314,6240,6300,6000,6040,1291375
20080317,5950,5970,5790,5840,1032206
20080318,5950,6060,5950,6030,922858
20080319,6200,6680,6180,6330,2048656
20080320,6520,6660,6450,6480,1480527
20080321,6650,6710,6440,6500,1321990
20080324,6650,6660,6550,6630,879786
20080325,6730,6740,6610,6610,643653
20080326,6610,6630,6540,6600,664993
20080327,6580,6740,6530,6670,793229
20080328,6670,6710,6530,6580,1073270
20080331,6630,6760,6630,6710,820974
20080401,6780,6920,6720,6800,1006821
20080402,6940,6950,6800,6900,974079
20080403,6970,6980,6740,6770,994348
20080404,6800,6810,6650,6670,912561
20080407,6720,6730,6650,6680,474653
20080408,6690,6760,6640,6700,823098
20080410,6680,6680,6540,6580,855821
20080411,6600,6670,6550,6600,583022
20080414,6570,6570,6370,6390,856937
20080415,6400,6460,6330,6340,570534
20080416,6360,6410,6290,6350,1201684
20080417,6400,6580,6390,6440,981672
20080418,6530,6530,6440,6460,454375
20080421,6470,6560,6440,6440,1066784
20080422,6450,6460,6330,6330,1170909
20080423,6300,6380,6270,6320,784829
20080424,6330,6490,6310,6340,1214739
20080425,6470,6520,6380,6480,1536261
20080428,6480,6490,6350,6360,858311
20080429,6350,6360,6150,6180,1201031
20080430,6280,6320,6220,6290,530448
20080502,6450,6450,6360,6380,764780
20080506,6350,6350,6200,6220,1426977
20080507,6220,6230,6130,6150,1084000
20080508,6080,6150,6030,6130,1041026
20080509,6110,6120,6060,6090,678150
20080513,6130,6160,6060,6080,891502
20080514,6070,6090,5990,6010,1086440
20080515,6060,6120,6030,6070,1038497
20080516,6110,6120,6050,6080,893783
20080519,6060,6070,6010,6030,1016451
20080520,6030,6050,6010,6020,753506
20080521,5980,5990,5900,5930,1004104
20080522,5800,5850,5680,5720,1709020
20080523,5740,5760,5660,5670,911339
20080526,5650,5650,5400,5440,1125559
20080527,5420,5600,5400,5600,890451
20080528,5730,5880,5690,5810,1711569
20080529,5800,5930,5700,5890,1099581
20080530,6020,6020,5730,5780,1634920
20080602,5830,5930,5730,5880,533911
20080603,5800,5810,5700,5700,699344
20080604,5810,5890,5780,5880,514123
20080605,6000,6040,5930,5960,702222
20080609,5600,5740,5570,5730,695657
20080610,5760,5800,5610,5630,532779
20080611,5680,5720,5630,5710,503400
20080612,5570,5640,5520,5590,621722
20080613,5620,5700,5530,5610,398484
20080616,5730,5790,5720,5780,646974
20080617,5700,5790,5650,5760,474693
20080618,5760,5850,5750,5830,467040
20080619,5750,5760,5710,5730,306031
20080620,5890,5920,5790,5810,650126
20080623,5750,5840,5700,5770,416930
20080624,5740,5770,5670,5710,381069
20080625,5710,5760,5650,5740,291644
20080626,5780,5820,5730,5740,428276
20080627,5540,5660,5530,5660,417472
20080630,5620,5620,5500,5500,477433
20080701,5430,5480,5420,5420,486251
20080702,5410,5430,5130,5160,691686
20080703,4950,5060,4820,4950,772934
20080704,4750,4940,4750,4835,620498
20080707,4725,4800,4555,4660,716028
20080708,4720,4740,4320,4355,941167
20080709,4595,4660,4510,4540,687108
20080710,4435,4800,4435,4755,526454
20080711,4650,4780,4605,4750,491519
20080714,4680,4715,4600,4665,570044
20080715,4630,4665,4535,4545,235667
20080716,4750,4830,4640,4700,482922
20080717,4940,4970,4845,4885,628892
20080718,5040,5050,4845,4845,514981
20080721,4920,4995,4900,4980,538969
20080722,4940,4950,4860,4950,230050
20080723,5120,5160,5090,5110,547076
20080724,5270,5290,5210,5230,580809
20080725,5150,5170,5080,5130,320394
20080728,5200,5250,5150,5190,331413
20080729,5070,5110,4950,4950,399813
20080730,5100,5100,4580,4800,1240704
20080731,4650,4825,4640,4770,1033642
20080801,4840,4840,4550,4570,848170
20080804,4505,4540,4465,4510,391037
20080805,4590,4665,4580,4600,421931
20080806,4800,5070,4750,5010,1004268
20080807,5060,5060,4820,4920,481460
20080808,4820,4980,4810,4960,335449
20080811,5190,5190,4985,4990,639456
20080812,5030,5060,4920,4945,371925
20080813,4970,4975,4855,4865,414673
20080814,4820,4820,4760,4780,419946
20080818,4800,4870,4790,4830,250439
20080819,4800,4830,4745,4750,256279
20080820,4685,4730,4655,4710,263933
20080821,4710,4710,4575,4600,349473
20080822,4575,4575,4455,4490,529679
20080825,4555,4605,4500,4550,190513
20080826,4450,4545,4450,4530,173648
20080827,4550,4550,4460,4490,235387
20080828,4500,4550,4430,4430,265028
20080829,4460,4515,4420,4440,259454
20080901,4360,4360,3875,3970,587138
20080902,3900,4080,3895,3905,519139
20080903,3905,4220,3905,4190,757049
20080904,4190,4350,4180,4305,373519
20080905,4185,4265,4155,4185,264442
20080908,4260,4455,4255,4420,749128
20080909,4400,4410,4265,4280,339595
20080910,4335,4420,4285,4395,395084
20080911,4445,4760,4440,4610,1050354
20080912,4750,4830,4635,4675,677967
20080916,4150,4480,4125,4285,662539
20080917,4500,4540,4420,4500,522485
20080918,4280,4400,4255,4310,451457
20080919,4470,4490,4350,4380,732000
20080922,4305,4380,4260,4260,665748
20080923,4130,4360,4100,4360,543257
20080924,4345,4495,4265,4470,634231
20080925,4485,4645,4425,4570,1280323
20080926,4600,4620,4435,4435,426797
20080929,4485,4485,4310,4320,402088
20080930,4020,4380,4020,4380,378182
20081001,4360,4375,4300,4350,237414
20081002,4330,4385,4255,4290,338207
20081006,4250,4250,4140,4155,340358
20081007,4060,4135,3975,4100,419190
20081008,3950,4010,3720,3720,529164
20081009,3650,4000,3650,3795,1004267
20081010,3525,3680,3430,3630,1093565
20081013,3720,3835,3705,3775,1031896
20081014,4000,4000,3890,3950,1461010
20081015,3925,4010,3875,3950,547609
20081016,3705,3755,3440,3500,921290
20081017,3700,3715,3430,3610,626739
20081020,3650,3720,3550,3670,359043
20081021,3735,3750,3565,3565,384349
20081022,3540,3575,3315,3350,494420
20081023,3090,3195,2950,3050,701300
20081024,2920,3050,2595,2600,991286
20081027,2315,2735,2315,2525,794552
20081028,2300,2780,2300,2770,1263338
20081029,3100,3185,2650,2980,1522997
20081030,3300,3425,3210,3425,1246727
20081031,3590,3850,3510,3785,1882865
20081103,3795,3850,3250,3690,1738372
20081104,3700,3795,3560,3790,1142695
20081105,3865,3995,3640,3750,1997678
20081106,3600,3695,3370,3370,734565
20081107,3200,3550,3125,3550,1020889
20081110,3590,3700,3525,3605,620215
20081111,3520,3550,3435,3510,381050
20081112,3370,3485,3365,3460,423895
20081113,3300,3340,3220,3340,364272
20081114,3500,3530,3355,3400,303340
20081117,3330,3605,3330,3435,778185
20081118,3460,3530,3370,3395,443140
20081119,3480,3480,3360,3420,399199
20081120,3260,3325,3100,3110,397030
20081121,3000,3295,2900,3210,663076
20081124,3200,3265,3150,3180,412561
20081125,3290,3315,3070,3100,384380
20081126,3120,3290,3120,3260,860239
20081127,3340,3390,3180,3255,756024
20081128,3275,3400,3260,3300,746658
20081201,3330,3335,3290,3300,425594
20081202,3100,3170,3090,3100,531092
20081203,3170,3205,3130,3130,381521
20081204,3200,3230,3065,3090,396036
20081205,3140,3170,3050,3170,322616
20081208,3220,3405,3200,3375,942524
20081209,3430,3450,3320,3425,869921
20081210,3440,3560,3360,3530,1405814
20081211,3550,3660,3500,3595,1206966
20081212,3525,3570,3350,3440,731233
20081215,3520,3675,3500,3620,1041551
20081216,3650,3710,3595,3600,936510
20081217,3740,3785,3595,3625,1435414
20081218,3735,3990,3695,3870,3235465
20081219,3970,3975,3650,3795,2869973
20081222,3845,3900,3710,3870,1254819
