날짜,시가,고가,저가,현재가,거래량
20080102,10841,10841,10649,10713,18483
20080103,10617,10745,10489,10713,31224
20080104,10713,10777,10585,10745,14807
20080107,10617,11065,10585,11065,22725
20080108,10809,11161,10809,11033,16855
20080109,10905,11033,10777,10937,11117
20080110,10809,10937,10809,10841,13836
20080111,10873,11065,10777,10937,21669
20080114,10937,11289,10937,11129,26704
20080115,11129,11193,10905,11001,9146
20080116,11001,11001,10681,10905,16807
20080117,10905,10937,10713,10937,21069
20080118,10713,11705,10617,10905,123155
20080121,10969,10969,10553,10777,39258
20080122,10777,10777,10298,10553,53097
20080123,10585,11513,10553,11513,47506
20080124,11161,11193,10809,10809,69953
20080125,10809,10905,10777,10809,26460
20080128,10777,10873,10681,10745,27501
20080129,10713,10745,10394,10553,102179
20080130,10489,10777,10425,10617,83753
20080131,10617,10777,10489,10617,10503
20080201,10681,10841,10553,10617,10945
20080204,10745,10777,10521,10681,8302
20080205,10681,10681,10425,10681,13680
20080211,10553,10713,10553,10681,7754
20080212,10489,10745,10489,10681,8474
20080213,10681,10777,10489,10489,19465
20080214,10649,10937,10521,10777,9335
20080215,10777,10873,10585,10777,5315
20080218,10649,10873,10617,10841,5659
20080219,10681,10809,10617,10777,12007
20080220,10681,10713,10617,10681,8130
20080221,10745,10809,10681,10745,7149
20080222,10681,10745,10553,10681,15259
20080225,10617,10809,10585,10681,11944
20080226,10617,10745,10617,10681,10068
20080227,10681,10905,10681,10777,19793
20080228,10809,10937,10713,10745,18042
20080229,10873,12088,10777,11545,73574
20080303,11193,11769,11193,11545,35154
20080304,11705,11705,11353,11609,12127
20080305,11609,11705,11417,11609,13266
20080306,11609,12152,11609,12024,30458
20080307,11769,12216,11705,12152,23594
20080310,12152,12152,11801,11833,11210
20080311,10745,11257,10585,10841,234022
20080312,10873,11001,10745,10873,32414
20080313,10841,10969,10777,10969,37231
20080314,11001,11001,10777,10809,29867
20080317,10745,10841,10521,10649,42324
20080318,10713,11065,10649,10777,14165
20080319,10777,10873,10681,10745,27423
20080320,10745,10809,10649,10809,9757
20080321,10809,10937,10713,10873,12853
20080324,10873,11481,10873,11193,22343
20080325,11321,11321,11129,11129,12179
20080326,11129,11353,11065,11225,4893
20080327,11225,11225,10969,11097,6894
20080328,11033,11673,10873,11641,48563
20080331,11833,12216,11673,11992,39141
20080401,12408,12408,11385,11641,54940
20080402,11641,11641,11353,11545,15745
20080403,11385,11481,11097,11161,19075
20080404,11161,11513,11161,11481,15744
20080407,11545,11609,11353,11513,8458
20080408,11513,11513,11289,11449,7442
20080410,11257,11513,11097,11513,12273
20080411,11481,11481,11193,11353,8223
20080414,11353,11481,11161,11449,9130
20080415,11321,11385,11129,11161,11710
20080416,11161,11321,11129,11289,10379
20080417,11193,11385,11065,11257,13483
20080418,11193,11257,11129,11225,5753
20080421,11193,11321,11129,11193,5192
20080422,11161,11321,11001,11065,10766
20080423,11065,11193,11033,11033,6738
20080424,11033,11097,10969,10969,7570
20080425,10937,11193,10809,11033,24859
20080428,10969,11321,10969,11033,8130
20080429,11225,11225,10905,10905,10381
20080430,10905,11033,10905,11033,1563
20080502,11161,11161,10905,10937,6233
20080506,10937,11033,10905,10969,8722
20080507,11001,11033,10841,10873,17010
20080508,10937,10937,10841,10841,8927
20080509,10841,11001,10745,10745,8849
20080513,10745,11129,10745,11001,12570
20080514,10841,11033,10841,10905,10397
20080515,10841,11001,10841,10937,8989
20080516,11001,11001,10873,10969,11105
20080519,11001,11001,10809,10937,9787
20080520,10841,10969,10809,10809,13442
20080521,10905,10905,10681,10809,23766
20080522,10745,10841,10553,10841,23874
20080523,10873,11193,10681,11193,42732
20080526,11193,11193,11193,11193,0
20080527,11193,11193,11193,11193,0
20080528,11193,11193,11193,11193,0
20080529,11193,11193,11193,11193,0
20080530,11193,11193,11193,11193,0
20080602,11193,11193,11193,11193,0
20080603,11193,11193,11193,11193,0
20080604,11193,11193,11193,11193,0
20080605,11193,11193,11193,11193,0
20080609,11193,11193,11193,11193,0
20080610,11193,11193,11193,11193,0
20080611,11193,11193,11193,11193,0
20080612,11193,11193,11193,11193,0
20080613,11193,11193,11193,11193,0
20080616,11193,11193,11193,11193,0
20080617,11193,11193,11193,11193,0
20080618,11193,11193,11193,11193,0
20080619,11193,11193,11193,11193,0
20080620,11193,11193,9594,9978,99696
20080623,9658,10425,9562,9914,20387
20080624,9914,10362,9594,9626,22859
20080625,9594,10713,9594,10106,15196
20080626,10425,10777,10298,10617,17515
20080627,10713,11001,10425,10425,18105
20080630,10298,10809,10234,10809,16557
20080701,10713,10809,10394,10553,17309
20080702,10457,10809,10234,10521,18044
20080703,10489,10489,9914,9978,6488
20080704,10425,10425,9914,9914,2859
20080707,10394,10394,9850,9914,781
20080708,9914,9914,9306,9658,2110
20080709,9946,10170,9594,9594,4393
20080710,9626,9914,9626,9754,2329
20080711,9754,10106,9754,9978,2986
20080714,9978,10425,9978,10170,6238
20080715,9882,10362,9818,9914,4246
20080716,9914,10202,9818,10074,3910
20080717,10170,10170,9914,9978,2861
20080718,10234,10234,9978,10106,1782
20080721,9914,10234,9594,9754,7879
20080722,9914,10042,9594,9594,5795
20080723,9786,9786,9658,9722,1691
20080724,9978,9978,9530,9562,11835
20080725,9402,9594,9402,9594,6879
20080728,9594,10553,9594,9850,10428
20080729,9786,9978,9722,9754,2423
20080730,10042,10042,9754,9946,562
20080731,10074,10074,9722,9946,750
20080801,9978,9978,9722,9754,1000
20080804,9690,9978,9594,9658,1188
20080805,9434,9626,9434,9466,2188
20080806,9594,9722,9530,9690,1078
20080807,9722,9818,8826,8826,12304
