날짜,시가,고가,저가,현재가,거래량
20180322,28000,35650,27600,34000,11151326
20180323,33000,36750,32850,35000,4173167
20180326,36500,37250,33100,33850,1707836
20180327,34100,34350,31500,31500,1212588
20180328,31600,32800,30000,32000,1234395
20180329,32500,33500,31150,33350,747531
20180330,33550,34100,32750,33550,387979
20180402,35150,38850,35100,38100,2311448
20180403,37500,42850,37150,41750,2506070
20180404,42350,43750,40250,42000,892227
20180405,42600,45600,41300,44950,1008453
20180406,44900,47250,43800,44650,882131
20180409,45000,46850,45000,46150,430506
20180410,46050,46100,42800,45650,521894
20180411,46100,46400,44350,44400,319927
20180412,44200,45800,42650,43350,418019
20180413,43550,45000,42250,44350,410136
20180416,44600,46400,43500,46350,385761
20180417,46600,47850,46000,46350,451380
20180418,46500,47100,45700,46250,250181
20180419,46200,46800,45300,45600,282823
20180420,45100,45200,43700,43850,339861
20180423,42850,44550,41950,43600,330383
20180424,43200,45950,43200,45550,359592
20180425,45050,45550,43900,44350,200469
20180426,44400,45750,43800,44800,198889
20180427,44500,45650,44500,44900,152577
20180430,44800,45200,43700,45200,316680
20180502,45100,45100,43900,44400,150181
20180503,44500,45350,43650,44600,169363
20180504,44800,49150,44600,46850,593272
20180508,47950,50700,47600,49400,667111
20180509,51500,53500,49900,50600,640503
20180510,50600,52500,49550,52000,306096
20180511,51900,53400,51200,52200,225749
20180514,51900,52000,49650,49900,398220
20180515,49900,50300,48350,48750,234779
20180516,48750,50000,48200,48900,207755
20180517,48900,48950,47500,47900,183285
20180518,47800,48750,47300,47950,129368
20180521,48850,48850,47650,48200,140536
20180523,48750,48800,46400,46700,220035
20180524,46350,48750,44750,48750,386310
20180525,48200,49550,46500,48500,290555
20180528,48350,50300,48150,50300,316943
20180529,50400,51000,49250,50100,232128
20180530,50100,50700,48400,50700,239123
20180531,51300,55900,50900,55700,589241
20180601,55800,59400,54300,57400,450629
20180604,57400,62300,56700,60400,581829
20180605,61300,62800,57500,58200,476151
20180607,58900,60800,56200,58200,389807
20180608,58400,60000,57200,59000,213459
20180611,59000,59600,57700,58200,180359
20180612,58200,59200,56300,57300,240650
20180614,57600,63000,57300,63000,550999
20180615,64500,66500,61600,63600,380120
20180618,62900,63400,59500,61800,330040
20180619,61000,61500,57400,57600,317183
20180620,57300,62200,57300,61400,355438
20180621,62900,73500,62600,66400,1653066
20180622,66900,71000,65500,69500,630627
20180625,69700,75500,69300,74500,620514
20180626,73500,76800,72100,74300,466014
20180627,74000,74700,70100,72600,427705
20180628,71000,77200,71000,74300,432534
20180629,75600,75700,72800,74100,210033
20180702,73500,78100,73500,75700,375878
20180703,76800,77500,71700,73500,459932
20180704,73200,74900,70200,71100,307857
20180705,72100,73500,71200,71800,191474
20180706,72100,73000,69900,71600,199215
20180709,72500,74300,72000,73500,168540
20180710,74500,79000,74200,78000,510278
20180711,78000,78100,75800,76400,199070
20180712,76400,77400,74200,76700,213445
20180713,77000,78900,77000,77500,159742
20180716,78500,78500,74000,74500,260243
20180717,74000,75300,72300,72500,182903
20180718,72600,73300,67100,69300,490181
20180719,68400,69900,61800,64600,833913
20180720,64600,68100,62600,67500,421822
20180723,66900,67500,64100,64500,209545
