날짜,시가,고가,저가,현재가,거래량
20080102,56100,56700,53200,53200,40012
20080103,53400,56700,53300,56700,47599
20080104,56000,56700,54000,54200,65155
20080107,54200,55300,54200,54500,79875
20080108,54500,55400,54000,55000,68199
20080109,54100,56700,54100,55400,84455
20080110,55400,56000,54700,55300,108929
20080111,55300,55800,54700,55100,168388
20080114,54900,55900,54300,55000,97667
20080115,55100,55500,54000,55500,105634
20080116,55500,55900,54500,54900,67257
20080117,55500,55500,52300,53500,100200
20080118,53200,55000,52200,54800,124256
20080121,53500,54300,51200,52700,92547
20080122,51500,54000,51100,53500,83047
20080123,54000,54000,51400,53600,71476
20080124,53100,54800,51900,52700,46386
20080125,52700,54000,52000,54000,42966
20080128,53900,53900,52000,52400,46685
20080129,53600,54700,52900,54500,52328
20080130,54800,54900,51500,53400,79967
20080131,53400,54800,52300,54500,68874
20080201,53500,54000,52700,53200,86188
20080204,53500,53900,53100,53700,39222
20080205,54300,54300,53500,53800,58026
20080211,52400,53100,50200,51300,117315
20080212,51400,53500,51400,53000,41075
20080213,52600,54000,52500,53700,50282
20080214,53600,54700,53400,54700,42714
20080215,53600,54100,52800,53700,39975
20080218,53900,54800,52600,53000,31366
20080219,53500,54200,53000,53100,37661
20080220,52600,53600,51700,52100,53057
20080221,52000,52500,50600,50800,64758
20080222,50800,50800,48700,49000,70876
20080225,49600,51400,49500,51400,31916
20080226,51000,51800,50300,50900,17442
20080227,50700,52000,50700,51000,29120
20080228,51500,51600,50500,51000,19124
20080229,51400,51900,49700,50200,36050
20080303,50000,51100,49550,50200,64412
20080304,51300,51300,49800,50500,35136
20080305,51300,52300,50800,52300,37657
20080306,51600,54100,51500,53500,94673
20080307,52600,54700,51300,54700,85948
20080310,52800,54300,52100,53900,64585
20080311,53800,53800,52000,53000,42554
20080312,53000,53100,52400,52900,104284
20080313,52500,53300,52100,52100,98091
20080314,52300,52800,49400,50700,63261
20080317,50700,51900,50000,51000,60227
20080318,50800,51500,49500,50700,51198
20080319,51100,51600,50600,51600,46526
20080320,51100,51500,50100,50500,58549
20080321,51200,52900,50500,52700,24096
20080324,52700,52700,51100,51800,26497
20080325,52000,52000,50400,50600,53949
20080326,50600,51100,50000,50900,40480
20080327,51000,51700,50600,50900,59279
20080328,50500,51800,50500,50900,37977
20080331,51500,51600,50500,51400,52124
20080401,51000,51700,50600,51100,105984
20080402,51900,52700,51300,52500,74275
20080403,52600,53500,51500,52500,62061
20080404,52600,52800,52000,52400,50523
20080407,53000,54300,52700,53800,82432
20080408,53900,54700,52800,54600,49442
20080410,54600,57000,53100,57000,72647
20080411,56600,56600,55100,55400,58495
20080414,55200,55500,54100,54100,41406
20080415,54700,56700,54200,56700,38983
20080416,56700,56700,55000,55300,59713
20080417,55300,56500,54700,55800,41624
20080418,56300,59200,55800,59200,102054
20080421,59200,61100,58100,61000,88299
20080422,60000,61400,59100,60100,40523
20080423,60600,61900,60100,61800,34058
20080424,60600,60600,57800,60200,76616
20080425,60000,62000,60000,62000,55976
20080428,61200,63100,60200,62600,41127
20080429,61300,62600,60300,62600,40498
20080430,62300,64000,62100,63000,68785
20080502,63000,64000,62400,63800,70649
20080506,63500,65700,62300,64300,125645
20080507,63100,64500,62800,63600,59759
20080508,63600,65300,63600,65000,80013
20080509,65700,67500,64600,65500,220100
20080513,65400,68300,65100,68100,89907
20080514,66800,66900,62100,63700,146577
20080515,63700,65300,62500,64500,95886
20080516,64500,65600,63500,64400,53556
20080519,64200,65100,60700,63300,132068
20080520,62500,63100,60700,61200,57895
20080521,60500,61900,60000,60900,63409
20080522,60900,60900,59700,59700,52831
20080523,61000,62200,60400,60400,396177
20080526,60300,60500,57000,57300,152704
20080527,57300,58500,56400,58500,159926
20080528,58900,62600,58800,62600,143220
20080529,61700,63100,60800,61400,98913
20080530,61100,61900,58500,58500,293499
20080602,59300,62300,58100,61500,172481
20080603,61500,63500,59800,61500,130524
20080604,62000,62500,60700,62500,71402
20080605,62500,63900,60800,63700,72960
20080609,61800,65900,61000,64000,109650
20080610,63200,65400,61100,62600,78190
20080611,63400,64000,61600,62400,55903
20080612,63000,63700,60900,60900,74218
20080613,61500,61600,59500,61600,72388
20080616,61200,63800,60700,63800,70536
20080617,65000,65200,58000,65000,101509
20080618,65000,65000,63700,64600,54357
20080619,64600,64700,61700,64300,115062
20080620,64200,65000,61500,62300,85860
20080623,61800,62200,60700,62000,60049
20080624,61400,61900,60700,61300,51925
20080625,61200,63700,61200,63000,76746
20080626,62300,63200,61500,63000,70935
20080627,62800,63200,61500,62800,122338
20080630,62900,63300,61800,62800,57849
20080701,62000,63000,61300,62900,76075
20080702,62500,62600,61100,61600,76550
20080703,62300,62300,59500,60300,170261
20080704,59200,61900,59100,61900,69582
20080707,62000,62800,60400,60500,114158
20080708,60900,61200,59300,60500,79994
20080709,60300,61200,56700,57500,229942
