날짜,시가,고가,저가,현재가,거래량
20080102,49000,50100,48600,48700,83601
20080103,48650,49500,48500,49150,49931
20080104,48700,49200,48000,48750,88832
20080107,47500,49000,47150,48300,88327
20080108,48450,48500,47200,48000,70008
20080109,47150,47800,45900,47450,88587
20080110,47550,48250,47500,48100,93522
20080111,47650,48900,46600,47000,118350
20080114,46400,48700,46000,48250,97005
20080115,48350,49950,47350,48600,120597
20080116,48250,48550,46650,47000,156628
20080117,46950,47800,43900,45200,116692
20080118,44900,47900,44000,46700,109659
20080121,48000,49200,46900,48200,240626
20080122,47600,47600,45500,46500,195320
20080123,46650,47300,44250,45000,141157
20080124,45650,46500,44650,45000,161584
20080125,45950,46450,45250,46450,127251
20080128,45950,46550,45100,45100,91452
20080129,45900,49000,45700,49000,199151
20080130,49300,49600,45550,46200,131024
20080131,45600,46550,44700,44750,152219
20080201,45500,45600,44000,44700,116133
20080204,45100,46300,44900,46100,189887
20080205,46200,48300,46200,46200,180443
20080211,45050,45450,44050,44100,139595
20080212,44250,45000,42900,43850,192297
20080213,44000,45550,43500,43600,227430
20080214,44150,44150,40700,40700,607621
20080215,39650,40350,39050,39200,385698
20080218,39300,39650,38300,38600,332880
20080219,38300,39350,38300,39200,268723
20080220,39100,41650,39100,40450,438567
20080221,40500,40800,39600,39750,205146
20080222,39800,40300,38850,39050,147123
20080225,39200,39800,39200,39450,150260
20080226,39500,39750,38850,39350,160658
20080227,39600,41100,39050,40750,177806
20080228,41050,44300,40300,43650,388813
20080229,45000,46350,44200,45300,462951
20080303,45300,45600,43400,43700,265547
20080304,44300,45450,44000,45000,187653
20080305,45050,45500,44100,44700,161997
20080306,45100,45300,44400,44400,174170
20080307,44400,44450,43550,44000,132890
20080310,42200,43400,40750,40800,238657
20080311,40750,43850,40050,43000,137627
20080312,44250,45750,44150,44850,192860
20080313,44950,45750,44000,44000,190385
20080314,45050,46100,42450,42500,188110
20080317,42500,43900,41950,43500,142212
20080318,44300,44600,43100,44300,101122
20080319,45300,45450,43600,43700,139759
20080320,42500,43400,42500,42700,51647
20080321,43500,44450,42800,44300,80828
20080324,44700,46750,44300,46700,136824
20080325,47200,47700,45900,46900,109444
20080326,46900,46950,45600,46300,82842
20080327,46350,47250,46000,46000,105165
20080328,45050,45800,44550,45400,102185
20080331,45800,46300,45000,46100,60360
20080401,45600,46200,44200,44200,75553
20080402,45150,45350,43600,43900,177311
20080403,43900,44200,42450,42650,308149
20080404,42600,43150,42000,42250,166101
20080407,42500,42950,42400,42750,141288
20080408,43050,43200,41850,42200,149923
20080410,42300,42350,41650,42350,116750
20080411,42450,43750,42400,43700,142110
20080414,43000,44750,42650,44250,105153
20080415,44500,44550,43350,44300,84484
20080416,44500,45500,44000,45300,154194
20080417,45500,45700,44700,45100,64009
20080418,45950,46600,45750,46000,141411
20080421,46400,46500,45900,46050,147125
20080422,46000,46050,45200,46050,109266
20080423,46700,48700,46700,48650,228551
20080424,49000,50300,47700,49750,216414
20080425,50200,50500,49100,50500,139857
20080428,50300,50500,49150,50000,103390
20080429,49300,49750,48000,49750,88755
20080430,49100,53000,48700,51000,254436
20080502,51200,53300,51000,53300,242405
20080506,53500,54400,52700,53400,132761
20080507,53000,55600,52800,55600,299952
20080508,54900,56500,54800,56500,167062
20080509,56700,58300,55100,55900,240705
20080513,56000,56300,52900,54700,228749
20080514,54000,54600,52300,53500,248040
20080515,53500,55900,53100,54600,282302
20080516,54100,54400,51300,51400,220994
20080519,51400,52400,50300,52300,148955
20080520,52000,52000,50000,51600,132192
20080521,50500,51100,48450,49100,170616
20080522,48050,49150,47150,49150,330929
20080523,48350,49500,48200,48550,160147
20080526,47900,48300,46450,47350,156898
20080527,46800,47350,45300,46550,263745
