날짜,시가,고가,저가,현재가,거래량
20080102,1296,1314,1270,1270,251475
20080103,1266,1270,1248,1261,263028
20080104,1266,1288,1248,1288,284581
20080107,1266,1279,1253,1257,158987
20080108,1257,1270,1244,1244,270722
20080109,1240,1257,1231,1253,311387
20080110,1253,1274,1213,1231,363407
20080111,1244,1244,1174,1178,569822
20080114,1152,1170,1117,1130,336293
20080115,1122,1139,1061,1087,290100
20080116,1065,1069,1017,1039,509161
20080117,1039,1069,1034,1056,249264
20080118,1061,1139,1026,1135,337432
20080121,1117,1148,1087,1117,187853
20080122,1104,1104,1013,1047,302073
20080123,1052,1082,1039,1039,255690
20080124,1052,1074,1030,1061,288266
20080125,1069,1130,1069,1126,270672
20080128,1104,1122,1065,1104,260092
20080129,1109,1113,1078,1078,242139
20080130,1078,1100,1052,1052,372638
20080131,1039,1113,1039,1082,325155
20080201,1091,1109,1087,1104,277626
20080204,1104,1126,1078,1109,278933
20080205,1109,1248,1100,1205,1156400
20080211,1157,1213,1152,1170,383722
20080212,1196,1253,1174,1253,585960
20080213,1270,1283,1174,1178,678567
20080214,1205,1218,1170,1183,265159
20080215,1157,1187,1152,1183,157349
20080218,1165,1213,1165,1178,284026
20080219,1187,1209,1183,1192,186444
20080220,1196,1244,1192,1196,410321
20080221,1218,1218,1148,1152,374416
20080222,1143,1143,1091,1100,361158
20080225,1122,1161,1109,1135,206472
20080226,1152,1165,1122,1126,129753
20080227,1126,1161,1122,1122,169102
20080228,1126,1170,1126,1157,155470
20080229,1148,1157,1135,1143,83308
20080303,1130,1130,1091,1104,120864
20080304,1095,1122,1095,1113,172962
20080305,1113,1126,1065,1091,200140
20080306,1095,1109,1078,1109,227483
20080307,1095,1126,1082,1082,215779
20080310,1056,1074,1039,1039,274606
20080311,1039,1052,1008,1047,178535
20080312,1069,1078,1047,1047,160728
20080313,1047,1065,1026,1026,193195
20080314,1030,1047,1026,1039,224220
20080317,1030,1043,995,1017,243934
20080318,991,1026,991,1017,129751
20080319,1087,1087,1030,1056,121435
