날짜,시가,고가,저가,현재가,거래량
20080102,485500,498000,471000,471000,674
20080103,490000,490000,471000,475000,357
20080104,489000,496000,475500,487000,568
20080107,485000,506000,475500,496000,1139
20080108,503000,508000,496000,504000,924
20080109,503000,503000,484000,500000,405
20080110,495500,496000,485000,485000,609
20080111,487500,490000,470500,471000,727
20080114,480000,482000,465000,465000,973
20080115,468000,475000,460500,470500,842
20080116,476000,477000,438000,438000,1286
20080117,452000,454000,439000,439000,604
20080118,450000,450000,420000,435000,1509
20080121,438500,438500,406000,406000,1186
20080122,394500,394500,360000,374500,2731
20080123,387000,400000,381000,393000,1120
20080124,420000,423000,400000,404500,891
20080125,401500,418000,401500,417500,510
20080128,416500,416500,391000,401000,406
20080129,403500,411000,395000,406500,592
20080130,410000,414000,387500,387500,579
20080131,399000,399000,378000,385000,607
20080201,390500,428000,390000,410000,1595
20080204,415000,449000,415000,445500,1059
20080205,436000,447000,423000,430000,551
20080211,423500,423500,412000,419500,416
20080212,419500,423000,413000,421500,698
20080213,420500,431500,412000,430000,749
20080214,430500,447500,422500,446000,1099
20080215,443000,443000,428000,442000,562
20080218,438000,446000,418000,421000,1466
20080219,427000,432500,420000,430000,538
20080220,432000,432000,415500,422000,602
20080221,422500,432000,422500,430000,417
20080222,434000,434000,415000,415000,464
20080225,420500,437000,420500,430000,461
20080226,435000,441000,422500,423000,571
20080227,433500,435000,422500,423000,1112
20080228,437000,443500,430500,441500,665
20080229,433000,454000,431500,441500,903
20080303,428000,455000,428000,445500,1095
20080304,459000,469500,450000,468500,874
20080305,472500,479500,462000,470000,1790
20080306,465000,488000,465000,476500,2504
20080307,463000,479500,463000,476500,4441
20080310,476500,479000,464500,476500,878
20080311,480000,480000,457000,465000,1025
20080312,471500,478000,467000,471000,551
20080313,470000,494000,470000,485000,1109
20080314,493500,496500,412500,489500,2512
20080317,489500,490000,462000,486000,1000
20080318,490000,495500,472000,491500,675
20080319,498000,498000,468000,476000,549
20080320,476000,483500,428000,435000,2169
20080321,438000,447500,435000,440000,350
20080324,440000,444000,433500,441500,346
20080325,448000,448000,440000,440000,573
20080326,440000,445000,433000,434000,243
20080327,442500,444000,434500,436000,373
20080328,436000,447000,432000,439500,398
20080331,449000,449000,432000,433000,461
20080401,433000,433500,422500,422500,727
20080402,437000,443500,400000,435500,408
20080403,440000,449000,430000,449000,533
20080404,442500,455000,437000,454500,434
20080407,453000,473500,449500,472500,767
20080408,459000,489500,457500,458000,661
20080410,463500,469000,445000,455500,980
20080411,452500,460000,451000,458000,331
20080414,458000,458000,440000,452000,379
20080415,446000,459500,440000,445000,428
20080416,442000,457000,442000,446000,394
20080417,451000,457000,441500,449500,217
20080418,454000,457500,446000,457000,270
20080421,457000,491000,450000,451000,630
20080422,448500,455000,445000,447000,401
20080423,449000,460000,449000,459000,550
20080424,460000,460000,450500,457000,844
20080425,455500,467000,455000,465000,757
20080428,460000,472000,455500,464500,317
20080429,460500,469500,450500,467000,500
20080430,465000,470000,456500,457000,290
20080502,455500,463000,455500,462000,334
20080506,458500,470000,458500,467500,340
20080507,465000,469500,454500,457500,403
20080508,467500,478000,456000,461500,1600
20080509,463000,469500,455000,461000,928
20080513,458000,474000,456000,474000,709
20080514,487000,487000,474000,481500,1218
20080515,482500,489000,474000,487000,466
20080516,477000,487500,477000,486000,529
20080519,486000,497500,486000,496500,571
20080520,497000,497000,476000,479000,583
20080521,466000,477500,466000,474500,510
20080522,476500,476500,460500,463500,492
20080523,463000,469000,455000,458000,804
20080526,461500,475000,449000,461000,923
20080527,453000,464500,451500,462500,285
