날짜,시가,고가,저가,현재가,거래량
20080102,139500,140000,135000,135000,2743
20080103,135000,139000,134000,135500,1176
20080104,135000,141000,133000,141000,7701
20080107,136000,141000,135000,141000,2466
20080108,137500,141500,136500,136500,1681
20080109,134500,142500,134500,137500,2529
20080110,138000,142500,137500,138500,3596
20080111,138500,142000,136000,138500,2187
20080114,139500,142000,138000,141000,2882
20080115,139500,142000,137000,142000,1680
20080116,144000,144000,138000,142500,2294
20080117,145000,145000,135500,136000,5010
20080118,136000,138000,132500,138000,5859
20080121,138000,138000,132000,135000,14225
20080122,133500,135000,129000,135000,3465
20080123,137000,139000,132500,138500,3238
20080124,136500,140000,129500,132000,6904
20080125,132500,133500,130500,131000,3418
20080128,131000,131000,126500,126500,2680
20080129,127000,130000,125500,125500,5496
20080130,127500,128500,125000,125000,1977
20080131,124500,128000,124500,126000,1805
20080201,125500,127000,123500,125500,2557
20080204,125000,130000,125000,128500,3448
20080205,128000,133000,128000,129500,1989
20080211,130000,132500,126000,128000,1844
20080212,129500,130000,125000,129000,1571
20080213,127500,130500,126000,130500,2943
20080214,130500,139000,129500,139000,3772
20080215,139000,139000,126500,129000,26407
20080218,128500,132500,128500,129000,4390
20080219,131500,132500,129500,132500,2776
20080220,132500,132500,128500,129000,3824
20080221,130000,132500,128500,132000,1307
20080222,132000,132000,128500,131000,1259
20080225,131500,134000,129000,129000,1590
20080226,129500,131000,126000,126500,2944
20080227,127500,128500,125500,126500,2439
20080228,126500,127500,124500,126000,1342
20080229,124500,125500,123500,125500,2655
20080303,122000,124000,120000,120000,20703
20080304,122000,122000,119000,119000,1636
20080305,120500,124500,119000,123500,2194
20080306,122000,126000,121000,126000,4318
20080307,126000,126000,119500,120000,3324
20080310,119000,120000,115000,115000,2835
20080311,113500,113500,108000,110000,6442
20080312,112000,113500,110500,113000,4770
20080313,113000,117500,113000,115000,6609
20080314,117000,118000,98000,117500,13438
20080317,116500,120000,114500,117500,6014
20080318,120500,121000,117500,121000,102109
20080319,123500,125000,120000,121500,3397
20080320,121000,124000,119000,121500,2039
20080321,122000,122500,119000,120000,2535
20080324,120000,122500,119000,122000,2222
20080325,122000,122000,119000,119500,2344
20080326,119000,121000,118500,119500,885
20080327,120000,125000,120000,122000,4217
20080328,125000,130000,121500,127000,7149
20080331,130000,130000,122000,122000,2518
20080401,121500,126500,120500,122500,2384
20080402,124000,127000,123500,127000,4628
20080403,129500,130000,126000,130000,3592
20080404,128000,133500,127500,132500,3704
20080407,134500,136000,132000,135000,5310
20080408,134500,135500,131000,135000,1962
20080410,134500,137000,131000,135500,3835
20080411,134500,138000,134500,138000,3089
20080414,137500,140000,134500,140000,2573
20080415,140000,140000,136500,139500,1464
20080416,136500,144000,136500,144000,2600
20080417,142500,148000,142500,147500,2657
20080418,149500,149500,147500,148000,1647
20080421,145500,150000,145500,149000,2499
20080422,149000,153000,147500,151000,5798
20080423,152500,156500,152500,155000,3521
20080424,155500,157500,152500,157500,2356
20080425,157500,157500,155000,156000,2906
20080428,154000,158500,150500,151500,3456
20080429,150500,153500,150000,151000,3782
20080430,153000,154000,151000,153500,2540
20080502,150000,153500,149500,153500,3400
20080506,151000,153000,150500,153000,1523
20080507,150000,156500,150000,156500,6555
20080508,153500,159000,153500,153500,8467
20080509,152500,152500,145000,146500,6634
20080513,146500,149000,140000,149000,2402
20080514,145000,148500,143500,148500,2287
20080515,148500,151000,146000,150000,4562
20080516,153500,153500,148000,150000,6923
20080519,150000,156000,150000,153500,9674
20080520,151500,152500,150500,151000,2296
20080521,150500,151000,148000,149000,1484
20080522,149000,150000,144500,150000,2157
20080523,150000,150000,145500,145500,3172
20080526,145500,149000,145000,149000,3793
20080527,146000,151000,146000,151000,4203
20080528,148000,156000,148000,154500,7194
20080529,157500,158500,153500,155000,6854
20080530,153000,156000,152000,154000,6798
20080602,157000,159000,148500,156000,3187
20080603,153500,158500,153500,156500,2707
20080604,158000,158000,154500,156000,3442
20080605,153500,154000,151000,153500,6043
20080609,152000,154000,148500,154000,3693
20080610,151500,154000,150500,154000,7829
20080611,151500,159000,151500,155500,12656
20080612,155500,155500,150500,154500,14273
20080613,152500,156000,152500,156000,9558
20080616,155000,156000,152500,154500,3484
20080617,155000,155500,151500,153000,3217
20080618,152500,155000,151500,154500,5561
20080619,154500,154500,149500,152000,8375
20080620,151500,153000,151000,152000,4770
20080623,152500,153000,150000,152000,3541
20080624,151000,151500,148500,151500,1939
20080625,150000,152500,149500,152000,5060
20080626,152000,153000,149500,151500,4567
20080627,150000,151500,149000,150000,2641
20080630,151000,151500,150000,151500,3688
20080701,151000,151500,149000,151000,5095
20080702,151000,151000,147000,150000,3080
20080703,149000,149000,143500,147000,4538
20080704,143000,145000,141500,142000,3771
20080707,142000,144000,141500,142000,6585
20080708,142000,145500,135000,143000,6048
