날짜,시가,고가,저가,현재가,거래량
20170511,31200,32800,31050,31600,3420627
20170512,31350,31450,30600,31000,945170
20170515,31050,32050,30850,31800,759196
20170516,32150,32200,31700,31950,279754
20170517,32000,32000,31350,31650,289706
20170518,31250,31600,30800,31100,388955
20170519,31100,31200,30500,31000,325338
20170522,31000,31100,30700,30750,137214
20170523,30950,31000,30450,31000,453082
20170524,31000,31750,30750,31300,391519
20170525,31300,31900,31200,31650,424620
20170526,31850,31850,31300,31450,323300
20170529,31500,31800,31450,31800,149365
20170530,31800,31900,31500,31500,57031
20170531,31500,32100,31350,32100,181965
20170601,32100,32200,31650,32100,112052
20170602,31800,32300,31800,32250,106400
20170605,32250,32400,31900,31900,147850
20170607,31900,32200,31600,31650,81159
20170608,31850,32500,31550,32200,147038
20170609,32350,32350,31550,31850,92013
20170612,31650,32000,31600,31700,34260
20170613,32050,32050,31300,31650,196523
20170614,31500,31950,31500,31950,173767
20170615,31950,31950,31400,31700,58613
20170616,31950,32000,31650,31750,95592
20170619,31950,32000,31400,31900,72450
20170620,31800,32000,31300,32000,268869
20170621,32000,32000,31600,31850,234923
20170622,31900,33000,31750,32950,443313
20170623,33100,33450,32700,33450,356619
20170626,33500,33700,33100,33700,455792
20170627,33900,33900,33050,33500,325209
20170628,33500,33750,33400,33450,216459
20170629,33400,33600,32450,33400,312536
20170630,33400,34000,33150,34000,612723
20170703,34300,37650,34150,35700,593576
20170704,36100,36350,35750,35950,965397
20170705,36250,36250,35800,36000,72237
20170706,35900,36500,35750,36150,617321
20170707,36300,36300,35800,35850,294440
20170710,36000,36900,35850,36900,340455
20170711,37100,37150,36500,36800,349099
20170712,37000,37300,36750,37000,205053
20170713,37000,38050,36850,37900,350622
20170714,38500,39100,38400,39100,495600
20170717,39500,40050,38300,39850,571315
20170718,39800,39800,37800,38250,298915
20170719,38300,38650,38100,38350,375094
20170720,38350,38450,37250,38000,196780
20170721,38450,38450,37800,38000,219449
20170724,38050,38050,37700,37800,103569
20170725,37850,37900,36750,37250,216334
20170726,37400,38050,36850,37650,223530
20170727,37800,37850,37000,37450,270585
20170728,37300,37300,36900,37050,177278
20170731,37400,37800,36500,37750,214910
20170801,37600,38900,36900,38450,225746
20170802,38650,38950,38150,38900,134459
20170803,38500,38850,37600,38700,94698
20170804,38550,39000,38050,38200,176389
20170807,38150,38900,38000,38800,214109
20170808,38750,38950,38700,38700,157174
20170809,38800,39200,38600,38800,129306
20170810,38800,39150,38650,39150,445443
20170811,39100,39400,38750,39300,872454
20170814,40050,41500,39000,41300,999558
20170816,42700,44000,41200,43000,874440
20170817,43000,43400,42400,43000,559119
20170818,43000,43550,42700,42700,466144
20170821,42600,42700,40500,41500,353414
20170822,41600,41700,41000,41250,346848
20170823,41800,42950,41600,42300,194633
20170824,42850,42850,42000,42600,262202
20170825,42000,42000,41600,41850,244729
20170828,42050,42450,41750,42250,259431
20170829,42200,42950,41700,42900,261483
20170830,43000,43600,42000,43600,396399
20170831,43500,44200,43200,44050,341679
20170901,44150,44150,42800,43150,173999
20170904,42950,43650,41850,43650,184981
20170905,43750,43750,41400,42150,431031
20170906,41850,41900,40050,41750,514102
20170907,41950,42050,41550,41800,129723
20170908,41800,41800,40750,41050,66183
20170911,41200,41700,41050,41700,124068
20170912,41900,41950,40300,41250,136808
20170913,41200,41850,40900,41700,71128
20170914,41500,42150,41000,41650,80088
20170915,41250,43100,41250,42750,151210
20170918,42900,42900,41650,42400,62324
20170919,42800,43500,42450,42800,181944
20170920,42800,43850,42800,43500,256047
20170921,43600,45550,43000,44900,217810
20170922,45350,46200,44950,45500,326637
20170925,45900,46000,44650,45000,109481
20170926,44800,47000,44800,46550,307489
20170927,46500,47000,45600,46950,316810
20170928,46900,46900,46000,46300,387956
20170929,45650,48750,45600,47450,364018
20171010,47450,49450,46450,47500,865834
20171011,47050,47200,46600,46800,347570
20171012,46800,47800,46500,47500,356638
20171013,47000,49450,47000,49400,277886
20171016,49450,49950,48650,49500,191690
20171017,49000,49050,47500,48100,104941
20171018,48350,50000,48250,49800,218537
20171019,49800,50300,48750,49150,192659
20171020,49150,50400,48500,48650,173599
20171023,49150,50300,49000,49650,378904
20171024,49650,49650,49050,49450,131839
20171025,49650,50000,48400,49000,339052
20171026,49000,49050,48000,48600,160402
20171027,48100,48550,46000,48000,330928
20171030,48900,48900,47000,47550,122749
20171031,47100,48050,47000,48000,168836
20171101,48800,48950,46950,47950,183355
20171102,47500,48700,47500,48700,275023
20171103,49200,50700,48800,50400,174010
20171106,51500,52000,50700,50800,158398
20171107,50500,51700,49250,51000,152567
20171108,51100,51400,49550,49850,140350
20171109,50100,50800,49600,50000,105059
