날짜,시가,고가,저가,현재가,거래량
20080102,12079,12349,12030,12349,427291
20080103,12201,13012,12128,12864,857881
20080104,12741,13012,12570,12962,507780
20080107,12619,13134,12619,12889,451792
20080108,12889,13355,12840,13306,613340
20080109,13159,13576,13110,13576,790896
20080110,13576,13576,13085,13134,636985
20080111,13282,13429,12668,12864,570896
20080114,12717,12913,12447,12619,655804
20080115,12766,12766,12054,12349,459837
20080116,12324,12324,11637,11784,566354
20080117,11784,11980,11048,11170,671914
20080118,11048,11465,10925,11293,632749
20080121,11244,11342,10581,10851,605336
20080122,10336,10655,10164,10434,873788
20080123,10606,10777,10090,10213,561955
20080124,10213,11023,10213,10949,607739
20080125,11097,11170,10753,11121,490570
20080128,11023,11023,10336,10925,299124
20080129,10851,10900,10606,10753,289144
20080130,10900,11170,10286,10802,609470
20080131,10802,11416,10655,11416,602219
20080201,11219,11268,10802,10851,451914
20080204,10851,11097,10777,10949,649389
20080205,10949,11048,10851,10876,542892
20080211,10483,10655,10336,10483,488391
20080212,10458,10606,10066,10066,901690
20080213,10188,10213,9746,9746,724949
20080214,9845,9967,9525,9795,1479898
20080215,9697,9697,9378,9501,1794012
20080218,9550,9624,9403,9476,662260
20080219,9476,10115,9452,9869,2146904
20080220,9894,10262,9673,9967,1828737
20080221,10016,10066,9697,9820,3067800
20080222,9771,9869,9550,9795,1251201
20080225,9845,10262,9845,10262,1397413
20080226,10311,10655,10237,10434,1416211
20080227,10483,10557,10041,10336,970590
20080228,10336,10336,9967,10066,1405315
20080229,9943,9992,9501,9648,1411466
20080303,9378,9427,9231,9231,846272
20080304,9378,9378,9108,9231,807922
20080305,9182,9354,9034,9182,959368
20080306,9182,9231,8789,8789,2307352
20080307,8642,8642,8151,8175,2822260
20080310,8102,8200,7758,7807,1655947
20080311,7709,8003,7709,7954,1039124
20080312,8102,8175,7635,7782,2260325
20080313,7684,8003,7684,7684,1092464
20080314,7856,8052,7586,8052,1421955
20080317,8052,8052,7660,7856,477596
20080318,7979,8077,7684,7856,1384562
20080319,8028,8077,7782,7856,859857
20080320,7709,7905,7709,7856,699002
20080321,7881,8568,7881,8543,1465091
20080324,8421,8593,8200,8322,850692
20080325,8372,8764,8200,8740,1476211
20080326,8813,8912,8396,8593,1108309
20080327,8494,8593,8421,8421,666904
20080328,8347,8617,8347,8494,854867
20080331,8494,8519,8102,8322,758452
20080401,8322,8470,8077,8077,900814
20080402,8273,8322,7979,8175,1341751
20080403,8151,8568,8102,8568,1324623
20080404,8568,8666,8494,8617,723686
20080407,8715,8912,8543,8838,987576
20080408,8863,8863,8666,8789,673890
20080410,8887,9084,8715,9084,1353849
20080411,9133,9182,8887,9034,768859
20080414,8764,8863,8568,8789,916211
20080415,8789,8838,8593,8813,744928
20080416,8813,9034,8740,9010,1006456
20080417,9010,9034,8789,8936,631629
20080418,8863,8912,8593,8691,794378
20080421,8764,9255,8715,9157,1762016
20080422,9059,9575,9059,9427,1504175
20080423,9427,9599,9280,9550,800529
20080424,9550,9550,9304,9452,386945
20080425,9427,9820,9354,9746,694215
20080428,9746,9918,9525,9869,669674
20080429,9820,10164,9771,10066,958798
20080430,10066,10213,9894,10188,604338
20080502,10262,10483,10115,10458,937820
20080506,10802,10802,9967,10090,1443441
20080507,9894,10115,9575,9746,1804236
20080508,9599,9795,9501,9550,960264
20080509,9525,9550,8912,9010,1624684
20080513,8985,9378,8985,9378,868472
20080514,9329,9452,9084,9133,715458
20080515,9108,9722,9108,9697,793564
20080516,9943,10336,9918,10286,1382321
20080519,10311,10434,10090,10434,869694
20080520,10434,10532,9918,10311,1555010
20080521,10164,10606,9967,10507,1075010
20080522,10115,10507,10115,10507,528594
20080523,10360,10483,10139,10336,429938
20080526,10139,10286,9894,10286,727698
20080527,10164,10286,9918,9967,691975
20080528,9943,10139,9943,9967,548309
20080529,9967,10507,9967,10434,827006
20080530,10336,10434,9967,10139,1344501
20080602,10066,10090,9771,9820,1010794
20080603,9820,9894,9624,9820,336578
20080604,9820,10139,9722,10139,655824
20080605,10066,10434,9992,10409,802342
20080609,10115,10557,10016,10532,522260
20080610,10532,10532,10311,10336,459877
20080611,10360,10728,10286,10655,858004
20080612,10606,10753,10532,10655,1039837
20080613,10777,10851,10434,10802,1499918
20080616,10974,11072,10704,10949,1210794
20080617,11048,11048,10851,10925,1663564
20080618,10827,11072,10753,10998,1126232
20080619,10925,10998,10704,10998,898289
20080620,10998,11146,10851,10974,576334
20080623,10802,11048,10777,10998,921221
20080624,10925,11219,10532,10974,1022647
20080625,10974,11048,10753,10802,540142
20080626,10802,10974,10630,10974,550509
20080627,10704,10900,10679,10802,320040
20080630,10925,10949,10532,10876,707291
20080701,10753,10876,10213,10213,632423
20080702,10213,10262,10041,10213,523421
20080703,10164,10213,9943,10115,395234
20080704,10115,10139,9673,9943,442586
20080707,9820,9992,9673,9795,241608
20080708,9869,9943,9354,9354,585397
20080709,9501,10213,9476,9624,656700
20080710,9599,10213,9354,10213,849226
20080711,10213,10336,9918,10213,397169
20080714,10262,10286,9697,10016,801364
20080715,9771,9820,9329,9575,1289042
20080716,9427,9575,9255,9354,876171
20080717,9501,9575,9280,9329,840875
20080718,9501,9624,9329,9525,665661
20080721,9648,9992,9648,9967,602953
20080722,9795,10115,9795,10066,344501
20080723,10213,10336,10066,10115,505315
20080724,10016,10458,10016,10434,298146
