날짜,시가,고가,저가,현재가,거래량
20190213,15600,15600,14950,15300,3961223
20190214,15250,16000,15200,16000,2626606
20190215,15800,15850,15600,15650,1276624
20190218,15700,15800,15650,15750,1034314
20190219,15800,15850,15550,15550,974123
20190220,15400,15500,15100,15250,2923220
20190221,15200,15250,15050,15100,883514
20190222,14950,15000,14750,14850,1546763
20190225,14900,15050,14850,14900,905856
20190226,14900,14950,14700,14700,890582
20190227,14650,14850,14500,14800,1573961
20190228,14800,14800,14600,14800,2377878
20190304,14700,14750,14350,14400,1547446
20190305,14400,14400,14150,14250,1286767
20190306,14350,14450,14150,14350,1117292
20190307,14400,14450,14150,14200,905411
20190308,14150,14200,14000,14000,651905
20190311,13950,14200,13950,14150,663971
20190312,14200,14450,14150,14400,841522
20190313,14300,14550,14250,14550,715885
20190314,14550,14600,14350,14350,1578814
20190315,14400,14850,14350,14850,3539125
20190318,14900,15000,14750,14950,763184
20190319,15000,15050,14800,14900,995019
20190320,14800,15000,14750,15000,581438
20190321,14800,15000,14600,14650,1055925
20190322,14500,14550,14000,14050,23513784
20190325,13900,14000,13350,13400,3167652
20190326,13500,13550,13350,13350,1318663
20190327,13450,13650,13450,13500,1587553
20190328,13450,13650,13450,13550,1634096
20190329,13600,13850,13550,13750,1995723
20190401,13850,14250,13800,14150,2079046
20190402,14150,14350,14150,14250,1444377
20190403,14100,14400,14100,14400,1241047
20190404,14450,14600,14350,14450,1666798
20190405,14500,14600,14350,14400,887367
20190408,14350,14500,14300,14300,1227406
20190409,14400,14450,14300,14350,1097314
20190410,14250,14350,14050,14350,1718389
20190411,14350,14450,14250,14350,1882279
20190412,14400,14450,14250,14300,1110551
20190415,14300,14450,14250,14300,1040210
20190416,14200,14350,14150,14200,1062403
20190417,14250,14300,14150,14150,794666
20190418,14150,14150,13950,14000,1096357
20190419,13950,14050,13950,13950,468664
20190422,13900,13950,13850,13850,580501
20190423,13900,14100,13750,14000,1324375
20190424,14000,14050,13750,13850,1066707
20190425,13800,14000,13750,14000,751660
20190426,14000,14100,13800,13850,868559
20190429,13850,14000,13800,14000,497794
20190430,14100,14150,13850,13850,1246644
20190502,13850,14200,13800,14200,853449
20190503,14200,14200,13900,13950,642365
20190507,13800,14050,13800,14050,1016057
20190508,13900,14200,13850,14050,956350
20190509,14050,14150,13850,13850,1642027
20190510,13900,14050,13750,13800,1087540
20190513,13750,13800,13500,13600,1163225
20190514,13400,13700,13400,13700,1037129
20190515,13700,13900,13500,13850,1292151
20190516,13750,13950,13750,13800,1058541
20190517,13900,13950,13700,13700,888163
20190520,13750,13850,13700,13750,668952
20190521,13750,13900,13750,13850,754764
20190522,13900,14050,13800,14050,976568
20190523,14050,14050,13900,13950,831364
20190524,13950,14250,13950,14250,1131257
20190527,14200,14250,14000,14100,761694
20190528,14100,14200,14000,14150,1802813
20190529,14200,14250,13900,14000,1059910
20190530,14000,14150,13950,14100,751578
20190531,14000,14100,13800,13900,1308995
20190603,13850,14000,13800,14000,1202772
20190604,14050,14150,14000,14100,826032
20190605,14050,14100,13800,13850,1052753
20190607,13850,13900,13650,13750,1239993
20190610,13850,13900,13800,13850,1407551
20190611,13850,13900,13800,13900,939500
20190612,14000,14150,13900,14000,1600476
20190613,14000,14100,13800,14000,1341715
20190614,14000,14050,13800,13950,1081193
20190617,14000,14100,13900,14100,859315
20190618,14100,14200,13950,14100,1652139
20190619,14200,14400,14100,14400,1444829
20190620,14450,14500,14300,14400,1042219
20190621,14350,14450,14000,14000,1737283
20190624,14050,14150,13950,14050,1214007
20190625,14100,14200,13900,13950,904327
20190626,13950,14050,13850,14000,983283
20190627,14000,14150,14000,14100,756827
20190628,14150,14200,14000,14050,770307
20190701,14150,14150,14000,14000,478943
20190702,14000,14050,13900,14050,435041
20190703,14100,14100,13850,13900,472116
20190704,13950,14000,13800,14000,456111
20190705,13900,14050,13900,14050,282197
20190708,13950,14000,13800,13850,533811
20190709,13800,13900,13700,13700,483705
20190710,13700,13750,13600,13650,569165
20190711,13600,13900,13600,13900,1253848
20190712,13850,13900,13700,13850,730021
20190715,13900,13900,13750,13800,762992
20190716,13850,13900,13800,13900,587929
20190717,13950,13950,13750,13800,605969
20190718,13750,13900,13700,13800,569429
20190719,13800,13900,13750,13800,650271
20190722,13850,13900,13750,13800,870625
20190723,13800,14050,13800,14000,998112
20190724,14000,14100,13950,14000,662109
20190725,13950,13950,13650,13700,947044
20190726,13700,13750,13500,13500,1269303
20190729,13550,13600,13100,13150,1553930
20190730,13250,13250,13000,13050,639595
20190731,13050,13300,13000,13100,1290810
20190801,13150,13250,13050,13100,652975
20190802,13000,13100,12550,12550,1241170
20190805,12500,12600,12300,12500,1470271
20190806,12400,12500,12050,12250,1625781
20190807,12350,12400,12100,12100,1121069
20190808,12050,12300,12050,12100,1534108
20190809,12200,12300,12100,12150,861928
20190812,12100,12150,11950,11950,722677
20190813,11850,11950,11700,11750,990288
20190814,11750,11850,11550,11600,889434
20190816,11500,11550,11300,11300,1092746
20190819,11250,11700,11200,11600,1232386
20190820,11550,11700,11450,11600,974023
20190821,11550,11700,11450,11600,1046215
20190822,11600,11750,11550,11650,1223589
20190823,11550,11650,11450,11550,569768
20190826,11400,11650,11350,11550,673615
20190827,11550,11600,11200,11250,2245704
20190828,11300,11400,11150,11200,892865
20190829,11250,11300,11100,11250,715036
20190830,11350,11950,11350,11900,1603022
20190902,11750,12050,11600,11900,863743
20190903,11850,12000,11800,11900,921949
20190904,11850,12100,11800,12100,1184417
20190905,12000,12350,11950,12050,1347959
20190906,12050,12250,12050,12050,785871
20190909,12050,12200,12050,12100,730744
20190910,12200,12350,12150,12350,1216701
20190911,12400,12600,12350,12450,2048866
20190916,12600,12800,12550,12600,1163504
20190917,12550,12750,12500,12550,1142962
20190918,12550,12700,12450,12550,875409
20190919,12500,12600,12300,12400,929961
20190920,12300,12600,12300,12600,1749478
