날짜,시가,고가,저가,현재가,거래량
20080102,30150,30550,29850,30000,200716
20080103,30000,30100,29700,29700,263860
20080104,29950,29950,28700,29000,299893
20080107,28400,29000,28200,28650,236968
20080108,29150,30500,28700,29900,290815
20080109,29400,30700,29300,30700,190798
20080110,30500,31200,30300,30300,262976
20080111,30700,31050,29500,30000,182805
20080114,30000,30900,30000,30300,212795
20080115,30450,30850,30100,30600,226852
20080116,30950,30950,29050,29900,225814
20080117,29800,30050,29100,29100,178842
20080118,29250,30150,28400,29900,240430
20080121,30450,30450,29350,30000,229351
20080122,29500,30050,28350,29300,425906
20080123,30300,30550,29400,30200,394370
20080124,30800,33050,30800,31900,528716
20080125,32300,32950,31550,32300,257024
20080128,31900,32800,31200,31800,220835
20080129,32200,32300,30700,31200,390766
20080130,31000,31600,29950,30900,250109
20080131,30850,31500,30350,31500,293409
20080201,31300,32600,31200,31900,330313
20080204,32100,33050,31950,32050,342832
20080205,32300,32850,31800,32500,225988
20080211,31900,32250,31100,31700,185420
20080212,32200,32250,31650,31850,208800
20080213,32000,32200,31250,31750,181368
20080214,31850,32700,31600,32500,267667
20080215,32350,32350,31350,31550,184346
20080218,31550,31700,30650,31000,251145
20080219,31400,31400,30950,31100,123791
20080220,31100,32100,30900,31600,259182
20080221,31600,31600,30350,30700,261159
20080222,30850,31200,30200,30200,212390
20080225,30350,31000,30350,30950,137510
20080226,31000,32350,30750,31350,369286
20080227,31550,32700,31550,32400,358058
20080228,32750,32750,31550,31900,319475
20080229,31600,32000,30850,32000,387135
20080303,32100,32300,31250,31450,359410
20080304,31400,31700,30700,31000,237272
20080305,30800,31400,30550,30800,283244
20080306,30850,31050,30600,30650,240367
20080307,30500,30500,29650,30000,300318
20080310,29500,29500,28350,29350,367101
20080311,28550,29450,28550,28900,228495
20080312,29450,29700,28450,28500,445754
20080313,28250,28600,26200,26900,732557
20080314,27600,28050,26900,27450,368603
20080317,26850,27700,26800,27400,331945
20080318,27500,27600,26350,26950,363086
20080319,27300,27700,25450,26100,719252
20080320,25800,27500,25750,26950,439972
20080321,27300,28250,27150,27600,253231
20080324,27900,28250,27250,28250,157629
20080325,28050,28100,27650,27750,164222
20080326,27600,27850,26800,27350,355844
20080327,27200,28700,27200,27950,490021
20080328,27950,29400,27700,29400,381213
20080331,29400,29900,28900,29900,273003
20080401,29500,29750,28900,29500,168324
20080402,29600,29700,27200,28000,566072
20080403,28200,28350,27600,27600,320086
20080404,27650,28250,27650,28050,172317
20080407,28400,29050,28250,28450,219283
20080408,28900,29300,28650,29250,272430
20080410,29250,29650,28600,29650,196385
20080411,29350,29800,29200,29600,165228
20080414,29050,29250,28500,29250,134172
20080415,29400,29400,28550,28650,161835
20080416,29000,29600,28850,29350,146961
20080417,29500,30000,29450,29800,185791
20080418,30000,30050,29450,29900,83302
20080421,29900,30650,29700,29800,190895
20080422,29800,30500,29350,30400,313315
20080423,30500,31150,30400,31150,249896
20080424,30800,31200,30500,30900,136443
20080425,32200,32200,31250,31250,250554
20080428,30850,31500,30550,31300,102870
20080429,31600,31650,30950,30950,105064
20080430,30800,31800,30500,31700,224257
20080502,31750,32100,31600,31900,136945
20080506,32450,33800,32000,33200,438672
20080507,33300,34100,32450,33100,326066
20080508,33000,33600,32100,32100,142944
20080509,32200,32200,30750,32050,285474
20080513,32200,33300,32100,32500,247053
20080514,32700,33250,32400,33000,121765
20080515,32700,33450,32600,32750,162664
20080516,32850,33050,31900,32150,218923
20080519,32150,33050,32150,33050,117490
20080520,33450,33500,32900,33100,121372
20080521,32700,32800,32150,32800,165386
20080522,32500,32500,31200,31800,251440
20080523,31550,31900,30700,31800,194415
20080526,32000,32300,30950,31450,257734
20080527,31050,31950,31000,31950,110086
20080528,31400,31950,30750,31350,209191
20080529,31000,31450,30850,31000,183515
20080530,31100,31100,29950,30300,262992
20080602,30400,30800,29550,29700,335941
20080603,29600,30050,29250,29750,169687
20080604,29600,30100,29100,30000,235435
20080605,29700,30050,29450,30050,140524
20080609,29300,30050,29100,30050,113484
20080610,30050,30250,29250,29400,109775
20080611,29400,29800,29000,29400,145530
20080612,29100,29350,27850,27850,384300
20080613,28500,29400,28250,29300,425219
20080616,29050,29900,28950,29000,227995
20080617,29400,30000,29000,29150,162555
20080618,29350,30000,29350,29450,133033
20080619,29750,29800,29000,29800,99992
20080620,29950,30000,29250,30000,175371
20080623,30000,30750,29350,30050,253948
20080624,30100,30550,29900,30350,370819
20080625,30500,31150,30400,30850,163320
20080626,31000,31100,30550,30750,209608
20080627,30400,30400,29550,30400,300887
20080630,30800,31100,30500,30700,290818
20080701,30900,31000,30700,31000,224716
20080702,31100,31200,30700,30950,252402
20080703,30950,31000,29700,30700,241035
20080704,30300,30950,30300,30650,158893
20080707,30700,31100,30700,30750,178212
20080708,30750,31000,30200,30750,257253
20080709,31100,31100,30150,30250,267190
20080710,30200,30700,29650,30000,344958
20080711,30200,30450,29700,30050,196864
20080714,30300,30350,29800,30100,119254
20080715,30350,30350,29350,30100,147886
20080716,30200,30400,28250,30400,413062
20080717,30500,30750,30100,30500,208329
20080718,30900,31250,30550,30550,259579
20080721,31000,31400,30900,30950,219904
20080722,31050,31350,30600,31200,107390
20080723,31400,31500,31000,31000,158977
20080724,31250,31700,31200,31550,139695
20080725,31100,31900,31100,31500,148400
20080728,31900,31950,31300,31850,100613
20080729,31800,31900,30800,31550,125719
20080730,31700,31850,31200,31450,106782
20080731,31800,32500,31750,31950,178946
20080801,31800,32800,31250,32550,234320
20080804,32850,33000,32500,32650,219176
20080805,31500,32650,30800,31950,422250
20080806,31900,31950,31400,31450,659107
20080807,31500,32100,31300,31700,162503
20080808,31350,31700,30850,31300,140217
20080811,31500,32450,31450,32000,193821
20080812,32000,32150,31400,31550,87012
20080813,31400,32200,31400,31950,142757
20080814,31700,32700,31700,32500,153251
20080818,32450,33050,32300,32300,203272
20080819,32500,32500,31700,32500,105178
20080820,32400,32900,32200,32450,95542
