날짜,시가,고가,저가,현재가,거래량
20080102,146548,148013,143250,145815,49645
20080103,145815,148746,143983,146548,36974
20080104,148746,152410,146548,151677,34114
20080107,150578,151311,146548,148746,31922
20080108,149845,156073,147647,153142,47804
20080109,153142,160470,153142,160470,84220
20080110,157539,159737,153509,156806,46500
20080111,157539,157905,148746,154242,40067
20080114,151311,154242,148013,151311,34627
20080115,149112,151677,148746,151311,63280
20080116,153142,153142,148380,150944,50069
20080117,151677,152410,149479,151311,67988
20080118,152043,152043,145815,150212,40038
20080121,150212,150212,145082,148746,55895
20080122,146548,149845,141785,148746,93617
20080123,149479,149479,143617,148746,84255
20080124,146548,148380,141052,141052,109801
20080125,141419,142151,138854,141785,69106
20080128,140320,140686,134458,135557,53979
20080129,137022,142884,135923,139220,54896
20080130,142518,142518,133725,137755,43873
20080131,138854,139220,135923,138854,55074
20080201,138854,138854,135190,136289,33904
20080204,137022,139220,136656,137022,32437
20080205,138121,141785,137022,140320,36722
20080211,139953,141419,138488,141052,53747
20080212,141052,141419,138488,139587,30533
20080213,138488,139953,133359,137755,95758
20080214,136656,137755,133725,136289,86168
20080215,135190,137755,135190,136289,39876
20080218,137022,141419,136656,138854,45099
20080219,141419,142884,139220,139953,20737
20080220,139220,141052,135557,139953,33829
20080221,138854,143617,138854,142151,41029
20080222,142518,142884,138121,139220,32972
20080225,140320,143617,140320,142884,34229
20080226,142884,142884,139953,142518,16988
20080227,141419,143617,140686,141419,18276
20080228,142518,142518,137755,138854,42231
20080229,137389,138488,135923,137389,36332
20080303,135557,136289,133359,135923,39326
20080304,136656,136656,134091,134458,22889
20080305,135923,140686,135557,138488,44496
20080306,138121,142151,137389,141419,38750
20080307,138854,140686,132626,132992,128336
20080310,131893,133725,130061,132259,39404
20080311,132992,134458,127863,131527,59693
20080312,134824,136656,131160,136656,49806
20080313,134458,137389,133725,133725,47276
20080314,134091,136656,113941,136656,79973
20080317,135557,135923,129328,134458,41806
20080318,133359,135190,131527,135190,40280
20080319,135557,137755,134091,137755,32419
20080320,136656,137022,134091,136289,26275
20080321,135557,136656,131893,132259,80416
20080324,132992,133725,130428,132626,36283
20080325,132626,133359,130794,130794,32641
20080326,131160,134458,130794,133725,50106
20080327,133725,137389,133725,135557,60556
20080328,134458,136289,134091,136289,33962
20080331,136289,136656,133359,136289,28999
20080401,138854,141052,134824,138488,71986
20080402,139220,145449,139220,145082,81518
20080403,145082,145449,142151,142884,54237
20080404,142884,145815,140686,143250,25399
20080407,145815,147281,144350,145815,37118
20080408,147281,148746,142518,148746,41354
20080410,148746,151677,144716,151677,55961
20080411,149112,153875,149112,153142,79271
20080414,149112,152410,148013,152410,40965
20080415,150212,152043,145815,151311,36927
20080416,149845,154608,149112,153142,42319
20080417,153142,154974,149479,150212,32636
20080418,151311,154242,150944,152776,18978
20080421,154974,156073,152776,154242,20402
20080422,153142,159737,152776,156073,36646
20080423,156806,164500,156806,164500,52666
