날짜,시가,고가,저가,현재가,거래량
20110304,14813,15201,12974,13652,5359216
20110307,13894,15588,13797,14813,4836249
20110308,14910,14910,14136,14620,1329038
20110309,15152,15685,14765,15298,1986866
20110310,15927,16169,14910,15104,1710386
20110311,14813,15975,14717,15636,1257040
20110314,15201,15394,14329,15394,1077908
20110315,15346,15588,13942,14620,982879
20110316,14959,15394,14426,15394,725306
20110317,14910,15878,14813,15394,975532
20110318,15588,15975,15443,15588,766667
20110321,15540,17912,15491,17912,3067223
20110322,17912,18347,17476,18299,2609765
20110323,18105,18251,17670,17766,816419
20110324,17912,19606,17621,18686,2538680
20110325,18880,19800,18396,18396,1645391
20110328,18444,18880,17863,18202,939443
20110329,18299,19945,17960,19509,1444086
20110330,19461,21300,19364,19848,1497689
20110331,20139,20768,19848,20332,691348
20110401,20332,21300,19945,21155,1206640
20110404,21591,21639,20962,21349,606110
20110405,21349,22559,21349,21930,1126565
20110406,22220,22365,21542,21930,753097
20110407,22269,22559,20962,22123,748917
20110408,21833,23769,21833,22269,1132298
20110411,22704,23334,22414,22946,557025
20110412,23043,23624,22607,23576,647771
20110413,23576,24399,23285,23527,815222
20110414,23769,25367,22995,25028,1238125
20110415,25367,28465,25367,26674,2388853
20110418,27497,30450,26916,30014,1370024
20110419,29433,30789,27594,28562,1889871
20110420,28271,29530,27013,29288,1925135
20110421,29675,32532,29143,31951,1526994
20110422,32096,33742,31951,33403,1377664
20110425,34710,34807,32725,33209,1050585
20110426,32919,33209,31418,31418,1274770
20110427,31709,32435,29143,31467,1853904
20110428,31854,34565,31854,34565,987321
20110429,35388,36501,33112,34468,1259600
20110502,35339,35339,31079,31467,1414366
20110503,31612,33112,30692,32628,1220977
20110504,31999,32144,29579,29675,1335451
20110506,28659,29046,26626,29046,1536382
20110509,29433,31128,28901,30353,879126
20110511,31128,32289,30982,30982,759932
20110512,30208,31224,29724,30789,447525
20110513,31370,32096,27594,30014,1175276
20110516,30063,30837,28659,30014,632193
20110517,30014,30111,28756,28998,338817
20110518,28756,28901,26771,27013,1576101
20110519,27352,27787,25512,26045,966202
20110520,26577,26916,25609,26577,608951
20110523,26238,27303,25948,27206,557002
20110524,27206,28707,26964,28513,704663
20110525,28998,29143,26432,26626,716330
20110526,27110,28271,26190,28223,576591
20110527,28271,28756,27642,28029,326935
20110530,28465,28610,26868,27013,298826
20110531,27400,28078,27110,28078,366576
20110601,28078,29482,27594,29143,903703
20110602,28271,29433,28175,28271,391452
20110603,28368,28707,26287,26577,918907
20110607,25899,25948,22704,24060,1737579
20110608,24544,26287,24253,26238,663445
20110609,25609,26383,25318,25657,372307
20110610,25560,26093,24060,24399,334212
20110613,23818,24883,23479,23672,269374
20110614,23624,25318,23624,24786,359933
20110615,25173,26190,25076,25367,316927
20110616,24834,24883,24060,24253,294297
20110617,24592,24786,22269,23043,622219
20110620,23043,23576,20574,20574,1110004
20110621,20913,21058,19751,20913,858136
20110622,21349,22414,21107,21930,609745
20110623,21639,21785,20865,20913,336598
20110624,21155,22801,21058,22365,728320
20110627,22414,23963,22075,23672,790576
20110628,24108,24689,23382,23769,405611
20110629,24350,24592,23672,24060,330898
20110630,24447,24592,23237,24350,329340
20110701,24738,25270,23915,24980,539931
20110704,25415,27013,25270,26868,941349
20110705,27013,27352,25851,26868,657213
20110706,24786,24786,22850,22850,2809772
20110707,22269,23237,21397,22511,1738946
20110708,22753,23092,21881,22123,1128116
20110711,22123,22656,22027,22123,535552
20110712,21639,21930,21155,21204,638624
20110713,21155,22462,20816,22462,803446
20110714,22414,22607,21785,21930,407291
20110715,21881,22027,21155,21252,530390
20110718,21397,21881,21058,21397,401790
20110719,21300,22269,21300,22269,406237
20110720,22753,24108,22559,24011,1298042
20110721,24108,24157,22753,22753,736159
20110722,23334,23624,22850,23237,456382
20110725,22946,23043,21978,21978,457741
20110726,22123,22656,22027,22414,231148
20110727,22075,23140,21542,23140,596440
20110728,22704,23576,22511,23188,508474
20110729,23430,24350,23092,24060,967356
20110801,25028,25270,24108,24205,940760
20110802,23866,24157,22365,22801,583424
20110803,22075,22123,21204,21494,601950
20110804,21833,22220,21204,21252,431807
20110805,18928,20235,18541,19364,659560
20110808,18928,19897,16459,17234,992988
20110809,16363,16556,14668,16363,1567442
20110810,17428,17912,16944,17186,609193
20110811,15878,17815,15733,17670,517674
20110812,18299,18880,17524,17524,488031
20110816,18299,19267,18251,19170,362583
20110817,19170,20090,18686,19461,549405
20110818,19558,20042,19364,19364,514635
20110819,18202,18589,17234,17234,344068
20110822,16944,18105,16459,16508,528769
20110823,16750,18977,16750,18977,566267
20110824,19412,19654,18202,18977,421313
20110825,19461,19751,18735,18783,426093
20110826,18638,19461,18638,18977,309808
20110829,19461,19606,19025,19219,353768
20110830,19558,19751,17718,18638,790683
20110831,18735,18783,17718,17960,391959
20110901,18009,18347,17379,17428,610089
20110902,17186,17621,16798,17282,356483
20110905,16653,16847,16266,16314,287394
20110906,15782,16121,15056,15249,418484
20110907,15927,15975,15346,15878,355583
20110908,16217,16798,15685,15975,371781
20110909,15878,16217,15588,16169,185397
20110914,16217,16314,15152,15152,185405
20110915,15588,15878,14039,14910,418356
20110916,15298,16121,14765,15830,825301
20110919,15443,15685,14523,14523,512372
20110920,14136,14668,13748,14281,987994
20110921,14329,14862,13990,14717,933076
20110922,14136,14329,13748,13942,436389
20110923,12974,13119,12248,12248,818162
20110926,12393,12490,10457,10553,2107083
20110927,10989,11570,10699,11473,1657276
20110928,11618,11715,10892,10892,801741
20110929,10989,12490,10941,12441,1484816
20110930,12248,12829,12006,12393,761841
20111004,11522,11860,11328,11764,584405
20111005,12006,12151,10795,10941,690463
20111006,11522,12054,11280,11376,834067
20111007,11860,13071,11812,12441,2366284
20111010,12538,14039,12490,13603,1284923
20111011,14378,14378,13555,13603,1033271
20111012,13797,15636,13506,15636,1359471
20111013,16169,17186,15782,16121,1855355
20111014,16121,17089,15443,16847,1106631
20111017,17331,17379,16508,16798,831186
20111018,16121,16217,15685,15782,866223
20111019,16121,16653,15733,15878,687020
20111020,15975,16363,14329,14378,787156
20111021,15056,16508,14571,16508,1136270
20111024,16895,18977,16798,18977,1999819
20111025,19267,20090,18493,19267,1833453
20111026,19122,19945,18880,19703,1172025
20111027,20042,20090,18396,19025,987065
20111028,19364,19509,17670,18251,1160550
20111031,18202,18880,17621,18444,648150
20111101,17960,18541,17476,17912,652579
20111102,16944,18105,16701,18105,779459
20111103,18202,19558,17815,18638,1159015
20111104,19364,19461,18977,18977,611530
20111107,19461,19848,19074,19364,550713
20111108,19703,19800,18928,18928,480221
20111109,19509,21446,19364,20623,1694314
20111110,19848,19993,18977,19122,789452
20111111,19703,20187,19219,20187,628868
20111114,20526,20574,19751,19945,839945
20111115,19751,20477,18880,19074,649570
20111116,19412,19558,17815,17912,689180
20111117,18347,18831,17718,18686,428776
20111118,18202,18735,18009,18735,326632
20111121,18396,18735,17912,18154,268379
20111122,17766,18638,17718,18251,263393
20111123,18299,18880,17718,17718,355490
20111124,17718,18009,17137,17476,388762
20111125,17476,17718,16314,16556,366530
20111128,17137,18299,16944,18057,607066
20111129,18154,18202,17621,18105,347721
20111130,18057,18735,17912,18396,428711
20111201,19364,19364,18444,18493,409547
20111202,18589,18589,18009,18057,235141
20111205,18057,18299,17912,18154,199789
20111206,18154,18251,17379,17573,260520
20111207,17718,18299,17524,18299,257855
20111208,18347,18347,17621,17815,240305
20111209,17476,18299,17331,18105,278206
20111212,18589,19170,18541,19025,678982
20111213,18880,18880,18299,18493,307171
20111214,18444,18589,17718,17718,250089
20111215,17282,17621,17137,17428,205252
20111216,17621,17718,17282,17331,130462
20111219,17331,17331,15298,16072,426050
20111220,15975,16653,15975,16363,252173
20111221,16944,17137,16798,16798,225535
20111222,16653,16895,16459,16459,156256
20111223,16798,16798,16411,16556,155518
20111226,16508,16605,16072,16121,183906
20111227,16169,16266,15491,15491,149141
20111228,15975,16895,15636,16314,184758
20111229,16121,16605,15975,16459,105581
20120102,16508,16750,16024,16750,140907
20120103,16798,17524,16701,17089,440896
20120104,17137,17186,16556,16556,227362
20120105,16653,16992,16314,16363,219110
20120106,16363,16508,15878,16072,191494
20120109,16266,16556,16024,16072,218984
20120110,16169,16556,16169,16314,167882
20120111,16556,16847,16217,16217,225546
20120112,16314,17089,16266,16847,416656
20120113,16944,16944,16314,16411,357961
20120116,16169,16363,15927,16314,383823
20120117,16266,16459,15927,16024,418199
20120118,16169,16169,15394,15491,435141
20120119,15588,15878,15443,15491,337361
20120120,15588,15733,15056,15588,525003
20120125,15830,17718,15782,16750,1335957
20120126,17040,17137,16556,16944,544844
20120127,16895,17040,16701,16944,327822
20120130,16992,17815,16944,16944,748700
20120131,17040,17718,16944,17718,763684
20120201,17815,17863,17137,17331,636408
20120202,17524,17573,16895,17040,572568
20120203,17040,17089,16508,16508,493182
20120206,16701,16847,16072,16121,419006
20120207,16072,16363,15782,15830,483435
