날짜,시가,고가,저가,현재가,거래량
20131206,69432,72036,59191,62489,1145287
20131209,61794,65613,60319,63270,435826
20131210,63964,64051,61187,61187,187750
20131211,61534,62055,60666,60666,133392
20131212,60145,60319,57195,58149,234811
20131213,58063,61274,57455,60579,123381
20131216,60319,61881,59798,60927,96485
20131217,61361,62142,58930,58930,123804
20131218,59104,59451,55372,55806,265679
20131219,56847,58236,56240,57802,139322
20131220,57715,58063,56761,57802,57105
20131223,57802,59191,57802,57802,74297
20131224,58063,60319,56674,59972,69670
20131226,59451,60059,58410,58410,82542
20131227,58410,60232,57281,60059,76042
20131230,60059,60232,58323,59191,49237
20140102,58930,59191,57976,59017,54217
20140103,58236,61187,57281,60232,98722
20140106,60232,60319,59104,59972,56666
20140107,60059,63530,59191,62576,128457
20140108,63270,64572,62923,64138,106276
20140109,63357,64138,62402,63443,60760
20140110,63617,64398,62489,64225,120101
20140113,63704,65613,63704,63791,67898
20140114,63791,65700,62402,64832,86337
20140115,65440,65613,64051,64138,69725
20140116,64659,64659,63270,63357,56315
20140117,63010,63877,62142,62315,44029
20140120,62315,63791,61621,62576,65194
20140121,62576,63183,61274,63010,85409
20140122,62489,62923,61881,62749,90296
20140123,62749,62749,61100,61187,130191
20140124,61013,62142,60666,62142,73273
20140127,61013,62576,60666,62142,57536
20140128,61447,62142,59625,59625,145600
20140129,59712,60579,58930,60232,124387
20140203,60406,60753,59625,60753,48375
20140204,59972,60406,58063,59885,96428
20140205,59972,61274,59972,60753,72723
20140206,60753,61100,60059,60927,42168
20140207,61621,64311,61361,64225,151632
20140210,64138,65526,63357,63530,111152
20140211,63704,64138,62923,63530,73585
20140212,63964,63964,62055,62055,93647
20140213,61881,62836,60579,61274,65538
20140214,61274,62142,59972,60753,94445
20140217,61361,62836,61013,62662,85097
20140218,62662,65266,62576,65266,170603
20140219,65613,65960,64659,64659,88199
20140220,64398,65526,63964,64138,55920
20140221,64572,64745,62836,63964,60691
20140224,63617,63964,63010,63617,53229
20140225,63791,65006,63270,64659,59791
20140226,64659,65006,63704,64398,64272
20140227,64398,65266,63964,65006,67818
20140228,65006,66047,64398,64659,141369
20140303,64745,66481,63530,64572,122715
20140304,64485,65613,63877,64138,76822
20140305,64572,65613,63791,65526,95118
20140306,65526,67089,65179,66308,91638
20140307,66742,66828,65526,65787,81919
