날짜,시가,고가,저가,현재가,거래량
20080102,76700,77000,73500,74000,172817
20080103,73900,75500,71200,72000,336412
20080104,72600,76700,72500,76600,212498
20080107,74600,79300,74600,76200,166335
20080108,76400,77600,74000,74500,141715
20080109,74000,75400,73800,74800,73144
20080110,75700,78700,75500,78500,155332
20080111,79000,79000,74900,75000,78341
20080114,75000,77500,74600,77100,94144
20080115,78000,78500,76300,77000,95821
20080116,75900,77000,74300,75300,95441
20080117,76400,78300,75000,75300,216339
20080118,75800,78600,74700,78600,221508
20080121,80000,81100,77000,77900,201464
20080122,77300,77800,70500,72100,167294
20080123,74000,75600,71100,72900,147538
20080124,74500,74900,71600,71700,91292
20080125,72700,72900,71200,71800,101412
20080128,71500,72300,66400,66400,96123
20080129,68000,68900,65500,66600,167251
20080130,68000,68100,61000,63500,86158
20080131,63400,66200,62000,64000,157193
20080201,65400,68300,64800,67000,175180
20080204,70700,73400,70500,73100,305983
20080205,73100,74500,71700,74000,131054
20080211,71700,75200,71000,73000,115252
20080212,73200,74500,73200,73500,71260
20080213,74200,75000,68000,69000,163706
20080214,70500,72100,70200,72100,59422
20080215,71100,74800,70500,74200,81110
20080218,71900,73400,70700,73400,122374
20080219,73400,79100,72600,78600,290128
20080220,78500,82400,76700,80800,260019
20080221,81000,82000,77100,78900,149506
20080222,76000,76500,74800,75000,165164
20080225,75800,77600,75700,76400,61715
20080226,76100,82200,75900,81000,245187
20080227,82100,83400,78700,82600,192176
20080228,81500,85900,81500,85100,155416
20080229,84000,86300,82900,84100,126366
20080303,81500,84900,81500,84900,65566
20080304,85800,86000,82000,83200,86060
20080305,83000,84100,82000,82900,75169
20080306,83800,87000,83300,84000,87131
20080307,82100,85200,82100,84700,111498
20080310,83700,84200,80600,81900,79383
20080311,80500,82200,80000,81400,136932
20080312,83700,84700,83300,84700,96320
20080313,85000,86000,77100,80900,208089
20080314,80900,81400,78100,79800,52704
20080317,78500,78900,74800,76800,55236
20080318,76000,76500,73200,73200,72449
20080319,74500,75700,73800,75000,128734
20080320,73900,74900,73000,74000,53338
20080321,75000,75900,74100,75900,54293
20080324,77000,78000,75100,76000,88145
20080325,77100,77300,74900,75800,117019
20080326,75800,77000,74400,75800,58125
20080327,75000,75300,72800,73000,94557
20080328,72000,73000,70000,72500,144688
20080331,73200,74800,73200,74100,79267
20080401,74300,74700,71200,71500,157084
20080402,73000,73100,71300,71600,143496
20080403,72000,73200,71400,73100,78917
20080404,73400,74700,72000,74400,84117
20080407,75000,75500,73500,74600,110860
20080408,74300,75000,71800,71800,118141
20080410,71000,73100,70900,71800,60376
20080411,72300,72600,65200,65200,661729
20080414,64700,66200,63400,65200,320962
20080415,65200,65900,64300,64900,243095
20080416,63800,65000,63800,64400,274212
20080417,64800,65100,62400,62400,318110
20080418,63500,63700,62300,62700,180196
20080421,63800,64700,63200,64000,234436
20080422,64500,65200,63600,64300,150720
20080423,64100,64700,63700,64700,142791
20080424,65000,65000,63700,63800,83802
20080425,64000,66000,63700,66000,131355
20080428,66000,66100,63700,64000,140756
20080429,64000,64300,62500,62700,149291
20080430,62900,63200,60300,61500,231376
20080502,62100,63100,62000,62900,167152
20080506,62900,62900,61000,61100,242633
20080507,61000,61700,58600,58600,478353
20080508,57300,62400,57100,61500,310750
20080509,62000,62200,61100,61700,133024
20080513,61700,64900,60100,64600,337513
20080514,64600,64800,63400,64400,114384
20080515,64500,65800,63300,65800,229836
20080516,66200,66300,65000,65500,140285
20080519,65500,65800,64100,64700,93960
20080520,64200,64700,63400,64100,84727
20080521,63600,63700,62000,62600,154792
20080522,61300,61700,60700,61200,97380
20080523,61500,63500,61500,61900,105379
20080526,61300,61400,60600,61000,71413
20080527,60800,62100,60800,61500,61285
20080528,61800,62000,60600,61300,77889
20080529,61300,62000,61000,61600,111447
