날짜,시가,고가,저가,현재가,거래량
20080102,12234,12234,11954,11954,558657
20080103,11767,12187,11767,12187,531905
20080104,12281,12281,11907,12234,596150
20080107,11860,12000,11674,11674,436888
20080108,11767,12000,11627,11954,495667
20080109,11720,11814,11533,11674,465772
20080110,11580,11767,11253,11253,801137
20080111,11393,11487,10833,10833,649468
20080114,10833,10926,10319,10319,645592
20080115,10459,10506,9526,9806,2540404
20080116,9712,10226,9572,10086,1021845
20080117,10319,10413,9572,9759,818636
20080118,9666,9806,9339,9806,1240520
20080121,9619,9759,9432,9526,703842
20080122,9245,9712,9208,9712,870244
20080123,9806,9852,9311,9432,853141
20080124,9666,9806,9339,9526,1130260
20080125,9712,9993,9432,9993,1311339
20080128,9806,9852,9301,9301,756834
20080129,9526,9852,9208,9852,702375
20080130,10133,11113,9806,9806,3543138
20080131,9852,10319,9712,10133,913557
20080201,10086,10226,9852,10133,535871
20080204,10273,10459,10179,10179,468489
20080205,10273,10366,10039,10086,313912
20080211,9993,9993,9526,9806,422190
20080212,9806,9806,9339,9572,801046
20080213,9666,9712,9320,9432,923244
20080214,9619,9806,9526,9759,521590
20080215,9759,9806,9479,9806,574125
20080218,9946,10039,9712,9852,781369
20080219,9946,10039,9806,9946,626877
20080220,9946,9946,9432,9479,979360
20080221,9572,9666,9432,9572,873775
20080222,9526,9526,9152,9283,1368771
20080225,9292,9386,9021,9031,1337584
20080226,9124,9208,8797,8900,1248331
20080227,8937,9068,8900,8947,779636
20080228,8947,9208,8872,9152,876282
20080229,9059,9152,8956,9152,726823
20080303,8881,9059,8872,8928,531407
20080304,9012,9059,8909,9059,396892
20080305,9068,9227,9040,9208,502270
20080306,9180,9236,9021,9115,401596
20080307,9012,9115,8881,9021,349845
20080310,8872,8956,8825,8825,364583
20080311,8779,9059,8741,9059,394434
20080312,9217,9245,9068,9143,472916
20080313,9143,9161,8816,8816,613419
20080314,8900,8956,8312,8657,1228195
20080317,8629,8629,8293,8330,308371
20080318,8368,8648,8368,8620,434304
20080319,8732,8816,8582,8685,321272
20080320,8582,8760,8582,8760,306078
20080321,8928,9666,8816,9619,1528824
20080324,9619,9619,9255,9301,691657
20080325,9432,9572,9301,9432,775218
20080326,9432,9479,9189,9292,585734
20080327,9292,9526,9245,9386,718107
20080328,9376,9699,9243,9699,766450
20080331,9747,9794,9462,9604,479208
20080401,9604,9604,9404,9509,506278
20080402,9699,9889,9385,9414,962254
20080403,9442,9604,9404,9557,837708
20080404,9604,10080,9452,9985,1222487
20080407,10032,10270,9937,10080,726124
20080408,9889,9889,9414,9604,1401638
20080410,9557,9604,9442,9604,658405
20080411,9557,9652,9471,9557,514454
20080414,9471,9509,9129,9233,603217
20080415,9300,9357,9043,9176,563321
20080416,9224,9557,9214,9500,687712
20080417,9604,9699,9471,9509,518963
