날짜,시가,고가,저가,현재가,거래량
20140407,65234,74595,64942,65527,686170
20140408,66112,75278,65917,75278,561619
20140409,73523,82591,70597,74205,1322872
20140410,75765,79373,74108,76058,481744
20140411,75083,76838,71182,71182,302831
20140414,71670,73523,70695,72255,136057
20140415,73035,75473,72450,73523,162085
20140416,73328,74108,70500,70695,176205
20140417,70987,72742,70695,72255,113377
20140418,73328,73328,71475,72060,83136
20140421,72352,72840,67769,69135,197587
20140422,69232,69915,67867,67964,147077
20140423,68647,69037,67087,67282,95376
20140424,67672,68257,66404,67087,81844
20140425,67087,67964,65917,66112,91201
20140428,65722,68159,65429,68062,93678
20140429,68159,68452,67087,67379,50864
20140430,68062,69427,67087,67769,120605
20140502,67769,68745,67087,68159,54562
20140507,68355,69622,68257,69622,130301
20140508,69622,69622,68062,68745,55679
20140509,68550,73620,68550,73230,203818
20140512,73230,74790,71767,74400,142254
20140513,74400,74888,73230,74010,58396
20140514,74303,74790,73230,74010,54915
20140515,74498,75570,72450,73035,102773
20140516,73620,73913,71767,72450,104392
20140519,72450,75180,72352,75180,119651
20140520,74985,75473,74108,75180,67931
20140521,74985,75765,74010,74010,64983
20140522,74303,75960,73230,75960,143980
20140523,76155,79861,75375,78398,145059
20140526,78398,80348,77423,77618,92024
20140527,78106,78496,75765,77715,63632
20140528,77715,79373,77033,78301,72190
20140529,79373,80933,78301,79081,86089
20140530,79958,81421,79276,80153,59441
20140602,79958,80153,78203,78496,43200
20140603,77228,78691,76058,77910,76844
20140605,77520,81713,76740,80836,91538
20140609,81713,83956,80933,83664,83622
20140610,83664,84834,81908,84249,61738
20140611,84639,85516,82981,83274,44158
20140612,83664,83956,82591,83469,33106
20140613,82884,86296,82298,85614,67367
20140616,85614,86589,85029,85906,56761
20140617,86589,89904,86296,89612,87533
20140618,91074,91952,88832,89417,107875
20140619,90099,92342,88149,89709,112356
20140620,90002,96730,89709,93610,153287
20140623,95072,97315,93610,94390,101338
20140624,95365,97412,94975,97120,103622
20140625,97022,97022,93122,95365,138574
20140626,93902,93902,90294,91464,171820
