날짜,시가,고가,저가,현재가,거래량
20140806,139086,159949,132518,159949,1127028
20140807,167676,183903,164199,183903,594388
20140808,188925,207856,168062,168449,615774
20140811,171153,180812,162653,171539,340949
20140812,176948,180039,167676,168449,114318
20140813,166517,168835,159563,159949,142518
20140814,159949,166131,154926,157244,108009
20140818,157244,173858,153767,169608,150266
20140819,168449,173858,165358,165744,124732
20140820,165744,166903,158017,158017,63029
20140821,153767,154540,144495,147199,189886
20140822,147586,147972,140245,143722,81880
20140825,143722,145268,137541,137927,88588
20140826,139086,149131,139086,143722,197939
20140827,145268,150290,137541,146427,110222
20140828,147972,161494,146040,156085,153508
20140829,156472,157631,149131,151063,44894
20140901,154154,158404,151449,151449,37921
20140902,153767,157631,151836,153381,49570
20140903,154154,160722,154154,154926,63838
20140904,157631,158404,143722,144495,103160
20140905,135223,142950,135223,142950,794933
20140911,141404,141790,138700,139859,163331
20140912,139859,139859,134063,137154,113162
20140915,140245,142177,137927,141404,119086
20140916,140631,149904,136768,148358,191105
20140917,149904,153767,148358,152995,138316
20140918,152995,154926,150677,152995,75278
20140919,154540,163040,152222,152995,161861
20140922,152995,154540,148358,151836,56679
20140923,151449,158017,150290,157244,84436
20140924,156472,163426,154926,163040,92097
20140925,164199,165358,160722,161108,72272
20140926,158404,166131,158404,163426,61982
20140929,164971,172312,162653,168062,118792
20140930,168835,170380,164199,166517,58582
20141001,166903,169994,164585,166131,59382
20141002,164971,173085,163426,171539,52290
20141006,173085,181585,169994,170767,123712
20141007,172698,172698,163040,171926,45984
20141008,170380,171153,166903,166903,42458
20141010,165358,166903,152222,158404,90546
20141013,158404,160335,152222,156472,60217
20141014,156085,158017,152222,153767,37561
20141015,153767,159176,148745,158404,54709
20141016,155313,164971,154154,163040,38278
20141017,166517,166517,159949,163426,32697
20141020,165358,170380,164585,166903,51502
20141021,169994,170767,166131,169994,27172
20141022,171539,179266,168062,178880,52528
20141023,178494,184675,171926,173471,63076
20141024,176562,183516,167290,173471,72628
20141027,172698,174630,167290,168449,29131
20141028,173471,179653,169221,179653,52496
20141029,179653,181198,174244,175017,32154
20141030,173471,179266,168449,173471,47692
20141031,175017,175403,167676,169608,28386
20141103,170380,173085,164199,172698,32697
20141104,172698,172698,163812,168062,41180
20141105,164971,168449,154154,156472,138476
20141106,156858,158404,152608,153767,50776
20141107,152995,156858,152995,154540,28474
20141110,155313,156472,145268,145268,136838
20141111,147586,164971,147586,154540,252675
20141112,157244,157244,151449,152608,52647
20141113,151449,153767,147586,147972,59279
20141114,148745,150290,142950,143722,61528
20141117,145268,147199,144109,144109,36856
20141118,144109,147972,144109,145654,23729
20141119,145654,152995,145654,151449,36287
20141120,152995,153381,146813,148358,38091
20141121,150290,151449,148358,149131,19641
20141124,151063,153767,145654,146813,49242
20141125,147199,153767,144109,152995,55079
20141126,152608,161108,152608,161108,76831
20141127,161108,163812,156472,162267,60715
20141128,156858,156858,146040,152995,181162
20141201,152608,152995,148745,152995,58893
20141202,154154,156858,153381,156472,57469
20141203,156472,156858,152222,156085,39209
20141204,156858,163812,156858,162653,64806
20141205,161108,162267,158017,159949,22242
20141208,161108,161494,153381,156085,34771
20141209,156858,157631,151063,151063,31841
20141210,152608,154154,147586,148745,21850
20141211,148745,152222,147972,151449,35906
20141212,151449,152608,146813,151836,34309
20141215,147972,150290,147972,149131,23668
20141216,148358,148358,139859,141790,82812
20141217,142950,143336,135609,137927,81380
20141218,138700,138700,132904,135223,68527
20141219,136382,141018,135995,138313,66839
20141222,140245,142563,139472,141018,22867
20141223,142177,142177,138313,139086,12606
20141224,139472,141404,139086,140631,17596
20141226,142177,144881,141018,142950,22113
20141229,142563,142563,137541,139859,33332
20141230,139859,141404,135223,137541,43522
20150102,137541,139472,135995,137541,17689
20150105,138313,138700,136768,137541,21814
20150106,135995,136768,132904,133677,28575
20150107,132132,139086,132132,139086,40349
20150108,140245,140631,134836,135609,30319
20150109,135609,137541,134450,135995,22532
20150112,134836,142563,134836,138313,81459
20150113,138313,140245,137154,138313,44437
20150114,139472,140245,134836,135223,38215
20150115,134450,137927,134450,135995,27106
20150116,135609,136768,134063,135995,22624
20150119,139472,140631,136382,137154,45126
20150120,138313,139859,135995,137154,24710
20150121,137927,139086,135609,135609,32835
20150122,136768,137927,133677,133677,34825
20150123,135609,136382,132132,132904,38789
20150126,132904,134450,129814,129814,52339
20150127,130586,131359,124791,125950,98216
20150128,125950,136768,124018,135223,85268
20150129,136382,140631,133291,135995,62005
20150130,136768,140631,133677,140631,70007
20150202,135995,137927,134450,135995,52672
20150203,134450,139859,133677,139086,52678
20150204,140631,141790,137927,137927,46821
20150205,136768,137927,132904,137927,64435
20150206,137927,141790,137154,139859,51760
