날짜,시가,고가,저가,현재가,거래량
20180111,49800,49800,39500,40200,545065
20180112,40200,40800,35300,37900,397895
20180115,38700,40200,36200,36600,237330
20180116,36600,37500,35400,35500,146285
20180117,35600,36100,33700,33900,278285
20180118,34000,34200,32600,32800,217855
20180119,32800,36000,32400,35000,440070
20180122,35100,38600,35100,36900,512110
20180123,37500,39300,35300,37900,236365
20180124,38000,39600,37500,38500,108020
20180125,38700,39500,37600,38300,121615
20180126,38100,38800,37100,38600,102460
20180129,38700,40000,37800,39900,137390
20180130,39900,39900,38500,39000,149445
20180131,38600,39400,37900,38500,96485
20180201,38500,38800,38200,38600,48155
20180202,38500,38600,37000,37900,94175
20180205,36700,37700,36500,36600,64350
20180206,35500,36700,34600,36700,100750
20180207,37000,37500,35900,36900,89870
20180208,36900,37300,36100,36600,52340
20180209,35600,39000,35600,38000,66175
20180212,39000,41600,37900,41100,153720
20180213,41100,42700,38700,39000,162885
20180214,38600,38900,36400,37200,129280
20180219,37200,37900,36800,37400,46175
20180220,37400,37800,36800,36800,27460
20180221,36700,37100,36400,37000,52605
20180222,37100,37200,36300,36900,14680
20180223,36800,37500,36400,37000,33190
20180226,37000,37400,36500,36700,17690
20180227,36600,36800,35900,36200,34680
20180228,35900,36000,35200,35600,19425
20180302,35500,40000,34600,38300,81040
20180305,38400,38600,36800,37700,25765
20180306,37400,38100,37000,37600,27305
20180307,37500,38100,37200,37400,59245
20180308,38100,38100,36400,36400,54815
20180309,36500,36600,35400,36400,159590
20180312,36400,36500,35800,36300,91120
20180313,36300,36400,35400,35800,62730
20180314,35700,35800,35200,35300,37250
20180315,35300,36400,35300,36300,64840
20180316,36300,36500,35800,35800,65135
20180319,35800,36200,35600,35700,22230
20180320,35400,36100,35100,35700,87755
20180321,36000,37000,35600,36900,76025
20180322,36600,36800,35400,35400,47205
20180323,35200,35200,34000,34300,74325
20180326,34000,34900,34000,34600,26740
20180327,35300,35400,34400,34600,37875
20180328,34700,34800,34200,34800,19470
20180329,35300,35300,34400,34500,22980
20180330,34500,35000,33900,34600,31775
20180402,35300,37900,34800,37600,113975
20180403,37200,37900,36200,36800,29835
20180404,36800,36800,35600,36200,37995
20180405,36100,40000,36100,39500,129650
20180406,39200,39600,38700,39000,45700
20180409,38500,40100,38300,39400,38690
20180410,39400,42200,38300,42000,63995
20180411,42000,42200,41100,41300,41220
20180412,41200,41600,38800,39200,71645
20180413,39200,40800,39200,40700,41635
20180416,40700,41400,38700,41000,41905
20180417,41300,42000,40400,41300,54855
20180418,41300,42400,41300,42200,47970
20180419,42400,43000,40600,42300,50930
20180420,42300,43000,40800,42300,68705
20180423,42600,43000,41000,42600,36350
20180424,42600,42900,42100,42800,45520
20180425,42800,44600,41500,44400,38360
20180426,44800,45000,42600,43700,23655
20180427,43700,43700,42200,43100,9765
20180430,44900,45600,42300,42600,31640
20180502,42900,43200,41000,43000,21455
20180503,43600,43600,42300,42600,8020
20180504,43700,44400,41000,43900,36825
20180508,43000,43300,42000,42800,9320
20180509,43300,43300,40200,42800,25325
20180510,43000,43000,41100,41300,15565
20180511,41500,41500,39700,40200,37635
20180514,39900,40200,38400,38400,32930
20180515,38100,41500,38100,39900,105450
20180516,40000,44300,40000,43300,121670
20180517,44500,49700,43000,45400,106845
20180518,45000,46700,44700,44900,34240
20180521,44600,46200,44500,45300,21670
20180523,45300,45300,43500,44100,15930
20180524,43900,44700,43500,44100,6765
20180525,44500,44500,43200,44300,15200
20180528,43400,45000,43400,44300,11030
20180529,44400,45100,44200,45000,24615
20180530,45000,47600,44800,46800,32515
20180531,47200,48000,45600,45700,31885
20180601,46300,47200,43400,44500,24945
20180604,44500,47400,43800,47100,32790
20180605,47100,47600,45400,46000,9190
20180607,46400,46800,45200,45200,10415
20180608,44800,46000,43900,44100,8150
20180611,44900,46400,44700,46200,23500
20180612,45500,46900,45500,46500,4130
20180614,46500,47400,44700,47400,11755
20180615,47400,47400,43000,45100,30875
20180618,45800,45800,40800,40800,22380
20180619,41200,45000,40800,43200,29225
20180620,44100,44100,42300,43300,10145
20180621,43300,43300,41600,42000,10145
20180622,41900,43600,41700,42300,14260
20180625,42100,42400,41000,42300,16120
20180626,42000,44200,41100,43800,17545
20180627,44000,44800,43200,44100,8345
20180628,44000,45600,42700,44600,34630
20180629,45400,45400,43400,44400,5555
20180702,44400,45000,42500,43100,11675
20180703,43500,45700,42800,44900,33795
20180704,44500,45100,44300,44300,4370
20180705,43900,45600,43100,44700,19350
20180706,44700,45900,44300,45700,8730
20180709,44700,46600,44700,46000,5335
20180710,46000,46700,45700,46100,27590
20180711,46100,47800,46100,46700,16510
20180712,47700,47900,46300,47900,8785
20180713,47900,48000,47300,47900,6830
20180716,48200,48400,47400,48000,5280
20180717,47400,47400,45600,46100,9840
20180718,46500,46500,46000,46400,9070
20180719,46000,47800,43500,45400,21980
20180720,45400,47700,45000,45100,7975
20180723,45000,45700,43600,43700,3840
20180724,43700,45900,43700,45800,5150
20180725,47400,47400,45800,46700,6760
20180726,47400,47400,46100,47000,5500
20180727,47400,47500,44300,44900,16775
20180730,44900,45000,43700,44800,8795
20180731,44800,44800,43400,44000,13145
20180801,44000,44700,42100,42800,41815
20180802,42800,43700,42200,43100,30260
