날짜,시가,고가,저가,현재가,거래량
20080102,57946,58663,56155,56155,110527
20080103,56244,56513,55618,56244,123944
20080104,56871,56961,55528,56065,101790
20080107,54722,54901,48005,50154,889815
20080108,50154,52125,48363,49886,343280
20080109,49438,55349,49348,54185,428451
20080110,55349,55349,53020,53289,175449
20080111,53379,54185,48721,48721,292419
20080114,48363,50154,47020,47020,159919
20080115,47915,50154,45408,46034,151479
20080116,44736,46303,41959,42989,272929
20080117,44109,44646,42542,42989,205381
20080118,42273,47826,42094,47288,200128
20080121,46214,47288,45408,46124,120262
20080122,43975,44512,41736,42989,381405
20080123,45049,45497,41109,42945,212332
20080124,44870,46661,44512,45676,204611
20080125,47467,52483,45228,52483,443470
20080128,53110,53916,47915,48184,383651
20080129,50513,50513,46482,46572,178321
20080130,47199,47647,42273,42273,168864
20080131,42139,47736,41556,47109,254822
20080201,48274,48721,46124,46303,100038
20080204,46661,51319,46572,49259,177901
20080205,48542,50781,48005,50513,107056
20080211,47915,49169,47288,48453,99620
20080212,49259,49796,48184,48990,61426
20080213,49975,50602,47467,47467,64977
20080214,49080,50154,48184,48811,131974
20080215,47915,49796,47199,49706,126736
20080218,50154,50513,48721,48900,97507
20080219,49886,52393,49886,52393,194097
20080220,52304,54453,51677,52393,285482
20080221,53916,55886,53289,55438,231976
20080222,54005,54632,52393,52931,100607
20080225,54095,54543,52125,52125,49817
20080226,52841,53289,50960,52304,84783
20080227,52752,52841,51229,51677,43713
20080228,51946,54632,51677,53737,78574
20080229,52483,53737,52483,53737,35006
20080303,51946,52125,51139,51498,49529
20080304,51946,52393,49438,49527,56943
20080305,50065,50513,48453,48542,75509
20080306,48990,50065,48453,49080,161345
20080307,47378,48005,47020,47736,75549
20080310,46124,47467,44333,45139,137345
20080311,43885,47467,43885,47467,72801
20080312,50871,52662,48453,48453,207658
20080313,48721,49169,47467,47736,64771
20080314,48811,49975,46124,46482,126928
20080317,46393,46393,44646,44870,87035
20080318,44870,46034,44870,45497,50792
20080319,47736,48184,46572,47020,70970
20080320,45676,48094,45676,47915,51373
20080321,50065,51677,49259,50154,131916
20080324,50602,51856,50154,51050,90111
20080325,52214,52662,51139,51856,75896
20080326,49886,52214,49886,51139,50476
20080327,50602,51050,50244,50602,45058
20080328,49796,52214,49706,51946,83798
20080331,51498,51856,50244,50244,40568
20080401,50692,52214,50244,50960,75886
20080402,53020,53289,52125,52931,159465
20080403,53110,54543,52035,53558,116873
20080404,53468,54095,52214,52662,75398
20080407,52841,54005,52125,53558,108389
20080408,52841,53289,50513,51408,117129
20080410,50513,50781,49080,49080,211530
20080411,49348,49706,46303,46661,347811
20080414,45228,45855,44646,45139,318112
20080415,45139,46214,45139,45766,101405
20080416,45945,46482,44960,45318,178131
20080417,46034,46124,43482,43706,409579
20080418,44019,44691,43258,43661,147001
20080421,43975,44960,43930,44781,129193
20080422,45139,45139,43930,44019,105107
20080423,43930,44512,43885,44512,118810
20080424,45049,45855,44064,44109,253793
20080425,44557,44602,43885,43885,101548
20080428,43975,44960,40571,41556,355490
