날짜,시가,고가,저가,현재가,거래량
20080102,1185000,1200000,1103000,1115000,605
20080103,1116000,1124000,1107000,1112000,476
20080104,1104000,1159000,1096000,1125000,756
20080107,1120000,1125000,1075000,1110000,598
20080108,1115000,1137000,1103000,1113000,456
20080109,1112000,1112000,1070000,1099000,335
20080110,1100000,1110000,1081000,1082000,878
20080111,1082000,1089000,1041000,1041000,590
20080114,1050000,1089000,1050000,1063000,520
20080115,1054000,1075000,1034000,1061000,425
20080116,1067000,1100000,1012000,1064000,568
20080117,1103000,1106000,1016000,1016000,731
20080118,1021000,1053000,990000,1027000,589
20080121,1049000,1049000,963000,978000,996
20080122,960000,970000,930000,935000,793
20080123,959000,970000,901000,916000,814
20080124,928000,953000,919000,923000,752
20080125,943000,947000,921000,945000,375
20080128,958000,958000,927000,930000,247
20080129,925000,989000,915000,987000,467
20080130,984000,986000,932000,986000,560
20080131,990000,1029000,964000,1029000,806
20080201,993000,1000000,972000,972000,495
20080204,965000,1030000,965000,1028000,371
20080205,1049000,1063000,1026000,1034000,227
20080211,1042000,1042000,981000,998000,444
20080212,996000,996000,973000,980000,324
20080213,1009000,1009000,966000,978000,240
20080214,978000,1039000,964000,1039000,580
20080215,1032000,1032000,986000,1030000,389
20080218,1029000,1060000,1002000,1020000,467
20080219,1046000,1050000,1029000,1049000,358
20080220,1023000,1038000,1003000,1006000,455
20080221,1007000,1023000,1005000,1010000,332
20080222,1020000,1020000,983000,984000,264
20080225,1009000,1012000,997000,1009000,228
20080226,1005000,1009000,984000,987000,140
20080227,990000,1016000,990000,991000,234
20080228,992000,1005000,978000,988000,234
20080229,980000,1010000,971000,1010000,567
20080303,1010000,1010000,952000,952000,368
20080304,964000,975000,958000,966000,174
20080305,970000,978000,962000,965000,179
20080306,970000,1010000,970000,1009000,383
20080307,1017000,1017000,966000,968000,391
20080310,972000,980000,955000,974000,420
20080311,987000,987000,946000,985000,378
20080312,981000,997000,957000,997000,377
20080313,972000,1010000,946000,946000,819
20080314,951000,971000,805000,920000,1160
20080317,918000,948000,875000,900000,1095
20080318,910000,914000,890000,910000,495
20080319,914000,929000,900000,910000,366
20080320,910000,916000,880000,880000,333
20080321,882000,898000,880000,890000,244
20080324,882000,898000,882000,890000,212
20080325,891000,896000,880000,880000,287
