날짜,시가,고가,저가,현재가,거래량
20080102,11400,11750,11250,11500,487430
20080103,11350,12650,11350,12350,2943917
20080104,12700,14200,12600,14100,4943954
20080107,13650,14450,13250,13300,3386717
20080108,13550,13600,12500,13050,1198793
20080109,12550,12900,12100,12650,1619253
20080110,12900,13100,12350,12550,1000019
20080111,12700,12850,11400,11850,852680
20080114,11600,12200,11600,11850,654560
20080115,12050,12350,10900,11450,933668
20080116,11150,11700,11000,11300,405725
20080117,11600,11600,11100,11350,566448
20080118,11050,12000,10850,11950,529132
20080121,11700,11850,10950,11200,417139
20080122,10600,10750,9740,10250,849968
20080123,10650,10850,10050,10250,554756
20080124,10550,10750,10350,10650,695321
20080125,10650,10950,10550,10950,540546
20080128,10700,10800,10200,10200,357788
20080129,10450,10500,9740,9950,515134
20080130,10000,10100,8730,9130,734571
20080131,8810,9440,8750,9350,300640
20080201,9450,9650,9310,9650,188754
20080204,9650,10250,9650,9950,541111
20080205,9900,10100,9810,9880,221681
20080211,9450,9570,9230,9280,175317
20080212,9320,9490,9320,9430,178839
20080213,9700,9700,9460,9550,201630
20080214,9650,10250,9650,10200,335900
20080215,9820,10900,9810,10200,753927
20080218,10350,10400,10050,10200,354636
20080219,10300,10450,10000,10200,390906
20080220,10150,10150,9800,9910,286645
20080221,10050,10100,9790,9890,169621
20080222,9720,9960,9680,9950,158818
20080225,10000,10100,9780,10050,171100
20080226,10100,10150,9770,9830,302360
20080227,9850,9920,9750,9900,147936
20080228,9930,9980,8420,9900,405102
20080229,9900,10450,9800,10450,372097
20080303,10200,10500,10000,10450,323910
20080304,10650,10650,10250,10400,230390
20080305,10350,10400,9980,10100,233852
20080306,10000,10200,9900,10000,267261
20080307,9900,10150,9820,9900,147559
20080310,9750,9890,9550,9750,117024
20080311,9550,9780,9550,9600,206737
20080312,9900,9900,9470,9740,344800
20080313,9740,9740,9020,9220,385828
20080314,9250,9350,8700,9050,267668
20080317,8890,8890,8100,8300,388352
20080318,8210,8390,7650,7880,556432
20080319,8100,8190,7800,7940,515883
20080320,7710,7910,7590,7600,721310
20080321,7700,8220,7700,8050,709726
20080324,8100,8180,7690,7740,792853
20080325,7900,8060,7780,8000,564488
20080326,8000,8250,7900,7940,676627
20080327,7930,7930,7680,7710,865296
20080328,7660,8280,7660,8100,1275018
20080331,8110,8200,7960,8100,527076
20080401,8160,8520,8040,8300,529198
20080402,8420,8500,8210,8350,534620
20080403,8310,8550,8220,8400,420287
20080404,8520,8920,8310,8670,862559
20080407,8790,9140,8750,8950,619377
20080408,9020,9030,8560,8670,578874
20080410,8550,8590,8350,8350,448020
20080411,8350,8500,8290,8500,271766
20080414,8380,8470,8180,8470,316102
20080415,8370,8470,8290,8290,230471
20080416,8300,8600,8300,8600,322619
20080417,8650,8690,8420,8570,252261
20080418,8600,8950,8440,8930,836956
