날짜,시가,고가,저가,현재가,거래량
20080102,735482,742987,697958,701710,69915
20080103,682948,724225,674192,704212,51044
20080104,710466,711717,676694,677944,59522
20080107,649176,669189,637918,656681,51861
20080108,665436,681697,651677,657931,52522
20080109,641671,694205,631664,692954,85176
20080110,711717,784264,705462,727977,254006
20080111,752994,770505,675443,679195,124331
20080114,675443,689202,651677,655430,55704
20080115,667938,671690,625410,631664,52161
20080116,607899,650426,575377,575377,132563
20080117,587885,606648,562869,575377,83914
20080118,567872,611651,556615,611651,82188
20080121,602895,610400,571625,574126,54831
20080122,550361,560367,509084,531599,58824
20080123,562869,584133,540354,546608,78966
20080124,571625,582882,562869,574126,58439
20080125,584133,587885,556615,559117,63345
20080128,550361,569123,525344,527846,82667
20080129,545358,547859,504080,504080,70230
20080130,506582,510335,429031,429031,221532
20080131,436536,492823,417774,492823,255790
20080201,519090,534100,464054,472810,323181
20080204,486569,500328,480315,482817,196692
20080205,480315,491572,462803,467807,155132
20080211,450295,459051,437787,454048,154265
20080212,471559,489071,456549,460302,215468
20080213,474061,477813,446543,446543,216396
20080214,465305,512836,460302,512836,672814
20080215,505331,566621,492823,549110,876998
20080218,562869,580380,539103,541605,420816
20080219,562869,565371,532849,550361,341926
20080220,550361,554113,515338,515338,251097
20080221,525344,532849,505331,507833,161657
20080222,506582,529097,497826,516589,228419
20080225,530348,544107,522843,537853,225284
20080226,551612,554113,537853,540354,216911
20080227,550361,560367,540354,550361,227038
20080228,554113,554113,540354,546608,138229
20080229,554113,557866,535351,551612,365513
20080303,537853,556615,531599,532849,201514
20080304,541605,546608,514087,522843,189109
20080305,524094,540354,520341,529097,152261
20080306,531599,602895,530348,591638,452726
20080307,582882,607899,574126,586635,387426
20080310,580380,590387,517839,522843,361835
20080311,515338,537853,504080,532849,197697
20080312,559117,566621,527846,527846,173319
20080313,522843,529097,489071,500328,169258
20080314,510335,515338,452797,464054,299078
20080317,451546,455298,424028,442790,227531
20080318,451546,459051,442790,449044,138546
20080319,466556,480315,460302,464054,204469
20080320,450295,459051,445292,454048,147260
20080321,460302,465305,450295,452797,140090
20080324,457800,467807,452797,457800,144280
20080325,467807,489071,455298,479064,362009
20080326,481566,502830,479064,496576,335261
20080327,492823,536602,490321,525344,289305
20080328,542856,559117,522843,534100,494631
20080331,539103,549110,526595,540354,237274
20080401,545358,546608,509084,509084,175479
20080402,525344,527846,506582,512836,151911
20080403,509084,519090,505331,515338,114548
20080404,519090,530348,517839,519090,140799
20080407,526595,545358,520341,542856,186667
20080408,549110,567872,540354,549110,285800
20080410,550361,559117,544107,555364,137991
20080411,564120,571625,545358,549110,130753
20080414,535351,537853,525344,526595,91066
20080415,542856,564120,541605,564120,232888
20080416,577879,591638,559117,586635,293229
20080417,590387,602895,571625,577879,196048
20080418,585384,600394,576628,599143,176838
20080421,615403,641671,611651,632915,265001
20080422,637918,674192,622908,656681,360656
20080423,657931,714218,656681,710466,366960
20080424,725476,744238,684199,684199,423257
20080425,699208,720472,674192,681697,285849
20080428,679195,684199,629162,645423,338300
20080429,654179,677944,649176,669189,268212
20080430,670440,672941,652928,652928,152956
20080502,665436,686700,660433,685449,195240
20080506,689202,725476,685449,722974,255914
20080507,731730,747990,694205,739235,457329
20080508,727977,757997,726726,734231,265556
20080509,739235,744238,697958,697958,178980
20080513,702961,707964,679195,690453,144899
20080514,686700,710466,686700,704212,122969
20080515,709215,722974,707964,709215,133758
20080516,727977,734231,709215,712967,128432
20080519,722974,779261,715469,779261,379328
20080520,791769,794271,757997,765502,276459
20080521,747990,757997,729228,729228,197146
20080522,715469,716720,674192,690453,354942
20080523,691703,701710,657931,657931,230178
20080526,646674,649176,620407,620407,227103
20080527,629162,656681,627912,650426,183275
20080528,662935,674192,637918,639169,177948
20080529,650426,661684,650426,661684,132657
20080530,670440,672941,645423,659182,119372
20080602,662935,680446,655430,677944,113003
20080603,666687,675443,662935,664185,83637
20080604,672941,679195,667938,674192,79601
20080605,676694,677944,652928,670440,105124
20080609,632915,646674,632915,636667,110858
20080610,645423,645423,605397,606648,122302
20080611,614153,622908,604146,615403,105778
20080612,590387,597892,567872,570374,206212
20080613,566621,574126,510335,521592,417561
20080616,530348,541605,469058,495325,320582
20080617,487820,515338,487820,505331,204700
20080618,511585,562869,509084,560367,292353
20080619,549110,566621,535351,539103,183921
20080620,556615,564120,540354,547859,137666
20080623,526595,542856,520341,540354,98064
20080624,535351,547859,521592,526595,105626
20080625,527846,541605,525344,541605,106245
20080626,544107,549110,525344,525344,110638
20080627,500328,534100,500328,531599,102580
20080630,534100,545358,519090,519090,110917
20080701,520341,524094,500328,502830,110458
20080702,506582,507833,464054,475312,152772
20080703,455298,482817,444041,476562,156446
20080704,474061,486569,464054,464054,98862
20080707,457800,472810,456549,469058,82750
20080708,475312,484067,456549,464054,119935
20080709,487820,494074,471559,471559,153741
20080710,467807,521592,467807,516589,182652
20080711,515338,520341,495325,516589,163986
20080714,507833,521592,502830,510335,115520
20080715,507833,512836,479064,479064,123937
20080716,497826,511585,494074,506582,160247
20080717,537853,542856,515338,515338,137192
20080718,530348,536602,501579,501579,120768
20080721,515338,531599,512836,529097,127765
20080722,521592,526595,514087,522843,68544
20080723,539103,540354,529097,532849,122731
20080724,541605,547859,536602,541605,139561
20080725,527846,541605,526595,539103,85731
20080728,546608,547859,529097,529097,74736
20080729,514087,519090,500328,504080,96284
20080730,517839,520341,500328,500328,108073
20080731,500328,504080,484067,487820,131944
20080801,482817,495325,476562,477813,79703
20080804,472810,475312,454048,456549,118247
20080805,454048,466556,454048,460302,71131
20080806,474061,477813,465305,472810,86106
20080807,471559,472810,457800,457800,68646
20080808,449044,461553,445292,460302,100026
20080811,466556,482817,456549,471559,175968
20080812,480315,492823,476562,476562,126822
20080813,474061,481566,466556,476562,83545
20080814,475312,525344,472810,516589,223676
20080818,519090,522843,502830,505331,116501
20080819,499077,504080,480315,481566,108299
20080820,479064,494074,477813,486569,76716
20080821,485318,489071,462803,462803,98417
20080822,456549,470308,446543,465305,80269
20080825,470308,477813,457800,457800,49551
20080826,445292,462803,445292,455298,52514
20080827,459051,482817,459051,467807,101549
20080828,476562,477813,465305,467807,48768
