날짜,시가,고가,저가,현재가,거래량
20080102,4104,4134,4034,4099,50199
20080103,4104,4124,3904,3969,60319
20080104,3904,4104,3874,3929,92617
20080107,3724,3954,3724,3864,60929
20080108,3854,3994,3854,3894,25654
20080109,3894,3894,3714,3744,92237
20080110,3774,4004,3764,3779,157782
20080111,3894,3894,3704,3739,61458
20080114,3739,3889,3604,3699,73926
20080115,3699,3804,3498,3498,119830
20080116,3504,3504,3323,3428,99440
20080117,3584,3584,3433,3478,41948
20080118,3333,3483,3333,3478,84715
20080121,3554,3554,3363,3403,37982
20080122,3368,3368,3103,3103,94475
20080123,3103,3223,3103,3223,104245
20080124,3223,3363,3183,3258,36613
20080125,3303,3448,3273,3408,83526
20080128,3413,3413,3258,3383,70049
20080129,3383,3493,3298,3303,90729
20080130,3353,3799,3353,3724,327362
20080131,3784,3784,3504,3569,125974
20080201,3539,3604,3323,3363,109430
20080204,3313,3473,3303,3433,117242
20080205,3403,3483,3353,3353,27482
20080211,3263,3393,3253,3263,86643
20080212,3208,3393,3208,3373,56013
20080213,3403,3403,3273,3278,52797
20080214,3283,3388,3283,3338,28021
20080215,3423,3423,3273,3358,18961
20080218,3353,3403,3303,3403,112217
20080219,3403,3624,3403,3564,140539
20080220,3509,3594,3398,3463,89150
20080221,3524,3754,3524,3714,171998
20080222,3644,3794,3574,3794,94575
20080225,3794,3854,3704,3724,44575
20080226,3874,3874,3694,3754,54115
20080227,3734,3789,3619,3674,104975
20080228,3629,3739,3629,3674,65394
20080229,3744,3899,3569,3804,89740
20080303,3674,3984,3674,3884,297932
20080304,3844,3934,3779,3804,107372
20080305,3794,3864,3784,3854,44395
20080306,3869,4049,3864,4034,353916
20080307,3914,4074,3914,4004,146403
20080310,4054,4054,3764,3804,91968
20080311,3619,3764,3619,3674,38681
20080312,3954,3954,3654,3694,57822
20080313,3644,3739,3544,3544,83856
20080314,3554,3734,3373,3463,173106
20080317,3433,3604,3223,3599,175414
20080318,3488,3689,3453,3574,106763
20080319,3654,3659,3534,3559,80089
20080320,3559,3599,3403,3559,154145
20080321,3574,3604,3493,3493,56093
20080324,3514,3554,3473,3504,74385
20080325,3594,3604,3488,3589,74615
20080326,3534,3624,3514,3589,53716
20080327,3579,3604,3483,3519,101568
20080328,3519,3519,3473,3519,92257
20080331,3483,3544,3473,3524,82297
20080401,3524,3524,3458,3483,62967
20080402,3483,3544,3468,3524,87212
20080403,3554,3554,3448,3473,170749
20080404,3529,3549,3458,3549,128091
20080407,3594,3674,3549,3634,202487
20080408,3679,3679,3559,3564,143526
20080410,3559,3624,3514,3624,130149
20080411,3679,3679,3534,3634,191928
20080414,3604,3604,3433,3473,120449
20080415,3473,3534,3393,3413,188191
20080416,3423,3473,3363,3453,171708
20080417,3493,3504,3413,3418,73446
20080418,3418,3443,3378,3378,85794
20080421,3423,3443,3393,3403,95174
20080422,3383,3423,3363,3403,52607
20080423,3403,3433,3368,3398,92897
20080424,3398,3509,3398,3493,130039
20080425,3478,3529,3458,3493,78391
20080428,3534,3534,3448,3519,91698
20080429,3539,3539,3413,3473,58831
20080430,3473,3544,3378,3539,106653
20080502,3544,3549,3453,3539,112177
20080506,3539,3554,3483,3539,50119
20080507,3493,3534,3473,3473,74245
20080508,3453,3534,3408,3483,71478
20080509,3453,3488,3373,3413,241198
20080513,3403,3403,3353,3398,73636
20080514,3383,3433,3363,3423,122997
20080515,3403,3403,3293,3298,223346
20080516,3318,3589,3303,3589,560939
20080519,3754,3899,3614,3704,684005
20080520,3764,3829,3719,3774,387282
20080521,3784,3884,3724,3819,312657
20080522,3774,3789,3689,3754,195004
20080523,3884,3924,3804,3914,260009
20080526,3894,3894,3789,3874,212997
20080527,3874,3974,3839,3874,175984
20080528,3899,3949,3874,3934,206793
20080529,3934,4004,3934,3969,172487
20080530,3984,3994,3944,3984,191908
20080602,3984,3984,3919,3959,154715
20080603,3934,4264,3869,4134,458671
20080604,4234,4600,4214,4344,926293
20080605,4334,4344,4124,4279,248191
20080609,4144,4324,4144,4234,231628
20080610,4304,4324,4104,4144,319570
20080611,4154,4204,4054,4189,181578
20080612,4104,4134,4004,4079,206953
20080613,4089,4204,4074,4154,110899
20080616,4124,4184,4054,4079,96483
20080617,4079,4134,4064,4094,79990
20080618,4069,4094,4044,4064,121368
20080619,4024,4144,4014,4084,106203
20080620,4144,4204,3874,4084,131048
20080623,4004,4194,3994,4159,113906
20080624,4164,4169,4104,4129,123926
20080625,4084,4174,4054,4084,133016
20080626,4149,4149,4054,4149,87762
20080627,4054,4089,4004,4074,53506
20080630,4074,4084,4024,4044,37332
20080701,4044,4094,3909,4044,67352
20080702,4084,4084,3854,3864,165714
20080703,3784,3784,3358,3694,115594
20080704,3694,3804,3659,3704,68281
20080707,3784,3784,3574,3704,91318
20080708,3704,3704,3554,3679,41728
20080709,3629,3804,3629,3804,70629
20080710,3794,3894,3754,3894,21368
20080711,3904,3954,3804,3954,53446
20080714,3954,3954,3819,3854,37402
20080715,3804,3904,3709,3739,29300
20080716,3689,3874,3689,3864,36813
20080717,3904,3904,3809,3809,27022
20080718,3814,3864,3774,3834,27822
20080721,3834,3964,3739,3824,58551
20080722,3824,3894,3784,3809,13576
20080723,3824,3904,3819,3824,15724
20080724,3874,3874,3789,3869,27762
20080725,3804,3864,3804,3854,15954
20080728,3854,3854,3824,3824,22867
20080729,3824,3884,3759,3829,56703
20080730,3894,3899,3824,3889,67222
20080731,3954,4024,3904,3994,84305
20080801,3919,4029,3919,3999,40389
20080804,3934,3994,3869,3934,25964
20080805,3994,3994,3819,3829,49690
20080806,3954,3954,3824,3849,16923
20080807,3849,3854,3804,3804,42357
20080808,3804,3934,3804,3934,77592
20080811,4004,4014,3869,3904,29260
20080812,3904,3904,3804,3859,32677
20080813,3834,3924,3764,3804,63046
20080814,3839,3919,3839,3899,81748
20080818,3799,3954,3799,3899,54445
20080819,3829,3899,3809,3834,146013
20080820,3854,3934,3854,3919,61238
20080821,3854,3994,3854,3989,94665
20080822,3984,4014,3814,4014,100369
20080825,4104,4104,4014,4014,63106
20080826,3999,4004,3934,3994,17012
20080827,3934,4054,3854,4039,53876
20080828,4089,4104,3974,4049,39690
20080829,4064,4064,3904,3934,67762
20080901,3864,3899,3819,3854,59770
20080902,3809,3899,3794,3884,61168
20080903,3884,3954,3834,3939,71748
20080904,3984,3984,3854,3899,35834
20080905,3804,3954,3804,3954,62287
20080908,3924,4004,3904,4004,98791
20080909,4009,4054,4004,4024,50299
20080910,4004,4019,3919,3919,55694
20080911,3944,4014,3919,4004,41488
20080912,4004,4064,4004,4034,39450
20080916,3659,4014,3659,3894,84815
20080917,3844,3934,3844,3909,50959
20080918,3824,3889,3824,3834,34155
20080919,3979,3979,3834,3839,71528
20080922,3849,3884,3834,3839,27642
20080923,3874,3944,3829,3914,20839
20080924,3914,3944,3854,3924,16103
20080925,3874,3954,3864,3934,16623
20080926,3934,3934,3859,3859,8121
20080929,3934,3944,3854,3899,55354
20080930,3704,3889,3704,3889,34025
20081001,3839,3979,3839,3924,123406
20081002,3894,4074,3894,4014,112437
