날짜,시가,고가,저가,현재가,거래량
20080102,50700,50700,48050,49000,968726
20080103,49700,49700,47800,48300,541903
20080104,48700,51000,48000,50000,1010399
20080107,49600,50500,47450,50200,766400
20080108,50200,50200,48600,49200,718411
20080109,47800,49300,47000,48600,679749
20080110,48100,48600,46200,46450,1413782
20080111,46000,47150,44850,45800,1058684
20080114,45450,46700,45450,46200,578972
20080115,46300,46550,45000,46200,609477
20080116,46400,46400,44600,45200,1114700
20080117,46000,48250,45300,47450,1215498
20080118,47900,49400,46100,48800,1077526
20080121,49500,49500,47000,48300,1140983
20080122,47100,47500,45800,46950,1174331
20080123,47200,47750,46500,47500,897471
20080124,47500,49300,46950,47700,1122300
20080125,47650,47900,45650,46450,1175359
20080128,45500,45950,44650,45100,671970
20080129,45300,46100,45100,45850,651940
20080130,46000,46700,44550,45150,945522
20080131,45000,46450,44400,46000,935873
20080201,45600,46100,44650,45600,906216
20080204,46450,47300,45400,45900,647106
20080205,46000,46500,45500,45900,464800
20080211,44500,44900,43500,43500,1352292
20080212,43850,44550,43450,43800,541194
20080213,43800,44250,43050,43500,479514
20080214,44100,44850,43850,44300,760606
20080215,44100,44900,43150,43550,529432
20080218,43000,44000,42800,44000,990774
20080219,41550,43500,41500,42150,2646598
20080220,42450,42450,40200,40200,2265125
20080221,40500,41750,40500,40900,1367424
20080222,40900,41150,40050,40250,871396
20080225,41300,42000,40800,42000,1018941
20080226,42000,42500,41450,41800,562636
20080227,42000,43450,42000,42500,674587
20080228,43350,43700,42500,42750,753392
20080229,42900,42900,41700,42000,563378
20080303,41600,42550,40650,42000,757391
20080304,42000,42000,40750,41850,525962
20080305,41800,41850,40550,40750,558768
20080306,40800,41500,40300,41200,557381
20080307,41150,41150,39900,40150,747884
20080310,39800,40600,39700,39700,468085
20080311,39650,40300,38950,39250,698304
20080312,40500,41250,40250,41000,1057467
20080313,40500,40950,39300,39900,1177971
20080314,40400,41050,39150,40350,782395
20080317,40000,40000,37500,38900,1248784
20080318,39050,39200,36950,38000,934251
20080319,38750,39050,37050,37950,1355849
20080320,37500,37850,36250,37100,1072860
20080321,38000,38250,37100,38000,1099404
20080324,38600,40000,38200,40000,1079625
20080325,40400,42000,40300,41200,1257342
20080326,40650,41300,39850,40850,806066
20080327,40600,40850,39650,40800,608006
20080328,40600,42250,40250,41100,1013491
20080331,41100,41100,39450,40500,795665
20080401,40350,41900,39950,40500,1235440
20080402,42000,45100,41900,45100,2235668
20080403,46900,47400,44800,46900,2550023
20080404,47100,47100,45000,45100,1130822
20080407,44150,45200,44100,44500,979455
20080408,44700,45850,43700,45050,852454
20080410,45100,46900,44600,46800,1452494
20080411,46750,47000,45550,46650,905851
20080414,46500,47900,45000,46500,935340
20080415,46900,47700,45500,47500,610335
20080416,47950,48350,46600,47000,937053
20080417,47400,47400,46100,46650,504937
20080418,46900,47600,45900,46250,592171
20080421,46400,46400,45350,45350,671477
20080422,45000,45250,43600,43950,865468
20080423,43250,44350,43200,44350,798600
20080424,43300,44350,43150,44000,867730
20080425,44400,45550,44400,45500,997800
20080428,44750,45900,44650,45400,1310179
20080429,45000,45000,43850,45000,986560
20080430,44800,45900,44000,45350,1033664
20080502,46250,47300,45900,47300,1184989
20080506,47500,47500,45550,46150,662920
20080507,45350,45750,44500,45150,908758
20080508,44050,44900,42900,43000,1612414
20080509,42450,42700,41850,42700,1423792
20080513,43700,44000,43000,43500,964603
20080514,43500,44750,43500,44500,782943
20080515,43700,45850,43700,45200,799084
20080516,45000,45800,44700,45400,489195
20080519,45950,45950,44550,45000,541283
20080520,43600,45000,43600,44050,477658
20080521,43900,43900,42200,42250,976122
20080522,41850,42450,41050,42100,843301
20080523,41900,42250,41100,42000,579078
20080526,41350,42900,41350,41850,422070
20080527,41750,42500,41700,42000,326547
20080528,42000,42300,40950,41500,593695
20080529,41600,42800,41500,41950,614776
20080530,43000,43100,42000,43000,778089
20080602,42300,42600,41600,42150,613548
20080603,42200,42750,41450,41850,491233
20080604,41850,42450,41800,42100,410956
20080605,42050,45250,40950,45250,3689880
20080609,43800,44250,42600,42600,1858070
20080610,42950,43750,41250,42000,1076471
20080611,42500,43450,42000,42400,1298751
20080612,42400,45100,41150,43500,2502579
20080613,43100,44900,42600,44000,1014420
20080616,44750,45000,43700,44500,846727
20080617,44500,45000,43650,44150,1143315
20080618,44400,44400,43100,43900,869237
20080619,43500,43500,41550,41600,1527319
20080620,41950,42100,40500,41150,1325105
20080623,39950,40500,39950,40200,902291
20080624,40300,40300,39800,39800,798737
20080625,40100,41350,39950,41000,1272911
20080626,40650,42300,40650,41250,636577
20080627,40000,40850,40000,40150,738419
20080630,40000,40500,39700,40250,1077126
20080701,40050,40750,40000,40300,767150
20080702,40300,40950,39000,39600,1274069
20080703,39500,39700,38900,39100,1270707
20080704,38850,39250,38300,38650,1260452
20080707,38600,39250,38150,38700,1200901
20080708,38350,38350,37650,38000,863854
20080709,38300,38600,36200,36900,1530633
20080710,36850,37050,36150,36400,1522749
20080711,36600,38000,35600,37700,1024308
20080714,38000,38000,36700,37450,593467
20080715,36750,36950,35400,36000,1320057
20080716,35850,36250,34900,35100,1520928
20080717,36000,36200,33700,34500,1671432
20080718,35000,35250,34000,34650,910526
20080721,34700,37050,34700,36850,1234293
20080722,35900,36950,35700,36600,678395
20080723,37400,39300,37000,38300,1441049
20080724,39450,39750,38800,39400,1782748
20080725,39400,39750,36300,39100,805265
20080728,39400,39400,37900,38750,1066858
20080729,38250,38250,36600,37050,996984
20080730,37800,38500,37600,37800,667596
20080731,38900,39250,38050,38450,715448
20080801,38500,38500,37350,37900,452295
20080804,38250,38650,37350,38600,621783
20080805,39000,40050,38600,39250,1107981
20080806,39850,40800,39850,40450,1291338
20080807,40800,40800,38800,40200,419006
20080808,40200,41200,38900,39950,756772
20080811,40900,40950,40100,40150,527643
20080812,39700,40100,38950,39500,707082
20080813,39450,40200,39300,39400,999135
20080814,38750,40100,38750,39550,810909
20080818,40450,41000,39650,39950,683844
20080819,40200,40200,38400,38750,856396
20080820,38750,39400,38700,38750,449486
20080821,39200,39200,38100,38400,617760
20080822,39150,39150,37700,38150,487541
20080825,38150,38850,37950,37950,742139
20080826,37300,39000,37300,38500,613525
20080827,38500,38900,37900,38650,983496
20080828,39200,39200,37650,38250,418484
20080829,38300,39700,38300,38800,912718
20080901,39350,39350,38000,38000,861228
20080902,37600,38000,35850,37000,1732722
20080903,36050,37000,35500,36050,1799435
20080904,36050,36450,35350,35800,1027817
20080905,35250,36650,35250,35850,1015137
20080908,37950,39200,37100,37500,2988956
20080909,37750,38050,37100,37850,2117130
20080910,38250,38250,37050,37750,1517868
20080911,37350,37500,35900,36100,2347763
20080912,36700,37250,36350,36750,1321268
20080916,31300,36050,31300,36050,2536437
20080917,36400,36500,35400,35850,1608319
20080918,34050,34500,30550,30850,4501781
20080919,31600,32350,28900,29400,7095829
20080922,29800,30600,29250,30000,2966591
20080923,29650,32100,29650,32100,2594670
20080924,31850,32300,30950,32000,2013521
20080925,31800,31800,30750,31000,2503349
20080926,31100,31100,29550,29600,2127447
20080929,30100,30100,27600,27600,3388898
20080930,25250,27800,25150,27550,4315994
