날짜,시가,고가,저가,현재가,거래량
20080102,62836,64286,61965,63029,235229
20080103,63512,65736,63222,65542,368643
20080104,65736,68346,65059,67669,299126
20080107,66606,67669,65832,67186,166406
20080108,68442,70762,67476,70569,534539
20080109,70472,72889,68926,72793,553867
20080110,72696,72986,69796,69796,282351
20080111,70472,71922,68346,68636,335997
20080114,69119,71922,69119,71729,393998
20080115,72793,72986,70086,71729,303255
20080116,71052,75113,70086,73469,616626
20080117,73276,77143,73179,75306,698609
20080118,74919,75306,71149,71826,405715
20080121,72116,72986,68829,71439,306530
20080122,69119,71439,68346,68539,366158
20080123,70569,71149,69119,70376,282727
20080124,72309,72503,69699,70086,174548
20080125,71439,74726,70569,74339,398913
20080128,74339,76079,72986,72986,369498
20080129,74629,74823,70762,72503,339446
20080130,73663,75596,72309,72503,455430
20080131,72986,74436,72116,74436,371022
20080201,75403,76176,74436,75403,292885
20080204,76756,76853,73953,74339,299557
20080205,73179,73953,72019,72889,269354
20080211,72212,73663,72019,72696,202543
20080212,73373,73856,72212,72503,153984
20080213,72599,72986,68346,68636,497561
20080214,69506,70472,68249,70376,472076
20080215,69892,71536,69022,69312,328450
20080218,69796,70762,68442,69602,287350
20080219,69699,70086,68539,68539,322609
20080220,69312,71342,68926,70956,496102
20080221,72019,72503,70859,70859,231583
20080222,72019,72599,71052,71052,266551
20080225,71632,71826,69796,71439,182513
20080226,71536,72116,69796,70376,210562
20080227,70859,70956,69119,70086,259817
20080228,70086,70182,69022,69022,221650
20080229,69796,69796,68152,68539,230942
20080303,67862,67862,65639,66702,304259
20080304,67669,70956,66412,69312,263420
20080305,70472,71246,69602,70182,229682
20080306,71052,72503,70182,71922,281952
20080307,71342,72889,70762,71922,184364
20080310,71922,73566,71826,72019,271361
20080311,72503,73469,72212,73083,166342
20080312,74049,74049,71632,72986,238938
20080313,73469,73759,70086,71632,144729
20080314,71439,72406,67282,69602,209022
20080317,69312,69796,66702,69796,168891
20080318,69989,71729,69022,71729,175712
20080319,72986,73373,71729,72986,191344
20080320,72503,74823,72019,74436,235506
20080321,74919,75113,72309,72503,211670
20080324,72019,72986,71149,72212,133757
20080325,71729,72986,71052,71052,186340
20080326,71246,72212,69796,70182,200363
20080327,70956,71149,69989,70376,192869
20080328,70666,72696,70569,72019,235189
20080331,72889,72889,69312,71052,298657
20080401,70182,71536,69602,69989,251747
20080402,70762,70762,69602,70376,271703
20080403,70472,70569,68829,69796,282366
20080404,69506,70472,68829,68926,224606
20080407,69312,69602,68442,69119,264315
20080408,69312,69699,67959,68539,254530
20080410,68926,70086,68732,69602,238121
20080411,70086,70182,68056,68249,307181
20080414,67959,69022,67862,68636,254314
20080415,69409,71246,69216,71246,399562
20080416,71632,71729,70376,71246,188154
20080417,71729,72019,70182,71052,193190
20080418,71246,71826,70182,70472,153492
20080421,70666,70859,69022,69119,326838
20080422,69699,70859,69506,70279,204713
20080423,71052,71922,70762,71632,208965
20080424,72599,72599,71052,71632,208469
20080425,71632,71922,70182,70472,167942
20080428,70956,73469,70666,72696,412767
20080429,72696,75403,72406,75113,435752
20080430,75306,75499,73759,75113,240268
20080502,76176,80236,76079,80043,549821
20080506,80429,84393,80043,80043,464383
20080507,81009,81203,77916,78786,369251
20080508,79076,83426,79076,81396,410598
20080509,82653,82943,79463,81203,259960
20080513,80429,82846,78399,80236,224438
20080514,81203,82170,79753,82073,223780
20080515,81299,82266,79463,81589,395316
20080516,82846,85843,81686,84393,584492
20080519,84296,85070,82363,84200,203449
20080520,84683,84683,80913,82653,243485
20080521,81299,81686,79656,80139,211484
20080522,79173,81686,79173,81203,300549
20080523,79946,80429,78786,79946,292219
20080526,78399,78786,75983,76659,312388
20080527,76176,77723,75209,76659,360717
20080528,76466,76756,73566,73663,539473
20080529,74339,77433,73759,76466,429191
