날짜,시가,고가,저가,현재가,거래량
20080102,78000,78000,72500,72500,180984
20080103,72800,74100,71700,72800,131537
20080104,72500,73400,70700,71000,146646
20080107,69800,75000,69500,73600,212627
20080108,75000,77400,73000,74500,179877
20080109,73000,77000,72000,74500,183635
20080110,74900,75500,71000,71000,198588
20080111,71800,73300,68000,69100,218456
20080114,68200,70000,66400,67700,152832
20080115,67800,68200,61700,65300,243929
20080116,64900,68400,64100,66000,240347
20080117,67700,68800,65500,65500,145613
20080118,66400,67300,63400,66000,251825
20080121,68000,68000,62900,64400,232727
20080122,61100,61800,54800,54800,690501
20080123,57200,59700,57000,58400,754963
20080124,59900,61500,58600,58600,303366
20080125,60100,60600,57900,59500,284207
20080128,59200,60000,52700,53900,282926
20080129,55600,55800,51100,51100,415810
20080130,51400,52400,46350,46500,469697
20080131,45800,50400,45200,49150,592226
20080201,50300,52400,49850,52400,537595
20080204,52000,58500,52000,56500,427615
20080205,55600,56800,55200,56800,137769
20080211,53900,54300,52200,53400,365262
20080212,53400,54400,50300,50800,364478
20080213,52000,53200,51300,51300,217804
20080214,52800,55000,52600,54100,231897
20080215,53300,53700,52200,53100,197765
20080218,53200,55200,52800,53400,210395
20080219,55000,57400,55000,56100,223684
20080220,55500,55900,53900,55000,178917
20080221,55900,56500,53200,53600,215882
20080222,52700,52800,50900,51700,230841
20080225,52100,52700,51500,52100,197423
20080226,52900,53100,50800,51200,259274
20080227,51600,52200,50800,51100,246766
20080228,51800,53100,51700,52900,264137
20080229,52100,52400,51500,51900,175019
20080303,50000,50500,49850,50200,216391
20080304,50800,51200,49700,50200,132720
20080305,50900,51900,50000,51900,125645
20080306,51500,51700,50200,50200,285686
20080307,49450,49450,47250,47400,318136
20080310,45500,48200,44600,45000,457956
20080311,45000,47650,44700,46050,327929
20080312,48250,49500,47100,47250,224738
20080313,47200,47850,44650,45000,361820
20080314,46200,46600,41650,42500,496269
20080317,41750,41750,38450,39600,879595
20080318,40000,40600,38950,39900,373208
20080319,41900,42750,41700,42650,474656
20080320,41950,43800,41700,42900,312551
20080321,44450,45500,43600,45500,307781
20080324,46350,46350,44100,46000,202931
20080325,46600,46800,45550,46000,248273
20080326,46050,46050,44050,44500,327638
20080327,44400,45750,44150,44250,172021
20080328,43500,46600,43250,46150,387430
20080331,46700,46850,45650,46500,203605
20080401,46400,49000,46300,48000,288692
20080402,50700,55200,50000,54500,865703
20080403,53900,54900,52400,54200,438926
20080404,53400,57200,52600,57100,443166
20080407,56800,56800,54500,54500,344135
20080408,53900,54000,51900,52700,318317
20080410,51300,53400,51200,53000,313439
20080411,53000,53800,51500,53000,214762
20080414,51200,51300,49200,50000,340855
20080415,50000,51600,49900,50400,251682
20080416,51400,53200,51300,52500,296365
20080417,53900,54300,52100,52700,381890
20080418,52900,53000,51200,51600,254798
20080421,52700,54500,52300,54000,256657
20080422,54200,54300,52000,52100,232886
20080423,52100,53800,52000,53100,168725
20080424,53300,55100,51900,53300,339873
20080425,55300,55800,54200,55300,282337
20080428,55400,55800,54000,54900,178586
20080429,54900,54900,51900,52300,287699
20080430,52300,53600,51900,53000,140566
20080502,53900,55000,53800,55000,233159
20080506,54500,54700,53300,54700,260377
20080507,54300,54700,52500,53700,274996
20080508,52100,53800,52000,52600,314816
20080509,52700,52900,49850,50200,385645
20080513,50200,50500,49300,49500,308897
20080514,49050,49350,46000,46800,466488
20080515,46600,50700,46600,49000,456570
20080516,50300,51100,49500,50700,395010
20080519,50000,51000,49350,50100,325203
20080520,49900,50000,48050,48250,306219
20080521,47500,47500,46400,46600,359567
20080522,46000,46500,45600,45950,306708
20080523,46150,47300,45500,46400,272016
20080526,46200,46750,45450,45850,221910
20080527,45800,47550,45800,46800,243020
