날짜,시가,고가,저가,현재가,거래량
20080102,39150,39400,38550,38650,2438133
20080103,38500,38500,38100,38350,1856753
20080104,38500,38950,37900,38350,1720263
20080107,37900,39050,37800,38500,2438195
20080108,38600,38900,38100,38300,1336921
20080109,38200,38500,37900,38500,893139
20080110,38300,38550,37600,37800,1655417
20080111,38500,38500,37250,37300,1625632
20080114,37300,37950,37300,37750,1290771
20080115,37750,38100,37550,38000,1413787
20080116,37700,38250,37250,37750,1495699
20080117,37750,39250,37750,39050,2099411
20080118,38450,39550,38150,39500,1790358
20080121,38700,39000,38150,38750,1949558
20080122,38350,38350,37550,38000,1998188
20080123,38100,38250,37500,37900,1729064
20080124,38050,38450,37550,37550,2311658
20080125,37650,37900,37400,37850,1168750
20080128,37450,37550,36950,36950,1401059
20080129,37000,37900,37000,37350,1375357
20080130,37450,37750,37050,37300,1115568
20080131,37600,38350,37350,37800,1947093
20080201,38300,38400,37300,37850,1432283
20080204,37000,37300,36400,36800,4984356
20080205,36300,36800,36100,36550,2220542
20080211,35500,36200,35150,35900,2422877
20080212,35800,35850,35350,35400,1126781
20080213,35550,35700,34900,34900,1737915
20080214,35000,35750,35000,35750,2214502
20080215,35100,35300,34950,35150,2265655
20080218,35250,35300,34800,34850,1747695
20080219,35050,35250,34900,35000,1460781
20080220,34750,34800,33950,34000,2717381
20080221,34250,34500,33750,34100,1554814
20080222,33800,33900,33200,33450,2254757
20080225,33750,34550,33700,34500,1750831
20080226,34450,34800,34300,34500,1537387
20080227,34750,34900,34500,34600,1330209
20080228,34650,34700,33900,34100,1534764
20080229,33800,33900,33250,33250,2428637
20080303,32600,32750,32200,32200,2232725
20080304,32150,32300,31650,31800,1908315
20080305,31900,32050,30950,31450,2589914
20080306,31000,31250,30400,31050,3745575
20080307,29850,30400,29800,29800,4205860
20080310,29350,29700,29250,29450,2769529
20080311,29200,30200,29150,29750,2138029
20080312,30400,30550,29800,30300,2134422
20080313,30100,30300,29050,29050,3258681
20080314,29450,29750,29050,29200,2194051
20080317,29200,29300,28200,28600,3286930
20080318,28800,28950,28100,28200,1959501
20080319,28650,28900,28500,28750,1416647
20080320,28400,28750,28200,28650,1257763
20080321,28850,29350,28500,29300,1506975
20080324,29300,30300,29250,29850,1635852
20080325,30150,30350,29800,30350,1626500
20080326,30200,30200,29550,30150,1908889
20080327,30350,30350,29450,29800,1543320
20080328,29800,30200,29600,29800,1304478
20080331,29850,30050,29350,30050,1693025
20080401,29750,30200,29700,30200,1398924
20080402,30600,32550,30600,32100,3969580
20080403,32150,32650,31800,32300,2403089
20080404,32300,32650,31800,32500,1285454
20080407,32200,32900,32150,32350,1360995
20080408,31800,32050,31300,31300,2263341
20080410,30850,31200,30450,31200,2641671
