날짜,시가,고가,저가,현재가,거래량
20080102,409688,411959,395154,395154,214330
20080103,388795,391520,380620,387433,292997
20080104,387887,404692,375623,397879,234271
20080107,385162,388341,380620,384707,221577
20080108,385162,385616,373352,374715,225040
20080109,368810,384253,361089,380620,289056
20080110,382436,393791,380620,386070,340673
20080111,384707,389704,366085,371990,444595
20080114,365177,367902,346555,347463,618816
20080115,353368,354276,325661,333837,641204
20080116,319757,326570,310673,320211,707879
20080117,327024,330658,308856,322936,605732
20080118,311581,322936,308856,322936,515990
20080121,318394,318394,299318,304314,671208
20080122,282967,301135,281150,295230,810876
20080123,308856,310219,290688,301135,586530
20080124,308856,317486,304768,310219,605925
20080125,317940,329749,317032,325207,451500
20080128,317940,318394,301589,307948,485213
20080129,316577,317032,282967,290234,911549
20080130,286600,289325,252989,259802,1238512
20080131,263436,290234,260711,283421,1089651
20080201,296138,301135,289780,295684,846669
20080204,302497,322028,302497,315215,668555
20080205,313398,321574,306131,316577,340216
20080211,302497,307039,296138,302951,538821
20080212,309310,319303,308856,310219,555057
20080213,319303,324753,316577,318848,387176
20080214,328841,335654,325207,332474,411858
20080215,325207,347463,324299,339742,453310
20080218,342467,346100,335200,338833,238175
20080219,345646,351551,342921,349280,250409
20080220,343375,348371,334291,339287,371544
20080221,339742,343375,327478,332020,417717
20080222,323390,326570,318394,326570,328920
20080225,329749,343375,328841,336108,316928
20080226,340650,344738,335200,336562,245500
20080227,344738,354730,341104,348826,445236
20080228,353368,361997,345192,357455,309993
20080229,352913,357910,345646,346555,366267
20080303,338379,339287,331112,339287,346781
20080304,346100,348371,336562,344738,210232
20080305,344738,347917,341558,345646,143469
20080306,347463,357455,346100,357001,257847
20080307,349280,349280,340650,347009,386674
20080310,333837,336562,318848,321119,518289
20080311,313398,326116,303860,324299,375548
20080312,339742,347009,330658,332474,522093
20080313,331112,334291,314761,316123,625824
20080314,320665,324299,299772,304314,463519
20080317,295230,297047,281150,290234,718285
20080318,290688,298864,284783,297501,450903
20080319,312490,317940,310219,316577,525202
20080320,306585,316123,302951,313398,445871
20080321,321119,324299,316123,320665,264679
20080324,326116,332020,321574,328841,255944
20080325,338379,342467,331566,340650,368239
20080326,338833,345192,333383,341558,251728
20080327,336562,337925,331566,333383,287522
20080328,331566,340650,328841,338833,355429
20080331,343375,343375,331112,336562,296357
20080401,337016,337016,328387,332929,416520
20080402,340196,344738,337471,337471,304728
20080403,334745,352459,334745,351551,532421
20080404,356093,363360,354276,360635,457386
20080407,359726,371536,359272,366085,368096
20080408,367448,367902,357001,358364,296461
20080410,351551,351551,342921,346555,452709
20080411,345192,349734,340196,348826,225509
20080414,340650,341558,327932,336108,452098
20080415,336108,339287,328387,335200,285605
20080416,340650,346100,334291,337016,326407
20080417,338833,340650,322936,327024,584371
20080418,327932,329295,316123,316577,740397
20080421,321119,335654,320211,333837,577889
20080422,336108,339287,329295,336108,372703
20080423,332929,350188,332929,348826,579142
20080424,348826,348826,336562,346555,489343
20080425,347009,349280,338379,345192,397728
20080428,343375,346555,335654,341558,324656
20080429,344284,346555,322482,322482,802564
20080430,322482,327932,314761,325207,505531
20080502,332474,336108,327932,329295,401592
20080506,322936,333837,322936,332474,320782
20080507,337925,344284,331566,334291,429080
20080508,332020,337471,328387,332474,313907
20080509,333383,344284,330658,335654,346387
20080513,335654,336108,323390,328841,440058
20080514,327478,328841,315669,317940,686923
20080515,326570,326570,318848,321574,400151
20080516,324299,339287,322482,333383,656632
20080519,342921,352913,338379,351097,727254
20080520,353368,359726,343375,348826,437513
20080521,344284,347463,335654,339742,350859
20080522,335200,337471,327478,336108,363944
20080523,335200,336108,328387,332474,235990
20080526,330658,336108,325661,331566,229000
20080527,327932,332474,322936,331566,385275
20080528,332474,341558,327478,328841,460364
20080529,333837,341558,331566,337471,404754
20080530,342921,343375,336108,340650,303927
20080602,346555,350642,340650,347917,476491
20080603,347463,355184,345192,350642,408712
20080604,352459,352913,339287,350642,255879
20080605,349734,351097,343375,348826,240493
20080609,339742,344284,338833,343829,213289
20080610,340650,342467,327932,332474,431707
20080611,336108,337925,321119,326116,537190
20080612,325207,325207,307039,310673,772112
20080613,310673,312490,295230,301589,778319
20080616,302951,309764,300680,303860,368488
20080617,304314,308856,300226,304314,293481
20080618,304768,312944,303860,309310,334515
20080619,306131,309764,298864,303860,412239
20080620,303406,305222,296138,299318,415762
20080623,291142,300680,290688,297955,214280
20080624,300680,300680,292959,294322,356938
20080625,292959,295230,286600,293867,381893
20080626,293867,300680,290688,295684,263280
20080627,286600,294776,285692,292959,234835
20080630,288417,294322,288417,294322,253061
20080701,292505,294776,285692,288871,344025
20080702,286146,288417,277516,280696,419620
20080703,272066,277062,267070,277062,550590
20080704,272520,281604,271157,274337,237055
20080707,274337,277062,270703,274337,241380
20080708,276608,277062,261619,269341,451076
20080709,273883,281150,272974,274337,558587
20080710,270249,281604,266615,278879,542672
20080711,282058,289780,277970,284783,400383
20080714,285692,296138,285238,287963,351800
20080715,288417,292959,279787,282967,366392
20080716,283421,286600,269795,281150,421399
20080717,288417,290234,283421,283421,266452
20080718,283875,287054,268886,269795,740442
20080721,272520,279333,270249,274791,558731
20080722,274791,277062,273428,273883,228154
20080723,280696,291142,277062,284783,529252
20080724,291142,305677,290688,302497,859692
20080725,295230,300680,293867,298409,412689
20080728,303860,307493,301589,302043,324865
20080729,296138,299772,289780,298864,373010
20080730,295684,297047,279787,283875,950104
20080731,278879,283421,275245,282967,594880
20080801,278425,280696,274337,279333,285733
20080804,263436,265707,248902,250264,1913947
20080805,247993,251627,236184,241634,1414629
20080806,248447,251627,241180,245722,741765
20080807,243451,247993,239818,242543,524687
20080808,239363,247539,238455,241180,684378
20080811,246631,250264,242089,243905,438873
20080812,244360,254352,242543,248902,597018
20080813,247993,250264,242543,245268,395750
20080814,244360,252989,242997,250264,535931
20080818,251627,252535,245268,248902,326483
20080819,242997,244814,238001,241180,461041
20080820,238909,239363,233005,236184,680869
20080821,236638,236638,218016,218016,850326
20080822,218924,224375,216653,219379,505856
20080825,222558,227100,220741,225283,473978
20080826,220741,225283,218016,221650,291401
20080827,208024,217108,207115,215291,808117
20080828,220287,220287,214837,216199,357361
20080829,219379,221195,217562,217562,265157
20080901,213474,217108,203936,204390,539944
20080902,203482,210295,196669,202119,615520
20080903,204390,210749,197123,210295,541317
20080904,209840,214382,203936,208932,336469
20080905,201665,203482,198485,200756,380951
20080908,206661,227100,206207,223012,713047
20080909,221650,222104,211657,216199,494887
20080910,211657,218924,207569,218924,400422
20080911,218016,228463,215291,218924,718578
20080912,225283,230734,222558,227554,559862
20080916,201665,215291,201665,205753,912956
20080917,213474,231642,211657,227100,1134536
20080918,218016,227100,216199,224375,722585
20080919,240726,257986,235730,246631,1282442
20080922,251627,263436,246631,247085,882226
20080923,243451,249356,241634,248902,629275
20080924,248902,256169,245268,253444,511924
20080925,249810,263436,246631,258894,589433
20080926,260711,261165,251173,255715,329471
20080929,255715,257531,240272,246176,629114
20080930,227100,245268,227100,244360,550961
20081001,244360,244814,234821,237092,655495
20081002,238909,241180,225283,229825,626889
20081006,221650,222558,210295,212111,694507
20081007,208932,215291,197577,213020,582302
20081008,202573,204390,191672,194852,522550
20081009,191672,201211,188039,193035,729861
20081010,181680,183497,167146,178955,979032
20081013,186222,188947,172142,182588,1007121
20081014,196214,209840,194398,209840,1120626
20081015,205753,206207,198485,198485,509101
20081016,178955,183043,168962,168962,982372
20081017,173504,174867,146252,150340,2047191
20081020,153974,154428,134443,144890,1402022
20081021,151703,155791,141710,142619,976118
20081022,139894,142165,123997,124905,1439914
20081023,116729,126722,113096,123088,1631766
20081024,126722,128993,104920,104920,1828585
20081027,105374,112642,93565,109008,2589146
20081028,102195,125359,101287,125359,1877488
20081029,136260,143981,119455,124451,3071181
20081030,141710,143073,132172,143073,1268210
20081031,143527,163058,143073,151249,2903312
20081103,155336,163966,152157,155336,1587070
20081104,155336,155336,143527,152611,1025839
20081105,157153,161695,152157,158970,1009152
20081106,148523,151249,135352,135352,867261
20081107,125813,153974,123088,148978,2414440
20081110,151703,170325,143073,162604,2083812
20081111,155791,163512,149886,149886,1181622
20081112,145344,155336,143981,148978,878141
20081113,138985,147161,132172,143527,1169689
20081114,157153,159878,147615,148978,1118740
20081117,148069,153520,141710,147615,632088
20081118,143073,148978,137623,137623,675976
20081119,138985,140348,126722,132626,958927
20081120,123088,127176,113550,113550,914134
20081121,111733,130355,111279,130355,1325380
20081124,132172,138077,126722,126722,1579529
20081125,137168,143527,128084,131264,989599
20081126,135806,137623,127176,137168,894575
20081127,143073,150794,138985,145798,1001742
20081128,149432,149886,137623,139894,821919
20081201,138985,144436,136260,138077,530736
20081202,129901,138077,129447,133535,483476
20081203,138077,143981,133989,136714,657974
20081204,140802,143527,132626,136714,514958
20081205,139894,140802,136260,138985,353260
20081208,143981,159424,142165,159424,917457
20081209,167146,171688,163512,164420,1398216
20081210,166237,188493,164420,182134,1617176
20081211,182588,197577,180772,190310,1730972
20081212,185314,196669,178955,181680,1190420
20081215,191672,203936,189401,199848,809494
20081216,195760,199848,191218,193489,811329
20081217,199848,201665,179409,188039,956213
20081218,188493,191672,184859,188947,498557
20081219,188947,193943,186676,187130,473767
20081222,189856,195760,188039,192581,537018
