날짜,시가,고가,저가,현재가,거래량
20080102,17827,18174,17728,17778,871403
20080103,17629,18174,17382,18025,843101
20080104,18075,18075,17084,17382,1342293
20080107,16787,17035,16441,16738,1200723
20080108,16738,16936,16292,16639,1305428
20080109,16342,16738,16243,16639,1050263
20080110,16688,17084,16540,16787,1635320
20080111,16886,16985,16193,16342,1299638
20080114,16243,16342,15648,16044,1249275
20080115,16144,16589,16094,16490,959155
20080116,16342,16490,16044,16342,695269
20080117,16688,16886,16441,16738,648926
20080118,16738,17382,16540,17183,943520
20080121,17134,17282,16441,16639,1090986
20080122,16044,16342,15401,15401,1293385
20080123,15846,15995,15549,15995,1136334
20080124,16044,16441,16044,16391,574480
20080125,16490,16589,16044,16441,1043561
20080128,16193,16342,15896,16044,319366
20080129,16193,16639,16094,16243,622212
20080130,16292,16639,15648,16243,463621
20080131,15846,15846,15054,15797,907698
20080201,15747,15846,15005,15203,945076
20080204,15252,15500,14806,15054,1636278
20080205,14906,15104,14658,14906,1383532
20080211,14559,14955,14509,14955,549716
20080212,15153,15203,14707,14856,1115618
20080213,14856,14906,14361,14410,1035915
20080214,14410,14559,13866,14212,1939378
20080215,14064,14658,14064,14658,1048589
20080218,14806,14856,14460,14608,784916
20080219,14707,14856,14559,14559,624091
20080220,14757,16044,14608,15351,3681794
20080221,15351,15549,15005,15351,1204989
20080222,15153,15203,14757,15005,589366
20080225,15104,15203,14707,14806,615214
20080226,14906,15005,14212,14262,1305030
20080227,14509,14658,14410,14460,625018
20080228,14658,14658,14262,14410,651404
20080229,14311,14460,14262,14361,471966
20080303,14064,14212,13767,14212,603603
20080304,14410,14460,13816,14014,716302
20080305,14064,14064,13469,13717,933142
20080306,13618,13767,12974,13172,1998140
20080307,12875,13370,12776,13172,876297
20080310,12776,13123,12776,12875,591683
20080311,12727,13767,12727,13767,1470257
20080312,14064,14163,13321,13469,979597
20080313,13568,13618,12925,13073,813173
20080314,13271,13866,13222,13717,1377009
20080317,13767,14806,13321,14460,1745987
20080318,14658,14658,14212,14509,798893
20080319,14658,14707,14262,14509,997244
20080320,14361,14906,14311,14757,1610223
20080321,15005,15203,14757,14757,564197
20080324,14955,14955,14460,14757,462355
20080325,14856,14856,14460,14757,497619
20080326,14757,14955,14658,14757,648089
20080327,14757,15599,14757,15500,2037328
20080328,15351,16044,15302,15648,1281446
20080331,15797,15896,15450,15549,580044
20080401,15648,16094,15450,15846,823417
20080402,15846,16094,15351,15648,872488
20080403,15995,16292,15252,15252,1162145
20080404,15302,15351,15153,15252,512974
20080407,15401,15450,15153,15351,552687
20080408,15153,15302,14806,14955,1004610
20080410,14955,15252,14658,15252,1195626
20080411,15153,15203,14906,14906,658332
20080414,14658,14856,14559,14856,500309
20080415,14906,14906,14608,14658,406078
20080416,14856,15500,14806,15203,818743
20080417,15450,15549,15203,15252,557559
20080418,15351,15995,15203,15648,848672
20080421,15846,15896,15500,15797,509919
20080422,15747,15747,15401,15599,352262
20080423,15401,15846,15401,15500,495138
20080424,15549,15945,15302,15698,732102
20080425,15648,15648,15252,15599,637434
20080428,15401,15500,14856,15252,799690
20080429,15005,15500,15005,15203,578536
20080430,15252,15450,15054,15252,653268
20080502,15252,15500,15054,15252,502547
20080506,15351,15896,15104,15747,1010211
20080507,15896,16094,15549,15747,1314014
20080508,15698,16044,15549,15797,1001196
20080509,15797,15797,14707,15005,1923398
20080513,15005,15005,14311,14608,1384464
20080514,14707,15054,14608,14955,738889
20080515,14955,15005,14707,14806,1109369
20080516,14955,15153,14608,14658,1302141
20080519,14707,15153,14658,15054,1166356
20080520,15054,15153,14856,15005,723480
20080521,14757,14955,14559,14806,812934
20080522,14707,14707,13866,14113,1496953
20080523,14064,14113,13519,13668,1507037
20080526,13668,13866,13568,13717,422716
20080527,13965,14311,13668,13717,1193636
20080528,13965,14163,13717,13965,929944
20080529,14163,14262,14014,14262,757287
20080530,14262,14856,14064,14658,1246671
20080602,14757,15153,14460,15005,1242823
20080603,14757,15054,14559,14757,566720
20080604,14757,15153,14658,15054,666016
20080605,14955,15252,14757,15252,706728
20080609,14806,15005,14658,14906,603488
20080610,15054,15054,14113,14410,875915
20080611,14410,14707,14311,14509,535278
20080612,14311,14509,13965,13965,782251
20080613,14113,14608,14064,14509,450809
20080616,14410,14658,14262,14460,389244
20080617,14658,14658,14163,14361,494188
20080618,14113,16490,14113,16144,5558416
20080619,15648,15995,14955,15302,2972786
20080620,15104,15302,14707,14955,1482988
20080623,14707,15500,14658,15005,1976351
20080624,15005,15549,14806,14955,3266963
20080625,14955,15104,14608,14757,722562
20080626,14806,14806,14163,14559,778836
20080627,14064,14460,14014,14212,427794
20080630,14311,15005,14064,14410,1137909
20080701,14509,14906,14509,14658,959603
20080702,14757,14757,14113,14509,982119
20080703,14262,14509,14014,14212,610022
20080704,14113,14361,14064,14163,553120
20080707,14163,14163,13915,14163,448934
20080708,14064,14113,13767,13866,541289
20080709,13965,14113,13519,13568,664942
20080710,13370,13618,12826,13024,1136755
20080711,13024,13866,12974,13568,604608
20080714,13668,13717,13123,13568,691833
20080715,13420,13469,12281,12628,1496213
20080716,12628,13073,12529,12628,831530
20080717,12974,13073,12677,12826,1136490
20080718,12925,13222,12826,13024,767339
20080721,13073,14361,13024,14262,1634971
20080722,14064,14460,13866,14262,433733
20080723,14509,14707,14262,14262,573326
20080724,14559,14955,14509,14658,697655
20080725,14460,15054,14410,14806,557150
20080728,15005,15054,14608,14856,362873
20080729,14460,15005,14410,15005,468276
20080730,14906,15153,14707,14707,435558
20080731,14707,15104,14608,14856,726693
20080801,15054,15054,14410,14410,477584
20080804,14410,14460,13668,14361,544510
20080805,14262,15005,14064,14460,1016096
20080806,14707,15995,14707,15698,1906475
20080807,15747,16044,15549,15747,952325
20080808,15648,16490,15500,16342,1314297
20080811,16490,17233,16342,16688,1666615
20080812,16639,16837,15945,16490,972173
20080813,16639,16738,16144,16342,452532
20080814,16342,16787,16292,16639,1054794
20080818,16837,17183,15896,16490,1140048
20080819,16540,16540,16094,16342,426304
20080820,16243,16441,15945,16144,659422
20080821,15945,16144,15401,16144,757494
20080822,16094,16144,14906,15401,993109
20080825,15549,16144,15302,15351,591787
20080826,15054,15846,14856,15698,568676
20080827,15599,15945,15351,15549,471742
20080828,15846,15945,15599,15599,411693
20080829,15797,16441,15549,15846,1082641
20080901,15599,15896,14955,15005,638337
20080902,15351,15698,14955,15054,726395
20080903,15153,16391,15153,15846,1086115
20080904,16342,16342,15648,15846,442681
20080905,15698,16193,15450,15549,542727
20080908,15747,16342,15401,15797,884537
20080909,15797,16342,15698,15846,512116
20080910,15995,16936,15945,16738,1160301
20080911,16738,16936,16391,16391,863099
20080912,16837,18223,16639,17183,1555411
20080916,16094,16441,14608,15698,1838831
20080917,15945,16193,15252,15549,2095822
20080918,15104,15846,14559,15401,1133668
20080919,15995,16342,15698,15747,1030339
20080922,15846,16044,15302,15648,1008432
20080923,15351,15500,15104,15252,1196333
20080924,15401,15896,15302,15698,970676
20080925,15698,16243,15500,15896,777570
20080926,15846,16094,15351,15648,578332
20080929,15896,15945,15599,15648,611915
20080930,15104,16441,14955,16441,1125928
20081001,16342,16490,15945,16094,693712
20081002,16342,16639,15896,16193,386387
20081006,15846,16292,15252,15351,791935
20081007,15054,15549,14707,15252,866006
20081008,14707,15153,13618,13618,691053
20081009,13568,13965,12330,13073,1856670
20081010,12677,13866,11142,13866,2649322
20081013,13568,14064,12776,12875,1548711
20081014,13519,13816,13123,13568,1615461
20081015,13271,14212,13123,13767,1090484
20081016,13073,13222,12529,12875,1009739
20081017,13469,13469,12677,13370,1213157
20081020,13370,13965,13172,13668,611714
20081021,13915,14163,13222,13816,656190
20081022,13568,13767,11835,12727,565135
20081023,12083,13420,11439,13123,1455089
20081024,13123,13123,11192,11192,1017901
20081027,11291,11885,9706,11885,1194440
20081028,11291,12776,10795,12182,1533746
20081029,12628,12974,10548,11786,1635262
