날짜,시가,고가,저가,현재가,거래량
20080102,28179,28699,27312,27312,115300
20080103,27659,28092,27225,27745,153764
20080104,27572,28092,27138,27745,161555
20080107,27572,27572,26618,26705,186323
20080108,26792,27919,26792,27745,261567
20080109,27398,28699,27312,28612,433635
20080110,28612,28786,27745,27745,178255
20080111,28526,28526,26445,26445,292356
20080114,26618,27659,26531,27052,277853
20080115,27312,28092,26618,27659,282552
20080116,27745,28179,27138,27659,295735
20080117,27745,28179,26878,27745,203583
20080118,27745,28352,27052,28352,146711
20080121,27745,28439,27225,27745,258719
20080122,26878,27572,25838,26531,290240
20080123,27052,27052,25318,25664,287448
20080124,26011,26271,24190,25144,459084
20080125,25491,26098,24884,26098,247727
20080128,26185,26185,24277,24277,112255
20080129,24711,25664,24624,25404,309154
20080130,24971,25491,24884,25404,155540
20080131,25751,25838,24537,25144,280044
20080201,25144,25838,24451,25491,241701
20080204,25144,26531,25057,26531,160938
20080205,25751,26531,25751,26011,93196
20080211,26618,27572,26185,26618,468922
20080212,26705,27745,25664,27052,309500
20080213,26792,27745,26531,27572,248229
20080214,27225,27659,27052,27572,107497
20080215,27138,27572,26792,27572,142392
20080218,27832,28266,27312,27745,144053
20080219,28179,28266,27312,27485,133315
20080220,27312,27919,26445,26445,135374
20080221,26705,27745,26445,27398,278510
20080222,27225,27745,26705,27052,157847
20080225,28092,28612,27745,28266,214136
20080226,28005,28872,27745,28266,135633
20080227,28699,29913,28699,29479,446553
20080228,29133,29479,28612,29479,119659
20080229,28872,29393,27832,28872,221811
20080303,28092,28439,27572,27659,115230
20080304,28266,28266,27572,28092,100347
20080305,28266,29219,28092,29133,63941
20080306,29133,29826,28786,29479,113754
20080307,29479,30953,28786,29219,494740
20080310,28786,29566,28092,28526,223657
20080311,28526,28872,27398,28872,247831
20080312,28959,29219,28439,28612,115502
20080313,28699,29219,28266,28266,222596
20080314,28526,28612,26878,28352,284605
20080317,28352,28352,27225,27312,189523
20080318,27398,28786,27398,28439,161174
20080319,29133,29479,28179,28959,258943
20080320,28959,29479,28352,29479,109360
20080321,29393,29479,28179,28179,229827
20080324,28092,28179,27485,27572,358823
20080325,28005,28005,26965,26965,327487
20080326,27138,27659,27138,27659,211391
20080327,27659,27832,26965,27398,235179
20080328,27138,27572,27138,27138,203675
20080331,27138,27398,26878,27052,164144
20080401,27572,27572,26965,27138,175083
20080402,27485,27572,26792,26965,308457
20080403,27138,27485,26965,27138,187297
20080404,27138,27138,26618,26792,204505
20080407,26965,27659,26792,27225,176640
20080408,27312,27572,26705,27138,207896
20080410,26965,27312,26618,27312,184858
20080411,27052,27572,26705,26705,307044
20080414,26618,27052,26358,26705,203669
20080415,27138,27398,26618,27398,197476
20080416,27659,28266,27485,28266,274075
20080417,28439,28439,28005,28439,189074
20080418,28439,28612,28092,28352,80174
20080421,28352,28612,28092,28526,86080
20080422,28266,28699,27832,28439,131660
20080423,28439,29219,28266,29133,152068
20080424,28872,29306,28699,29133,95606
20080425,29306,29826,29046,29479,170585
20080428,29133,29653,29133,29479,133730
20080429,28959,29306,28699,28786,104989
20080430,28526,29566,28439,29393,220151
20080502,29393,30433,29306,30260,232353
20080506,30260,30433,29740,30346,160044
20080507,30520,31213,29740,30607,259745
20080508,30346,30693,29826,30260,106125
20080509,30346,30346,29306,29653,151953
20080513,29479,29653,28266,28439,255997
20080514,28092,28179,26878,26878,295297
20080515,27052,28092,27052,28005,323554
20080516,28092,28699,27572,28439,160632
20080519,28005,28526,27572,27659,164600
20080520,27572,27832,26271,26965,408267
20080521,26705,27052,26445,26965,220093
20080522,26445,27659,26358,27659,214557
20080523,27225,27659,26531,26531,297050
20080526,26531,26792,25578,25751,282743
20080527,25664,26098,25664,25751,241972
20080528,25751,26098,25231,25318,551530
20080529,25404,26011,25404,25664,403158
20080530,25664,25751,24797,24797,788936
20080602,24797,25578,24711,25144,257213
20080603,24971,26185,24884,26098,266521
20080604,26011,26878,25578,26531,301686
20080605,26185,26878,26011,26792,238766
20080609,26011,27312,25838,27138,291278
20080610,27138,27138,26271,26965,233114
20080611,26618,27225,26011,26792,196328
20080612,26358,26792,25318,25318,343374
20080613,25318,25491,24711,25144,296618
20080616,25318,25664,24884,25144,157962
20080617,25578,26271,25144,26098,178693
20080618,26271,26531,26098,26358,110213
20080619,26358,26358,25491,26098,113443
20080620,25404,26098,25144,26098,138776
20080623,25664,25751,25318,25404,49126
20080624,25318,26098,25144,26011,146873
20080625,25925,26792,25751,26792,151290
20080626,26358,26878,26011,26705,164000
20080627,26185,26705,25664,26705,116297
20080630,26531,26705,25838,26705,165170
20080701,26705,26705,25491,25491,217388
20080702,25404,25751,24451,24797,221875
20080703,24451,24537,22716,23150,465174
20080704,23237,23323,22456,22630,332198
20080707,22370,23237,22283,22977,103720
20080708,22803,23323,21069,22630,329938
20080709,22890,22977,21849,22110,244405
20080710,21763,22716,21676,22196,330422
20080711,22456,22977,22023,22803,157772
20080714,23150,23150,22196,22196,105825
20080715,22196,22456,21416,21416,111863
20080716,21676,22023,21329,21329,136712
20080717,21849,21849,20982,20982,205584
20080718,21329,21589,20982,21069,109931
20080721,21416,22543,21329,22543,151019
20080722,22543,22803,22196,22803,71859
20080723,23410,23410,22803,23150,95474
20080724,23237,23323,22630,22977,162547
20080725,22716,22803,22023,22023,168896
20080728,22370,22977,22283,22890,190169
20080729,22543,23757,22283,23757,307788
20080730,23844,23844,23150,23410,135824
20080731,22890,22977,21243,21243,548630
20080801,21329,21763,21156,21156,149150
20080804,21156,21243,20289,20375,203981
20080805,20202,21849,20202,21849,208790
20080806,21849,21849,20896,21503,223247
20080807,21416,21676,20636,20636,168752
20080808,20549,20636,20029,20202,203934
20080811,20636,20896,20375,20896,127802
20080812,20636,20809,20202,20202,157518
20080813,20289,20549,20029,20115,128281
20080814,20202,20462,19942,20202,159531
20080818,20029,20202,19508,19595,230640
20080819,19682,20029,19335,19508,196547
20080820,19595,19682,19075,19248,159882
20080821,19162,19595,18295,18641,319621
20080822,18728,19595,17948,19508,299951
20080825,19162,19769,18988,19682,162270
20080826,19075,19682,18988,19682,225225
20080827,19335,19595,19075,19422,169034
20080828,19595,19682,18641,19422,207175
20080829,19508,20636,19508,20636,426398
20080901,20636,20636,20029,20549,181508
20080902,20549,21503,20462,21503,310198
20080903,21156,21676,20202,21156,244700
20080904,21676,21676,20375,20722,186957
20080905,20289,20896,20289,20636,188583
20080908,20636,20982,20375,20982,160926
20080909,20809,20982,20289,20982,192228
20080910,20896,20982,20462,20982,116828
20080911,20722,21416,20636,20982,280430
20080912,21243,21763,20982,21416,119273
20080916,19942,20809,19855,19855,244676
20080917,20289,20289,19508,19508,303082
20080918,19075,19769,18641,19769,157593
20080919,20115,20722,19942,20636,153481
20080922,20722,20896,19769,19855,239608
20080923,19855,20462,19595,20462,148332
20080924,20202,20809,20202,20549,118731
20080925,20722,21156,20115,21069,178123
20080926,20982,21329,20549,21243,143436
20080929,20982,21243,20115,20809,218288
20080930,20289,20722,19595,20289,180798
20081001,20115,20809,19248,19248,401318
20081002,19422,19682,19075,19248,191611
20081006,18901,19075,17514,17688,346840
20081007,17341,17774,17202,17514,242156
20081008,17115,17601,16942,17341,208277
20081009,17514,17601,16734,17150,216887
20081010,16734,16734,15052,16456,315452
20081013,16560,17202,15867,16665,269099
20081014,17341,18381,17306,18295,267299
20081015,17774,18295,17688,18208,127617
20081016,17428,18121,16994,18121,203081
20081017,17861,18034,17098,17167,216368
20081020,17601,17948,16751,17514,204967
20081021,17774,17774,16474,16474,196328
20081022,16786,16994,14566,15347,218213
20081023,13873,14636,13231,14445,317551
20081024,14480,14480,12295,12381,301058
20081027,11983,12312,10526,10526,282097
20081028,9676,11272,8948,10786,753055
20081029,11185,12139,9537,11011,519041
20081030,11549,12659,10352,12659,358558
20081031,12763,14393,12676,13352,394664
20081103,13352,14029,13352,13561,338438
20081104,13994,14688,13699,14254,354873
20081105,14428,16283,14428,15399,502888
20081106,14428,16023,14185,14480,669547
20081107,13873,14878,13023,14740,564955
20081110,15191,15745,15087,15572,500016
20081111,15295,16786,15295,16214,446420
20081112,16040,16734,15624,16630,326922
20081113,16127,16699,16058,16647,351874
20081114,16873,16959,15780,16214,523821
20081117,15850,16214,15399,15902,2894234
20081118,15641,15884,13526,13873,546023
20081119,14219,14445,12798,14445,489965
20081120,13526,13873,13370,13786,344297
20081121,13613,14150,13179,14150,345756
20081124,14306,14462,13699,13855,183884
20081125,14393,15069,13994,14844,281855
20081126,14844,15797,14740,15797,294513
20081127,15902,16127,15503,16110,252369
20081128,16179,16474,15902,16474,167875
20081201,16075,16560,15988,16127,122889
20081202,15329,15607,15017,15017,193324
20081203,15277,15815,14878,15537,222688
20081204,15572,16127,15243,15243,181686
20081205,15243,16491,15243,16370,314212
20081208,16508,18381,15797,17861,436380
20081209,17774,18208,16994,17081,353478
20081210,17115,17601,16404,17081,665089
20081211,16907,17271,16769,17219,386204
20081212,16925,18555,16907,17428,585422
20081215,17861,17948,17341,17341,404767
20081216,17514,18208,17254,18034,252565
20081217,18381,18468,17948,18381,193831
20081218,18641,19682,18381,19595,423734
20081219,19595,20636,19422,20202,301917
20081222,20289,20462,19248,19769,324079
20081223,19595,20636,19248,20115,281993
20081224,20636,20636,19248,19248,200284
20081226,18988,19855,18728,19595,280609
20081229,20229,20229,19050,19685,222562
20081230,19413,19776,19141,19685,245900
20090102,19503,19776,18868,19050,240344
20090105,19322,19413,18143,18687,405854
20090106,18415,18959,18143,18324,282482
20090107,18324,18687,17671,18596,759317
20090108,18596,18687,18106,18596,394576
20090109,18415,19594,18143,19050,527594
20090112,19050,19231,18324,18415,231387
20090113,18415,18868,18106,18868,222882
20090114,18868,18959,18324,18596,190891
20090115,18324,18415,17816,18052,359774
20090116,17834,18233,17798,18070,174102
20090119,18324,19050,18052,19050,373025
20090120,19050,19594,18324,19503,342770
20090121,18868,20138,18778,20048,330903
20090122,20138,20229,19413,19413,281787
20090123,19231,20229,18959,20138,239258
20090128,20138,20592,19957,20320,298251
20090129,20411,20592,20048,20138,206402
20090130,19866,20320,19503,19685,130366
20090202,19322,19685,18596,18596,204285
20090203,18868,18959,18324,18868,267236
20090204,19141,19322,18687,18778,275118
20090205,18687,18868,18324,18415,233024
20090206,18506,18959,18233,18959,403781
20090209,18868,19050,18506,18596,227281
20090210,18687,18959,18596,18687,230097
20090211,18506,18778,18324,18687,116829
20090212,18868,18959,18324,18959,1595008
20090213,18959,19685,18596,19594,287305
20090216,19322,20683,19322,20501,535751
20090217,20501,20501,19503,19503,287266
20090218,19231,22043,18868,21953,746072
20090219,22134,22497,21136,21408,381590
20090220,21408,23132,20955,22225,530752
20090223,22406,22951,21953,22678,379937
20090224,22316,23404,21408,23041,398798
20090225,23404,24493,23041,23586,545039
20090226,23858,25218,23404,23676,478737
20090227,23313,24130,22406,23858,454534
20090302,24311,24311,22588,22860,325347
20090303,22225,23041,22043,22225,270819
20090304,22225,23313,22043,23041,333450
20090305,22951,23404,22678,23313,283540
20090306,23223,24402,23132,24221,215838
20090309,24402,25218,23676,25218,277863
20090310,24765,25400,24402,24402,183864
20090311,24674,25218,23948,24402,297882
20090312,24493,25309,24311,25309,496612
20090313,25128,25672,24493,25037,190280
20090316,24765,25400,24493,24493,135944
20090317,24946,24946,24130,24583,317697
20090318,24946,25944,24493,25037,313337
20090319,25037,25400,24583,25218,231585
20090320,25400,25672,24583,24946,196921
20090323,24946,25218,24583,24946,221289
20090324,24946,24946,24221,24221,180766
20090325,24221,24493,23858,24311,162516
20090326,24311,25944,24039,25491,328511
20090327,25491,26851,25400,26126,430199
20090330,26035,26398,25491,25853,126904
20090331,26035,27123,25763,27123,410032
20090401,27214,27396,26579,26670,238453
20090402,26670,27033,26488,26670,212807
20090403,26670,27214,25763,26579,233889
20090406,26126,26851,26035,26488,154149
20090407,26488,26488,25944,26398,114811
20090408,26488,26670,25944,26398,73985
20090409,26307,26307,25128,25853,669805
20090410,25309,25400,24674,24765,512535
20090413,25309,25309,24765,24946,395243
20090414,24856,24946,24039,24039,384925
20090415,24039,25672,23586,25400,520825
20090416,25400,26035,24946,25581,454231
20090417,25218,25581,24946,25309,483108
