날짜,시가,고가,저가,현재가,거래량
20100730,60175,69201,60175,66794,369168
20100802,65858,66126,60509,60844,153370
20100803,60977,62181,60844,60977,54942
20100804,60977,62315,57501,60977,96025
20100805,61846,61846,58437,58838,110286
20100806,58971,64855,58905,64253,132609
20100809,63719,68198,63317,64855,119369
20100810,64989,65524,63652,64454,43947
20100811,64120,65323,63451,64454,48439
20100812,63585,64722,62849,62849,47929
20100813,63184,63518,61713,61713,58995
20100816,61312,64855,61245,64855,38406
20100817,64655,65925,63719,65524,43826
20100818,66192,68533,65524,68198,89943
20100819,67864,68867,65390,66861,56422
20100820,67195,67195,64922,64989,64912
20100823,65457,67864,65123,66861,46423
20100824,67530,72879,66861,72210,135950
20100825,71876,73547,69536,71541,89428
20100826,72879,72879,69201,71207,69919
20100827,70204,72879,69536,71207,45430
20100830,72544,72544,69536,71876,25286
20100831,71541,74216,70538,73547,57556
20100901,73213,77559,72879,77225,77360
20100902,76890,77893,75553,77225,49350
20100903,76890,78227,76556,77225,56249
20100906,77559,78562,74550,74550,58509
20100907,74550,75553,73881,74550,38886
20100908,74216,76222,73547,74550,48108
20100909,74550,76222,72879,75553,62317
20100910,74884,75887,73213,74550,64473
20100913,75553,75553,71876,72879,59043
20100914,72210,72879,71207,71541,56325
20100915,71541,72210,67195,69536,79642
20100916,70204,76556,70204,75219,132443
20100917,75553,79899,74216,79230,149442
20100920,79899,80233,76222,77559,88465
20100924,76556,78562,75553,76556,54412
20100927,77225,81236,75553,79565,106806
20100928,78896,79899,74550,78227,266922
20100929,78896,78896,76222,76222,379246
20100930,76890,78227,75553,76890,113759
20101001,77559,77559,74884,76222,93994
20101004,75887,77225,73547,73881,75979
20101005,74216,74884,71207,72879,121124
20101006,72879,75553,72879,74550,98532
20101007,74550,77559,71541,73547,130246
20101008,72879,73881,71876,72879,54800
20101011,72544,73213,70538,70538,68376
20101012,71207,73547,69201,73547,106045
20101013,73881,74550,71207,74550,70528
20101014,73547,74216,71876,72879,58714
20101015,72210,73881,71207,72544,74403
20101018,71876,73881,71541,73881,46535
20101019,73881,77559,73213,77559,131963
20101020,76556,78562,75553,76222,90181
20101021,76556,77225,70204,73547,124309
20101022,73547,73881,70873,71541,154082
20101025,69870,70204,67864,69536,235863
20101026,69201,70538,68867,69201,131020
20101027,70204,70204,68533,69536,73600
20101028,67195,67195,63652,66259,303240
20101029,66259,66527,64922,66192,55082
20101101,66192,66326,65056,65858,32268
20101102,65591,66527,64855,65858,36659
20101103,65858,66660,63986,66126,95774
20101104,66126,66460,64855,65724,55621
20101105,65658,65724,64722,65123,51249
20101108,64922,64922,63652,64187,68548
20101109,63719,64722,63719,64722,59731
20101110,64722,66393,64387,66192,87372
20101111,66259,66259,64120,64387,89116
