날짜,시가,고가,저가,현재가,거래량
20080102,12550,12550,12550,12550,0
20080103,12550,12550,12550,12550,0
20080104,12550,12550,12550,12550,0
20080107,12550,12550,12550,12550,0
20080108,12550,12550,12550,12550,0
20080109,12550,12550,12550,12550,0
20080110,12550,12550,12550,12550,0
20080111,12550,12550,12550,12550,0
20080114,12550,12550,12550,12550,0
20080115,12550,12550,12550,12550,0
20080116,12100,13700,11200,13550,1171340
20080117,13500,13500,12450,12850,270219
20080118,12450,12850,12100,12600,162610
20080121,12650,13000,11950,12000,215034
20080122,11400,11750,11150,11700,192961
20080123,11800,12100,11300,11450,183777
20080124,11350,11800,11350,11400,149457
20080125,11450,11850,11350,11500,166580
20080128,11400,11450,10950,11000,156302
20080129,11200,11200,10500,10600,145204
20080130,10650,10750,10250,10450,187411
20080131,10350,11500,10350,11500,278922
20080201,11300,11450,10700,10900,176971
20080204,11000,11100,10550,10700,198583
20080205,10700,11100,10700,10850,113199
20080211,10600,10800,10400,10500,94597
20080212,10550,10550,10250,10300,184063
20080213,10350,10450,10150,10200,217789
20080214,10350,10400,10150,10300,251024
20080215,10200,10450,10150,10450,247926
20080218,10550,11050,10450,10800,208502
20080219,10900,11900,10750,11500,413207
20080220,11650,12050,11350,11400,265918
20080221,11650,12200,11550,11700,424247
20080222,11550,11900,11150,11300,497939
20080225,11400,11600,10950,11150,418697
20080226,11350,11550,10900,11050,390856
20080227,10900,11050,10500,10600,476859
20080228,10650,11250,10650,11250,336222
20080229,11000,11100,10750,10900,252151
20080303,10550,10700,10450,10650,118258
20080304,10750,10750,10400,10550,191254
20080305,10600,11200,10600,11100,323775
20080306,11150,11400,10950,11350,221666
20080307,11200,11250,10950,11100,122839
20080310,11000,11050,10600,10600,269034
20080311,10500,10950,10250,10700,129768
20080312,11000,11200,10700,10850,197900
20080313,10850,10850,10400,10550,190531
20080314,10600,10700,10000,10350,211283
20080317,10300,10350,9950,10150,122527
20080318,10100,10300,10100,10250,113491
20080319,10450,10450,10200,10450,210261
20080320,10400,10500,10350,10400,353094
20080321,10550,10950,10500,10750,98904
20080324,10800,10900,10500,10600,109392
20080325,10700,10800,10600,10700,108109
20080326,10700,10700,10350,10700,139050
20080327,10700,10900,10600,10750,79538
20080328,10700,10850,10550,10850,148038
20080331,10850,11050,10550,10650,164406
20080401,10650,10900,10500,10650,161057
20080402,10800,11100,10650,11100,254773
20080403,11200,11250,10900,11250,179768
20080404,11200,11200,10700,10900,184842
20080407,10900,11050,10750,10950,74973
20080408,10950,11000,10750,11000,85150
20080410,10950,11200,10850,11100,128621
20080411,11150,11300,11050,11250,132787
20080414,11050,11200,10850,10900,137417
20080415,10800,11000,10800,11000,47765
20080416,11000,11650,10950,11500,435274
20080417,11650,11700,11300,11550,191888
20080418,11450,11650,11300,11400,92396
20080421,11450,11800,11450,11700,159417
20080422,11650,11700,11250,11250,214378
20080423,11200,11500,11150,11400,244021
20080424,11450,11500,11150,11150,106860
20080425,11200,11450,11200,11450,61695
20080428,11350,11500,11250,11250,93055
20080429,11250,11450,11150,11450,100781
20080430,11450,11950,11300,11850,360443
20080502,11850,12050,11700,11950,159989
20080506,11950,12350,11800,12200,176697
20080507,12200,12250,11950,12250,98645
20080508,12100,12300,12050,12200,93130
20080509,12200,12200,11750,11750,143175
20080513,11700,12200,11650,12050,172479
20080514,12100,12350,12000,12200,177341
20080515,12300,12300,11950,12150,141751
20080516,12300,12750,12100,12700,339074
20080519,12600,12950,12500,12800,209045
20080520,12700,12800,12550,12650,118097
20080521,12400,12600,12350,12450,85626
20080522,12350,12400,12050,12400,145280
20080523,12500,12750,12350,12550,122885
20080526,12500,12600,12300,12500,167842
20080527,12600,12850,12550,12750,208326
20080528,12750,12950,12500,12500,128634
20080529,12500,12700,12400,12550,100318
20080530,12550,12750,12450,12650,72978
20080602,12550,12650,12300,12550,80270
20080603,12500,12500,11900,12250,119180
20080604,12100,12300,11950,12200,127832
20080605,12050,12100,11500,12050,113580
20080609,11750,11850,11500,11700,135481
20080610,11800,11900,11300,11350,199559
20080611,11500,11750,11300,11450,137164
20080612,11350,11850,11350,11400,284757
20080613,11550,11900,11450,11900,173123
20080616,12000,12100,11600,11800,79202
20080617,11700,11800,11600,11750,99585
20080618,11700,12450,11700,12250,213201
20080619,12000,12300,11700,12100,215265
20080620,12100,12300,11800,12000,114139
20080623,11900,12200,11550,12050,69710
20080624,12050,12200,11900,12200,36640
20080625,12150,12200,11950,12050,59681
20080626,12050,12450,12000,12300,98322
20080627,12150,12200,11800,12000,106512
20080630,11850,12000,11650,11700,95954
20080701,11800,11850,11550,11650,72678
20080702,11700,11700,11100,11350,124623
20080703,11250,11650,11200,11600,167666
20080704,11500,12050,11500,11800,193464
20080707,11950,11950,11600,11800,80730
20080708,11800,11950,10800,11350,89902
20080709,11500,11600,11000,11200,116999
20080710,10900,11700,10800,11700,140810
20080711,11700,11900,11450,11700,90706
20080714,11700,11800,11450,11650,33306
20080715,11450,11550,11300,11450,40334
20080716,11450,11600,11350,11500,49575
20080717,11650,11700,11150,11350,99584
20080718,11400,11450,11100,11150,55779
20080721,11350,11800,11250,11700,74450
20080722,11550,11850,11550,11650,26045
20080723,11750,11900,11650,11750,91308
20080724,11700,11950,11600,11800,106005
20080725,11600,11800,11400,11800,74675
20080728,11700,11900,11650,11800,53216
20080729,11600,11700,11350,11450,50267
20080730,11600,11700,11450,11700,49072
20080731,11700,12200,11600,11750,153689
20080801,11750,11750,11500,11700,33612
20080804,11600,11800,11450,11550,45378
20080805,11450,11650,11150,11450,68904
20080806,11600,11650,11200,11300,136122
20080807,11250,11700,11150,11300,224732
20080808,11200,11300,11100,11100,132993
20080811,11250,11300,10850,11000,113358
20080812,10950,11100,10800,11050,65866
20080813,11050,11100,10750,11000,90108
20080814,10950,11150,10850,11150,63150
20080818,11150,11200,10700,10750,103304
20080819,10700,10750,10400,10550,78899
20080820,10550,10800,10450,10650,54170
20080821,10650,10850,10550,10750,60400
20080822,10600,10800,10500,10700,69312
20080825,10700,10900,10500,10600,65132
20080826,10500,10750,10400,10700,33945
20080827,10700,10800,10500,10800,78650
20080828,10850,11000,10700,10900,46880
20080829,10900,11100,10850,11100,84282
20080901,11100,11150,10850,10900,97945
20080902,10750,11000,10550,10850,132323
20080903,10700,10900,10400,10600,97193
20080904,10500,10600,10250,10550,89967
20080905,10300,10800,10200,10350,108472
20080908,10400,10600,10350,10600,145154
20080909,10450,10550,10000,10100,195549
20080910,9980,10150,9880,10150,196026
20080911,10250,10350,10050,10100,108737
20080912,10300,10400,10200,10400,53184
20080916,9800,10050,9800,10050,79753
20080917,10200,10300,9970,10100,75372
20080918,9960,9970,9700,9890,61324
20080919,10100,10400,9970,10350,155690
20080922,10700,10800,10300,10350,115280
20080923,10200,10300,10050,10200,149013
20080924,10100,10500,10050,10500,110788
20080925,10450,10650,10300,10500,98367
20080926,10600,10600,10350,10500,77464
20080929,10600,10600,10200,10350,91743
20080930,9980,10550,9900,10250,257783
20081001,10250,10300,9990,10050,105741
20081002,10150,10200,9920,10100,73433
20081006,9900,9950,9680,9910,71978
20081007,9710,9930,9650,9770,115028
20081008,9640,9640,9170,9300,108943
20081009,9320,9430,9100,9300,126103
20081010,8800,8990,7910,8950,174770
20081013,8910,9290,8800,9240,131341
20081014,9520,9730,9380,9730,143127
20081015,9570,9920,9570,9890,98309
20081016,9370,9770,9360,9550,137434
20081017,9630,9880,9500,9670,127995
20081020,9550,9790,9520,9670,87235
20081021,9630,9700,9200,9440,85980
20081022,9440,9530,8600,8990,98784
20081023,8300,8890,7650,8240,204866
20081024,8100,8190,7250,7400,161291
20081027,6600,7500,6290,6290,206499
20081028,5610,6370,5350,6130,322749
20081029,6490,6660,5450,5800,393718
20081030,6150,6560,6100,6560,246670
20081031,6560,7050,6320,6520,355665
20081103,6720,6890,6660,6660,369817
20081104,6670,7040,6520,6940,226373
20081105,7390,7980,7250,7600,539583
20081106,7310,7340,6720,6850,263282
20081107,6550,7200,6370,7190,255372
20081110,7250,7400,6960,7010,187243
20081111,6860,6940,6460,6680,369920
20081112,6450,6760,6410,6600,156053
20081113,6380,6380,5980,6250,193586
20081114,6490,6930,6410,6820,474450
20081117,6680,6910,6410,6750,153352
20081118,6600,6870,6550,6700,188437
20081119,6850,6850,6510,6600,133252
20081120,6200,6560,5970,6100,134621
20081121,5800,6420,5710,6420,134152
20081124,6390,6440,6050,6330,107490
20081125,6470,6650,6130,6500,138008
20081126,6430,6780,6410,6770,91764
20081127,6850,7080,6770,6990,147454
20081128,7100,7300,6810,7300,150025
20081201,7260,7320,7040,7300,114790
20081202,6990,7210,6930,7150,86051
20081203,7200,7200,6950,7120,674715
20081204,7200,7290,6880,7110,86091
20081205,7190,7280,7060,7150,138644
20081208,7160,7750,7110,7700,150028
20081209,7830,7830,7350,7540,136275
20081210,7480,7710,7480,7690,171925
20081211,7610,7770,7540,7710,167248
20081212,7710,7720,7250,7530,166523
20081215,7650,7870,7610,7760,100445
20081216,7720,7750,7600,7690,95628
20081217,7800,7850,7530,7730,125531
20081218,7760,7830,7500,7700,127362
20081219,7700,7700,7540,7600,67401
20081222,7630,7760,7500,7600,55173
20081223,7490,7590,7300,7440,34648
20081224,7550,7790,7290,7790,139230
20081226,7800,7840,7610,7650,102014
20081229,7500,7750,7130,7750,90160
20081230,7750,7900,7650,7850,101700
20090102,7850,7950,7620,7870,75255
20090105,7900,8020,7750,7930,85833
