날짜,시가,고가,저가,현재가,거래량
20080102,9300,9480,9050,9120,46951
20080103,9060,9170,8950,9090,62190
20080104,9090,9130,8990,9090,51320
20080107,8900,9040,8890,8980,42670
20080108,8880,9080,8810,8980,66040
20080109,8760,8990,8760,8970,61183
20080110,8960,9060,8900,8990,78420
20080111,8990,9200,8850,8920,110471
20080114,8910,9000,8800,8840,62180
20080115,8840,8930,8550,8640,52250
20080116,8410,8810,8400,8700,51520
20080117,8720,8720,8380,8500,66473
20080118,8490,8490,8250,8330,64189
20080121,8390,8890,8260,8460,52520
20080122,8200,8360,8030,8090,78856
20080123,8140,8330,8110,8160,53169
20080124,8260,8350,8180,8260,34930
20080125,8350,8350,8180,8300,12803
20080128,8280,8280,8100,8100,33094
20080129,8110,8200,8040,8090,42559
20080130,8190,8190,7800,8010,58770
20080131,7940,8130,7760,7900,70573
20080201,8000,8260,7950,8120,38837
20080204,8150,8330,8120,8250,52270
20080205,8020,8330,7910,8320,51486
20080211,8180,8180,7890,8030,79381
20080212,8030,8140,7960,8030,13814
20080213,8010,8040,7970,8000,11100
20080214,8100,8100,7950,8010,9282
20080215,8050,8050,7890,7960,17970
20080218,7960,8050,7940,7980,39690
20080219,8030,8030,7960,7990,35172
20080220,7990,8150,7920,7990,47540
20080221,7990,8050,7940,7970,28783
20080222,7900,7980,7900,7980,12840
20080225,7950,8050,7910,8000,16080
20080226,8000,8070,7910,7910,25724
20080227,7910,8010,7910,7990,23880
20080228,7980,8240,7950,8130,40590
20080229,8200,8280,8040,8250,22791
20080303,8110,8270,8080,8170,29332
20080304,8200,8370,8150,8350,20410
20080305,8350,8490,8300,8400,35180
20080306,8330,8490,8000,8420,50800
20080307,8380,8380,8170,8280,34450
20080310,8130,8180,8030,8030,19250
20080311,7920,8190,7920,8190,22700
20080312,8290,8380,8200,8300,21540
20080313,8200,8330,8000,8190,28380
20080314,8480,8500,8150,8330,33860
20080317,8200,8420,8140,8420,30910
20080318,8420,8790,8350,8790,56455
20080319,8810,8980,8690,8820,53180
20080320,8790,8990,8720,8840,39326
20080321,8960,9000,8750,8990,41240
20080324,8990,9050,8820,8820,39342
20080325,8990,9250,8820,9180,76340
20080326,9270,9300,8920,9190,54870
20080327,9210,9400,9100,9370,35428
20080328,9400,9440,9300,9390,24990
20080331,9220,9370,9070,9320,29950
20080401,9230,9230,9020,9140,38520
20080402,9070,9260,9050,9070,29164
20080403,9110,9150,8700,9110,71290
20080404,9110,9200,8880,9200,109830
20080407,9150,9230,9060,9200,59830
20080408,9320,9320,9110,9200,19750
20080410,9090,9280,9090,9280,24710
20080411,9200,9370,8960,9370,93521
20080414,9270,9700,9200,9700,68041
20080415,9530,9680,9360,9390,49600
20080416,9350,9560,9240,9300,83552
20080417,9230,9370,8930,8930,79770
20080418,8950,9160,8810,9100,235180
20080421,9300,9650,9100,9500,65620
20080422,9310,9480,9290,9320,22940
20080423,9250,9600,9250,9600,30600
20080424,9700,10100,9520,10000,145000
20080425,10000,10200,9900,10000,55921
20080428,9900,10100,9800,9800,51570
20080429,9800,9970,9620,9960,58550
20080430,9970,10000,9720,10000,33020
20080502,10000,10650,10000,10650,88070
20080506,10650,10650,10250,10650,67281
20080507,10650,10750,10300,10500,47040
20080508,10350,10800,10250,10800,32430
20080509,10750,10800,10450,10700,31841
20080513,10550,10800,10400,10750,36730
20080514,10500,11100,10400,10900,157799
20080515,10900,11150,10700,11000,130800
20080516,11000,11050,10650,11000,86630
20080519,10900,11000,10500,10500,106472
20080520,10500,10800,10450,10700,46493
20080521,10450,11000,10400,10750,153894
20080522,10800,10800,10550,10650,61130
20080523,10700,10800,10450,10750,58210
20080526,10650,10800,10250,10750,43220
20080527,10600,10800,10600,10800,72120
20080528,10700,10800,10500,10650,33200
20080529,10750,10750,10500,10700,31420
20080530,10700,10750,10500,10700,37833
20080602,10600,10600,10300,10300,47887
20080603,10250,10300,10000,10200,31040
20080604,10300,10600,10100,10500,50360
20080605,10350,10400,10000,10100,50550
20080609,9990,10200,9760,10100,49050
20080610,10100,10150,9880,9950,33303
20080611,9980,10200,9950,10050,28930
20080612,9880,10150,9880,10050,13780
20080613,10150,10350,9990,10250,20880
20080616,10350,10350,10050,10250,18960
20080617,10150,10300,10000,10150,18590
20080618,10200,10500,10000,10300,68869
20080619,10200,10600,10150,10600,59300
20080620,10550,10750,10550,10650,33790
20080623,10400,10650,10400,10500,27120
20080624,10500,10550,10300,10500,22821
20080625,10500,10700,10300,10400,25410
20080626,10400,10500,10250,10400,14030
20080627,10100,10600,9820,10500,93460
20080630,10300,10350,9920,9920,33360
20080701,10100,10100,9860,9920,5020
20080702,9860,9990,8730,9350,59350
20080703,9000,9000,8300,8960,112330
20080704,8800,9060,8700,8900,16540
20080707,8540,8900,8400,8700,33970
20080708,8420,8750,7850,7950,82740
20080709,8300,8300,7710,7730,97954
20080710,7700,8800,7420,8800,111048
20080711,8450,9090,8410,8980,42540
20080714,8630,9050,8630,8960,13510
20080715,8800,8810,8520,8650,10794
20080716,8600,8740,8110,8490,57562
20080717,8800,8850,8500,8700,22200
20080718,8700,8900,8550,8700,14978
20080721,8610,8920,8500,8920,39610
20080722,8920,8920,8450,8450,51567
20080723,8490,8600,8370,8470,63946
20080724,8470,8530,8270,8420,39560
20080725,8230,8400,8050,8350,37413
20080728,8350,8350,8170,8260,14701
20080729,8150,8400,8020,8290,17790
20080730,8350,8400,8270,8350,14740
20080731,8350,8600,8200,8600,33140
20080801,8600,8600,8340,8590,6780
20080804,8580,8580,8150,8300,13970
20080805,8360,8380,8200,8200,5190
20080806,8300,8500,8250,8500,36080
20080807,8330,8570,8260,8500,10270
20080808,8330,8760,8330,8740,21390
20080811,8800,8840,8530,8780,23708
20080812,8620,8800,8490,8490,20011
20080813,8400,8670,8400,8660,8651
20080814,8660,8740,8580,8660,15410
20080818,8650,8650,8500,8590,16130
20080819,8570,8570,8240,8420,19437
20080820,8490,8650,8350,8610,11560
20080821,8600,8600,8460,8600,21170
20080822,8600,8640,8310,8600,25610
20080825,8600,8650,8470,8580,6871
20080826,8240,8690,8240,8690,15160
20080827,8370,8890,8370,8780,30070
20080828,8880,8880,8580,8770,13881
20080829,8680,8900,8680,8700,31580
20080901,8500,8520,8100,8100,23251
20080902,8320,8320,7710,7980,12010
20080903,7610,8080,7610,8080,5760
20080904,7820,8100,7820,8100,10214
20080905,7820,8050,7820,7920,5682
20080908,7970,8230,7970,8180,14190
20080909,8180,8290,7810,7830,30692
20080910,7810,7880,7380,7780,143170
20080911,7800,7880,7630,7880,24510
20080912,7970,8040,7800,8020,32210
20080916,7550,7850,7350,7350,61080
20080917,7530,7740,7500,7740,7330
20080918,7500,7700,7410,7640,26330
20080919,7860,8020,7790,8000,54360
20080922,7920,8000,7510,7800,63702
20080923,7740,7790,7520,7790,34171
20080924,7650,7790,7620,7720,30132
20080925,7650,7990,7530,7990,166340
20080926,7960,8470,7730,8470,63140
20080929,8450,8450,8170,8450,62880
20080930,7900,8450,7830,8450,59540
20081001,8310,8410,8000,8100,46721
20081002,8030,8250,7700,7950,49550
20081006,7640,7950,7550,7550,40894
20081007,7400,7590,7250,7550,46060
20081008,7350,7370,6930,7220,37990
20081009,7100,7250,6790,6790,189077
20081010,6510,6720,6000,6200,44630
20081013,6470,6470,6140,6160,41390
20081014,6460,6700,6420,6700,80940
20081015,6550,6700,6500,6610,17080
20081016,6340,6450,6100,6450,38292
20081017,6440,6600,6300,6400,10418
20081020,6260,6330,5810,6250,43690
20081021,6250,6400,5750,5750,122970
20081022,5750,5750,5150,5450,119850
20081023,5010,5380,4640,4650,107212
20081024,4580,4990,3955,3955,188710
20081027,3955,4250,3380,4100,195523
20081028,4000,4340,3750,4300,62056
20081029,4370,4550,3800,4100,102503
20081030,4300,4695,4200,4650,45571
20081031,4715,4800,4555,4600,35920
20081103,4750,5290,4635,5240,57430
20081104,5300,5300,5080,5250,29850
20081105,5300,5700,5220,5400,31691
20081106,5020,5190,5000,5100,14620
20081107,4700,5200,4700,5130,16870
20081110,5150,5240,5050,5150,24414
20081111,4900,5140,4880,4925,35370
20081112,4960,5000,4860,4860,7990
20081113,4750,4900,4450,4795,19680
20081114,4820,4980,4580,4745,70560
20081117,4740,4750,4590,4650,17410
20081118,4600,4700,4520,4530,25640
20081119,4550,4800,4260,4290,43385
20081120,4090,4400,4060,4280,20100
20081121,4300,4385,3950,4385,41391
20081124,4180,4445,4180,4390,9040
20081125,4400,4580,4250,4400,23417
20081126,4300,4400,4200,4320,38631
20081127,4320,4590,4300,4400,48108
20081128,4405,4480,4370,4405,46240
20081201,4495,4700,4405,4485,21590
20081202,4270,4600,4270,4500,27700
20081203,4630,4630,4315,4320,27570
20081204,4330,4500,4250,4380,15170
20081205,4400,4595,4330,4570,36470
20081208,4600,4990,4560,4970,59390
20081209,4920,5050,4780,4970,42040
20081210,5040,5150,4950,5150,42870
20081211,5150,5180,4980,4980,22011
20081212,5000,5320,4850,4980,20893
20081215,5100,5350,5000,5300,45236
20081216,5300,5450,5120,5230,19760
20081217,5490,5490,5240,5360,15309
20081218,5270,5390,5200,5270,15311
20081219,5250,5250,4995,5040,37400
20081222,5010,5180,4980,5100,25740
20081223,5140,5140,4960,5070,15930
20081224,5150,5150,4865,5040,12800
20081226,5040,5250,4890,5190,61680
20081229,5160,5160,4760,5060,39640
20081230,5200,5200,4910,5200,23560
20090102,5090,5190,5010,5120,12611
20090105,5170,5170,5000,5090,11770
20090106,5130,5440,5090,5320,49871
20090107,5500,5750,5400,5600,121660
20090108,5590,5590,5370,5490,25459
20090109,5500,5600,5250,5250,37201
20090112,5110,5240,5020,5050,16030
20090113,5000,5110,4950,4980,31550
20090114,4980,5020,4915,5000,34070
20090115,4940,5200,4850,4900,50560
20090116,5020,5020,4750,4900,35410
20090119,4870,4990,4820,4950,16410
20090120,4970,4970,4770,4795,28161
20090121,4700,4750,4600,4630,29400
20090122,4830,4830,4640,4640,35654
20090123,4640,4700,4440,4685,19850
20090128,4790,4800,4670,4725,15683
20090129,4800,4800,4600,4690,64680
20090130,4680,4680,4490,4535,81360
20090202,4510,4600,4470,4555,49580
20090203,4555,4740,4485,4720,62470
20090204,4795,4815,4700,4720,73100
20090205,4720,4750,4630,4680,29900
20090206,4740,5100,4690,5060,159993
20090209,5270,5440,5160,5200,131880
20090210,5140,5230,5010,5200,61510
20090211,5140,5270,4980,5270,25180
20090212,5390,5390,5130,5140,11990
20090213,5200,5340,5130,5320,21970
20090216,5320,5400,5100,5220,29528
20090217,5280,5300,4835,4920,49472
20090218,4700,5000,4700,4990,30400
20090219,5050,5050,4870,4890,12610
20090220,4830,4830,4700,4700,17884
20090223,4600,4720,4540,4700,65280
20090224,4600,4690,4565,4670,42780
20090225,4720,4750,4570,4570,18040
20090226,4595,4600,4500,4500,11750
20090227,4500,4750,4500,4720,14880
20090302,4775,4775,4550,4760,12410
20090303,4670,4780,4565,4695,26030
20090304,4680,4850,4580,4850,17120
20090305,4770,4900,4760,4785,11400
20090306,4560,4840,4560,4800,3291
20090309,4865,4865,4720,4840,6810
20090310,4865,4965,4715,4925,11012
20090311,4955,5060,4940,4995,30500
20090312,4995,5050,4800,4800,38300
20090313,4950,5040,4830,5040,42310
20090316,5040,5110,4920,5080,16511
20090317,5080,5280,5070,5250,45650
20090318,5330,5330,5140,5290,40124
20090319,5290,5380,5200,5380,43211
20090320,5380,5900,5300,5610,97121
