날짜,시가,고가,저가,현재가,거래량
20080102,1770,1770,1660,1660,1093505
20080103,1670,1692,1654,1662,767385
20080104,1660,1674,1622,1662,723740
20080107,1662,1662,1630,1656,471460
20080108,1656,1716,1640,1676,715900
20080109,1670,1670,1644,1660,577695
20080110,1666,1686,1642,1650,1019410
20080111,1666,1670,1632,1632,789610
20080114,1630,1662,1630,1642,490625
20080115,1644,1644,1580,1616,537710
20080116,1594,1616,1540,1578,757850
20080117,1600,1604,1538,1548,813700
20080118,1540,1602,1520,1592,711300
20080121,1620,1716,1604,1640,1809960
20080122,1670,1670,1522,1560,2113560
20080123,1606,1618,1536,1600,1179160
20080124,1608,1640,1566,1594,1179825
20080125,1600,1622,1570,1588,1026180
20080128,1564,1578,1534,1534,904810
20080129,1540,1608,1540,1608,1014175
20080130,1584,1618,1548,1548,707355
20080131,1568,1618,1550,1600,1002475
20080201,1590,1636,1582,1636,923030
20080204,1642,1660,1626,1648,533520
20080205,1660,1666,1626,1626,260315
20080211,1606,1606,1580,1580,489550
20080212,1584,1598,1564,1596,396160
20080213,1602,1614,1582,1600,430635
20080214,1606,1700,1602,1688,1032495
20080215,1678,1678,1634,1678,764530
20080218,1678,1680,1616,1640,810060
20080219,1648,1684,1642,1680,500050
20080220,1648,1652,1576,1582,1118345
20080221,1608,1626,1592,1600,671700
20080222,1618,1618,1560,1570,1156505
20080225,1574,1600,1570,1570,329100
20080226,1582,1640,1564,1592,752350
20080227,1596,1604,1568,1576,832300
20080228,1586,1600,1560,1600,551405
20080229,1582,1584,1562,1580,853755
20080303,1558,1558,1518,1534,1232955
20080304,1536,1540,1520,1536,1235205
20080305,1560,1584,1540,1578,1489380
20080306,1568,1618,1544,1582,1478455
20080307,1572,1572,1546,1550,703520
20080310,1534,1554,1526,1530,802440
20080311,1550,1562,1526,1560,509340
20080312,1590,1618,1580,1612,1522850
20080313,1618,1620,1596,1596,1694275
20080314,1620,1640,1588,1616,1672950
20080317,1606,1632,1592,1616,962450
20080318,1626,1626,1606,1616,878765
20080319,1638,1638,1606,1608,749180
20080320,1602,1606,1580,1590,666555
20080321,1594,1596,1580,1590,497855
20080324,1594,1620,1588,1600,553870
20080325,1600,1604,1582,1590,527890
20080326,1596,1596,1570,1570,360300
20080327,1580,1600,1556,1574,688060
20080328,1572,1620,1572,1620,832655
20080331,1618,1618,1582,1604,830105
20080401,1598,1644,1580,1606,913200
20080402,1620,1630,1596,1622,1195165
20080403,1620,1640,1608,1640,1201005
20080404,1630,1638,1608,1614,491680
20080407,1620,1680,1610,1680,1476800
20080408,1666,1754,1666,1738,5322520
20080410,1732,1742,1692,1740,1394455
20080411,1740,1786,1720,1770,1760455
20080414,1740,1770,1716,1768,889740
20080415,1760,1774,1724,1770,903360
20080416,1752,1784,1752,1764,824235
20080417,1764,1780,1732,1776,853300
20080418,1770,1778,1752,1778,331180
20080421,1794,1836,1786,1836,2285115
20080422,1822,1880,1810,1864,1659150
20080423,1860,1880,1812,1814,1080485
20080424,1814,1858,1800,1832,944450
20080425,1834,1880,1834,1868,523690
20080428,1854,1894,1842,1860,881050
20080429,1860,1870,1836,1854,724585
20080430,1842,1880,1838,1878,1057600
20080502,1896,1896,1850,1892,1303200
20080506,1900,2140,1880,1998,5999065
20080507,2020,2060,1970,2000,2606935
20080508,1980,2090,1980,2080,3054220
20080509,2080,2120,2030,2080,1863160
20080513,2060,2100,2030,2080,1441190
20080514,2100,2160,2070,2140,2879150
20080515,2150,2220,2130,2210,4489955
20080516,2190,2210,2150,2190,1459055
20080519,2180,2190,2110,2180,1609900
20080520,2140,2190,2090,2160,1894865
20080521,2150,2230,2140,2210,2795395
20080522,2200,2200,2120,2190,1303055
20080523,2240,2250,2150,2200,1847685
20080526,2200,2210,2070,2160,1711195
20080527,2120,2140,2090,2130,1394245
20080528,2140,2140,2080,2140,1645810
20080529,2160,2210,2150,2200,1361350
20080530,2200,2200,2160,2200,852765
20080602,2170,2190,2140,2180,1014995
20080603,2170,2170,2040,2060,2513835
20080604,2060,2190,2040,2160,2272135
20080605,2130,2160,2050,2060,1354350
20080609,1988,2020,1964,2020,873190
