날짜,시가,고가,저가,현재가,거래량
20080102,4320,4510,4320,4420,106390
20080103,4350,4640,4325,4325,167990
20080104,4270,4350,4060,4345,109990
20080107,4205,4205,4135,4150,91470
20080108,4150,4285,4065,4160,88390
20080109,4105,4160,4050,4160,323080
20080110,4195,4195,4080,4080,80215
20080111,4190,4190,3980,3980,152180
20080114,3850,3960,3600,3600,235029
20080115,3690,3700,3270,3375,357884
20080116,3230,3540,3100,3480,283730
20080117,3410,3595,3410,3430,106641
20080118,3440,3600,3300,3590,155200
20080121,3530,3620,3440,3450,89650
20080122,3210,3450,2935,2935,397320
20080123,2950,3100,2760,2920,348006
20080124,2930,3035,2920,2980,160121
20080125,2990,3085,2825,2890,320110
20080128,2760,2810,2490,2510,471480
20080129,2600,2660,2375,2425,499517
20080130,2425,2535,2300,2370,393067
20080131,2310,2725,2230,2725,894590
20080201,2745,3130,2600,3000,896044
20080204,2950,3100,2940,2980,298121
20080205,2980,3250,2890,3195,389160
20080211,3070,3350,3030,3250,236340
20080212,3215,3325,3150,3160,275087
20080213,3160,3235,2990,3065,189324
20080214,3035,3075,2955,2990,302791
20080215,2965,3090,2965,3040,203770
20080218,3065,3125,3015,3100,265990
20080219,3110,3170,2990,2990,318630
20080220,3000,3010,2815,2835,267026
20080221,2900,2915,2830,2835,129509
20080222,2835,2895,2740,2800,135509
20080225,2810,2920,2780,2810,121271
20080226,2845,2850,2750,2770,139174
20080227,2705,2900,2705,2900,229550
20080228,2930,2930,2860,2885,108759
20080229,2870,2900,2840,2870,111386
20080303,2780,2855,2770,2810,109490
20080304,2870,2870,2785,2800,57910
20080305,2795,3025,2770,2995,423060
20080306,3030,3440,3005,3120,1143265
20080307,3120,3270,3050,3100,380576
20080310,3070,3495,2960,3260,855115
20080311,3250,3445,3220,3420,701013
20080312,3450,3455,3150,3150,404270
20080313,3120,3215,3005,3050,276600
20080314,3070,3155,2980,3040,172505
20080317,2980,3065,2820,2910,222337
