날짜,시가,고가,저가,현재가,거래량
20080102,68291,70625,67415,67415,339954
20080103,67123,68972,65275,68680,346468
20080104,68096,68972,66345,68777,363485
20080107,66637,68291,66540,67610,209614
20080108,67610,72863,67610,71404,937874
20080109,71014,72571,71014,72571,536064
20080110,73155,73252,70917,71014,351333
20080111,71501,71890,67318,67610,403386
20080114,66929,67512,63427,64302,663409
20080115,64788,65178,59924,62162,582842
20080116,59827,61092,59438,60314,516009
20080117,59827,61870,59049,60897,446394
20080118,60216,62454,59049,62259,321683
20080121,60897,61773,55547,57979,486973
20080122,54963,55255,49613,53699,1003638
20080123,55352,56422,52434,54185,569691
20080124,55060,56714,54477,56422,498985
20080125,56909,58465,56617,57687,376684
20080128,56422,56909,51072,52045,709929
20080129,53018,53699,47862,48640,1161878
20080130,49321,50002,45527,46597,851273
20080131,44457,46694,43338,46694,1919813
20080201,47862,48737,46597,47278,958887
20080204,48056,51558,48056,51461,972147
20080205,50780,51948,50391,51656,478417
20080211,49710,50196,48056,49710,365128
20080212,50586,50780,48591,49126,527247
20080213,49807,49905,47667,48445,481503
20080214,49224,53212,49029,52142,805524
20080215,51656,55352,51364,54574,908195
20080218,55352,57201,54380,55450,895911
20080219,56325,57590,55741,57103,703559
20080220,56325,56520,53893,54574,708993
20080221,55450,55936,53893,54769,484393
20080222,54282,55255,53504,55158,330531
20080225,54963,56033,53796,54477,732264
20080226,54963,55839,54185,55255,617803
20080227,56131,56909,55741,55741,596644
20080228,56422,58465,56131,57590,1110745
20080229,56909,57590,56033,56617,585498
20080303,53893,54380,53407,53990,612367
20080304,53990,54380,52142,52920,737313
20080305,53407,54866,53309,54185,459146
20080306,54380,56228,53504,54963,737747
20080307,53407,53504,51072,51461,1085412
20080310,49418,51461,49029,49905,720293
20080311,49418,51656,49126,51072,339169
20080312,52531,52823,50002,50683,634431
20080313,50099,50780,48008,48008,786006
20080314,48494,49029,43971,45235,1110476
20080317,44457,44749,42560,44749,690719
20080318,44749,46111,44749,46013,427183
20080319,47570,47910,46889,46986,560749
20080320,46208,48737,45965,48202,529532
20080321,48737,49516,47716,49516,462636
20080324,49613,49807,48543,49613,347457
20080325,50002,50099,48105,49126,531078
20080326,48640,50002,48154,48932,550258
20080327,48835,48835,47764,48835,405200
20080328,48348,51169,48300,50877,683733
20080331,50780,51753,50099,50975,421798
20080401,53018,56422,52726,54671,2232713
20080402,57687,57687,56033,56617,1205999
20080403,56812,57298,55644,56422,594403
20080404,57103,59633,57006,57006,835630
20080407,57103,58660,56617,57103,553972
20080408,57395,59633,56714,58757,781191
20080410,58076,59633,57882,59438,690561
20080411,59633,60897,58368,60022,545823
20080414,58465,58660,55352,55741,944619
20080415,55839,58076,55644,56909,635547
20080416,57687,60216,57590,59244,1087572
20080417,57687,58465,54380,54477,3481678
20080418,55352,57298,54963,55255,1998579
20080421,56617,57103,55936,56033,886943
20080422,55060,55450,52823,53212,2027955
20080423,52531,54088,52434,53212,1135194
20080424,53796,55352,53601,53601,866239
20080425,54185,54769,46208,46208,2199419
20080428,44992,45722,43581,43922,4889270
20080429,44165,44846,43922,44116,1511901
20080430,44408,46597,44408,46013,2790307
20080502,46694,47132,45965,46111,1240561
20080506,45187,45187,44019,45089,1018758
20080507,44895,45965,44603,44943,783881
20080508,44749,45770,44457,45576,588098
20080509,45819,46451,44992,45089,644726
20080513,44797,45089,43095,44214,1078680
20080514,43971,44797,43679,43873,529947
20080515,43971,44262,42900,43436,1362197
20080516,43630,45235,43290,44992,1240008
20080519,45478,46208,45089,45284,1066681
20080520,45478,45527,43727,44068,1190693
20080521,43727,44700,43144,44068,735302
20080522,43581,44506,43290,44408,502133
20080523,44652,44700,43338,43581,813372
20080526,42852,43144,42317,42365,601454
20080527,42122,42803,41198,41782,852502
20080528,41830,42025,39398,39642,1793568
20080529,39739,41052,39690,40858,983498
20080530,41149,41198,40031,40663,833067
20080602,41830,43095,41636,42317,1545959
20080603,42268,42463,40906,41587,702844
20080604,41879,42657,41490,42365,722304
20080605,42365,42414,41684,41976,475650
20080609,40371,41198,40371,40906,380790
20080610,40955,41052,39301,39642,754776
20080611,39642,39982,39009,39788,578409
20080612,39204,39350,38766,38815,607936
20080613,39107,40517,37891,39885,956466
20080616,39982,41295,39447,40371,868733
20080617,40420,40663,39350,39690,375833
20080618,39398,40712,39155,40274,484173
20080619,40079,40614,39739,40079,355579
20080620,40468,41101,39739,40079,455615
20080623,39398,39836,38961,39544,315166
20080624,39544,39739,38766,39155,373569
20080625,38961,39155,38231,38717,391041
20080626,38620,39058,37939,37939,508561
20080627,36577,37404,36480,36772,477490
20080630,36480,37064,35994,35994,482194
20080701,35799,36626,35799,36480,354704
20080702,36237,36480,34437,34826,590824
20080703,33756,34778,32978,34632,627072
20080704,34291,35069,32735,33027,672042
20080707,32151,33027,31032,31762,1012069
20080708,31519,31859,28698,29476,1172069
20080709,30643,31616,29768,29768,1066439
20080710,28892,32589,28844,32589,1150647
20080711,32540,34097,31713,34048,968869
20080714,33756,34729,33075,33075,1015321
20080715,33075,34340,32589,33124,1457766
20080716,33756,34972,33367,34729,1304409
20080717,35799,37842,35410,36675,1781160
20080718,37258,37647,35799,36431,892107
20080721,36918,37307,36188,37307,794343
20080722,36820,38134,36772,37550,494953
20080723,38377,38572,37647,38231,642028
20080724,38620,39642,38231,39496,993220
20080725,38815,40031,38426,39496,680223
20080728,40177,40274,39398,39398,439818
20080729,38523,38717,37745,38572,596736
20080730,39690,40225,39009,39885,712559
20080731,40420,40760,40128,40566,610555
20080801,41879,42220,40031,40760,1411852
20080804,40566,40809,39155,39885,527621
20080805,39593,40274,37064,37064,1315761
20080806,37939,38377,37647,38182,557701
20080807,38328,39885,38182,39204,965821
20080808,38766,42025,38717,41295,1143190
20080811,42025,42122,40663,40955,737827
20080812,40760,41441,40420,40858,437643
20080813,40712,41684,39885,39885,520605
20080814,39204,40128,39107,39885,445022
20080818,40566,40663,37550,38669,905706
20080819,37745,38280,37258,37745,442814
20080820,36966,39252,36966,38717,569478
20080821,38523,38863,37647,37842,304895
20080822,37210,37647,35361,35994,762052
20080825,36042,36383,35313,35896,340773
20080826,35167,36869,34924,35945,365335
20080827,35896,37842,35896,37453,542226
20080828,37842,38036,36772,37453,271728
20080829,38328,38328,35264,36237,658082
20080901,35507,35702,32297,32540,909994
20080902,32589,33805,31859,32443,578411
20080903,32492,33367,32297,32978,492226
20080904,33367,35361,33075,34729,546556
20080905,33416,35118,33367,34875,445975
20080908,35994,37939,35604,36966,693143
20080909,37112,38426,36626,37453,599931
20080910,36869,38426,36869,37842,601572
20080911,37647,38036,36529,36966,699129
20080912,37696,40420,37647,39885,885517
20080916,36140,37356,34729,35459,779107
20080917,36869,38328,36529,37356,780819
20080918,35896,37258,35410,36675,621698
20080919,38328,39447,38328,38912,978983
20080922,39252,39739,38280,38766,1994011
20080923,38377,40906,38134,40371,915870
20080924,40371,42122,39982,42122,897491
20080925,41879,42998,40955,42220,773511
20080926,42317,42657,41344,41587,537153
20080929,42755,43922,41976,42171,1026663
20080930,39885,43290,39544,43290,1075666
20081001,43484,44262,42122,43630,712311
20081002,43776,44165,41393,42317,729024
20081006,41539,41539,37453,37453,1133465
20081007,36091,37696,34486,36285,1208100
20081008,34340,35264,31276,31276,985742
20081009,31276,35069,31227,33075,1078974
20081010,32102,37161,30303,36529,1621093
20081013,36772,38377,35507,37939,1515617
20081014,36577,38620,35313,36091,5523105
20081015,35118,37210,34340,34388,2576779
20081016,32005,33659,29233,29670,1720494
20081017,26995,28114,25244,25244,6277005
20081020,25244,25390,22909,23542,3552760
20081021,24466,25536,23639,23639,2704096
20081022,23639,24904,21158,22180,2523306
20081023,20867,21499,19456,19456,1660593
20081024,18726,18921,16538,16538,4439952
20081027,14787,16246,14057,14057,4753310
20081028,13133,15954,12792,14787,4363770
20081029,15857,16829,13376,14689,2994240
20081030,16246,16878,15419,16878,1240261
20081031,17608,19407,17462,19407,2981614
20081103,20137,22277,19991,22277,2198020
20081104,24223,24417,21693,23639,4539262
20081105,24125,25439,21985,23055,3941552
20081106,21450,21742,19602,19602,1754342
20081107,17997,22472,17510,22277,3508799
20081110,22812,23736,21693,22228,2475080
20081111,21499,22083,20915,20964,1474256
20081112,20040,21645,19699,20623,1307680
20081113,19213,21110,19213,20040,2242823
20081114,22083,22666,18726,19310,3102485
20081117,19796,20186,19213,19359,1010337
20081118,19018,19699,18872,18872,749186
20081119,19261,19407,17608,17851,917401
20081120,16343,16975,15176,15176,1026362
20081121,14495,17316,14106,17073,1707856
20081124,16684,17267,15711,15711,1195038
20081125,16829,17316,15759,15857,1047691
20081126,16100,16732,16003,16440,871067
20081127,17024,18386,16878,18094,1526251
20081128,18435,19699,17656,17997,1844074
20081201,18386,18775,17559,17948,997640
20081202,16732,17559,16343,17267,711722
20081203,17802,18240,17267,17802,1054439
20081204,18337,19261,17510,17802,1667332
20081205,18094,18580,17754,18191,753773
20081208,18775,20769,18435,20769,2565046
20081209,21207,22131,20623,20818,3108580
20081210,21110,21985,20964,21353,2003609
20081211,21499,23542,21402,22472,2688720
20081212,21985,22861,20283,21061,1474948
20081215,21888,23493,21645,23055,1674361
20081216,22764,23201,22180,22472,1356791
20081217,23493,23542,21110,21888,1184254
20081218,22083,22374,20721,21304,1149507
20081219,21061,22374,20915,21596,922831
20081222,21937,22472,21402,21888,978151
20081223,21499,21839,20429,20429,748312
20081224,20234,20332,19018,19456,827341
20081226,19796,21256,19505,19796,2172937
20081229,19407,19699,17948,18094,1047876
20081230,18435,19359,18337,18726,775717
20090102,19164,21499,18921,21499,1483370
20090105,22374,22764,21791,21888,1433372
20090106,22131,23250,21985,23201,1591803
20090107,23347,25244,22958,23834,1769802
20090108,23347,25828,23153,24417,2361510
20090109,24466,25098,22958,23347,1253273
20090112,23347,24660,22861,23299,1543690
20090113,23639,24612,23444,24563,1487911
20090114,24271,25439,23980,25293,1256483
20090115,24417,25196,22423,23007,1837464
20090116,24028,26412,23639,26071,2880488
20090119,27044,27433,25536,26168,2151342
20090120,26168,27628,25585,26412,1970376
20090121,26266,27773,24855,25050,3373189
20090122,27141,28698,26120,27773,3060704
20090123,27919,28552,26606,27141,1566818
20090128,28017,28163,27092,27530,1033824
20090129,27530,28357,26412,27238,1188890
20090130,26655,28163,26314,28163,995887
20090202,27628,28065,26898,26898,735219
20090203,26947,27433,26168,26703,915311
20090204,27336,27968,26947,27336,894620
20090205,27044,27822,26898,27044,643068
20090206,27628,29330,27433,28989,1914196
20090209,29427,30400,28892,29135,2898653
20090210,29962,30060,29038,29573,838442
20090211,28503,29330,28308,29233,803760
20090212,29233,29476,28260,28260,733298
20090213,28795,28795,28114,28600,700553
20090216,28114,28698,27919,27919,666783
20090217,27725,28357,26412,26412,780888
20090218,26071,26995,25147,26460,773478
20090219,26557,26947,25487,26266,618194
20090220,25779,26217,23542,24709,999696
20090223,24320,25779,23931,25731,763546
20090224,24515,24758,23639,24320,713025
20090225,25098,25196,23396,23396,653911
20090226,23639,24612,22666,23250,675621
20090227,23347,24028,22764,23493,392601
20090302,22861,22861,21499,21791,684668
20090303,20721,21207,20088,20964,1277789
20090304,20915,22861,20575,22520,748439
20090305,22958,23688,21888,21888,778403
20090306,21207,22812,20867,22374,587578
20090309,23153,23153,22180,22764,512546
20090310,22423,24028,22228,23688,692195
20090311,24417,24904,24223,24417,744138
20090312,24515,24758,23785,24125,658876
20090313,24806,26655,24660,26071,1413733
20090316,26266,26703,25633,25731,623992
20090317,26168,27530,25974,27433,789150
20090318,27919,28065,26995,27530,530600
20090319,28065,28357,26801,27238,553889
20090320,27336,28065,26801,27190,386073
20090323,27530,29135,27433,28795,828448
20090324,29379,29573,28211,28941,765763
20090325,28795,30497,28503,30351,1121775
20090326,30351,31276,30205,30497,924358
20090327,30935,31032,28989,29379,826839
20090330,29330,30789,28698,28698,1239413
20090331,29427,30157,28698,28698,800751
20090401,29281,30351,28795,30254,1036278
20090402,31032,32102,30595,31519,1053848
20090403,31908,32200,31032,31956,738460
20090406,32005,33270,31908,32151,752216
20090407,31859,32735,31227,32540,663857
20090408,32151,34437,31713,34097,1600843
20090409,34534,38182,33805,36772,1809547
20090410,37939,39204,36869,37161,1911043
20090413,37939,37939,36091,36480,927944
20090414,36577,37015,35264,35896,939800
20090415,35021,35799,34243,35507,796307
20090416,36577,38280,36188,36383,1264584
20090417,37453,37745,34632,35556,1025896
20090420,35896,35896,34340,35021,624000
20090421,33951,36966,33902,36383,822711
20090422,36772,37599,36042,36577,1053207
20090423,36675,36966,35459,36042,1023971
20090424,36188,37404,35750,36480,1044321
20090427,37112,37745,36188,36237,830020
20090428,36285,37112,33659,34340,880452
20090429,34534,35410,33756,35361,640801
20090430,35994,37210,35604,36480,987991
20090504,37307,37745,36820,36869,758027
20090506,37015,38669,36626,38036,1135209
20090507,39058,39155,36966,38085,1046352
20090508,37842,38523,37501,38426,735318
20090511,38523,38620,37647,37647,589115
20090512,37161,37453,35799,36237,1249867
20090513,35994,36577,35021,35702,1117269
20090514,34972,36188,34972,35215,707118
20090515,35702,36383,35215,35702,532807
20090518,36091,36577,35118,35459,715044
20090519,36188,36966,35702,36966,830888
20090520,36820,37356,36285,36966,764609
20090521,36626,37258,35118,35361,981768
20090522,34729,35702,33416,33610,1416208
20090525,33172,34486,32005,34388,1135184
20090526,34388,34729,32686,32881,730926
20090527,33513,34388,32929,33562,1061446
20090528,33075,33562,31811,33221,780099
20090529,33221,34048,32540,34048,614664
20090601,34048,34632,33464,34486,711147
20090602,34924,35945,33805,33902,1167036
20090603,34340,34340,33172,33464,712270
20090604,33659,34875,33464,33562,1058836
20090605,33805,34875,33708,34875,788640
20090608,35215,36334,34778,36140,1459094
20090609,36675,36772,35313,35702,881227
20090610,35702,36577,35459,36577,880635
20090611,36577,37599,36334,37258,1317905
20090612,37501,37745,36577,37356,706625
20090615,37356,37453,33464,35215,3061665
20090616,34729,35507,34437,34924,597764
20090617,34924,34924,33659,34145,510057
20090618,34437,34826,34048,34048,382621
20090619,34388,34534,33562,33659,390288
20090622,33756,34826,33659,34826,513864
20090623,34243,34388,33562,33902,484202
20090624,34145,34194,32200,33464,445840
20090625,33513,34632,33464,34243,477488
20090626,34680,34778,33562,33951,255573
20090629,33951,33951,32832,32832,410118
20090630,33124,33367,31616,31956,846106
20090701,31811,32881,31519,32492,406377
20090702,32881,33853,32783,33562,479682
20090703,32929,34145,32929,34097,415738
20090706,34097,34243,33562,33805,273267
20090707,33756,34097,33367,33659,313976
20090708,33562,34340,33124,33951,396071
20090709,34194,34291,33172,33172,509392
20090710,33075,33172,32102,32297,429349
20090713,32297,32686,31713,31713,488331
20090714,32102,32200,29768,29962,984849
20090715,30351,32005,30157,31859,560365
20090716,32589,33464,32589,33367,752805
20090717,33853,33999,33075,33999,523373
20090720,34048,35167,33902,34875,824148
20090721,35069,35896,34826,35556,829238
20090722,35799,36188,35069,36188,555424
20090723,36334,37258,35702,36966,1009287
20090724,37356,37501,36431,36966,583464
20090727,36480,37064,36237,36918,504325
20090728,36869,38134,36383,37501,640004
20090729,37745,37745,36772,37453,373574
20090730,37258,37647,36772,37599,439370
20090731,37939,38620,37745,38377,840421
20090803,38134,39107,37793,38523,667026
20090804,38815,39204,37404,38426,931771
20090805,38328,38377,37064,37501,983548
20090806,37161,37647,36820,37501,539826
20090807,37550,38231,37356,38134,498788
20090810,38377,40225,38134,39496,1196774
20090811,39496,39739,38815,39009,619947
20090812,39204,40420,39155,39447,1444703
20090813,39885,40323,37939,39398,1568483
20090814,39496,39788,38961,39544,748629
20090817,39204,39885,38426,38863,735431
20090818,38523,39107,37015,38280,774615
20090819,38426,38523,37453,37696,461614
20090820,37793,41052,37696,40712,1396626
20090821,40955,42609,40517,42171,1607541
20090824,43436,43679,42560,43046,1053552
20090825,42463,43290,41928,42609,680890
20090826,42657,43873,42317,43046,574451
20090827,43046,43727,41587,41879,496035
20090828,42317,42511,41101,42074,510779
20090831,42268,43533,42268,42609,630784
20090901,42609,43046,42025,43046,496919
20090902,42414,43484,41976,42511,649360
20090903,42317,42511,41198,41539,499874
20090904,41928,41976,40858,41393,455801
20090907,41879,43095,41295,42657,481883
20090908,42900,43581,42463,42949,581979
20090909,42706,42998,37015,39301,4212090
20090910,39885,40468,39252,39642,1486919
20090911,40274,41976,40177,41490,1627710
20090914,42025,42609,41587,42074,747699
20090915,42609,42706,41441,42365,616946
20090916,42609,43095,42122,42560,770976
20090917,42998,44165,42560,42803,1078520
20090918,43387,46500,43387,45916,2238687
20090921,45819,46354,44943,45722,617927
20090922,46208,46500,45235,46354,672494
20090923,45965,46500,42560,43776,1492137
20090924,43971,44603,42852,43776,557701
20090925,44165,44165,42074,42852,505837
20090928,42511,43533,41539,41928,721084
20090929,42317,43581,42122,42998,519515
20090930,42998,43436,41587,41879,435696
20091001,41928,42268,40517,40712,552388
