날짜,시가,고가,저가,현재가,거래량
20191113,11600,12100,10750,11100,15462185
20191114,11150,11750,10800,11650,3649312
20191115,11950,12500,11600,12200,5304317
20191118,12200,12550,12000,12200,2652187
20191119,12300,12350,11650,11900,1411800
20191120,11850,11850,11200,11250,1859794
20191121,11250,11400,10750,10800,1441331
20191122,10900,11150,10800,10850,953073
20191125,11000,11100,10850,11000,596616
20191126,11000,11050,10600,10700,1143632
20191127,10700,10800,10250,10300,1139149
20191128,10350,10650,10200,10350,673064
20191129,10450,10500,10100,10100,624067
20191202,10100,10400,9740,10250,1043572
20191203,10200,10400,9990,10350,458199
20191204,10250,10650,10200,10400,605963
20191205,10400,10900,10250,10750,809672
20191206,10650,11050,10600,10950,687507
20191209,11150,11150,10750,10800,547491
20191210,10800,10950,10750,10950,327883
20191211,11000,11100,10750,10900,460356
20191212,10950,11000,10700,10900,475215
20191213,10900,10950,10650,10750,645240
20191216,10750,10750,10500,10600,310051
20191217,10650,10700,10450,10550,404434
20191218,10550,10550,10150,10250,711197
20191219,10300,10400,10000,10100,668049
20191220,10100,10300,10050,10300,391198
20191223,10300,10400,10250,10300,328837
20191224,10250,10300,10100,10150,395395
20191226,10150,10400,10050,10250,470460
20191227,10300,10300,10150,10200,292908
20191230,10400,10400,10250,10350,346604
20200102,10450,10500,10350,10400,218029
20200103,10400,10400,10150,10250,480865
