날짜,시가,고가,저가,현재가,거래량
20080102,50863,50983,48284,48344,838284
20080103,47084,47744,46604,47084,684393
20080104,47324,48764,46844,47864,514253
20080107,46245,47324,46245,46784,270702
20080108,46544,49184,46544,48584,376079
20080109,47984,48344,46784,47864,640363
20080110,48464,48704,47444,47504,475560
20080111,47984,48464,44985,45585,723045
20080114,45225,45945,44985,45225,376218
20080115,44445,46724,44385,44865,425265
20080116,44205,45825,44025,44625,458423
20080117,45585,49124,45405,48884,784594
20080118,48284,49963,47684,49603,748452
20080121,49603,51163,48704,49783,575175
20080122,47984,50023,47504,50023,665796
20080123,51523,53502,51043,51043,976517
20080124,51583,53262,50863,53022,962839
20080125,53382,54402,53142,54342,717625
20080128,53622,53982,52782,53742,577280
20080129,54582,56501,54582,56261,644485
20080130,56261,57161,52662,55182,785300
20080131,55122,55781,53382,54762,572687
20080201,55302,55781,54162,55781,416607
20080204,56021,57461,55062,56801,781141
20080205,56501,58001,56381,57581,535628
20080211,55661,57821,54942,57461,450872
20080212,57581,57761,56261,57521,347292
20080213,57581,57941,54882,55901,398479
20080214,56621,57221,56081,56381,436896
20080215,55422,55901,54822,55601,375019
20080218,55362,56021,54342,55961,332054
20080219,56981,57341,56021,56621,394938
20080220,56021,59380,55661,57281,849488
20080221,58181,58840,56981,57821,461723
20080222,57041,59080,57041,59020,349258
20080225,59260,60580,58900,60460,585896
20080226,60940,61060,58181,58780,571919
20080227,58780,59740,57701,59380,330010
20080228,59920,60220,59140,59680,247991
20080229,59260,59260,57581,58720,303398
20080303,56741,57101,55541,56381,335317
20080304,56501,56621,54882,55422,395335
20080305,55841,57281,55841,56921,437963
20080306,57281,59500,56081,59200,484128
20080307,58001,60940,57581,60460,922159
20080310,59620,61659,59440,60820,706753
20080311,61300,64538,60700,63699,1018204
20080312,65378,65978,63339,65258,1034254
20080313,64778,65258,61659,63459,783360
20080314,64059,65738,62379,63699,1011914
20080317,63699,66218,61899,65498,1113796
20080318,65618,66098,63219,65138,757390
20080319,65978,66098,63819,65498,702388
20080320,64179,65978,63699,65138,451400
20080321,65378,67178,64658,66698,939308
20080324,67058,67058,65018,65138,536042
20080325,65498,65498,62619,63339,987222
20080326,62979,64299,62499,62739,615145
20080327,63099,64658,62739,64299,604451
20080328,64179,66698,63939,66098,1004784
20080331,66578,66578,64299,64778,573517
20080401,64898,65258,63579,64179,654049
20080402,65498,65498,63099,63819,773205
20080403,64299,65978,63699,64059,923082
20080404,64538,64538,62619,63219,659605
20080407,62499,63339,62259,62979,633582
20080408,62739,63099,61779,61779,500310
20080410,61180,64299,61180,64299,592532
20080411,64778,64898,63699,64179,482891
20080414,63219,63339,61779,61779,516258
20080415,61779,62259,59800,60580,773066
20080416,60940,62979,60940,62619,422620
20080417,63579,63819,62139,62139,486184
20080418,62979,65018,62979,64778,660231
20080421,65498,65978,64778,65498,654336
20080422,65378,66338,63939,64299,582651
20080423,64299,66338,64059,64898,491490
20080424,64898,67777,64898,67178,818267
20080425,67657,70656,67657,70656,1376995
20080428,70776,71496,69337,70776,525182
20080429,71016,71256,69337,71136,419696
20080430,71376,71856,70297,71136,342196
20080502,71736,72216,70177,71976,537182
20080506,71856,74015,71136,73416,513920
20080507,73416,74015,71016,72696,497975
20080508,70776,73176,70776,72576,504323
20080509,72576,72696,70417,70776,388433
20080513,70776,71736,69697,71376,377489
20080514,70776,72216,70776,71016,252875
20080515,71976,77374,71856,76774,1253829
20080516,77254,77254,75215,76774,465026
20080519,76295,77254,74255,77014,491290
20080520,76534,76654,71856,72336,1262628
20080521,70656,75215,70417,73775,1063350
20080522,74135,75215,67777,72576,2073956
20080523,73655,73655,71136,71496,424312
20080526,69577,71376,67418,71376,699222
20080527,71376,73775,70297,72576,579171
20080528,72816,73416,71256,71736,349836
20080529,72576,73895,71976,73296,544623
20080530,72936,73775,70297,73056,856852
20080602,74015,74015,72096,72816,342708
20080603,71976,73535,69937,71856,483741
20080604,71976,72336,70536,71376,345217
20080605,71376,72096,70297,72096,275723
20080609,69937,71856,69937,71496,404078
20080610,71496,72096,68617,68977,471351
20080611,69337,70417,69097,69697,477925
20080612,68857,69577,67298,67897,477945
20080613,68377,69457,67298,69217,409923
20080616,70057,71736,69697,71136,452094
20080617,71856,72456,71016,71256,397597
20080618,70177,71256,66578,68257,1982442
20080619,66578,67418,63819,64898,1450333
20080620,65978,66698,64059,64898,556710
20080623,62619,65378,62499,65138,391823
20080624,65138,65738,63699,63699,383377
20080625,63819,64658,63219,64179,272463
20080626,62979,63219,59620,59620,1460731
20080627,57461,59140,56801,57941,947810
20080630,58361,59140,54522,55601,911859
20080701,55182,55841,53442,55601,1038446
20080702,55601,55961,51283,53442,833450
20080703,52063,54882,51223,54702,846979
20080704,54642,55182,50383,50383,1038135
20080707,49184,51223,48164,51043,1069866
20080708,50623,50983,48344,49184,620112
20080709,50503,50623,46425,47204,830542
20080710,45405,46544,44445,45765,1583291
20080711,47144,49124,46604,49124,1635966
20080714,48704,50023,48164,48224,804343
20080715,47984,47984,44145,44745,1585075
20080716,45585,47744,43366,47024,1359187
20080717,49064,49663,48344,49424,1043862
20080718,50383,50383,48344,48584,617436
20080721,49424,51523,49364,51523,685495
20080722,50983,51343,50203,50623,402917
20080723,51703,51763,49064,50683,1243801
20080724,50743,51763,49484,51583,926098
20080725,50383,50863,49843,50443,598511
20080728,50443,50563,46604,46604,2106980
20080729,45405,45945,43965,45945,1227434
20080730,46784,47084,43605,43725,1396833
20080731,43186,44805,42586,43665,884476
20080801,43066,45045,42946,44205,737565
20080804,43965,45645,43366,45165,703932
20080805,45165,46065,44625,45765,665270
20080806,46724,46904,45945,46664,628847
20080807,46904,46964,44505,45105,805885
20080808,44265,45225,44205,44625,514138
20080811,45465,46544,45225,46425,611081
20080812,46544,49304,46485,48344,1377014
20080813,48284,48824,46844,47024,685717
20080814,47444,47684,46125,47144,591858
20080818,45825,46125,43246,43246,1566852
20080819,42946,43665,42706,43306,518712
20080820,43186,43306,40846,41506,1164087
20080821,41326,41746,38987,38987,1039211
20080822,38867,39887,38747,39227,620588
20080825,39347,40187,39347,39827,443258
20080826,38507,39827,38447,39227,388278
20080827,38987,38987,36708,37128,708026
20080828,37727,37967,36408,36468,404131
20080829,37428,37667,36588,37667,460206
