날짜,시가,고가,저가,현재가,거래량
20080102,16446,16714,15954,15954,829314
20080103,15686,16178,15642,15910,729047
20080104,15999,16133,15731,15954,644068
20080107,15418,15507,15105,15105,1013621
20080108,15150,15418,14703,15195,1363930
20080109,14926,15463,14614,15463,1052842
20080110,15552,16267,15418,15820,1792122
20080111,15910,16044,14882,14971,1273424
20080114,14837,15016,13988,14033,1640170
20080115,14167,14301,13318,13496,1750200
20080116,13005,13675,12826,12826,1417326
20080117,13273,13899,13273,13496,1701620
20080118,13228,14122,13184,14077,1159022
20080121,13943,13988,13496,13630,852170
20080122,12960,13228,12513,12960,1578373
20080123,13496,13541,12245,12469,1789797
20080124,12871,13720,12692,13407,1911309
20080125,13720,14077,13228,13988,1255711
20080128,13809,14211,12915,13005,1550529
20080129,13452,13541,12513,12915,1316169
20080130,13139,13184,12156,12513,1245813
20080131,12245,13094,12156,12915,1543179
20080201,13273,13675,13094,13407,1239503
20080204,13586,14971,13496,14882,2775250
20080205,14703,15195,14480,15105,1402800
20080211,14614,14658,14256,14569,994668
20080212,14882,15284,14837,15105,1351991
20080213,15552,15597,14658,14658,1869841
20080214,15195,15865,15150,15820,1683271
20080215,15418,16044,15329,15776,889153
20080218,15954,16267,15642,15999,1397016
20080219,16222,16759,16044,16491,1492567
20080220,16357,16625,15642,16044,1535568
20080221,16088,16267,15284,15552,1476394
20080222,15597,15686,14748,15597,1653254
20080225,15776,15910,15507,15820,1160789
20080226,16133,16625,15999,16580,1711046
20080227,16848,16893,16267,16446,1310672
20080228,16535,16580,16133,16401,583440
20080229,16267,16357,15776,15776,962151
20080303,15105,15552,15016,15552,962502
20080304,15642,15776,15239,15463,508894
20080305,15373,15999,15061,15820,1106099
20080306,15820,16178,15820,15999,1026293
20080307,15642,16267,15507,16088,860549
20080310,15820,15820,14614,14748,1054554
20080311,14480,14658,14033,14167,1147534
20080312,14569,14614,14122,14122,1001228
20080313,13988,14122,13407,13586,1161469
20080314,13943,14033,12647,13139,1179624
20080317,12915,13049,12558,12737,820694
20080318,12960,13943,12826,13943,1295902
